La Rosetta	id=g:6472838
Hotel / Residence IL MELOGRANO	id=g:6487069
Hotel Loggiato dei Serviti	id=g:6487073
Ripabianca agriturismo di charme	id=g:6487075
Hotel Cesare Augusto	id=g:6487076
Caesar Augustus, Relais & Chateaux Hotel	id=g:6487079
Hotel Eden	id=g:6487080
hotel giubileo	id=g:6487082
Jolly Hotel Bellini	id=g:6487086
Hotel Brivio	id=g:6487087
Hotel Bonconte	id=g:6487089
Relais Villa Matilde - A SINA HOTEL	id=g:6487090
Hotel Restaurant Miramonti	id=g:6487091
Hotel Eden	id=g:6487092
Hotel Grifone	id=g:6487093
Hotel Leopardi	id=g:6487097
Hotel Casa Caprile	id=g:6487098
hotel villa pace	id=g:6487102
Hotel San Michele	id=g:6487103
Hotel Lombardi	id=g:6487104
Vivaldi Luxury Rooms	id=g:6487105
Hotel La Meridiana	id=g:6487107
Relaisfranciacorta	id=g:6487108
Holiday Residence	id=g:6487111
Hotel CONCORDIA	id=g:6487113
Residence Michelangiolo	id=g:6487115
Hotel Désirée	id=g:6487116
Hotel Monte del Re	id=g:6487117
Polihotels Villa  D 'Annunzio	id=g:6487119
Hotel Trezzo	id=g:6487120
Hotel Carlton & Grand Canal	id=g:6487121
Hotel Pare	id=g:6487122
agriturismo il frutteto	id=g:6487126
best western hotel delle rose	id=g:6487128
Hotel Polsa	id=g:6487129
International Student House Florence	id=g:6487131
Hotel Larius	id=g:6487132
Hotel Carlo III	id=g:6487133
Grand Hotel Et Des Palmes	id=g:6487135
Locanda Novo	id=g:6487136
Relais Piazza di Spagna	id=g:6487137
Hotel Savoia	id=g:6487140
Hotel Madison	id=g:6487143
Hotel Royal Continental	id=g:6487144
Le Meridien Gallia	id=g:6487145
Hotel Europa	id=g:6487146
Hotel Viest	id=g:6487148
Hotel IL NIDO Sorrento	id=g:6487149
Residence Trivento	id=g:6487150
Hotel Vista Lago	id=g:6487151
bed and breakfast Campo di Carlo	id=g:6487152
Hotel Club La Playa	id=g:6487154
Mercure Hotel La Gradisca	id=g:6487155
Villa Poggio ai Merli	id=g:6487157
Hotel le Noci	id=g:6487158
Lac Salin Spa & Mountains Resort	id=g:6487160
Hotel Brennero	id=g:6487163
Hotel Terme Principe	id=g:6487164
Relais Agrisalotto	id=g:6487165
Atahotels Villa Pamphili	id=g:6487166
Bauer Hotel	id=g:6487167
Hotel Annalena	id=g:6487168
Hotel Villa Rosa	id=g:6487172
Relais San Clemente	id=g:6487173
Hotel Helvetia	id=g:6487176
Hotel La Gravenna	id=g:6487179
Tourist House B&B	id=g:6487180
Hotel Cambiocavallo	id=g:6487184
Hotel Terme Alexander	id=g:6487185
Andreola Central Hotel	id=g:6487187
Grande Albergo Abruzzo	id=g:6487188
Resort Villa San Marco	id=g:6487189
Locanda San Verolo	id=g:6487190
Hotel Ristorante La Font	id=g:6487191
Hotel Roma	id=g:6487192
NH Royal Palace	id=g:6487194
Hotel Villa Bianca	id=g:6487195
L  Antico Borgo Bed with Breakfast	id=g:6487197
Quality Hotel Atlantic	id=g:6487198
Hotel Rinascimento	id=g:6487201
Hotel S  Eustorgio	id=g:6487202
Hotel Bamby	id=g:6487203
Residenza San Pantaleo	id=g:6487205
Residence Corte	id=g:6487208
Navona Apartments	id=g:6487209
Hotel Del Campo	id=g:6487210
Hotel Hermitage	id=g:6487212
Quadra Key Residence	id=g:6487219
Hotel Signa	id=g:6487220
Hotel San Clemente	id=g:6487221
Hotel Romea	id=g:6487224
MSNSUITES La Republica	id=g:6487225
RomeBed	id=g:6487226
MOMI Bed & Breakfast	id=g:6487227
Hotel Adua	id=g:6487228
Hotel Touring	id=g:6487229
Quercia Rossa - Country House	id=g:6487232
Hotel Al Mulino	id=g:6487233
Hotel Regina	id=g:6487234
Hotel La Vecchia Cartiera	id=g:6487235
Hotel Panorama	id=g:6487236
Pier delle Vigne B&B	id=g:6487239
Hotel Fontana	id=g:6487240
Hotel Garden Napoli	id=g:6487241
Hotel Villa Beatrice	id=g:6487244
Jolly Hotel Plaza	id=g:6487245
Hotel Garden	id=g:6487246
Hotel Lido International	id=g:6487247
Grand Hotel Golf	id=g:6487248
Hotel Maxim	id=g:6487249
Hotel Brown	id=g:6487251
La Locanda dell Arte	id=g:6487253
Hotel Parco dei Faggi	id=g:6487260
La Mola	id=g:6487263
Hotel Palace	id=g:6487266
Hotel house Le Palme	id=g:6487267
Hotel Giannini gestione GI-SA Snc di Del Prete Rosa & c	id=g:6487268
My Hotels Executive	id=g:6487270
Valle Dell 'Aquila Country House	id=g:6487273
Villa dei Bosconi	id=g:6487274
Bettoja Hotel Mediterraneo	id=g:6487277
Hotel del Santuario	id=g:6487278
Villa del Bosco Hotel	id=g:6487282
Hotel Cyprianerhof	id=g:6487283
Villa Rizzo Resort - Masseria della Nocciola	id=g:6487285
Hotel Roma	id=g:6487286
Margot Guest House	id=g:6487287
Hotel Daniele	id=g:6487288
Villa Sibillini Country House	id=g:6487289
Hotel Capo Casale	id=g:6487290
Palace Hotel Relais Falisco	id=g:6487291
Hotel Bellavista	id=g:6487292
Hotel San Domenico	id=g:6487293
Park Hotel Kursaal	id=g:6487295
Palazzo Abadessa	id=g:6487296
Hotel Sant Ercolano	id=g:6487300
Mancini Park Hotel/villa I Glicini	id=g:6487301
Hotel Marea	id=g:6487305
Residence Alberghiero Eolie	id=g:6487306
Hotel Ristorante Costa	id=g:6487308
Hotel All'Orso	id=g:6487309
Relais Parco Fiorito	id=g:6487310
Hotel Select	id=g:6487313
Hotel Giuliana	id=g:6487314
Hotel Nettuno	id=g:6487317
Hotel Locanda dello Spuntino	id=g:6487318
Hotel Valentino -centro storico-	id=g:6487319
Hotel Riviera dei Dogi	id=g:6487320
Hotel Sporting	id=g:6487324
Hotel Bernina	id=g:6487325
Park Hotel Bocci	id=g:6487326
hotel aspromonte	id=g:6487327
Relais Villabella	id=g:6487328
Raganelli Hotel	id=g:6487329
Pacific Hotel Fortino	id=g:6487331
Hotel L'Antico Convitto	id=g:6487333
Palazzo Contarini della Porta di Ferro	id=g:6487334
Hotel Villa Ducale	id=g:6487335
Hotel Villa Romana	id=g:6487336
Hotel Bigallo	id=g:6487337
Hotel Villa Capodimonte	id=g:6487338
Residence Valfurva	id=g:6487339
Hotel Cecil	id=g:6487340
Hotel   Unicorno	id=g:6487342
Hotel San Vito	id=g:6487343
Hotel La Passeggiata	id=g:6487344
Locanda Solomeo Country House	id=g:6487345
Hotel Villa Ambrosina	id=g:6487347
My Hotels Galilei	id=g:6487348
Hotel River	id=g:6487352
Jolly Hotel Villanova	id=g:6487353
Tarchon	id=g:6487354
La Salinella case vacanze	id=g:6487355
Hotel Eden	id=g:6487356
Hotel Green House	id=g:6487358
Hotel D'Anna	id=g:6487363
Hotel Giardino dei Greci	id=g:6487367
Villa Castellani	id=g:6487369
Hotel Alla Giustizia	id=g:6487370
Vaticano Apartments	id=g:6487376
Podere Costa Romana	id=g:6487377
Hotel Baia di Puolo	id=g:6487379
Hotel Terminus & Plaza	id=g:6487380
Hotel La Paul	id=g:6487381
San Paolo della Croce	id=g:6487383
bb galileo 2000	id=g:6487385
Hotel Bepi Ciosoto	id=g:6487387
Hotel Fortunella	id=g:6487388
Hotel Desirèe	id=g:6487390
Hotel Restaurant Corys	id=g:6487391
Hotel Residence Italia	id=g:6487393
My Hotels Carpi	id=g:6487394
Hotel Da Porto	id=g:6487395
My Seagull B&B	id=g:6487396
Hotel Holiday	id=g:6487397
L' Alba Hotel	id=g:6487400
Romantik Hotel Villa Novecento	id=g:6487401
Hotel Solitude	id=g:6487402
Hotel Certaldo	id=g:6487405
Hotel Gavinana	id=g:6487406
Hotel Angelina	id=g:6487410
Hotel Clarici	id=g:6487411
Holiday Service	id=g:6487414
Residence Santa Chiara	id=g:6487415
hotel valadier	id=g:6487418
Hotel Residence Casena dei Colli	id=g:6487420
Le Magnolie dependance Air Hotel	id=g:6487421
Villaggio vecchia Mottola	id=g:6487422
Hotel Da Carlos	id=g:6487423
Hotel Villa De Pasquale	id=g:6487425
Hotel Plaza Opéra	id=g:6487426
MediNaples	id=g:6487427
Residence Baia Salinedda	id=g:6487428
hotel caserta antica	id=g:6487432
Nonna Rana Holidays Apartments	id=g:6487434
La Locanda del Loggiato	id=g:6487437
Park Hotel Chianti	id=g:6487438
Hotel Il Mercante di Venezia	id=g:6487445
Hotel Caravaggio	id=g:6487446
Hotel Piazza Armerina	id=g:6487447
Welcome Hotel e Residences	id=g:6487451
Hotel RomAntica	id=g:6487457
Torre saracena 1567	id=g:6487458
La Griffe Hotel	id=g:6487460
Relais Alla corte del sole	id=g:6487461
Residenza del Granduca	id=g:6487462
Hotel Carducci76	id=g:6487463
Regina Giovanna Apartments	id=g:6487466
HotelKent	id=g:6487467
Polihotels Palazzo Ognissanti	id=g:6487468
Hotel Eurostars Domus Aurea	id=g:6487469
Paola appartamenti bed and breakfast	id=g:6487470
Hotel Lady Lusya	id=g:6487473
Hotel Royal Esplanade	id=g:6487474
Hotel Au Soleil	id=g:6487475
Relais dell Ussero a VILLA DI CORLIANO	id=g:6487478
Soggiorno Paradiso	id=g:6487479
Hotel Pixunte	id=g:6487480
MSNSUITES Palazzo Galletti	id=g:6487481
b&b las rosas	id=g:6487482
Hotel  Borgo Antico	id=g:6487483
Hotel Villa Soligo	id=g:6487485
Monaco Sport Hotel	id=g:6487488
Hotel Ariston	id=g:6487489
Hotel Tre Castelli	id=g:6487491
Lakkios Residence B&B	id=g:6487492
MSNRESORT Fattoria Bacio	id=g:6487496
Hotel Capri	id=g:6487498
Hotel Orlanda	id=g:6487499
Hotel Clodia	id=g:6487500
Hotel Il Piccolo Golf	id=g:6487502
Hotel Tre Stelle	id=g:6487503
Hotel Scandinavia	id=g:6487504
Hotel Antico Casale	id=g:6487505
Hotel Central	id=g:6487506
agriturismo La Sala	id=g:6487510
Hotel Helvetia	id=g:6487511
Relais Antiche Saline	id=g:6487512
Hotel Major	id=g:6487513
Reginna Palace Hotel	id=g:6487515
Hotel Antico Podere Propano	id=g:6487520
hotel hollywood	id=g:6487521
Hotel David	id=g:6487524
NH Santo Stefano	id=g:6487527
Hotel Commodore	id=g:6487528
Le Meridien Rimini	id=g:6487529
Hotel Principe d'Aragona	id=g:6487530
Hotel Lungomare	id=g:6487532
Hotel Kursaal & Ausonia	id=g:6487533
Hotel Nettuno	id=g:6487534
Hotel San Carlo	id=g:6487536
Villa Alle Rampe	id=g:6487537
Hotel Benvenuti	id=g:6487542
i colori di napoli   B&B	id=g:6487549
Hotel Mistral	id=g:6487550
Residenza Cartiera 243 rooms & apartments	id=g:6487553
hotel GIUBILEO	id=g:6487554
Hotel Le Renaie	id=g:6487555
Hotel Tonfoni	id=g:6487556
Villa Elisabetta *Country-House *	id=g:6487558
Hotel Dei Cavalieri	id=g:6487559
Hotel Domus Praetoria	id=g:6487560
La Locandella del Poggio Charme B & B	id=g:6487561
Hotel Rione Antico	id=g:6487564
Iseo Lago Hotel	id=g:6487566
Hotel Villa Mokarta	id=g:6487567
Postumia Hotel Design	id=g:6487570
Tenuta Agricola dell'Uccellina	id=g:6487571
Hotel Antenore	id=g:6487572
Hotel Grande Italia	id=g:6487573
Hotel Clio	id=g:6487576
Le Torracce Agriturismo Olistico	id=g:6487577
Villa Carlucci	id=g:6487578
Inn Centro	id=g:6487579
Popolo Square Apartments	id=g:6487581
hotel LA VECCHIA FONTE	id=g:6487582
Hotel Floridiana	id=g:6487583
Hotel Sabatino Milan	id=g:6487584
I Casolari Bed & Breakfast	id=g:6487585
Phillyrea Hotel	id=g:6487589
Via Veneto (Independent Apartment)	id=g:6487590
Hotel Oriente e Terme	id=g:6487591
Hotel Concordia	id=g:6487592
Hotel Centrale	id=g:6487593
Hotel Umbria	id=g:6487594
Villa Maria	id=g:6487596
Hotel Trentina	id=g:6487597
Le Robinie Golf & Resort	id=g:6487598
Hotel Due Mondi	id=g:6487602
hotel Jolanda	id=g:6487603
Hotel delle Tele	id=g:6487604
Hotel La Vue D or	id=g:6487607
Hotel Prategiano Maremma Toscana	id=g:6487608
hotel tiziano	id=g:6487610
Poggio del Sole Resort	id=g:6487611
casa del ficus B&B	id=g:6487612
Hotel Sa Prenda	id=g:6487613
Hotel Romagna	id=g:6487614
Hotel Sporting e dei Congressi	id=g:6487617
Hotel Martino	id=g:6487618
Montaperti Hotel	id=g:6487619
Holiday Inn Verona Congress Centre	id=g:6487629
Albergo Quattro Fontane	id=g:6487630
Hotel Savoia Continental	id=g:6487631
Hotel Angelica	id=g:6487632
Tenuta San Vito In Fior Di Selva	id=g:6487633
Hotel Socrate	id=g:6487637
Le Fontane	id=g:6487639
Sporting  Residence Hotel	id=g:6487640
Hotel Ville sull'Arno	id=g:6487643
Hotel Valley	id=g:6487644
Hotel Milano & Helvetia	id=g:6487645
Hotel Antica casa Carettoni	id=g:6487647
Holiday Inn Venice Mestre-Marghera	id=g:6487648
Hotel Al Ponte Antico	id=g:6487649
Hotel Villa Gabrisa	id=g:6487650
Hotel Guardanapoli	id=g:6487651
Grand Hotel Terme	id=g:6487652
Hotel Firenze	id=g:6487654
Hotel Monreal	id=g:6487655
Hotel Campanile Turin Rivoli	id=g:6487658
Villa Elvira	id=g:6487660
Hotel Alle Guglie	id=g:6487662
Hotel Letizia	id=g:6487663
Grand Hotel Parco dei Principi	id=g:6487666
hotel JFI Hermitage	id=g:6487667
Hotel Emma	id=g:6487668
Bettoja Atlantico Hotel	id=g:6487671
Locanda Artè	id=g:6487673
Hotel Borgo Casabianca	id=g:6487674
Relais la Corte di Bettona - Star Find Srl	id=g:6487676
Seaview Apartment  Alghero	id=g:6487678
Le Zagare	id=g:6487680
Hotel Villa Veneta	id=g:6487683
S  Giovanni e Paolo	id=g:6487684
Palazzo San Niccolo'	id=g:6487686
Grand Hotel Tettuccio	id=g:6487688
Locanda Azzurra	id=g:6487689
Hotel Cristallo	id=g:6487690
Hotel Graziella	id=g:6487691
San Marco Palace	id=g:6487692
Hotel Piave	id=g:6487693
IL CARDO Bed & Breakfast	id=g:6487698
Hotel San Marco	id=g:6487699
casa alla fenice	id=g:6487700
Suite Hotel Litoraneo	id=g:6487701
Solofra Palace Hotel & Resort	id=g:6487703
La Casa Fiorita	id=g:6487707
Hotel Sierra Silvana	id=g:6487708
Hotel Brasile	id=g:6487710
Hotel CONTINENTAL	id=g:6487712
Hotel Ramada Fiera	id=g:6487713
Hotel Zara	id=g:6487714
Hotel Martelli	id=g:6487715
Hotel Cristina	id=g:6487716
Hotel Collegio Gentile	id=g:6487717
Hotel de La Ville Ferrara	id=g:6487721
Grand Hotel Excelsior	id=g:6487724
Hotel I due Cigni	id=g:6487725
Hotel Touring & Internazionale	id=g:6487727
hotel metropolis	id=g:6487728
Lamione	id=g:6487729
Hotel Villa del Parco	id=g:6487730
Residenza d'Epoca La Costa	id=g:6487732
Grand Hotel Fleming	id=g:6487734
Soggiorno Gloria	id=g:6487735
Starhotels Rosa	id=g:6487739
Hotel Latemar	id=g:6487740
Luna Hotel Motel Airport	id=g:6487744
Hotel 22 marzo	id=g:6487745
Hotel Venezia Park	id=g:6487748
Villa Pigalle	id=g:6487749
Vime Byron	id=g:6487750
Hotel Trieste	id=g:6487751
Hotel Paris	id=g:6487753
Relais Villa Savarese	id=g:6487754
Salvadonica - Borgo Agrituristico del Chianti	id=g:6487756
Isoco Guest House	id=g:6487757
Hotel Il Convento	id=g:6487761
HOTEL WANDA (near Duomo and Bargello museum)	id=g:6487762
Hotel Lord Byron	id=g:6487768
Hotel Florida in Venice center	id=g:6487769
Hotel Savioli Spiaggia	id=g:6487772
Hotel Martini	id=g:6487773
Hotel Riva del Sole	id=g:6487776
Hotel Edy	id=g:6487777
Locanda Armizo	id=g:6487778
Hotel Souvenir	id=g:6487780
Hotel Vecellio	id=g:6487781
Villa Marialuisa Apartments Island of Ischia	id=g:6487786
Grand Hotel Sitea	id=g:6487787
Hotel Mare	id=g:6487790
Il Casale della Staffa	id=g:6487792
Locanda degli Artisti / Hotel Azzi	id=g:6487793
Villa Cassia Di Baccano Tuscany Resort	id=g:6487794
Hotel Vignola	id=g:6487796
Hotel Moderno	id=g:6487797
Hotel Malta	id=g:6487798
Hotel Edolo	id=g:6487802
Hotel Castellino Palio Bianco	id=g:6487803
Balestri Hotel	id=g:6487807
Arancio2	id=g:6487811
A Roma Apartment	id=g:6487812
Ape Regina	id=g:6487813
B&B Ai Tre Pini	id=g:6487814
Agriturismo B&B  Alla Madonna del Piatto	id=g:6487815
Albergo La Perla	id=g:6487817
A Il Girasole bed and breakfast	id=g:6487820
B&B Venice Rooms	id=g:6487821
B & B Al 316	id=g:6487822
Casa Mimma Bed & Breakfast	id=g:6487836
Fattoria Il Borghetto	id=g:6487837
Best Western Hotel Majestic	id=g:6487841
BBvenezia	id=g:6487842
Florence Center Apartments by Thats Italy	id=g:6487845
AENEA S  Bed & Breakfast	id=g:6487850
Eurohotel	id=g:6487853
B&B Hotel Sovrana	id=g:6487857
Grand Hotel Arenzano	id=g:6487869
Bed&Breakfast AlCiterno	id=g:6487874
Agriturismo San Fele	id=g:6487885
Bed and Breakfast Fonte dei Tufi	id=g:6487886
Astoria Hotel	id=g:6487887
Bed & Breakfast Casa Eleonora	id=g:6487896
Art Hotel Museo	id=g:6487907
Bed and Breakfast Leonardo's Rooms	id=g:6487908
Affittacamere Berlini	id=g:6487909
Aurelia Residence San Pietro	id=g:6487910
Albergo Delle Rose	id=g:6487913
Affittacamere B&B Al Turendo  Lucca	id=g:6487918
Albergo al Cacciatore	id=g:6487919
B&B L' incanto di Roma	id=g:6487925
Certosa di San Giacomo	id=g:6487929
Albergo Al Sole	id=g:6487935
B&B Emanuele Filiberto	id=g:6487936
Apartment Amadi	id=g:6487948
A casa di Alice B&B	id=g:6487949
Conte B&B	id=g:6487951
Appartamento Domus Gordiani	id=g:6487952
Al Tuscany Antica Residenza	id=g:6487953
Agorà Palace Hotel	id=g:6487958
Affittacamere Casa Danè	id=g:6487961
Agriturismo Fontevetriana	id=g:6487973
Girasolereale bed and breakfast	id=g:6487974
B&B Gli Artisti	id=g:6487978
Diplomat Palace	id=g:6487984
Borgo di Villa Castelletti - Country Hotel	id=g:6487987
Bed & Breakfast VILLA SCHITICCHIU	id=g:6487988
Casa San Carlo	id=g:6487994
Astoria Executive Hotel	id=g:6487997
Etruscan Chocohotel	id=g:6487998
Fori Imperiali Apartments	id=g:6488002
B&B Aganoor	id=g:6488003
Agriturismo Al Marnich	id=g:6488010
Al Saraceno Hotel	id=g:6488011
Forum Hotel	id=g:6488016
CK Bed & Breakfast	id=g:6488021
Agriturismo Villa Conca Marco	id=g:6488026
Bed & Breakfast OLD CARALIS	id=g:6488034
Apartments Signoria	id=g:6488039
Dancing Flamingo Sicily Country Resort	id=g:6488041
Bed&Breakfast Dreamers	id=g:6488042
Agriturismo Il Gelso	id=g:6488043
Domina Inn Malpensa	id=g:6488044
Cascina Bella Vista	id=g:6488045
Domus Open Space	id=g:6488048
Appartamenti Cadoro	id=g:6488058
Bed and breakfast	id=g:6488063
B&B Palazzo Antonelli	id=g:6488066
B&B Four Rooms	id=g:6488068
BedinMonti	id=g:6488073
ClassHotel Aosta	id=g:6488074
Grand Hotel Brun	id=g:6488080
Antica Corte Charme Residence	id=g:6488083
Apostoli apartment	id=g:6488084
Antico Mulino	id=g:6488086
Albergo Garni Aurora	id=g:6488093
B&B Suite Partenope	id=g:6488101
B&B La corte Lecce	id=g:6488105
Forte Sorgnano	id=g:6488106
ATLANTIDE Bed and Breakfast - The astounding place	id=g:6488110
Daniel's sweet home	id=g:6488114
Class Country Bed & Breakfast	id=g:6488118
B&B Napoli Centrale Hotel	id=g:6488119
B&B AL CAMPANIEL Venice	id=g:6488120
Castello di Montegonzi	id=g:6488125
All Suites Villa Tassoni	id=g:6488127
B&B Castello di Borgomasino	id=g:6488128
Albergo Roberta	id=g:6488130
Casa Bellavista Bed & Breakfast	id=g:6488131
Bed & Breakfast dei Papi	id=g:6488138
Dolcesonno egiziaca attico	id=g:6488148
CameraCaffe' Bed and Breakfast	id=g:6488153
Bed & Breakfast	id=g:6488154
AENEA Superior Inn	id=g:6488157
residenza il boschetto	id=g:6488167
Aceri Apartments 2	id=g:6488175
Affittacamere Residenza mary	id=g:6488176
Complesso La Contessa	id=g:6488179
Agriturismo Molinuzzo	id=g:6488183
Agriturismo Olmo di Casigliano	id=g:6488186
Bed and Breakfast Dimora Carlo III	id=g:6488190
Al 66 Imperial Inn	id=g:6488198
B&B Caffellatte Hotel	id=g:6488201
Casa Rovai - Guest House	id=g:6488208
Alexander VivaHotel	id=g:6488213
Claudia Augusta	id=g:6488214
Bed & Breakfast  La Finestra sul Parco	id=g:6488220
Baldassini B&B	id=g:6488226
Express by Holiday Inn	id=g:6488237
Aurora Apartment	id=g:6488238
B&B Rifredi	id=g:6488240
Arbatasar Hotel Ristorante	id=g:6488242
Affittacamere Boccaccio	id=g:6488245
B&B Bed in Trastevere	id=g:6488247
Agriturismo Torre Del Fondo	id=g:6488249
Affittacamere Domus Aurora	id=g:6488255
Caravaggio Hotel	id=g:6488260
B & B La Terrazza Nelissen & Silvio	id=g:6488262
B&B Baglio alla Zisa	id=g:6488276
Art hotel	id=g:6488280
Augustus Hotel	id=g:6488281
Ca' Bonvicini	id=g:6488292
Best Western Hotel Galles	id=g:6488293
Freedom Residence	id=g:6488294
Agriturismo B&B da Pio	id=g:6488295
Centra Beds	id=g:6488300
Bed & Breakfast - indipendent apartments Camilla & Martina	id=g:6488301
Cheap Apartments PoliteamAffitti Palermo	id=g:6488302
Casa Mazzola	id=g:6488303
Bed&BreakfastCasaGiovy	id=g:6488308
Ca' Barba (Apartment)	id=g:6488309
Borgo Montecucco	id=g:6488310
Gioia  Bed & Breakfast	id=g:6488315
Albergo l'Ostelliere	id=g:6488321
Agriturismo Parco dei Cimini	id=g:6488323
Donnalbina7 - dormire a Napoli   B&B	id=g:6488325
B&B Firenze 32	id=g:6488335
Antica Posta	id=g:6488336
Dei Tigli Friendly Stay Hotel	id=g:6488337
Agriturismo Colleverde	id=g:6488343
Ca' del Nobile Charme Hotel	id=g:6488346
Best Western Hotel Executive	id=g:6488348
appartamenti ca san pietro	id=g:6488357
Casa Marconi	id=g:6488358
Carasco Hotel	id=g:6488361
Agriturismo Borgo Casa al Vento	id=g:6488364
Cascina Bricchetto	id=g:6488366
A San Pietro da Susy B&B	id=g:6488367
A casa di Alice	id=g:6488370
Convento di Agghielli	id=g:6488376
Domus Betti B&B	id=g:6488386
Casale Galati	id=g:6488394
Eurhotel	id=g:6488398
Casa Genoveffa	id=g:6488401
Garden House-deluxe holiday suites/apts	id=g:6488402
Comfortable Dei Tigli - Family Run Quality  Hotel	id=g:6488403
Albergo Stella	id=g:6488405
Agriturismo Capuano	id=g:6488406
Antica Pieve	id=g:6488407
Club Hotel	id=g:6488408
A&C Much More	id=g:6488418
Eur Dream House	id=g:6488424
Best Western Hotel Paradiso	id=g:6488427
Agrib&b DOMO DE PEDRA	id=g:6488432
Eurostars Roma Congress Hotel & Conference Center	id=g:6488437
A Florence View bed and breakfast	id=g:6488438
Dimora Casa Eugenia	id=g:6488440
Agriturismo Vignacce	id=g:6488441
Antico Casale di Lisycon	id=g:6488444
Giuggiulena	id=g:6488456
Cà Paradiso	id=g:6488471
Grand Hotel Angiolieri	id=g:6488474
B & B  Pietradonica	id=g:6488482
Agriturismo PEDROSOLA	id=g:6488483
B&B  Don Chisciotte	id=g:6488493
A Hotel Villa Felice Relais	id=g:6488494
Fattoria Montalbano	id=g:6488495
Agriturismo Roselle	id=g:6488498
Appartamenti  Buttavento	id=g:6488501
Campo de Fiori Apartments	id=g:6488503
Bellavista Impruneta	id=g:6488519
Frari apartment	id=g:6488526
B&B Terra mia	id=g:6488530
B&B La Romea	id=g:6488537
Antas Hotel	id=g:6488542
Air Hotel	id=g:6488552
Affittacamere Ghega	id=g:6488553
B&B Vesuvio Suite	id=g:6488554
B&B Villa Olanda	id=g:6488555
Al Palazzo Lion Morosini	id=g:6488560
Apartaments - La Casa di Pasquino	id=g:6488562
Case vacanza Gioiosa Marea	id=g:6488570
Al Gallo	id=g:6488580
Dimora Celeste	id=g:6488583
Ca' del Campo	id=g:6488587
Affittacamere Gli Archi	id=g:6488591
Albergo Annunziata	id=g:6488594
B & B  All'opera	id=g:6488600
Agriturismo Aia Antica	id=g:6488604
Apis Hotel	id=g:6488605
Al Residence dai frati	id=g:6488607
Alloggi Henry	id=g:6488608
Best Western Hotel City	id=g:6488613
Adventure Hotel	id=g:6488619
BB Happy Venice	id=g:6488621
Augustus	id=g:6488622
Best Western Hotel Luxor	id=g:6488625
Ai Lungarni	id=g:6488627
Baglio Conca D'Oro	id=g:6488632
Dolcesonno panoramic terrace	id=g:6488634
Albergo San Lorenzo	id=g:6488637
Bed & Breakfast La Dimora di Nettuno	id=g:6488641
Argentiere B&B Residence	id=g:6488644
Albergo Rivamare	id=g:6488645
Bed & Breakfast CASSIO Trieste	id=g:6488650
Giardino degli Ulivi	id=g:6488656
B&B La Piazzetta	id=g:6488659
Best Western Milton	id=g:6488667
Albergo Del Teatro	id=g:6488670
Agriturismo Holidays Farm Corte dei mori	id=g:6488673
Bed and Breakfast Notarbartolo	id=g:6488675
B & B Evergreen	id=g:6488679
Alfani House	id=g:6488687
Antica Villa Costa	id=g:6488694
Giglio Bianco	id=g:6488695
Art Hotel Navigli	id=g:6488696
Agriturismo La Presura	id=g:6488697
5295 Alla casa sul canale B&B	id=g:6488699
De Curtis	id=g:6488702
Eurhotel	id=g:6488711
B & B Vecchia Firenze	id=g:6488714
Art Suite Principe Umberto	id=g:6488729
Caracciolo10	id=g:6488735
Aretusa Vacanze	id=g:6488741
Ai Cartari Bed and Breakfast Palermo	id=g:6488749
Golf Hotel Quattrotorri	id=g:6488750
B&B I Vicoletti	id=g:6488768
Alice Relais nelle Vigne	id=g:6488769
Gaia Bed & Breakfast	id=g:6488773
Bed and Breakfast  Al Lauro	id=g:6488776
Albatros Hotel	id=g:6488783
Campo Reale country rooms	id=g:6488792
Casa Cristina	id=g:6488797
Agriturismo Podere dellAnselmo	id=g:6488804
Golf Hotel Corallo	id=g:6488805
Apartments in Florence FLORENTIA	id=g:6488807
Centrale	id=g:6488811
Ca' Pozzo Inn	id=g:6488814
Ca' Zose	id=g:6488817
Albergo Pensione Sonia	id=g:6488823
B&B Villa Lombardi	id=g:6488826
Aldebaran Family Hotel	id=g:6488829
B&B San Frediano Mansion	id=g:6488837
Casetta GINEVRA	id=g:6488841
Atlantic Palace Hotel	id=g:6488846
Comfort Inn Bolivar	id=g:6488847
Antico Casale centro benessere	id=g:6488849
B&B Dreamingrome	id=g:6488851
Comfort Hotel Diana	id=g:6488856
Express by Holiday Inn Foligno (Assisi)	id=g:6488857
B & B Il Glicine	id=g:6488860
Comfort Hotel Donatello	id=g:6488861
Burgio Accommodation	id=g:6488869
Country house Campanella	id=g:6488872
Charming International Hotel	id=g:6488873
Charme Hotel Pini	id=g:6488875
Eurohome	id=g:6488878
Albergo Residence Parco Carabella	id=g:6488881
2 Vatican Suites Guesthouse	id=g:6488888
Catania City Center	id=g:6488892
ADLER THERMAE Spa & Wellness Resort	id=g:6488893
Casa del Melograno  - Locanda	id=g:6488897
Best Western Hotel Maggiore	id=g:6488898
Fico d'india holidays	id=g:6488910
Artemura Residence	id=g:6488911
Comfort Hotel & Suites Pasteur	id=g:6488913
Albergo Pistolesi	id=g:6488914
Arco Antico	id=g:6488917
Centro storico Siracusa	id=g:6488918
Castello dell'Oscano	id=g:6488924
Arco Hotel	id=g:6488925
B&B Tokyo	id=g:6488934
Agriturismo San Fabiano	id=g:6488936
Bed & Breakfast Dina Roma	id=g:6488942
