Urochishche Volynkskoye	id=g:1536088
Ozero Nyatur	id=g:1539037
Ozero Khanteyskoye	id=g:1539038
Ozero Sangitur	id=g:1539039
Ozero Khonipaltur	id=g:1539040
Ozero Kvalumpaltur	id=g:1539041
Ozero Shchuch’ye	id=g:1539042
Ozero Okunëvo	id=g:1539043
Ozero Svyatloye	id=g:1539044
Malinovskiy	id=g:1539045
Yubileynyy	id=g:1539046
Atym’ya	id=g:1539047
Khorpiya	id=g:1539048
Gora Sora	id=g:1539049
Talitsa	id=g:1539050
Yuzhnaya Talitsa	id=g:1539051
Urochishche Peshchernoye	id=g:1539052
Urochishche Toloknyanka	id=g:1539053
Uroshchiche Seleznëvka	id=g:1539054
Gora Khumburum	id=g:1539055
Ozero Shipichnoye	id=g:1539056
Novoshipichnyy	id=g:1539057
Urochishche Talitsa	id=g:1539058
Boloto Semirechenskoye	id=g:1539059
Karpiya	id=g:1539060
Starorech’ye Marem’yanovo	id=g:1539061
Ozero Anchugtur	id=g:1539062
Ozero Dolgoye	id=g:1539063
Ozero Kurikovskoye	id=g:1539064
Gora Tamunër	id=g:1539065
Gora Tsarevskaya Sopka	id=g:1539066
Urochishche Severnaya Toshemka	id=g:1539067
Ostrov Vinnyy	id=g:1539068
Ostrov Gorelyy	id=g:1539069
Ostrov Nizhniy	id=g:1539070
Ostrov Molochnyy	id=g:1539071
Ushma	id=g:1539072
Ozero Ushminskoye	id=g:1539073
Ozero Vatkatur	id=g:1539074
Akhtasympolum	id=g:1539075
Bol’shaya Man’ya	id=g:1539076
Ozero Karasevoye	id=g:1539077
Ozero Shchuch’ye	id=g:1539078
Marginskiye Ozëra	id=g:1539079
Ozero Okunëvoye	id=g:1539080
Ozero Krugloye	id=g:1539081
Protoka Karga	id=g:1539082
Protoka Kindal	id=g:1539083
Protoka Kazal’tsevskaya	id=g:1539084
Protoka Kashinskaya	id=g:1539085
Ozero Svetloye	id=g:1539086
Ozero Materichnoye	id=g:1539087
Ozero Bol’shoye Yel’tsovoye	id=g:1539088
Ozero Okunevoye	id=g:1539089
Ozero Ovsyantovo	id=g:1539090
Ozero Karas’ye	id=g:1539091
Ozero Shchuch’ye	id=g:1539092
Ozero Maloye Yel’tsovoye	id=g:1539093
Mazhanskiye Ozëra	id=g:1539094
Shedelgskiye Ozëra	id=g:1539095
Ozero Kamyshovoye	id=g:1539096
Ozero Maloye Yel’tsovoye	id=g:1539097
Maksimkiny Ozëra	id=g:1539098
Yel’tsovskiye Ozëra	id=g:1539099
Ozero Bol’shoye Vydrovskoye	id=g:1539100
Ozero Maloye Vydrovskoye	id=g:1539101
Ozero Balkino	id=g:1539102
Ozero Travernoye	id=g:1539103
Ozero Karasevoye	id=g:1539104
Ozero Yel’tsovoye	id=g:1539105
Ozero Goluboye	id=g:1539106
Kiyevskiy Yëgan	id=g:1539107
Protoka Bystraya	id=g:1539108
Mozhinskiye Ozëra	id=g:1539109
Ozero Bol’shiye Vargashi	id=g:1539110
Ozero Baykal	id=g:1539111
Ozero Bol’shoye Migudinskoye	id=g:1539112
Materichnyye Ozëra	id=g:1539113
Ozero Melkoye	id=g:1539114
Ozero Kovzhalto	id=g:1539115
Ozero Borovoye	id=g:1539116
Ozero Sheferovo	id=g:1539117
Ozero Isan	id=g:1539118
Ozero Liognitkino	id=g:1539119
Ozero Gorodishchenskoye	id=g:1539120
Ozero Dikoye	id=g:1539121
Ozero Beloye	id=g:1539122
Ozero Dikoye	id=g:1539123
Ozero Bol’shoye Chundzhel’skoye	id=g:1539124
Ozero Bol’shoye	id=g:1539125
Ozero Melkoye	id=g:1539126
Ozero Istochnoye	id=g:1539127
Ozero Krugloye	id=g:1539128
Ozero Karasëvoye	id=g:1539129
Ozero Pol’to	id=g:1539130
Ozero Pol’to Vtoroye	id=g:1539131
Ozero Pol’to Pervoye	id=g:1539132
Ozero Kamgol	id=g:1539133
Ozero Pernoye	id=g:1539134
Ozero Bol’shoye Okunëvoye	id=g:1539135
Novyye Zori	id=g:1539142
Ozero Travnoye	id=g:1539143
Mnogoozërnyy	id=g:1539144
Ozero Mostovoye	id=g:1539173
Stantsiya Ozero-Andreyevskoye	id=g:1539174
Stantsiya Tarmanskiy	id=g:1539175
Stantsiya Turinskiy	id=g:1539176
Ozero Tulubayevo	id=g:1539177
Belaya Dubrova	id=g:1539178
Ozero Sundukul’	id=g:1539179
Ozero Yantykovo	id=g:1539180
Ozero Vayvolykul’	id=g:1539181
Ozero Bol’shoye Knyazevo	id=g:1539182
Pervomayskiy	id=g:1539183
Kanash	id=g:1539184
Novotarmanskiy	id=g:1539185
Novoroshchino	id=g:1539186
Stantsiya Utyashevo	id=g:1539187
Taraskul’	id=g:1539188
Paderina	id=g:1539189
Stantsiya Guzhevoye	id=g:1539190
Nizhniye Tarmany	id=g:1539191
Ozero Sredneye Tarmanskoye	id=g:1539192
Ozero Kopanets	id=g:1539193
Kruglaya	id=g:1539194
Vesëlaya Griva	id=g:1539196
Ozero Karanino	id=g:1539197
Ozero Sredneye	id=g:1539198
Ozero Shchuch’ye	id=g:1539199
Ozero Istochnoye	id=g:1539200
Novosëlovka	id=g:1539201
Yembayevo	id=g:1539203
Berëzovka	id=g:1539204
Purovsk	id=g:1539208
Gubkinskiy	id=g:1539209
Purpe	id=g:1539210
Gora Yuzhnyy Mys	id=g:1539224
Nadezhda	id=g:1539225
Ambarnaya	id=g:1539226
Ozero Khargy-Kyuyël'	id=g:1539227
Pshenichnyy Ruchey	id=g:1539228
Boganida	id=g:1539229
Ozëra Khikyay-Kyuyël'lere	id=g:1539230
Tundra	id=g:1539231
Posëlok Aeroporta	id=g:1539232
Ozero Ivanovskoye	id=g:1539233
Yergalakh	id=g:1539234
Ozero Gorkhovo	id=g:1539235
Ozero Kolyseda	id=g:1539236
Chirkova	id=g:1539237
Ostrov Malyy Leont'yevskiy	id=g:1539238
Ostrov Sredniy Leont'yevskiy	id=g:1539239
Dolganskiye Ozëra	id=g:1539240
Yandureyakha	id=g:1539241
Khoytolda	id=g:1539242
Sylkayakha	id=g:1539243
Ozero Palkuruto	id=g:1539244
Pukhteyakha	id=g:1539245
Yadyrina	id=g:1539246
Dolganskaya	id=g:1539247
Dolganskiye Ozëra	id=g:1539248
Pisyayakha	id=g:1539249
Ozero Olen'ye	id=g:1539250
Ozero Tungusozero	id=g:1539251
Ozero Chirovoye	id=g:1539252
Ozero Tyn'zyayato	id=g:1539253
Savina	id=g:1539254
Yuryachkovskaya	id=g:1539255
Dolganskaya	id=g:1539256
Ostrov Tretiy Shel'movskiy	id=g:1539257
Mys Sitkov	id=g:1539258
Ozero Vynggyto	id=g:1539259
Ozero Shun'ye	id=g:1539260
Ozero Kolysodo	id=g:1539261
Ozero Chervyanoye	id=g:1539262
Ozero Kholto	id=g:1539263
Ozero Chirovoye	id=g:1539264
Ozero Taymen'ye	id=g:1539265
Ozero Katerinino	id=g:1539266
Ozero Petrovskoye	id=g:1539267
Ozero Last'yevo	id=g:1539268
Ozero Polovinnoye	id=g:1539269
Ozero Fedotkino	id=g:1539270
Gryaznaya	id=g:1539271
Ozero Melkoye	id=g:1539272
Ozero Sigovo	id=g:1539273
Ozero Pelyazh'ye	id=g:1539274
Gryaznovskiye Ozëra	id=g:1539275
Svetlaya	id=g:1539276
Koynonchi	id=g:1539277
Yasyktal'	id=g:1539278
Gromkaya	id=g:1539279
Bystraya	id=g:1539280
Levyy Bolgokhtokh	id=g:1539281
Melkaya	id=g:1539282
Daldykan	id=g:1539283
Ozero Chërnoye	id=g:1539284
Ozero Stochnoye	id=g:1539285
Ozero Rybach'ye	id=g:1539286
Ozero Dolgoye	id=g:1539287
Mys Gribanov	id=g:1539288
Bucheka-Yuryakh	id=g:1539289
Koyeva	id=g:1539290
Ostrov Diksonchik	id=g:1539291
Mys Blyashcheyevskiy	id=g:1539292
Mys Nyuchcha	id=g:1539293
Ozero Nyuchcha-Dzhiyelyakh-Kyuyël	id=g:1539294
Mys Golyy	id=g:1539295
Mys Dvoynoy	id=g:1539296
Mys Ozërnyy	id=g:1539297
Ostrov Polundry	id=g:1539298
Ostrov Tsusima	id=g:1539299
Ostrov Kharata	id=g:1539300
Mys Dzhangy	id=g:1539301
Mys Tonkiy	id=g:1539302
Mys Tolstyy	id=g:1539303
Mys Koyev	id=g:1539304
Mys Uzkiy	id=g:1539305
Mys Kharata	id=g:1539306
Ostrov Trudnyy	id=g:1539307
Ostrov Gryaznyy	id=g:1539308
Srednyaya Agapa	id=g:1539309
Verkhniy Duromoy	id=g:1539310
Ozero Duromoy	id=g:1539311
Duromoy	id=g:1539312
Krasnoorlovskoye	id=g:1539313
Odino	id=g:1539314
Ostrov Bol’shoy	id=g:1539315
Ostrov Khaley	id=g:1539316
Ozero Khariusovoye	id=g:1539317
Ozero Vologochan	id=g:1539318
Lenzita	id=g:1539319
Ozero Toyakhinskoye	id=g:1539320
Ozero Alykel'	id=g:1539321
Ozero Papaninskoye	id=g:1539322
Ozero Getmanskoye	id=g:1539323
Ozero Dlinnoye	id=g:1539324
Severnyy Levinskiy	id=g:1539325
Ozëra Bliznetsy	id=g:1539326
Vologochan	id=g:1539327
Melkaya	id=g:1539328
Kosaya	id=g:1539329
Ozero Gryaznoye	id=g:1539330
Ozero Verkhnyaya Agapa	id=g:1539331
Ozero Taloye	id=g:1539332
Protoka Khambiyakha	id=g:1539333
Malyy Yarudey	id=g:1539334
Ozero Nemt	id=g:1539335
Ozero Chërnoye	id=g:1539336
Yamnaya Vozvyshennost'	id=g:1539337
Ozero Sukhoye	id=g:1539338
Ozero Podgornoye	id=g:1539339
Myshinaya	id=g:1539340
Ozero Taloye	id=g:1539341
Protoka Shirokaya	id=g:1539342
Pod"yakha	id=g:1539343
Malaya Pod"yakha	id=g:1539344
Ozero Pod"yakha	id=g:1539345
Ozero Malaya Pod"yakha	id=g:1539346
Bezymyannaya	id=g:1539347
Ozero Andryushino	id=g:1539348
Numgi	id=g:1539349
Mys Gorokhov	id=g:1539350
Gorokhova	id=g:1539351
Ozero Gorokhovo	id=g:1539352
Mys Osetrikha	id=g:1539353
Ozero Yagel'noye	id=g:1539354
Ozero Bol'shoye	id=g:1539355
Ozero Vysokoye	id=g:1539356
Ozero Lebedinoye	id=g:1539357
Ozero Marii	id=g:1539358
Protoka Funtusova	id=g:1539359
Funtusovskiye Ozëra	id=g:1539360
Poluostrov Funtusovskiy	id=g:1539361
Ostrov Nikitinskiy	id=g:1539362
Ostrov Peschanyy	id=g:1539363
Loginskaya	id=g:1539364
Ostrov Pashkov	id=g:1539365
Protoka Pashkovskaya	id=g:1539366
Tochinskaya	id=g:1539367
Ostrov Peschanyy	id=g:1539368
Mys Ovrazhnyy	id=g:1539369
Khrebet Yermilov	id=g:1539370
Anan’inskiy Khrebet	id=g:1539371
Anokharvuta	id=g:1539372
Payptayakha	id=g:1539373
Yengkharvuta	id=g:1539374
Khus’yakha	id=g:1539375
Ozero Khus’khadytato	id=g:1539376
Ngevayakha	id=g:1539377
Kharvuyakha	id=g:1539378
Pravaya Kheyakha	id=g:1539379
Levaya Kheyakha	id=g:1539380
Ozëra Khyley	id=g:1539381
Ozero Protochnoye	id=g:1539382
Kir'yanovskaya	id=g:1539383
Ozero Dvukhostrovnoye	id=g:1539384
Ozero Nyreyko	id=g:1539385
Ozero Uglovoye	id=g:1539386
Ozero Bol'shoye Ozero	id=g:1539387
Ozero Yerkito	id=g:1539388
Ozero Torfyanoye	id=g:1539389
Figurnyye Ozëra	id=g:1539390
Ozero Chirovo	id=g:1539391
Yamal”yakha	id=g:1539392
Myunkanlova	id=g:1539393
Nizhniye Pody	id=g:1539394
Kharvuyakha	id=g:1539395
Tomskiy	id=g:1539396
Nizhnyaya Varkuta	id=g:1539397
Nydakhadytako	id=g:1539398
Khoyakha	id=g:1539399
Tavolzhanskiye Ozëra	id=g:1539400
Ozëra Man’yass	id=g:1539401
Ozëra Malyy Man’yass	id=g:1539402
Ozero Numto	id=g:1539403
Malyy Yamsovey	id=g:1539404
Marietta	id=g:1539405
Malaya Marietta	id=g:1539406
Bol’shaya Marietta	id=g:1539407
Ozero Marelovayaganto	id=g:1539408
Ozero Khabevkoto	id=g:1539409
Ozero Toltto	id=g:1539410
Ozëra Yudetysynyanto	id=g:1539411
Ozero Yudemalto	id=g:1539412
Ozëra Aymal’yaganto	id=g:1539413
Ozëra Tydyl”yaganto	id=g:1539414
Ozero Limbeyyaganto	id=g:1539415
Ozero Sygato	id=g:1539416
Ozero Naradtysynyanto	id=g:1539417
Narad”yakha	id=g:1539418
Ozero Ngarka-Tydylto	id=g:1539419
Nagibnebyayakha	id=g:1539420
Chinkuyakha	id=g:1539421
Ozëra Sarmik”yaganto	id=g:1539422
Ozëra Tydeottayaganto	id=g:1539423
Ozero Kaym’yaganto	id=g:1539424
Ozero Nikuto	id=g:1539425
Ozero Namasto	id=g:1539426
Ozero Atel’to	id=g:1539427
Nivlyuyakha	id=g:1539428
Ozëra Penkuto	id=g:1539429
Ozero Yangto	id=g:1539430
Ozëra Peylasto	id=g:1539431
Ozero Inuto	id=g:1539432
Ozero Nëyato	id=g:1539433
Ozëra Yetuto	id=g:1539434
Ozero Nivlyuto	id=g:1539435
Ozero Penkuto	id=g:1539436
Ozëra Nyadokuyaganto	id=g:1539437
Ozero Negito	id=g:1539438
Ozero Ngarkato	id=g:1539439
Ozëra Chernyal’to	id=g:1539440
Ozero Kharuseteyto	id=g:1539441
Ozëra Peykuto	id=g:1539442
Ozero Panneyer’to	id=g:1539443
Ozero Yambto	id=g:1539444
Ozero Pannemalto	id=g:1539445
Ozero Porneto	id=g:1539446
Panneyakha	id=g:1539447
Ozero Pannetysynyanto	id=g:1539448
Ozëra Khyslyamato	id=g:1539449
Ozëra Nyakharto	id=g:1539450
Ozero Opoyto	id=g:1539451
Ozero Khasyreyto	id=g:1539452
Ozero Tar’yato	id=g:1539453
Ozero Ngarka-Yambto	id=g:1539454
Purovsk	id=g:1539455
Stantsiya Syvdarma	id=g:1539456
Izba Shpindler	id=g:1539457
Ozero Pyunitito	id=g:1539458
Tënyayakha	id=g:1539459
Nerutayakha	id=g:1539460
Syr”yakha	id=g:1539461
Kharvud’yakha	id=g:1539462
Ozero Lyamato	id=g:1539463
Chërnyy Bereg	id=g:1539464
Ozero Sygato	id=g:1539465
Yun”yakha	id=g:1539466
Ozëra Yang”yaganto	id=g:1539467
Ozero Nokhoyaganto	id=g:1539468
Ozëra Komnutato	id=g:1539469
Ozero Antyyaganto	id=g:1539470
Ozero Yad’malto	id=g:1539471
Ozero Tevasito	id=g:1539472
Ozero Veslyato	id=g:1539473
Nokhoyakha	id=g:1539474
Ozero Yambto	id=g:1539475
Ozero Ngarka-Lakomboyto	id=g:1539476
Ozero Nyuda-Lakomboyto	id=g:1539477
Ozero Pedrayaganto	id=g:1539478
Ozëra Valekto	id=g:1539479
Ozero Nyudya-Solyatto	id=g:1539480
Ozero Tydyl”yagan-To	id=g:1539481
Ozero Ngarka-Solyatto	id=g:1539482
Ozero Vityutto	id=g:1539483
Ozëra Porneyaganto	id=g:1539484
Ozero Vitisito	id=g:1539485
Ozero Tydylto	id=g:1539486
Ozero Yambto	id=g:1539487
Andromedy	id=g:1539488
Zaliv Avariynyy	id=g:1539489
Beregovoy	id=g:1539490
Mys Burunnyy	id=g:1539491
Stantsiya Kolchedan	id=g:1539492
Zhukovo	id=g:1539493
Podzhukovo	id=g:1539494
Poldnevoy	id=g:1539495
Stantsiya Dubrovnyy	id=g:1539496
Pyshminskaya	id=g:1539497
Shipachi	id=g:1539498
Stantsiya Vodolazovo	id=g:1539499
Stantsiya Koksharovskiy	id=g:1539500
Stantsiya Tëmnovo	id=g:1539501
Tëmnovo	id=g:1539502
Skatinskoye	id=g:1539503
Stantsiya Shutka	id=g:1539504
Stantsiya Dalmatovo	id=g:1539505
Krasnoyarskoye	id=g:1539506
Krutoyarskiy	id=g:1539507
Stantsiya Barnevka	id=g:1539508
Uymen’	id=g:1539561
Krasnosel’sk	id=g:1539562
Elekmonar	id=g:1539563
Yengozhok	id=g:1539564
Edigan	id=g:1539565
Balykty	id=g:1539566
Mayma	id=g:1539567
Karym	id=g:1539568
Yulya	id=g:1539569
Kylay	id=g:1539570
Gora Pleshivaya	id=g:1539571
Gora Uchish	id=g:1539572
Gora Sagany	id=g:1539573
Gora Sougan	id=g:1539574
Vershiny Kylay	id=g:1539575
Gora Kabarga	id=g:1539576
Gora Achilman	id=g:1539577
Gora Kara	id=g:1539578
Gora Ked	id=g:1539579
Gora Kyzyl-Kudyur	id=g:1539580
Gora Erlogol	id=g:1539581
Iogach	id=g:1539582
Staryy Kebezen’	id=g:1539583
Syurya	id=g:1539584
Karatash	id=g:1539585
Churya	id=g:1539586
Pristan’ Mys Chelyush	id=g:1539587
Kordon Yezhon	id=g:1539588
Karagan	id=g:1539589
Uykaratash	id=g:1539590
Kayru	id=g:1539591
Chul’cha	id=g:1539592
Malyye Chili	id=g:1539593
Churya	id=g:1539594
Yurtok	id=g:1539595
Zaliv Kamga	id=g:1539596
Kamga	id=g:1539597
Tevenek	id=g:1539598
Oyer	id=g:1539599
Uchal	id=g:1539600
Gora Chokurtayga	id=g:1539601
Gora Biler	id=g:1539602
Gora Pokashtuaya	id=g:1539603
Gora Balychibazhi	id=g:1539604
Gora Evrechala	id=g:1539605
Gora Archa	id=g:1539606
Khrebet Monargy	id=g:1539607
Gora Korumbu	id=g:1539608
Gora Baskon	id=g:1539609
Gora Tuzhu	id=g:1539610
Teletskiy Khrebet	id=g:1539611
Gora Avur	id=g:1539612
Mys Kyrsay	id=g:1539613
Mys Yezhon	id=g:1539614
Mys Saratki	id=g:1539615
Mys Kyvan	id=g:1539616
Mys Nyanskoch’	id=g:1539617
Gora Akaya	id=g:1539618
Gora Chertog	id=g:1539619
Gora Cheptu	id=g:1539620
Gora Kochimer	id=g:1539621
Gora Tular’	id=g:1539622
Khrebet Torot	id=g:1539623
Gora Kurkure	id=g:1539624
Gora Bol’shoye Estyube	id=g:1539625
Gora Kukuya	id=g:1539626
Gora Pertuve	id=g:1539627
Gora Kiver’	id=g:1539628
Gora Tazagon	id=g:1539629
Kordon Chelyush	id=g:1539630
Chandyri	id=g:1539631
Indra	id=g:1539632
Belyy Yar	id=g:1539633
Belenichnoye	id=g:1539634
Zemlyanoye	id=g:1539635
Lebyazh’ye	id=g:1539636
Vladimirovka	id=g:1539637
Maloye Satykovo	id=g:1539638
Bol’shoye Satykovo	id=g:1539639
Fabrichnyy	id=g:1539640
Ozero Malaya Indra	id=g:1539641
Ozero Maloye Satykovo	id=g:1539642
Ozero Vaganovo	id=g:1539643
Ozero Tumba	id=g:1539644
Massa	id=g:1539645
Ozero Noskinbash	id=g:1539646
Ozero Tarmyshkovo	id=g:1539647
Ozero Bol’shoye Dikoye	id=g:1539648
Ozero Maloye Dikoye	id=g:1539649
Ozero Nyurma	id=g:1539650
Ozero Karabashevo	id=g:1539651
Ozero Khalturinskoye	id=g:1539652
Ozero Doshanoye	id=g:1539653
Ozero Matyushino	id=g:1539654
Ozero Kabayevo	id=g:1539655
Ozero Chebarkul’	id=g:1539656
Ozero Maloye Karabashevo	id=g:1539657
Ozero Bol’shoye Karabashevo	id=g:1539658
Stantsiya Kar’yer	id=g:1539659
Stantsiya Moroshka	id=g:1539660
Stantsiya Matyushino	id=g:1539661
Stantsiya Lobazikha	id=g:1539662
Stantsiya Kumal’skiy	id=g:1539663
Stantsiya Pokrovka	id=g:1539664
Kuminskiy	id=g:1539665
Tamarka	id=g:1539666
Stantsiya Kuminskaya	id=g:1539667
Ozero Solpinskoye	id=g:1539668
Ozero Pod”yurtochnoye	id=g:1539669
Ozero Sredneye	id=g:1539670
Yeneg”yega	id=g:1539671
Ozero Kozhurkino	id=g:1539672
Nevdar”yega	id=g:1539673
Nayag”yega	id=g:1539674
Ayshish	id=g:1539675
Tyut”yakh	id=g:1539676
King”yakh	id=g:1539677
Entl’shish	id=g:1539678
Tykiponym”yega	id=g:1539679
Sagyt”yakh	id=g:1539680
Ozero Kulylor	id=g:1539681
Ozero Mukhilor	id=g:1539682
Sav”yakh	id=g:1539683
Narym”yega	id=g:1539684
Ozero Vas’lor	id=g:1539685
Ozero Verkhneye Levoye Shapshinskoye	id=g:1539686
Levaya Shapshinskaya	id=g:1539687
Kamchinskaya	id=g:1539688
Ozëra Dobrinskiye	id=g:1539689
Ozëra Ozernikovy	id=g:1539690
Ozëra Perevesnyye	id=g:1539691
Ayyega	id=g:1539692
Chunch”yega	id=g:1539693
Ozero Vottykatyngtokh	id=g:1539694
Lednik Sredniy	id=g:1539695
Krutoy	id=g:1539696
Grishina-Shara	id=g:1539697
Gora Derma	id=g:1539698
Lednik Bunge	id=g:1539699
Gora Sedova	id=g:1539700
Gora Astronomicheskaya	id=g:1539701
Lednik Karbasnikova	id=g:1539702
Gora Sredinnaya	id=g:1539703
Zaliv Legzdina	id=g:1539704
Mona Gora	id=g:1539705
Gora Verti	id=g:1539706
Ozero Khasare-To	id=g:1539707
Pukhutsyayakha	id=g:1539708
Khar’yakha	id=g:1539709
Levaya Omulevaya	id=g:1539710
Banka Bolten	id=g:1539711
Maksimovka	id=g:1539712
Lemberova	id=g:1539713
Ozero Domanskoye	id=g:1539714
Zaliv Tyuleniy	id=g:1539715
Skala Yuzhnaya	id=g:1539716
Ostrov Farvaternyy	id=g:1539717
Ostrova Gol'tsmana	id=g:1539718
Ostrov Diabazovyy	id=g:1539719
Ostrov Severomortsev	id=g:1539720
Ostrov Orlovskogo	id=g:1539721
Ostrov Severnyy	id=g:1539722
Ostrov Rastorguyeva	id=g:1539723
Ostrova Olen'i	id=g:1539724
Mys Zverovoy	id=g:1539725
Mys Shokal'skogo	id=g:1539726
Banka Stvor	id=g:1539727
Ostrova Yarzhinskogo	id=g:1539728
Proliv Semënova	id=g:1539729
Mys Sidorova	id=g:1539730
Skala Rif	id=g:1539731
Proliv Grigor'yeva	id=g:1539732
Ostrova Shrenka	id=g:1539733
Ostrov Povorotnyy	id=g:1539734
Mys Gornostayev	id=g:1539735
Mys Adamsa	id=g:1539736
Mys Pestik	id=g:1539737
Mys Kogot'	id=g:1539738
Poluostrov Tsentral'nyy	id=g:1539739
Bukhta Oval'naya	id=g:1539740
Poluostrov Neopredelënnyy	id=g:1539741
Ozero Ilistoye	id=g:1539742
Bukhta Konechnaya	id=g:1539743
Pogranichnyy	id=g:1539744
Opalovaya	id=g:1539745
Anomalii	id=g:1539746
Mys Rogatyy	id=g:1539747
Mys Bazarnyy	id=g:1539748
Bukhta Galechnaya	id=g:1539749
Zaliv Chernysheva	id=g:1539750
Mys Flag	id=g:1539751
Mys Shmidta	id=g:1539752
Poluostrov Slantsevyy	id=g:1539753
Ostrova Baklunda	id=g:1539754
Skala Minuta	id=g:1539755
Bukhta Polnovodnaya	id=g:1539756
Poluostrov Gneyso-Granitnyy	id=g:1539757
Proliv Rastorguyeva	id=g:1539758
Mys Gusinyy Yar	id=g:1539759
Bukhta Sovinaya	id=g:1539760
Mys Lagernyy	id=g:1539761
Mys Lopatka	id=g:1539762
Bukhta Dvurogaya	id=g:1539763
Mys Chërnyy	id=g:1539764
Bukhta Medvezh'ya	id=g:1539765
Bukhta Tainstvennaya	id=g:1539766
Mys Dobrotvorskogo-Yuzhnyy	id=g:1539767
Proliv Mushketova	id=g:1539768
Bukhta Obshirnaya	id=g:1539769
Mys Vigginsa	id=g:1539770
Bukhta Levitskogo	id=g:1539771
Mys Vitram	id=g:1539772
Poluostrov Fusa	id=g:1539773
Bukhta Melkovodnaya	id=g:1539774
Bukhta Mezhdugornaya	id=g:1539775
Bukhta Rechnaya	id=g:1539776
Bukhta Gusinaya	id=g:1539777
Mys Middendorfa	id=g:1539778
Ostrov Siversiya	id=g:1539779
Mys Kollektivizatsii	id=g:1539780
Zaliv Karpinskogo	id=g:1539781
Mys Sluchevskogo	id=g:1539782
Mys Karpinskogo	id=g:1539783
Bukhta Vkhodnaya	id=g:1539784
Mys Vladimirova	id=g:1539785
Bukhta Yuzhnaya	id=g:1539786
Bukhta Glubokaya	id=g:1539787
Bukhta Sukhaya	id=g:1539788
Poluostrov Baklunda	id=g:1539789
Bukhta Nochlezhnaya	id=g:1539790
Mys Shtubendorfa	id=g:1539791
Bukhta Dal'nyaya	id=g:1539792
Gora Geydena	id=g:1539793
Bukhta Kolesova	id=g:1539794
Mys Vrangelya	id=g:1539795
Bukhta Geydena	id=g:1539796
Ostrov Zvezda	id=g:1539797
Mys Oleniy	id=g:1539798
Mys Medvezhiy	id=g:1539799
Bukhta Georga Vul'fa	id=g:1539800
Bukhta Konstitutsii	id=g:1539801
Proliv Vostochnyy	id=g:1539802
Zaliv Gidrograficheskiy	id=g:1539803
Bukhta Stakhanovtsev	id=g:1539804
Gora Plato	id=g:1539805
Bukhta Zaostrovnaya	id=g:1539806
Gora Effekt	id=g:1539807
Gora Negri	id=g:1539808
Bukhta Glubokaya	id=g:1539809
Mys Primetnyy	id=g:1539810
Banka Mezhlauk	id=g:1539811
Bukhta Ozërnaya	id=g:1539812
Bukhta Bezymyannaya	id=g:1539813
Gora Vysokaya	id=g:1539814
Poluostrov Toros	id=g:1539815
Proliv Palandera	id=g:1539816
Bukhta Ledyanaya	id=g:1539817
Mys Severnyy	id=g:1539818
Bukhta Razgruzochnaya	id=g:1539819
Bukhta Alekseyeva	id=g:1539820
Proliv Ledyanoy	id=g:1539821
Proliv Toros	id=g:1539822
Banka Nord	id=g:1539823
Banka Sadko	id=g:1539824
Banka Kazach’ya	id=g:1539825
Ostrov Gryada	id=g:1539826
Ostrov Vasil'yeva	id=g:1539827
Banka Vasil’yevskaya	id=g:1539828
Mys Vostochnyy	id=g:1539829
Proliv Torosnyy	id=g:1539830
Rif Toros	id=g:1539831
Banka Ledokol’naya	id=g:1539832
Proliv Melkiy	id=g:1539833
Proliv Trudnyy	id=g:1539834
Ostrov Kotovskogo	id=g:1539835
Bukhta Neizvestnaya	id=g:1539836
Poluostrov Zabluzhdeniya	id=g:1539837
Bukhta Nadëzhnaya	id=g:1539838
Bukhta Nord	id=g:1539839
Bukhta Yuzhnaya	id=g:1539840
Bukhta Nedzvetskogo	id=g:1539841
Ostrov Zheleznyakova	id=g:1539842
Ostrov Lovtsova	id=g:1539843
Mys Priklyucheniy	id=g:1539844
Bukhta Otkrytaya	id=g:1539845
Bukhta Nezametnaya	id=g:1539846
Bukhta Volch'ya	id=g:1539847
Ostrov Leskinena	id=g:1539848
Ostrov Oleg	id=g:1539849
Bukhta Malaya	id=g:1539850
Proliv Dobrynya Nikitich	id=g:1539851
Bukhta Davydova	id=g:1539852
Proliv Radzeyevskogo	id=g:1539853
Ostrov Lemeshok	id=g:1539854
Ostrov Brandvakhta	id=g:1539855
Proliv Nezametnyy	id=g:1539856
Proliv Tesnyy	id=g:1539857
Bukhta Nadezhdy	id=g:1539858
Bukhta Sedova	id=g:1539859
Mys Kamenistyy	id=g:1539860
Ostrov Volna	id=g:1539861
Proliv Spokoynyy	id=g:1539862
Proliv Pyatidesyatiletiya Diksona	id=g:1539863
Ostrova Dezhnëva	id=g:1539864
Ostrov Unkovskogo	id=g:1539865
Bukhta Pristanishche	id=g:1539866
Ostrova Pakhtusova	id=g:1539867
Ozero Ptich'ye	id=g:1539868
Bukhta Tettermana	id=g:1539869
Mys Zamok	id=g:1539870
Gora Terpeniye	id=g:1539871
Mys Utes	id=g:1539872
Mys Pustoy	id=g:1539873
Mys Tupoy	id=g:1539874
Mys Gusinyy	id=g:1539875
Mys Kayura	id=g:1539876
Mys Guriy	id=g:1539877
Mys Uyut	id=g:1539878
Ozero Svetloye	id=g:1539879
Ostrova Prolivnyye	id=g:1539880
Bukhta Golubaya	id=g:1539881
