Eagle Nest Elementary	id=g:5465920
Finger-Ring Draw	id=g:5467543
Fillmore Canyon Prospect	id=g:5467544
Finley Canyon	id=g:5467545
Finley Well	id=g:5467546
Fir Campground	id=g:5467547
Fir Canyon	id=g:5467548
Finn Well	id=g:5467549
Fire Canyon	id=g:5467550
Fire Canyon	id=g:5467551
Fire Escape Ski Trail	id=g:5467552
Fire Tank	id=g:5467553
Fire Tank	id=g:5467554
Fire Windmill	id=g:5467555
Firebox Canyon	id=g:5467556
Fire Rock Well	id=g:5467557
Fireman Lake	id=g:5467558
Firing Line Road Water Well	id=g:5467559
Firlefantz Ski Trail	id=g:5467560
Firman Canyon	id=g:5467561
Firehouse Water Well	id=g:5467562
First Aero Squadron Airpark	id=g:5467563
First Apache Canyon	id=g:5467564
Firman Spring	id=g:5467565
First Assembly of God Church	id=g:5467566
First Assembly of God Church	id=g:5467567
First Assembly of God Church	id=g:5467568
First Assembly of God Church	id=g:5467569
First Assembly of God Church	id=g:5467570
First Assembly of God Church	id=g:5467571
First Assembly of God Church	id=g:5467572
First Assembly of God Church	id=g:5467573
First Assembly of God Church	id=g:5467574
First Assembly of God Church	id=g:5467575
First Assembly of God Church	id=g:5467576
First Assembly of God Church	id=g:5467577
First Assembly of God Church	id=g:5467578
First Assembly of God Church	id=g:5467579
First Assembly of God Church	id=g:5467580
First Assembly of God Church	id=g:5467581
First Assembly of God Church	id=g:5467582
First Assembly of God Church	id=g:5467583
First Assembly of God Church	id=g:5467584
First Assembly of God Church	id=g:5467585
First Assembly of God Church	id=g:5467586
First Assembly of God Church	id=g:5467587
First Assembly of God Church	id=g:5467588
First Assembly of God Church	id=g:5467589
First Assembly of God Church	id=g:5467590
First Assembly of God Church	id=g:5467591
First Assembly of God Church	id=g:5467592
First Assembly of God Church	id=g:5467593
First Assemmbly of God Church	id=g:5467594
First Asssembly of God Church	id=g:5467595
First Baptist Center School	id=g:5467596
First Baptist Church	id=g:5467597
First Baptist Church	id=g:5467598
First Baptist Church	id=g:5467599
First Baptist Church	id=g:5467600
First Baptist Church	id=g:5467601
First Baptist Church	id=g:5467602
First Baptist Church	id=g:5467603
First Baptist Church	id=g:5467604
First Baptist Church	id=g:5467605
First Baptist Church	id=g:5467606
First Baptist Church	id=g:5467607
First Baptist Church	id=g:5467608
First Baptist Church	id=g:5467609
First Baptist Church	id=g:5467610
First Baptist Church	id=g:5467611
First Baptist Church	id=g:5467612
First Baptist Church	id=g:5467613
First Baptist Church	id=g:5467614
First Baptist Church	id=g:5467615
First Baptist Church	id=g:5467616
First Baptist Church	id=g:5467617
First Baptist Church	id=g:5467618
First Baptist Church	id=g:5467619
First Baptist Church	id=g:5467620
First Baptist Church	id=g:5467621
First Baptist Church	id=g:5467622
First Baptist Church	id=g:5467623
First Baptist Church	id=g:5467624
First Baptist Church	id=g:5467625
First Baptist Church	id=g:5467626
First Baptist Church	id=g:5467627
First Baptist Church	id=g:5467628
First Baptist Church	id=g:5467629
First Baptist Church	id=g:5467630
First Baptist Church	id=g:5467631
First Baptist Church	id=g:5467632
First Baptist Church	id=g:5467633
First Baptist Church	id=g:5467634
First Baptist Church	id=g:5467635
First Baptist Church	id=g:5467636
First Baptist Church	id=g:5467637
First Baptist Church	id=g:5467638
First Baptist Church	id=g:5467639
First Baptist Church	id=g:5467640
First Baptist Church	id=g:5467641
First Baptist Church	id=g:5467642
First Baptist Church	id=g:5467643
First Baptist Church	id=g:5467644
First Baptist Church	id=g:5467645
First Baptist Church	id=g:5467646
First Baptist Church	id=g:5467647
First Baptist Church	id=g:5467648
First Baptist Church	id=g:5467649
First Baptist Church	id=g:5467650
First Baptist Church	id=g:5467651
First Baptist Church	id=g:5467652
First Baptist Church	id=g:5467653
First Baptist Church	id=g:5467654
First Baptist Church	id=g:5467655
First Baptist Church	id=g:5467656
First Baptist Church	id=g:5467657
First Baptist Church	id=g:5467658
First Baptist Church	id=g:5467659
First Baptist Church	id=g:5467660
First Baptist Church	id=g:5467661
First Baptist Church	id=g:5467662
First Baptist Church	id=g:5467663
First Baptist Church	id=g:5467664
First Baptist Church	id=g:5467665
First Baptist Church	id=g:5467666
First Baptist Church Fellowship Center	id=g:5467667
First Baptist Church of Alameda	id=g:5467668
First Baptist Church of Los Lunas	id=g:5467669
First Baptist Church of Moriarty	id=g:5467670
First Baptist Church of Rio Rancho	id=g:5467671
First Baptist Church of Tijeras	id=g:5467672
First Baptist Mission	id=g:5467673
First Brethren Church	id=g:5467674
First Christian Church	id=g:5467675
First Christian Church	id=g:5467676
First Christian Church	id=g:5467677
First Christian Church	id=g:5467678
First Christian Church	id=g:5467679
First Christian Church	id=g:5467680
First Christian Church	id=g:5467681
First Christian Church	id=g:5467682
First Christian Church	id=g:5467683
First Christian Church	id=g:5467684
First Church of Christ Scientist	id=g:5467685
First Church of Christ Scientist	id=g:5467686
First Church of Christ Scientist	id=g:5467687
First Church of Christ Scientist	id=g:5467688
First Church of Christ Scientist	id=g:5467689
First Church of Christ Scientist	id=g:5467690
First Church of God	id=g:5467691
First Church of God	id=g:5467692
First Church of God in Christ	id=g:5467693
First Church of Religious Science	id=g:5467694
First Church of the Nazarene	id=g:5467695
First Church of the Nazarene	id=g:5467696
First Church of the Nazarene	id=g:5467697
First Church of the Nazarene	id=g:5467698
First Church of the Nazarene	id=g:5467699
First Church of the Nazarene	id=g:5467700
First Church of the Nazarene	id=g:5467701
First Congregational Church	id=g:5467702
First Congregational Church	id=g:5467703
First Congregational Science Church	id=g:5467704
First Evangelical Free Church	id=g:5467705
First Family Church	id=g:5467706
First Free Will Baptist Church	id=g:5467707
First Free Will Baptist Church	id=g:5467708
First Gray Wash	id=g:5467709
First Apache Canyon Well	id=g:5467710
First Indian Church of the Nazarene	id=g:5467711
First Methodist Church	id=g:5467712
First Methodist Church	id=g:5467713
First Methodist Church South	id=g:5467714
First Methodist Episcopal Church	id=g:5467715
First Methodist Episcopal Church	id=g:5467716
First Methodist Episcopal Church South	id=g:5467717
First Missionary Baptist Church	id=g:5467718
First National Bank Building Historic Site	id=g:5467719
First Plaza	id=g:5467720
First Presbyterian Church	id=g:5467721
First Presbyterian Church	id=g:5467722
First Presbyterian Church	id=g:5467723
First Presbyterian Church	id=g:5467724
First Presbyterian Church	id=g:5467725
First Presbyterian Church	id=g:5467726
First Presbyterian Church	id=g:5467727
First Presbyterian Church	id=g:5467728
First Presbyterian Church	id=g:5467729
First Presbyterian Church	id=g:5467730
First Presbyterian Church	id=g:5467731
First Presbyterian Church	id=g:5467732
First Southern Baptist Church	id=g:5467733
First Spanish Baptist Church	id=g:5467734
First Spanish Baptist Church	id=g:5467735
First Spanish Baptist Church	id=g:5467736
First Spanish Baptist Church	id=g:5467737
First Tank	id=g:5467738
First Traks Ski Trail	id=g:5467739
First United Free Will Baptist Church	id=g:5467740
First United Mehtodist Church	id=g:5467741
First United Methodist Church	id=g:5467742
First United Methodist Church	id=g:5467743
First United Methodist Church	id=g:5467744
First United Methodist Church	id=g:5467745
First United Methodist Church	id=g:5467746
First United Methodist Church	id=g:5467747
First United Methodist Church	id=g:5467748
First United Methodist Church	id=g:5467749
First United Methodist Church	id=g:5467750
First United Methodist Church	id=g:5467751
First United Methodist Church	id=g:5467752
First United Methodist Church	id=g:5467753
First United Methodist Church	id=g:5467754
First United Methodist Church	id=g:5467755
First United Methodist Church	id=g:5467756
First United Pentecostal Church	id=g:5467757
First United Pentecostal Church	id=g:5467758
First Uniterian Church	id=g:5467759
First Valley	id=g:5467760
First Indian Baptist Church	id=g:5467761
First Well	id=g:5467762
First West Well	id=g:5467763
First Windmill	id=g:5467764
Fischer Spring	id=g:5467765
Fish Camp	id=g:5467766
Fish Creek	id=g:5467767
First Water Spring	id=g:5467768
Fish Pond Tank	id=g:5467769
Fish Pond Tank	id=g:5467770
Fish Pond Windmill	id=g:5467771
Fish Ranch	id=g:5467772
Fish Spring	id=g:5467773
Fish Tank	id=g:5467774
Fish Tank	id=g:5467775
Fish Well	id=g:5467776
Fishback Dam	id=g:5467777
Fishback Tank	id=g:5467778
Fisher Canyon	id=g:5467779
Fish Pond	id=g:5467780
Fisher Creek	id=g:5467781
Fisher Hill	id=g:5467782
Fisher Ranch	id=g:5467783
Fisher Tank	id=g:5467784
Fisher Tanks	id=g:5467785
Fisher Well	id=g:5467786
Fisher Windmill	id=g:5467787
Fisherman Canyon	id=g:5467788
Fishing Hole Picnic Area	id=g:5467789
Fishpond Tank	id=g:5467790
Fita Windmill	id=g:5467791
Fitch Building Historic Site	id=g:5467792
Fitch Hall	id=g:5467793
Fite Canyon	id=g:5467794
Fisher Park	id=g:5467795
Fite Ranch	id=g:5467796
Fite Spring	id=g:5467797
Fite Tank	id=g:5467798
Fite Tank Water Well	id=g:5467799
Fitzgerald Cienega	id=g:5467800
Fitzgerald Ranch	id=g:5467801
Fitzner Ranch	id=g:5467802
Fitzpatricks	id=g:5467803
Fitzpatricks Well	id=g:5467804
Five Canyon	id=g:5467805
Fite Mine	id=g:5467806
Five Dollar Canyon	id=g:5467807
Five Canyon Lookout	id=g:5467808
Five Dollar Creek	id=g:5467809
Five Lakes Canyon	id=g:5467810
Five Mile Windmill	id=g:5467811
Five Points Community Church	id=g:5467812
Five Points School	id=g:5467813
Five Points Shopping Center	id=g:5467814
Five Spring	id=g:5467815
Five Springs	id=g:5467816
Five Springs Canyon	id=g:5467817
Five Points	id=g:5467818
Five Tank	id=g:5467819
Five Tanks Water Well	id=g:5467820
Five Troughs Well	id=g:5467821
Fivemile Creek	id=g:5467822
Five Springs Tank	id=g:5467823
Fivemile Draw	id=g:5467824
Fivemile Crossing	id=g:5467825
Fivemile Tank	id=g:5467826
Fivemile Well	id=g:5467827
Flack Well	id=g:5467828
Flag Athletic Field	id=g:5467829
Flag Lake	id=g:5467830
Flag Mountain	id=g:5467831
Flag Ranch Well	id=g:5467832
Flag Ski Trail	id=g:5467833
Flag Spring	id=g:5467834
Flagpole Mountain	id=g:5467835
Flagstone Mountain	id=g:5467836
Flanders Number 1 Detention Dam	id=g:5467837
Flanigan Cienega	id=g:5467838
Flanigan Spring	id=g:5467839
Flare Hill	id=g:5467840
Flat Canyon	id=g:5467841
Fivemile Ranch	id=g:5467842
Flat Lake	id=g:5467843
Flat Lake	id=g:5467844
Flat Lake	id=g:5467845
Flat Lake Ranch	id=g:5467846
Flat Lake Ranch	id=g:5467847
Flat Mesa	id=g:5467848
Flat Reservoir	id=g:5467849
Flat Ridge	id=g:5467850
Flat Rock Spring	id=g:5467851
Flat Tank	id=g:5467852
Flat Tank	id=g:5467853
Flat Tank	id=g:5467854
Flat Tank	id=g:5467855
Flat Tank	id=g:5467856
Flat Tank	id=g:5467857
Flat Tank	id=g:5467858
Flat Tank	id=g:5467859
Flat Tank	id=g:5467860
Flat Tank	id=g:5467861
Flat Tank	id=g:5467862
Flat Tank	id=g:5467863
Flat Tank Canyon	id=g:5467864
Flat Hill	id=g:5467865
Flat Top	id=g:5467866
Flat Top Hill	id=g:5467867
Flat Top Mesa	id=g:5467868
Flat Top Mine	id=g:5467869
Flat Top Rock	id=g:5467870
Flat Well	id=g:5467871
Flat Well	id=g:5467872
Flathead Canyon	id=g:5467873
Flatiron	id=g:5467874
Flatiron Canyon	id=g:5467875
Flat Top	id=g:5467876
Flatley Ranch	id=g:5467877
Flats Tank	id=g:5467878
Flattop Mesa	id=g:5467879
Flavjo Spring	id=g:5467880
Flay Tank	id=g:5467881
Flea Doris Extension	id=g:5467882
Flea Mine	id=g:5467883
Flechado Canyon	id=g:5467884
Flatiron Mesa	id=g:5467885
Flechado Trick Tank	id=g:5467886
Fleck Draw	id=g:5467887
Flechado Recreation Site	id=g:5467888
Fleming Canyon	id=g:5467889
Fleck Ranch	id=g:5467890
Fleming Canyon Tank	id=g:5467891
Fleming Draw	id=g:5467892
Fleming Canyon Prospects	id=g:5467893
Fleming Ranch	id=g:5467894
Fleming Tank	id=g:5467895
Fleming Well	id=g:5467896
Fleming Windmill	id=g:5467897
Fletcher Windmill	id=g:5467898
Flint	id=g:5467899
Flint Hills	id=g:5467900
Flint Peak	id=g:5467901
Flo Canyon	id=g:5467902
Flood Homestead	id=g:5467903
Flood Tank	id=g:5467904
Flora Vista	id=g:5467905
Flora Vista Arroyo	id=g:5467906
Fleming Hall	id=g:5467907
Flora Vista Post Office (historical)	id=g:5467908
Flora Vista School	id=g:5467909
Flora Vista Tank	id=g:5467910
Cerro Flora	id=g:5467911
Laguna Flora	id=g:5467912
Flordillo Canyon	id=g:5467913
Flora Vista Cemetery	id=g:5467914
Florence Lode	id=g:5467915
Florence Mine	id=g:5467916
Florentino Tank	id=g:5467917
Cañon Florentino	id=g:5467918
Florence Hawley Ellis Museum of Anthropology	id=g:5467919
Flores Canyon	id=g:5467920
Flores Canyon	id=g:5467921
Flores Tank	id=g:5467922
Florida	id=g:5467923
Florida Gap	id=g:5467924
Florida Lateral	id=g:5467925
Florida Mine	id=g:5467926
Florida Mountains	id=g:5467927
Florida Mountains Wilderness Study Area	id=g:5467928
Florida Peak	id=g:5467929
Florida Post Office (historical)	id=g:5467930
Florida Post Office (historical)	id=g:5467931
Florida Pumping Station	id=g:5467932
Florida Vista School	id=g:5467933
Florida Weather Station	id=g:5467934
Floride Prospect	id=g:5467935
Flotation Plant	id=g:5467936
Flour Butte	id=g:5467937
Flouride Prospect	id=g:5467938
Flourine	id=g:5467939
Flourite Group Mine	id=g:5467940
Flourite Pits	id=g:5467941
Flower Canyon	id=g:5467942
Florida	id=g:5467943
Flowers Ranch	id=g:5467944
Flowers Well	id=g:5467945
Flowing Water Well	id=g:5467946
Flowing Water Well	id=g:5467947
Flowing Well	id=g:5467948
Flowing Well	id=g:5467949
Floyd	id=g:5467950
Floyd Baptist Church	id=g:5467951
Floyd Cemetery	id=g:5467952
Floyd Collins Mine	id=g:5467953
Floyd Crockett Ranch (historical)	id=g:5467954
Floyd Elementary School	id=g:5467955
Floyd High School	id=g:5467956
Floyd Lake	id=g:5467957
Floyd Lee Tank	id=g:5467958
Floyd Post Office	id=g:5467959
Floyd Weather Station	id=g:5467960
Floyd Well	id=g:5467961
Floyd Windmill	id=g:5467962
Fluhman	id=g:5467963
Fluhman	id=g:5467964
Fluhman Well	id=g:5467965
Flume Canyon	id=g:5467966
Flume Canyon	id=g:5467967
Flower Mountain	id=g:5467968
Flume Canyon	id=g:5467969
Flume Canyon	id=g:5467970
Flume Ridge	id=g:5467971
Fluorite Ridge	id=g:5467972
Flux Mine (historical)	id=g:5467973
Flying C Ranch	id=g:5467974
Flying Cloud Ranch	id=g:5467975
Flying Eagle Canyon	id=g:5467976
Flume Tank	id=g:5467977
Flying H	id=g:5467978
Flying H Post Office (historical)	id=g:5467979
Flying H Ranch Airport	id=g:5467980
Flying H Ranch Weather Station	id=g:5467981
Flying M Ranch	id=g:5467982
Flying M South Oil Field	id=g:5467983
Flying T Spring	id=g:5467984
Flying V 1A Water Well	id=g:5467985
Flying V 1B Water Well	id=g:5467986
Flying V 2 Water Well	id=g:5467987
Flying V Canyon	id=g:5467988
Flying Eagle Tank	id=g:5467989
Flying V Draw	id=g:5467990
Flying V Number 1 Windmill	id=g:5467991
Flying V Spring	id=g:5467992
Flying W Mountain	id=g:5467993
Flying W Ranch	id=g:5467994
Flying X 2 Water Well	id=g:5467995
Flying X Ranch	id=g:5467996
Flying X Water Well	id=g:5467997
Flying Y Ranch	id=g:5467998
Flynn-Welch-Yates Number Three Oil Well Historic Site	id=g:5467999
Fogarty Canyon	id=g:5468000
Flying V Number 2 Windmill	id=g:5468001
Fogelson Library Forum/Computer Center	id=g:5468002
Fogelson Library Southwest Annex/Art Gallery	id=g:5468003
Fogon Windmill	id=g:5468004
Folsby Water Well	id=g:5468005
Folsom	id=g:5468006
Folsom Archaeological Site Historical Marker	id=g:5468007
Folsom Area	id=g:5468008
Folsom Cemetery	id=g:5468009
Folsom Coal Loading Chute	id=g:5468010
Folsom Falls	id=g:5468011
Folsom Hotel	id=g:5468012
Folsom Museum	id=g:5468013
Folsom Museum Historic Site	id=g:5468014
Folsom Post Office	id=g:5468015
Folsom Railroad Tank Bed	id=g:5468016
Folsom State Monument	id=g:5468017
Fools Gold Draw	id=g:5468018
Fogelson Library	id=g:5468019
Footbridges Park	id=g:5468020
Foothill Congregation Church	id=g:5468021
Foothill Tank	id=g:5468022
Foothill Tank	id=g:5468023
Foothills Fellowship Church	id=g:5468024
Foothills Shopping Center	id=g:5468025
Foothold Historic Site	id=g:5468026
Foraker Well	id=g:5468027
Forbes Canyon	id=g:5468028
Footbath Spring	id=g:5468029
Forced Issue Mine	id=g:5468030
Ford Butte	id=g:5468031
Ford Hall	id=g:5468032
Ford Prospects	id=g:5468033
Ford Ranch	id=g:5468034
Ford Tank	id=g:5468035
Ford Utilities Center Building	id=g:5468036
Ford Windmill	id=g:5468037
Forehand Ranch	id=g:5468038
Forehand West Well	id=g:5468039
Foreman Creek	id=g:5468040
Forbes Spring	id=g:5468041
Forest Boundary Corral	id=g:5468042
Forest Boundary Corral	id=g:5468043
Forest Heights Church	id=g:5468044
Forest Hill Cemetery	id=g:5468045
Forest Lawn Cemetery	id=g:5468046
Forest Meadow Baptist Church	id=g:5468047
Forest Park	id=g:5468048
Forest Park	id=g:5468049
Forest Ranch	id=g:5468050
Forest Road	id=g:5468051
Forest Service Warehouse	id=g:5468052
Forest Tank	id=g:5468053
Forest Tank	id=g:5468054
Forest Tank	id=g:5468055
Forest Well	id=g:5468056
Forest Well	id=g:5468057
Forest Well	id=g:5468058
Forest Well Tank	id=g:5468059
Forest Windmill	id=g:5468060
Forester	id=g:5468061
Forgotten	id=g:5468062
Fork Rock Mesa	id=g:5468063
Fork Stock Tank	id=g:5468064
Fork Tank	id=g:5468065
Fork Tank	id=g:5468066
Fork Tank	id=g:5468067
Forked Lightning Ranch	id=g:5468068
Forks Recreation Site	id=g:5468069
Forks Tank	id=g:5468070
Forks Tank	id=g:5468071
Forks Windmill	id=g:5468072
Forrest	id=g:5468073
Forrest Baptist Church	id=g:5468074
Forrest Oil Field	id=g:5468075
Forrest Tank	id=g:5468076
Lake Forrest	id=g:5468077
Forrester Elementary School	id=g:5468078
Forseyth Well	id=g:5468079
Forsite Homestead	id=g:5468080
Forsite Well	id=g:5468081
Fort	id=g:5468082
Fort Atarque Ruins	id=g:5468083
Fort Bascom Historical Marker	id=g:5468084
Fort Bayard	id=g:5468085
Fort Bayard (historical)	id=g:5468086
Fort Bayard 1866-1900 Historical Marker	id=g:5468087
Fort Bayard Administration Site	id=g:5468088
Fort Bayard Hospital Springs	id=g:5468089
Fort Bayard Medical Center Library	id=g:5468090
Fort Bayard Military Reservation (historical)	id=g:5468091
Fort Bayard National Cemetery	id=g:5468092
Fort Bayard National Cemetery Historical Marker	id=g:5468093
Fort Bayard Post Office (historical)	id=g:5468094
Fort Bayard Reservoir	id=g:5468095
Fort Bayard State Hospital	id=g:5468096
Fort Bayard State Medical Center	id=g:5468097
Fort Bayard Weather Station	id=g:5468098
Fort Craig (historical)	id=g:5468099
Fort Craig Cemetery	id=g:5468100
Fort Craig Historical Marker	id=g:5468101
Fort Craig Post Office (historical)	id=g:5468102
Fort Craig Rest Area Historical Marker	id=g:5468103
Fort Cummings (historical)	id=g:5468104
Fort Cummings 1836-1886 Historical Marker	id=g:5468105
Fort Cummings Cemetery	id=g:5468106
Fort Cummings Draw	id=g:5468107
Foreman Well	id=g:5468108
Fort Defiance Historical Marker	id=g:5468109
Fort Filmore Historic Site	id=g:5468110
Fort Los Lunas (historical)	id=g:5468111
Fort Lowell Historical Marker	id=g:5468112
Fort Marcy (historical)	id=g:5468113
Fort Marcy Officers Residence Historic Site	id=g:5468114
Fort Marcy Park	id=g:5468115
Fort Marcy Ruins Historic Site	id=g:5468116
Fort McRae (historical)	id=g:5468117
Fort Miguel Ruins Spring	id=g:5468118
Fort Ragel Water Well	id=g:5468119
Fort Ranch	id=g:5468120
Fort Ranch	id=g:5468121
Fort Selden	id=g:5468122
Fort Selden (historical)	id=g:5468123
Fort Selden Post Office (historical)	id=g:5468124
Fort Selden State Monument	id=g:5468125
Fort Selden State Monument Historical Marker	id=g:5468126
Fort Stanton	id=g:5468127
Fort Stanton	id=g:5468128
Fort Stanton Historical Marker	id=g:5468129
Fort Stanton Mesa	id=g:5468130
Fort Stanton Post Office	id=g:5468131
Fort Stanton Weather Station	id=g:5468132
Fort Sumner	id=g:5468133
Fort Sumner Cemetery	id=g:5468134
Fort Sumner Church of Christ	id=g:5468135
Fort Sumner Diversion Dam	id=g:5468136
Fort Sumner Elementary School	id=g:5468137
Fort Sumner High School	id=g:5468138
Fort Sumner Historical Marker	id=g:5468139
Fort Sumner Lake Weather Station	id=g:5468140
Fort Sumner Main Canal	id=g:5468141
Fort Sumner Middle School	id=g:5468142
Fort Sumner Municipal Airport	id=g:5468143
Fort Sumner Pit	id=g:5468144
Fort Sumner Post Office	id=g:5468145
Fort Sumner Public Library	id=g:5468146
Fort Sumner State Monument	id=g:5468147
Fort Sumner State Monument	id=g:5468148
Fort Sumner State Monument Historical Marker	id=g:5468149
Fort Sumner Valley	id=g:5468150
Fort Cummings Post Office (historical)	id=g:5468151
Fort Tularosa (historical)	id=g:5468152
Fort Union (historical)	id=g:5468153
Fort Union Cemetery	id=g:5468154
Fort Union Corral	id=g:5468155
Fort Union National Monument	id=g:5468156
Fort Union National Monument Historical Marker	id=g:5468157
Fort Union Post Office (historical)	id=g:5468158
Fort Union Ranch	id=g:5468159
Fort Union Road	id=g:5468160
Fort Water Well	id=g:5468161
Fort Wayne Mine	id=g:5468162
Fort West (historical)	id=g:5468163
Fort West Ditch	id=g:5468164
Fort West Hill	id=g:5468165
Fort Wingate	id=g:5468166
Fort Wingate 68 Water Well	id=g:5468167
Fort Wingate Army Depot Well	id=g:5468168
Fort Wingate Historic District	id=g:5468169
Fort Wingate Historic Site	id=g:5468170
Fort Wingate Historical Marker	id=g:5468171
Fort Wingate Post Office	id=g:5468172
Fort Wingate Spring	id=g:5468173
Fort Wingate Weather Station	id=g:5468174
Fort Wingate Workcenter	id=g:5468175
Fortune Property Historic Site	id=g:5468176
Forty Acre Well	id=g:5468177
Forty Acre Well	id=g:5468178
Forty Niner Ridge	id=g:5468179
Forty-Niner Ridge	id=g:5468180
Forty-One Claim	id=g:5468181
Forty-One and Riverside Mine	id=g:5468182
Fortyfour Store	id=g:5468183
Fossil Tank	id=g:5468184
Foster Canyon	id=g:5468185
Fort Sumner Weather Station	id=g:5468186
Foster Canyon	id=g:5468187
Foster Canyon	id=g:5468188
Foster Canyon Group	id=g:5468189
Foster Draw	id=g:5468190
Foster Draw	id=g:5468191
Foster Draw	id=g:5468192
Foster Hall Historic Site	id=g:5468193
Foster Lake	id=g:5468194
Foster Murphy Ski Trail	id=g:5468195
Foster Park	id=g:5468196
Foster Park Canyon	id=g:5468197
Foster Hotel Historic Site	id=g:5468198
Foster Ranch	id=g:5468199
Foster Ranch Headquarters	id=g:5468200
Foster Ranch Tanks	id=g:5468201
Foster Spring	id=g:5468202
Foster Tank	id=g:5468203
Foster Tank	id=g:5468204
Foster Tank	id=g:5468205
Foster Tank	id=g:5468206
Foster Water Storage Tank	id=g:5468207
Foster Water Storage Tank	id=g:5468208
Foster Well	id=g:5468209
Foster Well	id=g:5468210
Foundation Spring	id=g:5468211
Fountain of Life Apostolic Church	id=g:5468212
Four Bac Windmill	id=g:5468213
Four Corners Cow Camp	id=g:5468214
Four Corners Monument	id=g:5468215
Four Corners Pen	id=g:5468216
Four Corners Powerplant	id=g:5468217
Four Corners Regional Airport	id=g:5468218
Four Corners Water Well	id=g:5468219
Four Corners Windmill	id=g:5468220
Four Forks	id=g:5468221
Four H Camp	id=g:5468222
Four Hills Pumping Station	id=g:5468223
Four Hills Ranch	id=g:5468224
Four Hills Village Shopping Center	id=g:5468225
Four Hundred and Seventy	id=g:5468226
Four K Ranch	id=g:5468227
Four L Bar Ranch	id=g:5468228
Four Lakes Area	id=g:5468229
Four Lakes Ranch	id=g:5468230
Four Mile Reservoir	id=g:5468231
Four Point Well	id=g:5468232
Four Points	id=g:5468233
Four Ranch	id=g:5468234
Four Section Well	id=g:5468235
Four Section Well	id=g:5468236
Four Tank	id=g:5468237
Four Tank	id=g:5468238
Four Troughs Spring	id=g:5468239
Four V Canyon	id=g:5468240
Foster Ranch	id=g:5468241
Four Wells	id=g:5468242
Fourmile Canyon	id=g:5468243
Four V Ranch	id=g:5468244
Fourmile Canyon	id=g:5468245
Fourmile Canyon	id=g:5468246
Fourmile Draw	id=g:5468247
Fourmile Draw	id=g:5468248
Fourmile Draw	id=g:5468249
Fourmile Draw	id=g:5468250
Fourmile Hill	id=g:5468251
Fourmile Reservoir	id=g:5468252
Fourmile Tank	id=g:5468253
Fourmile Wash	id=g:5468254
Fourmile Mesa	id=g:5468255
Fourteen Vega	id=g:5468256
Fourth of July Campground	id=g:5468257
Fourth of July Canyon	id=g:5468258
Fourmile Wells	id=g:5468259
Foust-Hilburn Ranch	id=g:5468260
Foutz Number 1 Mine	id=g:5468261
Foutz Number 2	id=g:5468262
Foutz Number Three Mine	id=g:5468263
Fowl Canyon	id=g:5468264
Fourth of July Spring	id=g:5468265
Fowler Canyon	id=g:5468266
Fowler Canyon	id=g:5468267
Fowler Mesa	id=g:5468268
Fowler Spring	id=g:5468269
Fowler Well	id=g:5468270
Fox Canyon	id=g:5468271
Fowler Pass	id=g:5468272
Fox Canyon	id=g:5468273
Fox Cave	id=g:5468274
Fox Memorial Park	id=g:5468275
Fox Mountain	id=g:5468276
Fox Mountain Lookout	id=g:5468277
Fox Ranch	id=g:5468278
Fox Spring	id=g:5468279
Fox Spring	id=g:5468280
Fox Spring Canyon	id=g:5468281
Fox Corral	id=g:5468282
Fox Tank	id=g:5468283
Fox Tank	id=g:5468284
Fox Tank	id=g:5468285
Fox Well	id=g:5468286
Fox Well	id=g:5468287
Fox Windmill	id=g:5468288
Fox and Fur Lodge	id=g:5468289
Foxtail Creek	id=g:5468290
Fox Tank	id=g:5468291
Foxtail Spring	id=g:5468292
Foxy Grandpa Tank	id=g:5468293
Fra Cristobal Mountain	id=g:5468294
Fra Cristobal Range	id=g:5468295
Fraction Mine	id=g:5468296
Fragoso Canyon	id=g:5468297
Foxtail Flats	id=g:5468298
La Fragua Canyon	id=g:5468299
Fragoso Ridge	id=g:5468300
Frances Creek	id=g:5468301
Frampton Well	id=g:5468302
Laguna de Frances	id=g:5468303
Franchise Group Mine	id=g:5468304
Francis	id=g:5468305
Francis Canyon Historic Site	id=g:5468306
Francis Family School	id=g:5468307
Francis Kay	id=g:5468308
Francis Kay Mine	id=g:5468309
Francis McGray Gallery	id=g:5468310
Francis X Nava Elementary School	id=g:5468311
Francisca Hinojos House Historic Site	id=g:5468312
Franciscan Lake	id=g:5468313
Franciscan Provincial House	id=g:5468314
Franciscan Water Well	id=g:5468315
Franciscan Windmill	id=g:5468316
Francisco Cordova Homestead (historical)	id=g:5468317
Francisco Montes Vigil	id=g:5468318
Francisco Rascon Place	id=g:5468319
Francisco Tank	id=g:5468320
Francisco Well	id=g:5468321
Frank Creek	id=g:5468322
Frances Mesa	id=g:5468323
Frank Jones Ranch	id=g:5468324
Frank Number 2-Luis Lopez District	id=g:5468325
Frank Padilla Tank	id=g:5468326
Frank Paisano Spring	id=g:5468327
Frank S Ortiz Park	id=g:5468328
Frank Spring	id=g:5468329
Frank Tank	id=g:5468330
Frank Tank	id=g:5468331
Frank Tank	id=g:5468332
Frank Tapia Tank	id=g:5468333
Frank Well	id=g:5468334
Frank Well	id=g:5468335
Frank Well	id=g:5468336
Frank Windmill	id=g:5468337
Frankfort	id=g:5468338
Frankie Tank	id=g:5468339
