Insarro	id=g:334138
Hama Shet’	id=g:335173
Hamarro Moan	id=g:335176
Hamarko Terara	id=g:335178
Hamarēsa YeT’or Sefer	id=g:335179
Hamarēsa Shet’	id=g:335180
Hamarēsa	id=g:335181
Hamarēsa	id=g:335182
Hamarēsa	id=g:335183
Hamanle	id=g:335184
Hamairli	id=g:335185
Qal‘at Hamadi	id=g:335186
Hama	id=g:335187
Hama	id=g:335188
Halutē	id=g:335189
Halu Bota	id=g:335190
Hālu	id=g:335191
Halo Tuma	id=g:335192
Halo Hula Yesuf	id=g:335195
Halo Hena	id=g:335196
Hālo Goba	id=g:335197
Halo Dula	id=g:335198
Halo Dērtu Bota	id=g:335199
Halo A-Wal Dai	id=g:335200
Hālo	id=g:335201
Hālo	id=g:335202
Halo	id=g:335203
Halo	id=g:335204
Hallu	id=g:335205
Halloua	id=g:335206
Hallo Roba	id=g:335207
Halli	id=g:335208
Hallal Sahr Semir	id=g:335209
Hālk’o	id=g:335210
Hali Sabalette	id=g:335211
Halisa	id=g:335212
Halīlu Mīka’ēl Bēte Kristīyan	id=g:335213
Hālīla Maryam Bēte Kristīyan	id=g:335214
Hālīla	id=g:335215
Balli Halielo	id=g:335216
Halicho Shet’	id=g:335217
Haliaga	id=g:335220
Halhal	id=g:335225
Hālēlī	id=g:335228
Halela Aluia	id=g:335229
Hālē Debī’ī	id=g:335230
Halē	id=g:335231
Halchiso	id=g:335232
Hālbor Shet’	id=g:335233
Halaua	id=g:335236
Halano	id=g:335237
Halanchī Shet’	id=g:335238
Bur Halalo	id=g:335239
Halaite	id=g:335242
Halai	id=g:335243
Halaha	id=g:335245
Hala	id=g:335248
Hak’ulī	id=g:335249
Hak’o Shet’	id=g:335250
Hak’o	id=g:335251
Hakīm Terara	id=g:335252
Hakīm	id=g:335253
Haji Saleh	id=g:335254
Warta Haji Nur	id=g:335255
Hājī K’omcha	id=g:335256
Hajī Husēn Mesgīd	id=g:335257
Hājī	id=g:335258
Hajī	id=g:335259
Haiyo	id=g:335260
Haiti	id=g:335261
Haini	id=g:335262
Hailu	id=g:335263
Haia Olel	id=g:335264
Hahi	id=g:335265
Hahi	id=g:335266
Laga Hahaiyo	id=g:335267
Hagwa Mīka’ēl Bēte Kristīyan	id=g:335268
Hagula	id=g:335269
Hagu	id=g:335270
Hago Shet’	id=g:335271
Hagion	id=g:335272
Haggiret	id=g:335273
Haggari	id=g:335275
Hāgeya	id=g:335279
Hagerit	id=g:335280
Hāger Hise	id=g:335281
Hāgere Selam Medhanē ‘Alem Bēte Kristīyan	id=g:335282
Hāgere Selam Bota	id=g:335283
Hāgere Selam	id=g:335284
Hāgere Selam	id=g:335285
Hāgere Selam	id=g:335286
Hāgere Maryam Bēte Kristīyan	id=g:335287
Hāgere Hiywet	id=g:335288
Hagelo	id=g:335289
Hagat	id=g:335290
Hagal	id=g:335292
Hāftī Maryam Bēte Kristīyan	id=g:335294
Hāftī Maryam	id=g:335295
Hāfelē Hāyk’	id=g:335297
Hafa	id=g:335298
Hado Shet’	id=g:335300
Hado Shet’	id=g:335301
Hado Shet’	id=g:335302
Hadoje	id=g:335303
Hado Īna Shet’	id=g:335304
Hado	id=g:335305
Hadī Shet’	id=g:335306
Hadīsh Ādī	id=g:335307
Hadīsh Ādī	id=g:335308
Hadīra	id=g:335311
Hadido	id=g:335312
Hadid	id=g:335313
Hadgī	id=g:335314
Hadewa Shet’	id=g:335315
Hadew	id=g:335316
Hadew	id=g:335317
Hadele Terara	id=g:335318
Hadele Silasē Bēte Kristīyan	id=g:335319
Hadele	id=g:335320
Hadejewē Ch’efē	id=g:335321
Hādej	id=g:335322
Hade Debela Shet’	id=g:335323
Hadecho	id=g:335324
Hadd Ali	id=g:335327
Hadd	id=g:335328
Hadamu Shet’	id=g:335329
Hadamī	id=g:335331
Hadaluma	id=g:335332
Hada Kumbi	id=g:335333
Hada Efati	id=g:335334
Hada	id=g:335335
Hāch’o	id=g:335336
Hachech	id=g:335338
Habun	id=g:335340
Habulī Shet’	id=g:335341
Habru	id=g:335342
Habrona Terara	id=g:335343
Habro Āwraja	id=g:335344
Habro	id=g:335345
Hābrad Shet’	id=g:335348
Haboshē	id=g:335349
Hāblela	id=g:335350
Habela Shet’	id=g:335351
Habela Shet’	id=g:335352
Hābē	id=g:335354
Habat	id=g:335356
Gwīla Shet’	id=g:335357
Gwīla Shet’	id=g:335358
Gwayn Defer	id=g:335359
Gwat’	id=g:335360
Gwasa Terara	id=g:335361
Gwanyoch	id=g:335362
Gwangwa	id=g:335363
Gwangwa	id=g:335364
Gwalīya Maryam Bēte Kristīyan	id=g:335365
Gwal Hats’ey YeTerara Senselet	id=g:335366
Gwal	id=g:335367
Gwak’ Maryam Bēte Kristīyan	id=g:335368
Gwahiro Shet’	id=g:335369
Gwagwat	id=g:335370
Gwagwa Shet’	id=g:335371
Gwagwa Mīka’ēl Bēte Kristīyan	id=g:335372
Gwada	id=g:335373
Guzar	id=g:335374
Guyo	id=g:335375
Guyida Bota	id=g:335376
Guyī	id=g:335377
Guyī	id=g:335378
Guyē Be‘ale Weld Bēte Kristīyan	id=g:335379
Guyē	id=g:335380
Guyda Bota	id=g:335381
Guyah Mēda	id=g:335382
Guyah Mēda	id=g:335383
Guwa	id=g:335384
Gutuyu	id=g:335385
Gutu Ābo Bēte Kristīyan	id=g:335386
Gutu	id=g:335387
Guttu	id=g:335388
Gutr	id=g:335389
Guto Maryam Bēte Kristīyan	id=g:335390
Gut’o	id=g:335391
Guto	id=g:335392
Guto	id=g:335393
Guto	id=g:335394
Guto	id=g:335395
Guto	id=g:335396
Gut’mēra	id=g:335397
Gutich	id=g:335398
Gutey	id=g:335399
Gutē Timhirt Bēt	id=g:335400
Gutē Tekle Haymanot Bēte Kristīyan	id=g:335401
Gutē Shemela	id=g:335402
Guten	id=g:335403
Gutē Līkasa	id=g:335404
Gutē	id=g:335405
Gutē	id=g:335406
Gutē	id=g:335407
Gutē	id=g:335408
Gutē	id=g:335409
Gutazer Shet’	id=g:335410
Gutazer	id=g:335411
Gusk’ot Shet’	id=g:335413
Gushīs YeTerara Ch’af	id=g:335414
Gusha Shet’	id=g:335416
Gusema Āmba	id=g:335417
Gusciung	id=g:335418
Gusa	id=g:335420
Gus	id=g:335421
Gurura	id=g:335423
Gur Uiileh	id=g:335424
Gurueragu	id=g:335425
Gursum Timhirt Bēt	id=g:335426
Gursum Āwraja	id=g:335427
Gursum	id=g:335428
Gur Shet’	id=g:335429
Gurraitu	id=g:335430
Guroza Terara	id=g:335431
Guro Gutu Gīyorgīs Bēte Kristīyan	id=g:335432
Guroch	id=g:335433
Guro	id=g:335434
Guro	id=g:335435
Gurmu Āger	id=g:335436
Gurminy	id=g:335437
Gurmaylē	id=g:335438
Gurj Ābo Bēte Kristīyan	id=g:335441
Gurj	id=g:335442
Gurīso Shet’	id=g:335444
Gurisba Micaeli	id=g:335445
Guril	id=g:335446
Guri Addo	id=g:335447
Gurī	id=g:335448
Gurguri	id=g:335450
Gurgur Hāyk’	id=g:335451
Gurgura	id=g:335452
Gurgura	id=g:335453
Gurgur	id=g:335454
Gurgiaggia	id=g:335456
Gurēza Shet’	id=g:335457
Gara Goreis	id=g:335458
Gurē Shet’	id=g:335459
Gurēsa Terara	id=g:335460
Gurēs	id=g:335461
Gurenē	id=g:335462
Gurenē	id=g:335463
Gurejo Shet’	id=g:335464
Gurei	id=g:335465
Gureholad	id=g:335466
Gurē Gebre Menfes K’idus Bēte Kristīyan	id=g:335467
Gurē	id=g:335468
Gurē	id=g:335469
Gure	id=g:335470
Gurbo Tereter	id=g:335472
Gurbo	id=g:335473
Gurbo	id=g:335474
Gurbīya	id=g:335475
Gurbī Terara	id=g:335476
Gurbī Sugī	id=g:335477
Gurbetē	id=g:335478
Gurbayē Bota	id=g:335479
Gura Weshī	id=g:335480
Gura Terara	id=g:335481
Gur’a Shet’	id=g:335482
Gura Shet’	id=g:335483
Gura Shet’	id=g:335484
Gura Shet’	id=g:335485
Gurase	id=g:335486
Gurarsa	id=g:335487
Gurare	id=g:335488
Guranda Gīyorgīs Bēte Kristīyan	id=g:335489
Guranda	id=g:335490
Guranda	id=g:335491
Gurambla	id=g:335492
Gur Āmba	id=g:335493
Gur Āmba	id=g:335494
Gur Āmba	id=g:335495
Gur Āmba	id=g:335496
Guraleh	id=g:335497
Gurale	id=g:335498
Gura Jatē	id=g:335499
Guragē	id=g:335502
Guragē	id=g:335503
Guraferda YeTerara Senselet	id=g:335504
Guraferda	id=g:335505
Guracia	id=g:335506
Gurachu	id=g:335507
Guracho Wena	id=g:335508
Guracha Shet’	id=g:335509
Guracha Shet’	id=g:335510
Guracha Shet’	id=g:335511
Guracha Shet’	id=g:335512
Guracha Shet’	id=g:335513
Guracha	id=g:335514
Guracha	id=g:335515
Guracha	id=g:335516
Guraccio	id=g:335517
Gura Ārba	id=g:335518
Gura’ālē Terara	id=g:335519
Malca Gura	id=g:335520
Gura	id=g:335521
Gura	id=g:335522
Gura	id=g:335523
Gura	id=g:335524
Gura	id=g:335525
Gura	id=g:335526
Gura	id=g:335527
Gura	id=g:335528
Gura	id=g:335529
Guomia	id=g:335530
Gunzara	id=g:335531
Gunya	id=g:335532
Gununfetu Shet’	id=g:335533
Gunu Gadu	id=g:335534
Gunto	id=g:335535
Guntir	id=g:335536
Gunt Āmba	id=g:335537
Gunset	id=g:335539
Guno	id=g:335540
Gunjo	id=g:335541
Gunjang	id=g:335542
Gunī Shet’	id=g:335543
Gunīfet Shet’	id=g:335544
Gunīfeta Shet’	id=g:335545
Gunguno	id=g:335546
Gunguma	id=g:335547
Gunghi	id=g:335549
Gunfī	id=g:335550
Gunefeta Shet’	id=g:335551
Gundo Meskel	id=g:335552
Gundile	id=g:335553
Gundifru Silasē Bēte Kristīyan	id=g:335554
Gundifru	id=g:335555
Gundi	id=g:335556
Gundi	id=g:335557
Gundagundī	id=g:335561
Gunda	id=g:335562
Gunchire	id=g:335563
Guna Zeytī Maryam Bēte Kristīyan	id=g:335564
Guna Terara	id=g:335565
Guna Shet’	id=g:335566
Gunagunīt	id=g:335567
Guna Guna Shet’	id=g:335568
Gunaguna	id=g:335569
Guna Amba	id=g:335571
Guna	id=g:335572
Guna	id=g:335573
Gumolo	id=g:335574
Gummeli	id=g:335575
Gummeli	id=g:335576
Gummel	id=g:335577
Gumma	id=g:335578
Gumi‘i	id=g:335579
Gum Iesus	id=g:335580
Gumero Shet’	id=g:335582
Gumero Bota	id=g:335583
Gumerhē	id=g:335584
Gumer	id=g:335585
Gumer	id=g:335586
Gumer	id=g:335587
Gumenta	id=g:335588
Gumē Bota	id=g:335589
Gumburu	id=g:335590
Gumbur Ottum	id=g:335591
Gumburka Harē Korebta	id=g:335592
Gumburka Harē	id=g:335593
Gumburder Mēda	id=g:335594
Gumbur Bilein	id=g:335595
Gumbī Shet’	id=g:335596
Gumbis	id=g:335597
Gumbīchu Medhanē ‘Alem Bēte Kristīyan	id=g:335598
Gumbīchu Be‘ale Weld Bēte Kristīyan	id=g:335599
Gumbīchu	id=g:335600
Gumbīchu	id=g:335601
Gumbīchu	id=g:335602
Gumbīchu	id=g:335603
Gumbi	id=g:335604
Gumban	id=g:335605
Gumbabi	id=g:335606
Gumaydo Bota	id=g:335607
Gumaydo	id=g:335608
Guma Wenz	id=g:335609
Gumasir	id=g:335610
Guma Shet’	id=g:335611
Guma Shet’	id=g:335612
Gumara Shet’	id=g:335613
Gumara	id=g:335614
Gumar	id=g:335615
Gumai Daro	id=g:335616
Gumaha	id=g:335617
Guma Guda YeTerara Ch’af	id=g:335618
Guma	id=g:335620
Guma	id=g:335621
Guma	id=g:335622
Guma	id=g:335623
Gum	id=g:335624
Gum	id=g:335625
Gulya	id=g:335626
Gulusci	id=g:335631
Gulufī	id=g:335632
Gulufa	id=g:335633
Gulubī	id=g:335634
Gulubē Terara	id=g:335635
Gulubē Maryam Bēte Kristīyan	id=g:335636
Gulubē	id=g:335637
Gulubba	id=g:335638
Gultu Shet’	id=g:335639
Gultī Terara	id=g:335640
Gult	id=g:335641
Gult	id=g:335642
Gulosghi	id=g:335644
Gulolē	id=g:335645
Gulm Mīka’ēl Bēte Kristīyan	id=g:335646
Gullubla	id=g:335647
Gulle	id=g:335648
Gulīso	id=g:335649
Gulih Milī	id=g:335651
Gulih Milī	id=g:335652
Gulgula Bota	id=g:335654
Gul Gula	id=g:335655
Gulfa	id=g:335657
Gulē Shet’	id=g:335659
Gulelē Bota	id=g:335660
Gulelē	id=g:335661
Gulelē	id=g:335662
Gulelē	id=g:335663
Gulelē	id=g:335664
Guleccia	id=g:335665
Gule	id=g:335666
Guldima	id=g:335669
Guldam	id=g:335670
Guld	id=g:335671
Gulbo	id=g:335673
Gulba	id=g:335674
Gul Anod	id=g:335675
Gulagulma Medhanē ‘Alem Bēte Kristīyan	id=g:335676
Gula Bedēsa	id=g:335677
Gula	id=g:335679
Gujī Terara	id=g:335680
Gujīcha	id=g:335681
Gujī	id=g:335682
Gujī	id=g:335683
Gujē Shet’	id=g:335684
Gujer	id=g:335685
Gujē	id=g:335686
Guje	id=g:335687
Gu’itelo Medhanē ‘Alem Bēte Kristīyan	id=g:335688
Guista	id=g:335689
Guila	id=g:335690
Guie Dibbe	id=g:335691
Guie	id=g:335692
Guia	id=g:335693
Guia	id=g:335694
Guia	id=g:335695
Gugut Shet’	id=g:335696
Gugut Shet’	id=g:335697
Guguma	id=g:335698
Guguh Mīka’ēl Bēte Kristīyan	id=g:335699
Malca Gugufto	id=g:335700
Gugufī Shet’	id=g:335701
Gugufī	id=g:335702
Guguf	id=g:335703
Gugu	id=g:335704
Gugu	id=g:335705
Gugē	id=g:335706
Guga	id=g:335707
Guftī Gebri’ēl Bēte Kristīyan	id=g:335708
Guftē Shet’	id=g:335709
Guftē Shet’	id=g:335710
Guftē	id=g:335711
Guftamlo	id=g:335712
Gufete	id=g:335713
Gufa	id=g:335714
Guersa	id=g:335715
Gueramo Uatara	id=g:335716
Guedamo	id=g:335717
Gudru	id=g:335718
Gudra Shet’	id=g:335719
Gudo	id=g:335720
Gudla	id=g:335721
Gudīyo	id=g:335722
Gudīlē Bota	id=g:335723
Gudgwad Wiha Shet’	id=g:335724
Gudgwad Wiha	id=g:335725
Gudguda Laham	id=g:335726
Gudgud	id=g:335727
Gudē Wenz	id=g:335728
Guder Wenz	id=g:335729
Guder Wenz	id=g:335730
Gudera	id=g:335731
Guder	id=g:335732
Guder	id=g:335733
Gudē’ēsh	id=g:335736
Gudēdo Shet’	id=g:335737
Gudēdo	id=g:335738
Gude Beret	id=g:335739
Guddalo	id=g:335740
Gudda	id=g:335742
Gudbēnē Mēda	id=g:335743
Gudba Gīyorgīs Bēte Kristīyan	id=g:335744
Gudaya Ābo Bēte Kristīyan	id=g:335745
Gudaya	id=g:335746
Gudaya	id=g:335747
Gudaueina	id=g:335748
Gudas	id=g:335749
Gudan	id=g:335750
Guda Mēda	id=g:335751
Guda K’orīcha	id=g:335752
Guda Garse	id=g:335753
Guda	id=g:335754
Guciar	id=g:335755
Guch’a Bota	id=g:335756
Guch’a	id=g:335757
Gucere	id=g:335758
Gubusic	id=g:335759
Guburka’ās	id=g:335760
Gubu	id=g:335761
Gubu	id=g:335762
Gubrē Silasē Bēte Kristīyan	id=g:335763
Gubrē	id=g:335764
Gubrak	id=g:335765
Gubīya	id=g:335766
Gubīya	id=g:335767
Gubīt’o	id=g:335768
Gubīsa Shet’	id=g:335769
Gubī’ēla Shet’	id=g:335770
Gubetan	id=g:335771
Gubēse K’ela Shet’	id=g:335772
Gubē	id=g:335773
Gubbo Volta	id=g:335774
Gubbisa	id=g:335775
Gubbi	id=g:335777
Gubbe	id=g:335778
Gubba	id=g:335779
Gubba	id=g:335780
Guba YeTerara Senselet	id=g:335781
Gubata Maryam Bēte Kristīyan	id=g:335782
Gubata	id=g:335783
Guban	id=g:335784
Gubalē	id=g:335785
Gubala	id=g:335786
Gubal	id=g:335787
Guba K’orīcha	id=g:335788
Guba Hut’a	id=g:335789
Guba Gulgullo	id=g:335790
Guba Gubo	id=g:335791
Guba’ē Mengerīya	id=g:335792
Guba Dodota	id=g:335793
Guba	id=g:335794
Guba	id=g:335796
Guba	id=g:335797
Guatrat	id=g:335798
Guasasali	id=g:335799
Malca Guara	id=g:335800
Guangua	id=g:335801
Guangua	id=g:335802
Guai Mariam	id=g:335803
Guaiba	id=g:335804
Guaglia	id=g:335805
Grotte Salan	id=g:335806
Greater Aman	id=g:335808
Grauda	id=g:335809
Grar Wiha	id=g:335811
Gragn	id=g:335812
Graa Cassa	id=g:335813
Gozē	id=g:335814
Goza	id=g:335815
Goygoy	id=g:335816
Goy	id=g:335817
Gowdī Hayrat Terara	id=g:335818
Gowa Ārīro	id=g:335819
Gowa	id=g:335820
Gowa	id=g:335821
Govindu	id=g:335822
Govase	id=g:335823
Goum	id=g:335824
Goua	id=g:335825
Gotto Muri	id=g:335826
Gotot	id=g:335827
Goto	id=g:335828
Gotio	id=g:335829
Gotet	id=g:335830
Got’erat	id=g:335831
Gotē	id=g:335832
Got’a Shet’	id=g:335833
Gota Shet’	id=g:335834
Got’a Shelek’o	id=g:335835
Gotalei	id=g:335836
Gota Bota	id=g:335837
Gota	id=g:335838
Balli Got	id=g:335839
Got	id=g:335840
Gosu Shenterer	id=g:335841
Gosu	id=g:335842
Gosu	id=g:335843
Gosh Wiha Kīdane Mihret Bēte	id=g:335844
Gosh Wiha	id=g:335845
Gosh Wiha	id=g:335846
Goshu Shet’	id=g:335847
Goshu Āger	id=g:335848
Goshu	id=g:335849
Gosh Mēda	id=g:335850
Goshit	id=g:335851
Goshcandi	id=g:335852
Gosh Bahar	id=g:335853
Gosh Bado	id=g:335854
Gosha	id=g:335855
Gosē	id=g:335856
Goscia	id=g:335857
Gos	id=g:335858
Gorura	id=g:335859
Gortu	id=g:335860
Gorto	id=g:335861
Gortē Terara	id=g:335862
Gortē Terara	id=g:335863
Gortē	id=g:335864
Gorso	id=g:335865
Gorsaitou	id=g:335866
Gorroble	id=g:335867
Gorra	id=g:335868
Gorra	id=g:335869
Goro Warē	id=g:335870
Goro Togo	id=g:335871
Goro Tigrī	id=g:335872
Goro Sora	id=g:335873
Goro Shet’	id=g:335874
Gororo	id=g:335875
Goro Rību	id=g:335876
Gororē	id=g:335877
Goro Obolē Shet’	id=g:335878
Goromule’i Bota	id=g:335879
Goromule’i	id=g:335880
Goromtī Shet’	id=g:335881
Goromtī Medhanē ‘Alem Bēte Kristīyan	id=g:335882
Goro Moyē	id=g:335883
Goro Menga	id=g:335884
Gorombo Shet’	id=g:335885
Gorombo	id=g:335886
Goro Luca	id=g:335887
Goro K’ut’ulē	id=g:335888
Goro K’ut’ulē	id=g:335889
Goro Jīlo Korebta	id=g:335890
Goro Jerbo	id=g:335891
Goroh	id=g:335892
Gorogutu Gīyorgīs Bēte Kristīyan	id=g:335893
Gorogutu	id=g:335894
Gorogarbi	id=g:335895
Goroch’an Shet’	id=g:335896
Goroch’an	id=g:335897
Goro Bota	id=g:335898
Goro Ādadī	id=g:335899
Goro	id=g:335900
Goro	id=g:335901
Goro	id=g:335902
Goro	id=g:335903
Goro	id=g:335904
Goro	id=g:335905
Goro	id=g:335906
Goro	id=g:335907
Goro	id=g:335908
Goro	id=g:335909
Goro	id=g:335910
Goro	id=g:335911
Goro	id=g:335912
Goro	id=g:335913
Goro	id=g:335914
Gormedo Shet’	id=g:335915
Gorīt Shet’	id=g:335916
Gorite	id=g:335917
Gorino	id=g:335918
Gorīdama Bota	id=g:335919
Gorī	id=g:335920
Gorī	id=g:335921
Gorgwadīt	id=g:335922
Gorgwadīt	id=g:335923
Gorgota	id=g:335924
Gorgora	id=g:335925
Gorgora	id=g:335926
Gorghis	id=g:335927
Gorfo Timhirt Bēt	id=g:335928
Gorfo Terara	id=g:335929
Gorfo Shet’	id=g:335930
Gorfo	id=g:335931
Gorfa Shet’	id=g:335932
Gorēy	id=g:335933
Gorera	id=g:335934
Gorenzen Shet’	id=g:335935
Gorenj	id=g:335936
Gebel Goreis	id=g:335937
Gorei	id=g:335938
Gorei	id=g:335939
Gore’ēka	id=g:335940
Gore Āwraja	id=g:335941
Gorē	id=g:335942
Gorē	id=g:335943
Gore	id=g:335944
Gordomo	id=g:335945
Gordoma Igzī’ābhēr Āb Bēte Kristīyan	id=g:335946
Gordoma	id=g:335947
Gorda Ābo Bēte Kristīyan	id=g:335948
Gorch’ak’o Shet’	id=g:335949
Gorbuaineh	id=g:335950
Gorbalmi	id=g:335951
Gorba	id=g:335952
Gorba	id=g:335953
Gorba	id=g:335954
Gorba	id=g:335955
Gorba	id=g:335956
Gora Shet’	id=g:335957
Gora Shet’	id=g:335958
Gora Shet’	id=g:335959
Gorase	id=g:335960
Gorasa	id=g:335961
Gorandu	id=g:335962
Goramaho	id=g:335963
Gora Keteba	id=g:335964
Gara Gorai	id=g:335965
Goragussa	id=g:335967
Gorado	id=g:335968
Goradit	id=g:335969
Gora Ānda	id=g:335970
Gora	id=g:335971
Gora	id=g:335972
Gora	id=g:335973
Gora	id=g:335974
Gora	id=g:335975
Gora	id=g:335976
Gora	id=g:335977
Gora	id=g:335978
Gora	id=g:335979
Gor	id=g:335980
Goodi	id=g:335981
Gonza	id=g:335982
Gonok’wat	id=g:335984
Gonogono	id=g:335985
Gonna	id=g:335986
Gonna	id=g:335987
Gonjo	id=g:335988
Gonj	id=g:335989
Gonī	id=g:335990
Gong Shet’	id=g:335991
Gongoma	id=g:335992
Gongo	id=g:335993
Gongīt Shet’	id=g:335994
Gongi	id=g:335995
Gonga Shet’	id=g:335996
Gonga Mēda	id=g:335997
Gonga Bainu	id=g:335998
Gonga	id=g:335999
Gong	id=g:336000
Gonfī Shet’	id=g:336001
Gonfī K’edīda	id=g:336002
Gonfī Ābeyī	id=g:336003
Gonfī	id=g:336004
Gondor Terara	id=g:336005
Gondona	id=g:336006
Gondo	id=g:336007
Gondē Shet’	id=g:336008
Gonderoch Maryam Bēte Kristīyan	id=g:336009
Gonderoch	id=g:336010
Gonder Kifle Hāger	id=g:336011
Gonderē	id=g:336012
Gonder Āwraja	id=g:336013
Gonder	id=g:336014
Gonder	id=g:336015
Gondele Maryam Bēte Kristīyan	id=g:336016
Gondele	id=g:336017
Gondēla Terara	id=g:336018
Gondē	id=g:336019
Gondē	id=g:336020
Gondē	id=g:336021
Gondat	id=g:336022
Gonda Libah	id=g:336023
Gond	id=g:336024
Gonca	id=g:336025
Gonbo	id=g:336026
Gonayda‘iro	id=g:336027
Gona Shet’	id=g:336028
Gona	id=g:336029
Gomsa	id=g:336030
Gomra Shet’	id=g:336031
Gomra	id=g:336032
Gomoyta YeTerara Senselet	id=g:336033
Gomole	id=g:336034
Gomole	id=g:336035
Gomo	id=g:336036
Gomo	id=g:336037
Gomo	id=g:336038
Gomīz	id=g:336039
Gomfo	id=g:336040
Gomengē	id=g:336041
Gomen Āmba	id=g:336042
Gomen	id=g:336043
Gomedē Bota	id=g:336044
Gomē	id=g:336045
Gombor Uadel	id=g:336046
Gombor Tuleh	id=g:336047
Gomborē	id=g:336048
Gombora Shet’	id=g:336049
Gombor	id=g:336050
Gombolo	id=g:336051
Gombolo	id=g:336052
Gomboch’ Terara	id=g:336053
Gombo	id=g:336055
Gombo	id=g:336056
Gombo	id=g:336057
Gombi Ombi	id=g:336058
Gombī	id=g:336059
Gombar Mīka’ēl Bēte Kristīyan	id=g:336060
Gomari	id=g:336061
Gomalī Bed Regreg	id=g:336062
Gomalī	id=g:336063
Goma‘itu	id=g:336064
Gomahālo	id=g:336065
Gomahālo	id=g:336066
Goma Bota	id=g:336067
Goma	id=g:336068
Gom	id=g:336069
Golo Shet’	id=g:336070
Golosawē	id=g:336071
Golorot	id=g:336072
Golo Oda	id=g:336073
Golongol	id=g:336074
Golonco	id=g:336075
Gololē Shet’	id=g:336076
Gololē Sengota	id=g:336077
Gololē	id=g:336078
Gololē	id=g:336079
Gololē	id=g:336080
Gololē	id=g:336081
Gololē	id=g:336082
Gololē	id=g:336083
Gololē	id=g:336084
Gololē	id=g:336085
Gololē	id=g:336086
Gololē	id=g:336087
Gololē	id=g:336088
Gololcha Shet’	id=g:336089
Gololcha Shet’	id=g:336090
Gololcha Shet’	id=g:336091
Gololcha Bota	id=g:336092
Gololcha Bota	id=g:336093
Gololcha Bota	id=g:336094
Gololcha	id=g:336095
Gololcha	id=g:336096
Gololcha	id=g:336097
Gololcha	id=g:336098
Las Golol	id=g:336099
Golo	id=g:336100
Gol Madohe	id=g:336101
Gollena	id=g:336102
Golla	id=g:336103
Goljīnī	id=g:336104
Gol Jībrīl Shet’	id=g:336105
Goljē Gīyorgīs Bēte Kristīyan	id=g:336106
Golja	id=g:336107
Golīya Shet’	id=g:336108
Golīya Medhanē ‘Alem Bēte Kristīyan	id=g:336109
Golīma Wenz	id=g:336110
Golīma	id=g:336111
Goli’ā	id=g:336112
Golgudari	id=g:336113
Golgolo	id=g:336114
Golgola	id=g:336115
Golgol	id=g:336116
Golgol	id=g:336117
Golgoda	id=g:336118
Golgio	id=g:336119
Golesha	id=g:336120
Gole Sēla Shet’	id=g:336121
Golelola	id=g:336122
Golelench’a	id=g:336123
Golelench’a	id=g:336124
Golelē	id=g:336125
Golelē	id=g:336126
Golelē	id=g:336127
Golek’ēha	id=g:336128
Golei Uaga	id=g:336129
Golehīt’o	id=g:336130
Gole Goha Shet’	id=g:336131
Gole Āwo Bota	id=g:336132
Goldya	id=g:336133
Golder	id=g:336134
Golda	id=g:336135
Golda	id=g:336136
Golbo Hāyk’	id=g:336137
Golboda	id=g:336138
Golbo	id=g:336139
Golbiti	id=g:336140
Golbē	id=g:336141
Golba Mīka’ēl Bēte Kristīyan	id=g:336142
Golba Kalo	id=g:336143
Golb	id=g:336144
Gola Maryam Bēte Kristīyan	id=g:336145
Golajo	id=g:336146
Gola Hamaysa Shet’	id=g:336147
Golagol	id=g:336148
Gola Balchak Shet’	id=g:336149
Gola Ābo Bēte Kristīyan	id=g:336150
Gola	id=g:336152
Gola	id=g:336153
Gola	id=g:336154
Gola	id=g:336155
Gola	id=g:336156
Gol	id=g:336157
Gol	id=g:336158
Gojo	id=g:336159
Gojema Bota	id=g:336160
Gojeb Wenz	id=g:336161
Goja Terara	id=g:336162
Gojam Mesgīd	id=g:336163
Gojam Kifle Hāger	id=g:336164
Gojam	id=g:336165
Goica	id=g:336166
Goiale	id=g:336167
Gohu Shet’	id=g:336169
Gohule	id=g:336170
Goholei	id=g:336172
Gohlei	id=g:336173
Gohil	id=g:336174
Gohil	id=g:336175
Gohēy	id=g:336176
Goha Wenz	id=g:336177
Goha Ts’iyon Maryam Bēte Kristīyan	id=g:336178
Goha Ts’iyon	id=g:336179
Goha	id=g:336180
Goha	id=g:336181
Goha	id=g:336182
Gogul Madoneh	id=g:336183
Gogu	id=g:336184
Gogtī	id=g:336185
Jebel Gogot	id=g:336186
Gogot	id=g:336187
Gogoru	id=g:336188
Gogon	id=g:336189
Gogolo	id=g:336190
Gogola Shet’	id=g:336191
Gogola	id=g:336192
Gogola	id=g:336193
Gogo	id=g:336194
Gogo	id=g:336195
Gogo	id=g:336196
Gogilē	id=g:336198
Gogiabe	id=g:336199
Gogi	id=g:336200
Goggoga	id=g:336201
Gogeytī Shet’	id=g:336202
Gogēytī Shet’	id=g:336203
Gogēytī	id=g:336204
Gogētī	id=g:336205
Gogēsa Shet’	id=g:336206
Gogēsa Shet’	id=g:336207
Gogem Īyesus Bēte Kristīyan	id=g:336208
Gogeita	id=g:336209
Goga Shet’	id=g:336210
Goft’īma Sebeka	id=g:336211
Goft’īma Mīka’ēl Bēte Kristīyan	id=g:336212
Goforē Shet’	id=g:336213
Goflol	id=g:336214
