Béde Lugé' Lake	id=g:5897318
Bethany	id=g:5899157
Beth Creek	id=g:5899158
Bethel	id=g:5899159
Bethel	id=g:5899160
Bethel	id=g:5899161
Bethel	id=g:5899162
Bethel	id=g:5899163
Bethel	id=g:5899164
Béthel	id=g:5899165
Bethel Creek	id=g:5899166
Bethel Lake	id=g:5899167
Bethel Lake	id=g:5899168
Bethel Peak	id=g:5899169
Bethels Point	id=g:5899170
Bethels Point	id=g:5899171
Bethesda	id=g:5899172
Bethesda	id=g:5899173
Bethesda	id=g:5899174
Beth Lake	id=g:5899175
Beth Lake	id=g:5899176
Beth Lake	id=g:5899177
Beth Lake	id=g:5899178
Bethléem	id=g:5899179
Bethnal	id=g:5899180
Bethune	id=g:5899181
Bethune	id=g:5899182
Bethune Bush	id=g:5899183
Bethune Inlet	id=g:5899184
Bethune Lake	id=g:5899185
Bethune Lake	id=g:5899186
Bethune Memorial House National Historic Site of Canada	id=g:5899187
Bethune Recreation Site	id=g:5899188
Bethunes Gully	id=g:5899189
Bethunes Island	id=g:5899190
Bethunes Point	id=g:5899191
Bethunes Pond	id=g:5899192
Betsiamites	id=g:5899193
Betsiamites Indian Reserve	id=g:5899194
Betstel Pinnacle	id=g:5899195
Betsy Lake	id=g:5899196
Betsy Lake	id=g:5899197
Betsys Beach	id=g:5899198
Betsys Cove	id=g:5899199
Betsys Point	id=g:5899200
Betsys Reef	id=g:5899201
Betteridge Inlet	id=g:5899202
Bettess Lake	id=g:5899203
Bettina Creek	id=g:5899204
Bettin Island	id=g:5899205
Bettison Point	id=g:5899206
Betton Rocks	id=g:5899207
Betts Bight	id=g:5899208
Betts Big Pond	id=g:5899209
Betts Brook	id=g:5899210
Betts Cove	id=g:5899211
Betts Cove	id=g:5899212
Betts Creek	id=g:5899213
Betts Creek	id=g:5899214
Bettsey Island	id=g:5899215
Betts Ground	id=g:5899216
Betts Head	id=g:5899217
Betts Island	id=g:5899218
Betts Island	id=g:5899219
Betts Island	id=g:5899220
Betts Lake	id=g:5899221
Betts Lake	id=g:5899222
Betts Point	id=g:5899223
Betty Brook	id=g:5899224
Betty Cove	id=g:5899225
Betty Cove	id=g:5899226
Betty Creek	id=g:5899227
Betty Creek	id=g:5899228
Betty Creek	id=g:5899229
Betty Creek	id=g:5899230
Betty Creek Indian Reserve 18	id=g:5899231
Betty Falls	id=g:5899232
Betty Head	id=g:5899233
Betty Hill	id=g:5899234
Betty Island	id=g:5899235
Betty Island	id=g:5899236
Betty Island	id=g:5899237
Betty Lake	id=g:5899238
Betty Lake	id=g:5899239
Betty Lake	id=g:5899240
Betty Lake	id=g:5899241
Betty Lake	id=g:5899242
Betty Lake	id=g:5899243
Betty Lake	id=g:5899244
Betty Lake	id=g:5899245
Betty Ray Lake	id=g:5899246
Bettys Cove	id=g:5899247
Bettys Cove	id=g:5899248
Bettys Cove Brook	id=g:5899249
Bettys Cove Pond	id=g:5899250
Bettys Pond	id=g:5899251
Betty Wendle Creek	id=g:5899252
Betula Beach	id=g:5899253
Betula Lake	id=g:5899254
Betula Lake	id=g:5899255
Betula Lake	id=g:5899256
Betula Lake Dam	id=g:5899257
Between Lake	id=g:5899258
Between Lake	id=g:5899259
Between Lake	id=g:5899260
Between Two Hills	id=g:5899261
Betzold Point	id=g:5899262
Beuchat Lake	id=g:5899263
Beulach Ban Falls	id=g:5899264
Beulach Lake	id=g:5899265
Beulah	id=g:5899266
Beulah	id=g:5899267
Beulah	id=g:5899268
Beulah Creek	id=g:5899269
Beulah Island	id=g:5899270
Beulah Island	id=g:5899271
Beulah Lake	id=g:5899272
Beulah Lake	id=g:5899273
Bevan	id=g:5899274
Bevan Cove	id=g:5899275
Bevan Lake	id=g:5899276
Bevan Lake	id=g:5899277
Bevans Lake	id=g:5899278
Bevel Creek	id=g:5899279
Bevel Mountain	id=g:5899280
Beven Lake	id=g:5899281
Bevens Lake	id=g:5899282
Beverage Lake	id=g:5899283
Beveridge Bay	id=g:5899284
Beveridge Beach	id=g:5899285
Beveridge Island	id=g:5899286
Beveridge Lake	id=g:5899287
Beveridge Locks	id=g:5899288
Beveridge Marsh	id=g:5899289
Beverley	id=g:5899290
Beverley Acres	id=g:5899291
Beverley Cove	id=g:5899292
Beverley Head	id=g:5899293
Beverley Hills	id=g:5899294
Beverley Inlet	id=g:5899295
Beverley Island	id=g:5899296
Beverley Isles	id=g:5899297
Beverley Lake	id=g:5899298
Beverley Lake	id=g:5899299
Beverley Lake	id=g:5899300
Beverly	id=g:5899301
Beverly Heights	id=g:5899302
Beverly Island	id=g:5899303
Beverly Islands	id=g:5899304
Beverly Lake	id=g:5899305
Beverly Lake	id=g:5899306
Beverly Lake	id=g:5899307
Beverly Peak	id=g:5899308
Beverly Swamp	id=g:5899309
Beverly Swamp Conservation Area	id=g:5899310
Bevier Creek	id=g:5899311
Bevin	id=g:5899312
Bevin Creek	id=g:5899313
Bevin Lake	id=g:5899314
Bevin Lake	id=g:5899315
Bevin Lake	id=g:5899316
Bevis Island	id=g:5899317
Bev Island	id=g:5899318
Bevis Point	id=g:5899319
Bewag Lake	id=g:5899320
Beware Cove	id=g:5899321
Beware Passage	id=g:5899322
Beware Rock	id=g:5899323
Bewdley	id=g:5899324
Bewes Shoal	id=g:5899325
Bewick Lake	id=g:5899326
Bewlay Lake	id=g:5899327
Bewley Island	id=g:5899328
Bewley Lake	id=g:5899329
Bews Creek	id=g:5899330
Bews Lake	id=g:5899331
Bexhill	id=g:5899332
Bexley	id=g:5899333
Bexley	id=g:5899334
Bex Point	id=g:5899335
Beyak Island	id=g:5899336
Beyak Lake	id=g:5899337
Beyea Brook	id=g:5899338
Beyers Coulee	id=g:5899339
Beyette Lake	id=g:5899340
Beynon	id=g:5899341
Beynon Lake	id=g:5899342
Beyond Lake	id=g:5899343
Beyts Cove	id=g:5899344
Bezanson	id=g:5899345
Bezanson Brook	id=g:5899346
Bezanson Lake	id=g:5899347
Bezanson Ponds	id=g:5899348
Bezansons Beach	id=g:5899349
Bezansons Lake	id=g:5899350
Bezanson Stillwaters	id=g:5899351
Bezant Lake	id=g:5899352
Bezant Lake Brook	id=g:5899353
Bezel Peak	id=g:5899354
B. & F. Creek	id=g:5899355
B-Flat Peak	id=g:5899356
Bialoskorski Lake	id=g:5899357
Bianco Lake	id=g:5899358
Biancotto Lake	id=g:5899359
Biard	id=g:5899360
Bibaud	id=g:5899361
Bibb Cove	id=g:5899362
Bibb Creek	id=g:5899363
Bibby Bay	id=g:5899364
Bibby Island	id=g:5899365
Biber Lake	id=g:5899366
Bib Lake	id=g:5899367
Bible Hill	id=g:5899368
Bibliothèque Alice-Parizeau	id=g:5899369
Bibliothèque de Mont-Tremblant	id=g:5899370
Bibliothèque de Roxboro	id=g:5899371
Bibliothèque de Saint-Timothée	id=g:5899372
Bibliothèque Edmond-Archambault	id=g:5899373
Bibliothèque Éva-Senécal	id=g:5899374
Bibliothèque Gabrielle-Giroux-Bertrand	id=g:5899375
Bibliothèque Georges-Henri-Lévesque	id=g:5899376
Bibliothèque Jean-Charles-Des Roches	id=g:5899377
Bibliothèque Léo-Lecavalier	id=g:5899378
Bibliothèque Lise-Bourque-St-Pierre	id=g:5899379
Bibliothèque Manise-Morin	id=g:5899380
Bibliothèque Marie-Antoinette-Foucher	id=g:5899381
Bibliothèque Patrick-Dignan	id=g:5899382
Bibliothèque Robert-Bourassa	id=g:5899383
Bibliothèque Simonne-Monet-Chartrand	id=g:5899384
Biblowitz Lake	id=g:5899385
Bicarbonate Creek	id=g:5899386
Bicelow Bay	id=g:5899387
Biceps Creek	id=g:5899388
Biceps Lake	id=g:5899389
Biche Arm	id=g:5899390
Bickel's Bay	id=g:5899391
Bickels Cove	id=g:5899392
Bickels Creek	id=g:5899393
Bickels Island	id=g:5899394
Bickels Island Point	id=g:5899395
Bickerdike	id=g:5899396
Bickerdike	id=g:5899397
Bickerton Island	id=g:5899398
Bickerton Lake	id=g:5899399
Bickerton Little Lake	id=g:5899400
Bickerton West	id=g:5899401
Bickford	id=g:5899402
Bickford Lake	id=g:5899403
Bickford Lake	id=g:5899404
Bickford Lake	id=g:5899405
Bickford Rock	id=g:5899406
Bickle	id=g:5899407
Bickleigh	id=g:5899408
Bickle Lake	id=g:5899409
Bickle Passage	id=g:5899410
Bickler Lake	id=g:5899411
Bickles Pond	id=g:5899412
Bickley Bay	id=g:5899413
Bicknell	id=g:5899414
Bicknell Island	id=g:5899415
Bicknell Lake	id=g:5899416
Bicknell Lake	id=g:5899417
Bicknell River	id=g:5899418
Bicorn Peak	id=g:5899419
Biddison Creek	id=g:5899420
Biddison Lake	id=g:5899421
Biddle Pass	id=g:5899422
Biddulph	id=g:5899423
Biddy Creek	id=g:5899424
Biddy Creek	id=g:5899425
Biddy's Hole	id=g:5899426
Biddys Lake	id=g:5899427
Biddys Mount	id=g:5899428
Bide Arm	id=g:5899429
Bide Arm	id=g:5899430
Bide Arm Big Pond	id=g:5899431
Bide a Wee Island	id=g:5899432
Bideford	id=g:5899433
Bideford River	id=g:5899434
Bide Head	id=g:5899435
Biden Island	id=g:5899436
Biden Lake	id=g:5899437
Bident Mountain	id=g:5899438
Bide Shoal	id=g:5899439
Bidgood Pothole	id=g:5899440
Bidochka Island	id=g:5899441
Bidochka Lake	id=g:5899442
Bidou Creek	id=g:5899443
Bidou Lake	id=g:5899444
Bidwell	id=g:5899445
Bidwell	id=g:5899446
Bidwell Creek	id=g:5899447
Bidwell Lake	id=g:5899448
Bidwell Lakes	id=g:5899449
Bieber Lake	id=g:5899450
Bieber Lake	id=g:5899451
Bieber River	id=g:5899452
Biebrick Island	id=g:5899453
Biederbick Lake	id=g:5899454
Biederman Pond	id=g:5899455
Biedermans Creek	id=g:5899456
Biehl Lake	id=g:5899457
Bielby Lake	id=g:5899458
Bielby Rapids	id=g:5899459
Bield	id=g:5899460
Bieler Lake	id=g:5899461
Biely Creek	id=g:5899462
Biely Lake	id=g:5899463
Bieman's Corners	id=g:5899464
Bienda Lake	id=g:5899465
Bienfait	id=g:5899466
Bienvenu	id=g:5899467
Bien Venue Island	id=g:5899468
Bierce Creek	id=g:5899469
Bierce Lake	id=g:5899470
Bière Cove	id=g:5899471
Biernacki Creek	id=g:5899472
Biernacki Lake	id=g:5899473
Biff Lake	id=g:5899474
Bifrost	id=g:5899475
Bifrost Pass	id=g:5899476
Bigamy Lake	id=g:5899477
Big Arm Bay	id=g:5899478
Big Arm Brook	id=g:5899479
Big Arm No. 251	id=g:5899480
Big Arrow Creek	id=g:5899481
Big Arrow Rock	id=g:5899482
Big Asp Island	id=g:5899483
Big Ass Lake	id=g:5899484
Big Baddeck	id=g:5899485
Big Bald Head	id=g:5899486
Big Bald Head	id=g:5899487
Big Bald Lake	id=g:5899488
Big Bald Narrows	id=g:5899489
Big Bald Rock Brook	id=g:5899490
Big Baldy Hill	id=g:5899491
Big Baldy Hill	id=g:5899492
Big Baldy Mountain	id=g:5899493
Big Ball Rock	id=g:5899494
Big Bank	id=g:5899495
Big Bar	id=g:5899496
Big Barachois	id=g:5899497
Big Barachois	id=g:5899498
Big Barachois	id=g:5899499
Big Barachois	id=g:5899500
Big Barachois River	id=g:5899501
Big Barasway	id=g:5899502
Big Barasway	id=g:5899503
Big Barasway	id=g:5899504
Big Bar Creek	id=g:5899505
Big Bar Creek	id=g:5899506
Big Bare Island	id=g:5899507
Big Bar Lake	id=g:5899508
Big Bar Lake Park	id=g:5899509
Big Bar Mountain	id=g:5899510
Big Barren	id=g:5899511
Big Barren	id=g:5899512
Big Barren	id=g:5899513
Big Barren Cove	id=g:5899514
Big Barren Pond	id=g:5899515
Big Bar Shoal	id=g:5899516
Big Basin	id=g:5899517
Big Bass Lake	id=g:5899518
Big Bay	id=g:5899519
Big Bay	id=g:5899520
Big Bay	id=g:5899521
Big Bay	id=g:5899522
Big Bay	id=g:5899523
Big Bay	id=g:5899524
Big Bay	id=g:5899525
Big Bay	id=g:5899526
Big Bay	id=g:5899527
Big Bay	id=g:5899528
Big Bay	id=g:5899529
Big Bay	id=g:5899530
Big Bay	id=g:5899531
Big Bay	id=g:5899532
Big Bay	id=g:5899533
Big Bay	id=g:5899534
Big Bay Creek	id=g:5899535
Big Bay Island	id=g:5899536
Big Bay Point	id=g:5899537
Big Bay Point	id=g:5899538
Big Beach	id=g:5899539
Big Beach	id=g:5899540
Big Beach	id=g:5899541
Big Beach	id=g:5899542
Big Beach	id=g:5899543
Big Beach	id=g:5899544
Big Bear Brook	id=g:5899545
Big Bear Cave Pond	id=g:5899546
Bigbear Creek	id=g:5899547
Big Bear Falls	id=g:5899548
Big Bear Island	id=g:5899549
Big Bear Lake	id=g:5899550
Big Bear Lake	id=g:5899551
Big Bear Lake	id=g:5899552
Big Bear Lake	id=g:5899553
Big Beaver	id=g:5899554
Big Beaver Creek	id=g:5899555
Big Beaver Creek	id=g:5899556
Big Beaver Creek	id=g:5899557
Big Beaver Dam Lake	id=g:5899558
Big Beaver Falls	id=g:5899559
Big Beaver House	id=g:5899560
Big Beaver Lake	id=g:5899561
Big Beaver Pond	id=g:5899562
Big Beaver Rapids	id=g:5899563
Big Beaver Regional Park	id=g:5899564
Big Bees Pond	id=g:5899565
Big Bellies Pond	id=g:5899566
Big Bell Mountain	id=g:5899567
Big Bend	id=g:5899568
Big Bend	id=g:5899569
Big Bend	id=g:5899570
Big Bend	id=g:5899571
Big Bend	id=g:5899572
Big Bend	id=g:5899573
Big Bend Arm	id=g:5899574
Big Bend Creek	id=g:5899575
Big Bend Deadwater	id=g:5899576
Big Bend Lake	id=g:5899577
Big Bend Ranges	id=g:5899578
Big Ben Lake	id=g:5899579
Big Bennet Island	id=g:5899580
Big Ben Rock	id=g:5899581
Big Bilsky Lake	id=g:5899582
Big Birch Island	id=g:5899583
Big Birch Island	id=g:5899584
Big Birch Lake	id=g:5899585
Big Birch Lake	id=g:5899586
Big Bissett Lake	id=g:5899587
Big Black Bay	id=g:5899588
Big Black Duck Pond	id=g:5899589
Big Black Head	id=g:5899590
Big Black Head	id=g:5899591
Big Black Island	id=g:5899592
Big Black Lake	id=g:5899593
Big Black River	id=g:5899594
Big Blue Hill Pond	id=g:5899595
Big Bluff	id=g:5899596
Big Bluff	id=g:5899597
Big Bluff	id=g:5899598
Big Bluff Island	id=g:5899599
Big Bluff Island	id=g:5899600
Big Bluff Point	id=g:5899601
Big Bob Channel	id=g:5899602
Big Bob Dam	id=g:5899603
Big Bob Lake	id=g:5899604
Big Bobs Island	id=g:5899605
Big Bobs Lake	id=g:5899606
Big Bog	id=g:5899607
Big Bog	id=g:5899608
Big Bog	id=g:5899609
Big Bog	id=g:5899610
Big Bog	id=g:5899611
Big Bog Brook	id=g:5899612
Big Boggy Creek	id=g:5899613
Big Boggy Creek	id=g:5899614
Big Bog Lake	id=g:5899615
Big Bones Spring	id=g:5899616
Big Bon Mature Lake	id=g:5899617
Big Boot Lake	id=g:5899618
Big Boot Shoal	id=g:5899619
Big Bough Place	id=g:5899620
Big Boulder Creek	id=g:5899621
Big Boulder Creek	id=g:5899622
Big Boulder Lake	id=g:5899623
Big Boundary Creek	id=g:5899624
Big Boundary Island	id=g:5899625
Big Branch Lake	id=g:5899626
Big Branch Stewiacke River	id=g:5899627
Big Bras d'Or	id=g:5899628
Big Bread Bag Pond	id=g:5899629
Big Bridge Bog	id=g:5899630
Big Brook	id=g:5899631
Big Brook	id=g:5899632
Big Brook	id=g:5899633
Big Brook	id=g:5899634
Big Brook	id=g:5899635
Big Brook	id=g:5899636
Big Brook	id=g:5899637
Big Brook	id=g:5899638
Big Brook	id=g:5899639
Big Brook	id=g:5899640
Big Brook	id=g:5899641
Big Brook	id=g:5899642
Big Brook	id=g:5899643
Big Brook	id=g:5899644
Big Brook	id=g:5899645
Big Brook	id=g:5899646
Big Brook	id=g:5899647
Big Brook	id=g:5899648
Big Brook	id=g:5899649
Big Brook	id=g:5899650
Big Brook	id=g:5899651
Big Brook	id=g:5899652
Big Brook	id=g:5899653
Big Brook	id=g:5899654
Big Brook	id=g:5899655
Big Brook	id=g:5899656
Big Brook	id=g:5899657
Big Brook	id=g:5899658
Big Brook	id=g:5899659
Big Brook	id=g:5899660
Big Brook	id=g:5899661
Big Brook	id=g:5899662
Big Brook	id=g:5899663
Big Brook	id=g:5899664
Big Brook	id=g:5899665
Big Brook Cove	id=g:5899666
Big Brook Lake	id=g:5899667
Big Brook Lake	id=g:5899668
Big Brook Lake	id=g:5899669
Big Brook Pond	id=g:5899670
Big Brookside Gull Pond	id=g:5899671
Big Brook Steady	id=g:5899672
Big Brother Island	id=g:5899673
Big Brother Lake	id=g:5899674
Big Buck Lake	id=g:5899675
Big BuckMountain	id=g:5899676
Big Bud Lake	id=g:5899677
Big Buffalo Beach Recreation Site	id=g:5899678
Big Buffalo Lake	id=g:5899679
Big Bullhead Bay	id=g:5899680
Big Bullhead Point	id=g:5899681
Big Bunsby Marine Park	id=g:5899682
Big Burn Creek	id=g:5899683
Big Burn Island	id=g:5899684
Big Burnt Brook Pond	id=g:5899685
Big Burnt Head	id=g:5899686
Big Burnt Head Cove	id=g:5899687
Big Burnt Island	id=g:5899688
Big Burnt Island	id=g:5899689
Big Burnt Lake	id=g:5899690
Big Burrow	id=g:5899691
Big Butterpot	id=g:5899692
Bigby Head	id=g:5899693
Big Cabin Bend	id=g:5899694
Big Cable Pond	id=g:5899695
Big Cairn Cove	id=g:5899696
Big Camp Bay	id=g:5899697
Big Campbell Creek	id=g:5899698
Big Camp Creek	id=g:5899699
Big Canoe Lake	id=g:5899700
Big Canoe River	id=g:5899701
Big Canon Lake	id=g:5899702
Big Canyon	id=g:5899703
Big Canyon Creek	id=g:5899704
Big Cape	id=g:5899705
Big Cape	id=g:5899706
Big Cape	id=g:5899707
Big Caribou Entrance	id=g:5899708
Big Caribou Lake	id=g:5899709
Big Caribou River	id=g:5899710
Big Carp River	id=g:5899711
Big Cascade	id=g:5899712
Big Cat Island	id=g:5899713
Big Cedar	id=g:5899714
Big Cedar Creek	id=g:5899715
Big Cedar Lake	id=g:5899716
Big Cedar Lake	id=g:5899717
Big Cedar Point	id=g:5899718
Big Cedar Point	id=g:5899719
Big Chain Island	id=g:5899720
Big Chain Lake	id=g:5899721
Big Chain Lake	id=g:5899722
Big Chance Cove	id=g:5899723
Big Charlie Lake	id=g:5899724
Big Chicken Island	id=g:5899725
Big Chief Island	id=g:5899726
Big Chief Island	id=g:5899727
Big Chief Lake	id=g:5899728
Big Chokey	id=g:5899729
Big Chouse Brook	id=g:5899730
Big Chute	id=g:5899731
Big Chute	id=g:5899732
Big Clear Lake	id=g:5899733
Big Clear Lake	id=g:5899734
Big Clearwater Lake	id=g:5899735
Big Climb Creek	id=g:5899736
Big Club Lake	id=g:5899737
Big Cobbler Island	id=g:5899738
Big Codger Pond	id=g:5899739
Big Cold East	id=g:5899740
Big Conne	id=g:5899741
Big Connor Lake	id=g:5899742
Big Cook Island	id=g:5899743
Big Cooks Pond	id=g:5899744
Big Corner Cliff	id=g:5899745
Big Corner Lake	id=g:5899746
Big Coulee	id=g:5899747
Big Coulée	id=g:5899748
Big Coulee Creek	id=g:5899749
Big Cove	id=g:5899750
Big Cove	id=g:5899751
Big Cove	id=g:5899752
Big Cove	id=g:5899753
Big Cove	id=g:5899754
Big Cove	id=g:5899755
Big Cove	id=g:5899756
Big Cove	id=g:5899757
Big Cove	id=g:5899758
Big Cove	id=g:5899759
Big Cove	id=g:5899760
Big Cove	id=g:5899761
Big Cove	id=g:5899762
Big Cove	id=g:5899763
Big Cove	id=g:5899764
Big Cove	id=g:5899765
Big Cove	id=g:5899766
Big Cove	id=g:5899767
Big Cove	id=g:5899768
Big Cove	id=g:5899769
Big Cove	id=g:5899770
Big Cove	id=g:5899771
Big Cove	id=g:5899772
Big Cove	id=g:5899773
Big Cove	id=g:5899774
Big Cove	id=g:5899775
Big Cove	id=g:5899776
Big Cove	id=g:5899777
Big Cove	id=g:5899778
Big Cove	id=g:5899779
Big Cove	id=g:5899780
Big Cove	id=g:5899781
Big Cove	id=g:5899782
Big Cove	id=g:5899783
Big Cove	id=g:5899784
Big Cove	id=g:5899785
Big Cove	id=g:5899786
Big Cove	id=g:5899787
Big Cove	id=g:5899788
Big Cove	id=g:5899789
Big Cove	id=g:5899790
Big Cove Brook	id=g:5899791
Big Cove Creek	id=g:5899792
Big Cove Head	id=g:5899793
Big Cove Head	id=g:5899794
Big Cove Point	id=g:5899795
Big Cove Point	id=g:5899796
Big Cove Point	id=g:5899797
Big Cranberry Island	id=g:5899798
Big Cranberry Lake	id=g:5899799
Big Cranberry Lake	id=g:5899800
Big Cranberry Lake	id=g:5899801
Big Crater Lake	id=g:5899802
Big Creek	id=g:5899803
Big Creek	id=g:5899804
Big Creek	id=g:5899805
Big Creek	id=g:5899806
Big Creek	id=g:5899807
Big Creek	id=g:5899808
Big Creek	id=g:5899809
Big Creek	id=g:5899810
Big Creek	id=g:5899811
Big Creek	id=g:5899812
Big Creek	id=g:5899813
Big Creek	id=g:5899814
Big Creek	id=g:5899815
Big Creek	id=g:5899816
Big Creek	id=g:5899817
Big Creek	id=g:5899818
Big Creek	id=g:5899819
Big Creek	id=g:5899820
Big Creek	id=g:5899821
Big Creek	id=g:5899822
Big Creek	id=g:5899823
Big Creek	id=g:5899824
Big Creek	id=g:5899825
Big Creek	id=g:5899826
Big Creek Canyon	id=g:5899827
Big Creek Marsh	id=g:5899828
Big Creek National Wildlife Area	id=g:5899829
Big Creek Park	id=g:5899830
Big Crow Island	id=g:5899831
Big Crow Lake	id=g:5899832
Big Crown Deadwater	id=g:5899833
Big Cuckold Cove	id=g:5899834
Big Cumberland Pool	id=g:5899835
Big Curran Cove	id=g:5899836
Big Cut	id=g:5899837
Big Dam Lake	id=g:5899838
Big Dantzic Brook	id=g:5899839
Big Dantzic Pond	id=g:5899840
Big David Bay	id=g:5899841
Big Davis Pond	id=g:5899842
Big Dawson Lake	id=g:5899843
Big Deadfall Pond	id=g:5899844
Big Deadwater	id=g:5899845
Big Deadwater	id=g:5899846
Big Deadwater	id=g:5899847
Big Deadwater	id=g:5899848
Big Deep Bay	id=g:5899849
Big Deep Cove	id=g:5899850
Big Deer Lake	id=g:5899851
Big Deer Lake Conservation Reserve	id=g:5899852
Big Deer Pond	id=g:5899853
Big Den Mountain	id=g:5899854
Big Dick	id=g:5899855
Big Dick Rock	id=g:5899856
Big Dinner Pond	id=g:5899857
Big Dispatch Lake	id=g:5899858
Big Diver Pond	id=g:5899859
Big Dock Island	id=g:5899860
Big Dog Channel	id=g:5899861
Big Dog Harbour	id=g:5899862
Big Dog Mountain	id=g:5899863
Big Dossys Cove	id=g:5899864
Big Doughball Head	id=g:5899865
Big Doughball Pond	id=g:5899866
Big Drake Pond	id=g:5899867
Big Drop River	id=g:5899868
Big Dry Island	id=g:5899869
Big Duck Creek	id=g:5899870
Big Duck Island	id=g:5899871
Big Duck Island	id=g:5899872
Big Duck Island	id=g:5899873
Big Duck Lake	id=g:5899874
Big Duck Lake	id=g:5899875
Big Duck Lake	id=g:5899876
Big Duck Lake	id=g:5899877
Big Duck Lake	id=g:5899878
Big Duck Pond	id=g:5899879
Big Duck Pond	id=g:5899880
Big Eagle Rock	id=g:5899881
Big Eastern Cove	id=g:5899882
Big Eastern Lake	id=g:5899883
Big East Lake	id=g:5899884
Big East River	id=g:5899885
Big East River Provincial Park	id=g:5899886
Big Eddy	id=g:5899887
Big Eddy	id=g:5899888
Big Eddy	id=g:5899889
Big Eddy	id=g:5899890
Big Eddy	id=g:5899891
Big Eddy	id=g:5899892
Big Eddy	id=g:5899893
Big Eddy	id=g:5899894
Big Eddy	id=g:5899895
Big Eddy Bend	id=g:5899896
Big Eddy Creek	id=g:5899897
Big Eddy Rapids	id=g:5899898
Big Eddy Rapids	id=g:5899899
Big Eddy Rapids	id=g:5899900
Big Eddy Settlement	id=g:5899901
Big Eel Lake	id=g:5899902
Big Elbow Island	id=g:5899903
Bigelow	id=g:5899904
Bigelow	id=g:5899905
Bigelow	id=g:5899906
Bigelow Bay	id=g:5899907
Bigelow Bight	id=g:5899908
Bigelow Creek	id=g:5899909
Bigelow Island	id=g:5899910
Bigelow Lake	id=g:5899911
Bigelows Slough	id=g:5899912
Big Eneas Lake	id=g:5899913
Big English Cove	id=g:5899914
Big Falls	id=g:5899915
Big Falls	id=g:5899916
Big Falls	id=g:5899917
Big Falls	id=g:5899918
Big Falls	id=g:5899919
Big Falls	id=g:5899920
Big Falls	id=g:5899921
Big Falls	id=g:5899922
Big Falls	id=g:5899923
Big Falls	id=g:5899924
Big Falls	id=g:5899925
Big Falls	id=g:5899926
Big Falls	id=g:5899927
Big Falls Brook	id=g:5899928
Big Falls Brook	id=g:5899929
Big Falls Creek	id=g:5899930
Big Falls Lake	id=g:5899931
Big Farm	id=g:5899932
Big Farm Pool	id=g:5899933
Bigfault Lake	id=g:5899934
Big Feeder Brook	id=g:5899935
Big Feeder Pond	id=g:5899936
Big Feeder Pond	id=g:5899937
Big Finlander Lake	id=g:5899938
Big Fisher Island	id=g:5899939
Big Fisher Pond	id=g:5899940
Big Fish Hook Rapids	id=g:5899941
Big Fish Island	id=g:5899942
Big Fish Island	id=g:5899943
Bigfish Lake	id=g:5899944
Big Fish Lake	id=g:5899945
Big Fish Lake	id=g:5899946
Big Fish Lake	id=g:5899947
Big Fish Pond	id=g:5899948
Big Fish River	id=g:5899949
Big Fish River	id=g:5899950
Big Fish Rocks	id=g:5899951
Bigfish Shoal	id=g:5899952
Big Fish Shoal	id=g:5899953
Big Fish Shoal	id=g:5899954
Big Fish Shoal	id=g:5899955
Big Five Bridge Lake	id=g:5899956
Big Flat Lake	id=g:5899957
Big Flat Rock	id=g:5899958
Bigfools Lake	id=g:5899959
Bigford Drain	id=g:5899960
Bigford Lake	id=g:5899961
Big Fork	id=g:5899962
Big Forks	id=g:5899963
Big Forks Creek	id=g:5899964
Big Forks Lake	id=g:5899965
Big Forks Stream	id=g:5899966
Big Fort Lake	id=g:5899967
Bigfour Creek	id=g:5899968
Bigfour Lake	id=g:5899969
Bigfowl Island	id=g:5899970
Big Fox Hummock Pond	id=g:5899971
Big Fox Lake	id=g:5899972
Big Fraser Island	id=g:5899973
Big Freshwater	id=g:5899974
Big Freshwater Beach	id=g:5899975
Big Freshwater Cove	id=g:5899976
Big Friar Cove	id=g:5899977
Big Frypan Bay	id=g:5899978
Big Fuller Lake	id=g:5899979
Big Gap	id=g:5899980
Biggar	id=g:5899981
Biggar	id=g:5899982
Biggar and District Regional Park	id=g:5899983
Biggar Creek	id=g:5899984
Big Garden Cove	id=g:5899985
Biggar Lake	id=g:5899986
Biggar Lake	id=g:5899987
Biggar Lake	id=g:5899988
Biggar Lake	id=g:5899989
Biggar No. 347	id=g:5899990
Biggar Rock	id=g:5899991
Biggars Lake	id=g:5899992
Big Gaspereaux Lake	id=g:5899993
Bigg Creek	id=g:5899994
Big Gem Island	id=g:5899995
Big George Lake	id=g:5899996
Bigger Creek	id=g:5899997
Bigger Lake	id=g:5899998
Bigger Lake	id=g:5899999
Biggerstaff Lake	id=g:5900000
Big Ghee Lake	id=g:5900001
Big Gibson Lake	id=g:5900002
Big Glace Bay	id=g:5900003
Big Glace Bay	id=g:5900004
Big Glace Bay Lake	id=g:5900005
Big Glace Bay Lake Bird Sanctuary	id=g:5900006
Big Glen	id=g:5900007
Big Glen	id=g:5900008
Big Glen Brook	id=g:5900009
Big Glen Pond	id=g:5900010
Big Glimbi Island	id=g:5900011
Big Glode Island	id=g:5900012
Big Goat Creek	id=g:5900013
Big Goat Creek	id=g:5900014
Big Goat Pond	id=g:5900015
Big Goat Rock	id=g:5900016
Big Gold Creek	id=g:5900017
Big Golden Cove	id=g:5900018
