Kalniņi	id=g:459079
Asti	id=g:461356
Āsteres Ezers	id=g:461357
Āstere	id=g:461358
Astašova	id=g:461359
Asninas	id=g:461360
Asmi	id=g:461361
Aslupes	id=g:461362
Asīte	id=g:461363
Ašinieku Purvs	id=g:461364
Asinici	id=g:461365
Asinava	id=g:461366
Asiki	id=g:461367
Aščuki	id=g:461368
Asaru Ezers	id=g:461369
Asari	id=g:461370
Asari	id=g:461371
Asare	id=g:461372
Asāni	id=g:461373
Arvelis	id=g:461374
Arupīte	id=g:461375
Arupīte	id=g:461376
Arupīte	id=g:461377
Artjomovka	id=g:461378
Ārstes	id=g:461379
Aronieši	id=g:461380
Arona	id=g:461381
Arnicēni	id=g:461382
Ārņi	id=g:461383
Arņi	id=g:461384
Armuški	id=g:461385
Armani	id=g:461386
Ārmaņi	id=g:461387
Ārlava	id=g:461388
Arkamaņi	id=g:461389
Arites Ezers	id=g:461390
Āres	id=g:461391
Areņdole	id=g:461392
Ardavas Ezers	id=g:461393
Stacija Ārdava	id=g:461394
Ārdava	id=g:461395
Arciems Stacija	id=g:461396
Ārciems	id=g:461397
Aralite	id=g:461398
Arakste	id=g:461399
Arāji	id=g:461400
Araisu Ezers	id=g:461401
Stacija Araiši	id=g:461402
Araiši	id=g:461403
Āpuznieki	id=g:461404
Apūze	id=g:461405
Stacija Apūle	id=g:461406
Apukalns	id=g:461407
Pieturas Punkts Apšupe	id=g:461408
Apšupe	id=g:461409
Apšuleja	id=g:461410
Apšukrogs	id=g:461411
Apšuciems	id=g:461412
Apšuciems	id=g:461413
Āpškalni	id=g:461414
Apškalni	id=g:461415
Apsītes	id=g:461416
Āpši	id=g:461417
Apši	id=g:461418
Apserdi	id=g:461419
Apšenieki	id=g:461420
Apšenieki	id=g:461421
Apšenieki	id=g:461422
Apšenieki	id=g:461423
Apšenieki	id=g:461424
Apsēni	id=g:461425
Apseni	id=g:461426
Apšēni	id=g:461427
Apšė	id=g:461428
Apses	id=g:461429
Lielapsauju Ezers	id=g:461430
Apsalas	id=g:461431
Apriķu Mežs	id=g:461432
Apriķi	id=g:461433
Aprāni	id=g:461434
Aponosi	id=g:461435
Apole	id=g:461436
Apogi	id=g:461437
Apiņi	id=g:461438
Apiņi	id=g:461439
Apiņi	id=g:461440
Apgulde	id=g:461441
Ape	id=g:461442
Apali	id=g:461443
Anzuļi	id=g:461444
Stacija Anuži	id=g:461445
Anuži	id=g:461446
Anuži	id=g:461447
Anuži	id=g:461448
Anūži	id=g:461449
Antuži	id=g:461450
Antulis	id=g:461451
Antropova	id=g:461452
Antonopole	id=g:461453
Antonišķi	id=g:461454
Antonica	id=g:461455
Antokoļi	id=g:461456
Antiņi	id=g:461457
Antiņciems	id=g:461458
Antani	id=g:461459
Antāni	id=g:461460
Anspoki	id=g:461461
Anspoki	id=g:461462
Aņņi	id=g:461463
Annenieki	id=g:461464
Annasmuiža	id=g:461465
Annas	id=g:461466
Annaskalni	id=g:461467
Annasbirze	id=g:461468
Annas	id=g:461469
Annasmuiža	id=g:461470
Annas	id=g:461471
Annas	id=g:461472
Annapole	id=g:461473
Anna	id=g:461474
Anītes	id=g:461475
Iļķene	id=g:461476
Āne	id=g:461477
Andžiņi	id=g:461478
Andžiņi	id=g:461479
Andzeļi	id=g:461480
Stacija Andžani	id=g:461481
Andzēni	id=g:461482
Andžāni	id=g:461483
Andžāni	id=g:461484
Andrupene	id=g:461485
Āndrupe	id=g:461486
Andricēni	id=g:461487
Andri	id=g:461488
Andrejsala	id=g:461489
Andreja Sala	id=g:461490
Andrejosta	id=g:461491
Andrāni	id=g:461492
Andiņi	id=g:461493
Andiņi	id=g:461494
Andini	id=g:461495
Andes	id=g:461496
Ancveiriņi	id=g:461497
Anckuļi	id=g:461498
Ančkini	id=g:461499
Anckiņas	id=g:461500
Anckiņas	id=g:461501
Ančipova	id=g:461502
Ancēni	id=g:461503
Ancēnes	id=g:461504
Ancelāni	id=g:461505
Ance	id=g:461506
Aņas	id=g:461507
Amula	id=g:461508
Amoliņi	id=g:461509
Amjūdžu Ciems	id=g:461510
Amele	id=g:461511
Ambeļi	id=g:461512
Amatnieki	id=g:461513
Stacija Amata	id=g:461514
Amata	id=g:461515
Amata	id=g:461516
Āmari	id=g:461517
Amardas Ezers	id=g:461518
Amalijasmuiža	id=g:461519
Alzezere	id=g:461520
Alženova	id=g:461521
Alžani	id=g:461522
Alunāni	id=g:461523
Alūksnīte	id=g:461524
Alūksnes Rajons	id=g:461525
Alūksnes Ezers	id=g:461526
Alūksne	id=g:461527
Alūksne	id=g:461528
Alukalna Ezers	id=g:461529
Alsviķi	id=g:461530
Alsviķi	id=g:461531
Alsupe	id=g:461532
Stacija Alsunga	id=g:461533
Alsunga	id=g:461534
Alši	id=g:461535
Alši	id=g:461536
Alotiņi	id=g:461537
Alokste	id=g:461538
Aloja	id=g:461539
Alodzene	id=g:461540
Stacija Almale	id=g:461541
Almale	id=g:461542
Allaži Mežs	id=g:461543
Allaži	id=g:461544
Allaži	id=g:461545
Allažmuiža	id=g:461546
Allaži	id=g:461547
Allaži	id=g:461548
Alkšņi	id=g:461549
Alksnājciems	id=g:461550
Alinānu Purvs	id=g:461551
Alenis	id=g:461552
Aleksandrovo	id=g:461553
Aleksandropole	id=g:461554
Alderi	id=g:461555
Aldauniece	id=g:461556
Stacija Aldaune	id=g:461557
Ālave	id=g:461558
Alauksta Ezers	id=g:461559
Alande	id=g:461560
Alanda	id=g:461561
Aksenovas Ezers	id=g:461562
Akselu Mežs	id=g:461563
Akotiņi	id=g:461564
Stacija Aknīste	id=g:461565
Aknīste	id=g:461566
Akmeņrūči	id=g:461567
Akmeņrags	id=g:461568
Akmeņpils	id=g:461569
Akmenkroga-sila Purvs	id=g:461570
Akmeņkalni	id=g:461571
Akmeņi	id=g:461572
Akmene	id=g:461573
Akmene	id=g:461574
Stacija Akmeņdziras	id=g:461575
Akmeņdziras	id=g:461576
Akmenāji	id=g:461577
Aklais Purvs	id=g:461578
Aklais Purvs	id=g:461579
Aklais Purvs	id=g:461580
Aklais Ezers	id=g:461581
Aklaisciems	id=g:461582
Āķi	id=g:461583
Bajāri	id=g:461584
Aķēni	id=g:461585
Akaviņas	id=g:461586
Akaviņa	id=g:461587
Akaši	id=g:461588
Akanstaka	id=g:461589
Akācijas	id=g:461590
Akācijas	id=g:461591
Aijažu Ezers	id=g:461592
Aizvīķi	id=g:461593
Aizupji	id=g:461594
Aizupieši	id=g:461595
Aizupi	id=g:461596
Aizupes	id=g:461597
Aizupes	id=g:461598
Aizupe	id=g:461599
Aizstrautnieki	id=g:461600
Stacija Aizputes	id=g:461601
Aizpute	id=g:461602
Aizpute	id=g:461603
Aizpurvi	id=g:461604
Aizpurvi	id=g:461605
Aizpurves	id=g:461606
Aizpurves	id=g:461607
Aizpurve	id=g:461608
Aizpure	id=g:461609
Aizpuri	id=g:461610
Aizpuri	id=g:461611
Aizkuja	id=g:461612
Aizkraukles Rajons	id=g:461613
Stacija Aizkraukle	id=g:461614
Aizkraukle	id=g:461615
Aizklaņi	id=g:461616
Aizkārkles	id=g:461617
Aizkalni	id=g:461618
Aizkalne	id=g:461619
Aizgrāvji	id=g:461620
Aizdzire	id=g:461621
Aizdrikšņu Ezers	id=g:461622
Stacija Aiviekste	id=g:461623
Aiviekste	id=g:461624
Aistere	id=g:461625
Aiša	id=g:461626
Stacija Airīte	id=g:461627
Ainaži	id=g:461628
Aijaži	id=g:461629
Stacija Aglona	id=g:461630
Aglona	id=g:461631
Aģes Purvs	id=g:461632
Aģes Ezers	id=g:461633
Āgenskalns	id=g:461634
Aģe	id=g:461635
Aga	id=g:461636
Adžūni	id=g:461637
Adzes	id=g:461638
Adumnieki	id=g:461639
Aduliena	id=g:461640
Ādmiņu Ezers	id=g:461641
Admiņani	id=g:461642
Ādlers	id=g:461643
Adieņi	id=g:461644
Adieņi	id=g:461645
Adgoniški	id=g:461646
Adģere	id=g:461647
Aderkaši	id=g:461648
Kadaga	id=g:461649
Ādaži	id=g:461650
Ādams	id=g:461651
Adamovas Ezers	id=g:461652
Adamova	id=g:461653
Adamova	id=g:461654
Pieturas Punkts Acones	id=g:461655
Abza	id=g:461656
Abulas	id=g:461657
Abula	id=g:461658
Abrupe	id=g:461659
Abriņi	id=g:461660
Abricki	id=g:461661
Abragciems	id=g:461662
Ābolnieki	id=g:461663
Ābolnieki	id=g:461664
Abolkalni	id=g:461665
Āboliņi	id=g:461666
Āboliņi	id=g:461667
Āboli	id=g:461668
Aboldari	id=g:461669
Abiteļu Ezers	id=g:461670
Abgunste	id=g:461671
Stacija Apgulde	id=g:461672
Abermaņi	id=g:461673
Abelnieki	id=g:461674
Ābelnieki	id=g:461675
Ābeļkalni	id=g:461676
Ābelītes	id=g:461677
Ābeļi	id=g:461678
Ābeles	id=g:461679
Abeles	id=g:461680
Abava	id=g:461681
Abava	id=g:461682
Abava	id=g:461683
Abaruņi	id=g:461684
Abaine	id=g:461685
Abaine	id=g:461686
Žīguri	id=g:607491
Zapadnaya Dvina	id=g:619322
Mežgaļi	id=g:795806
Ālande	id=g:795985
Ziedoņi	id=g:795988
Gravāni	id=g:795989
Būšnieku Bāka	id=g:829147
Lošupe	id=g:829148
Pārventa	id=g:829149
Bridas Sala	id=g:829150
Stacija Zvāre	id=g:864134
Drivpurvs	id=g:864135
Upesbērģi	id=g:864139
Krustceļi	id=g:864155
Ugunu Gatviņi	id=g:864156
Rūki	id=g:864158
Aķi	id=g:864159
Dravnieki	id=g:864160
Ķīsterciems	id=g:864161
Avotkalni	id=g:864162
Egles	id=g:864163
Pekeļciems	id=g:864164
Mērsraga Bāka	id=g:864165
Dižciems	id=g:864166
Pekrags	id=g:864167
Mērsraga Kanāls	id=g:864168
Ķipatlīkums	id=g:864172
Lielā Sala	id=g:864173
Grebis	id=g:864174
Ābraglīkums	id=g:864175
Dumpiete	id=g:864181
Vaskaris	id=g:864182
Rideļu Dzirnavu Ezers	id=g:864183
Rindzeles Ezers	id=g:864184
Pilsētas Ezers	id=g:864187
Sīļezers	id=g:864188
Sīļu Purvs	id=g:864189
Pakuļezers	id=g:864190
Ķelda	id=g:864191
Līkaiņu Ezers	id=g:864192
Tempkalns	id=g:864193
Purva Ezers	id=g:864194
Bergi	id=g:864195
Vīkslas Ezers	id=g:864196
Kugrainis	id=g:864197
Smirdgrāvis	id=g:864198
Annas	id=g:864199
Stūraišu Kalns	id=g:864200
Gardene	id=g:864201
Mazspurģi	id=g:864202
Sesava	id=g:864203
Drukas	id=g:864204
Būdas	id=g:864205
Kreijas	id=g:864206
Ādoliņi	id=g:864207
Falcgrāves	id=g:864208
Tetele	id=g:864213
Mellizeris	id=g:864214
Lustes Pilsdrupas	id=g:864215
Zeltiņi	id=g:864216
Damradi	id=g:864217
Ķempji	id=g:864218
Leķi	id=g:864219
Mazjāņi	id=g:864220
Mazveģi	id=g:864221
Jaunmoku Pils	id=g:864222
Vīkseles	id=g:864223
Punduri	id=g:864224
Vecdzegūzes	id=g:864225
Kažoku Karjers	id=g:864226
Odiņu Parceltuve	id=g:864227
Kaugurciems	id=g:864228
Leilleitāni	id=g:864229
Mazleitāni	id=g:864230
Egļu Ciems	id=g:864231
Slēperi	id=g:864232
Mežares	id=g:864233
Priežciems	id=g:864234
Beberbeki	id=g:864235
Stacija Priedaine	id=g:864236
Lielupe	id=g:864237
Stirnurags	id=g:864238
Bražas	id=g:864239
Pieturas Punkts Bulduri	id=g:864240
Pieturas Punkts Dzintari	id=g:864241
Avoti Stacija	id=g:864242
Pieturas Punkts Majori	id=g:864243
Stacija Dubulti	id=g:864244
Pieturas Punkts Jaundubulti	id=g:864245
Druvciems	id=g:864246
Kaupi	id=g:864247
Ieķi	id=g:864248
Stūri	id=g:864249
Božu Ūdenskrātuve	id=g:864250
Pumpuri	id=g:864251
Pieturas Punkts Melluži	id=g:864252
Valteri	id=g:864253
Pieturas Punkts Asari	id=g:864254
Krastciems	id=g:864255
Vaivari	id=g:864256
Pieturas Punkts Vaivari	id=g:864257
Mežzara Upīte	id=g:864258
Bāžciems	id=g:864259
Branķciems	id=g:864260
Dolomīta Karjera Ūdenskrātuve	id=g:864261
Stacija Sloka	id=g:864262
Līkumciems	id=g:864263
Straupciema Kakts	id=g:864264
Pērnciems	id=g:864265
Spuņņupe	id=g:864266
Ušiņu Kakts	id=g:864267
Remesi	id=g:864268
Gāte	id=g:864269
Aklais Ezers	id=g:864270
Akacis	id=g:864271
Melnezers	id=g:864272
Putnezers	id=g:864273
Pieturas Punkts Kūdra	id=g:864274
Liliju Ezers	id=g:864275
Krāckalnu Ezers	id=g:864276
Kalnciema Dolomīta Karjers	id=g:864277
Sahalīnes Dīķis	id=g:864278
Akmeņradziņu Ezers	id=g:864279
Mērsala	id=g:864280
Stacija Ķemeri	id=g:864281
Mazezers	id=g:864282
Zvaigznītes	id=g:864283
Ružu Karjers	id=g:864284
Pieturas Punkts 56 km	id=g:864285
Šlokenbekas Dzirnavu Ezers	id=g:864286
Bērziņu Karjers	id=g:864287
Aklezers	id=g:864288
Ozolnieki	id=g:864289
Prieturas Punkts Praviņi	id=g:864290
Cīruļu Karjers	id=g:864291
Riguļu Karjers	id=g:864292
Burtnieku Karjers	id=g:864293
Sivēnu Ezers	id=g:864294
Jauntukums	id=g:864295
Lauktehnika	id=g:864296
Veļķi	id=g:864297
Centrs	id=g:864298
Ozoliņi	id=g:864299
Melnezers	id=g:864300
Jumpravas Ezers	id=g:864301
Ezerkauķi	id=g:864302
Gaiķītis	id=g:864303
Jaunmoku Dzirnavu Ezers	id=g:864304
Krīvi	id=g:864305
Dārtsmuiža	id=g:864306
Tukuma Dīķsaimniecības Komplekss	id=g:864307
Mariņmuiža	id=g:864308
Mariņmuižas Dīķis	id=g:864309
Rēžu Karjers	id=g:864310
Kundzīņu Ezers	id=g:864311
Oglenis	id=g:864312
Dambjakroga Ezers	id=g:864313
Brandavu Ezers	id=g:864314
Pālansu Ezers	id=g:864315
Burtnieki	id=g:864316
Dzelme	id=g:864317
Vērsis	id=g:864318
Līkais	id=g:864319
Jaunpils Dzirnavu Ezers	id=g:864320
Kimšu Ūdenskrātuve	id=g:864321
Kurzemes MAS	id=g:864322
Bikstupe	id=g:864323
Mācītajmuiža	id=g:864324
Rūju Dīķis	id=g:864325
Džūkstesmuiža	id=g:864326
Lielais Ausekļu Dīķis	id=g:864327
Jaunās Mājas	id=g:864328
Sellīte	id=g:864329
Līvbērzes Stacija	id=g:864330
Mežinieku Pamatskola	id=g:864331
Lancenieku Dzirnavu Ezers	id=g:864332
Ķunduri	id=g:864333
Draviņu-Dunduru Karjers	id=g:864334
Avotiņi	id=g:864335
Būdiņas	id=g:864336
Kalnciema Mālu Karjers	id=g:864337
Kalnciema Vidusskola	id=g:864338
Mangaļi	id=g:864339
Viršu Karjersu Dīķi	id=g:864340
Gulbjuciems	id=g:864341
Poķi	id=g:864342
Celmraugciems	id=g:864343
Krastaciems	id=g:864344
Ruduļciems	id=g:864345
Jaunciems	id=g:864346
Upmaļi	id=g:864347
Valgundes Klosteris	id=g:864348
Bulgārija	id=g:864349
Dobeļi	id=g:864350
Cimāles	id=g:864351
Ozolpils	id=g:864352
Kaugaru Bedres	id=g:864353
Ozolnieku Vidusskola	id=g:864354
Līči	id=g:864355
Pansionāts Zemgale	id=g:864356
Kaugari	id=g:864357
Ozolnieku Dīķis	id=g:864358
Pieturas Punkts Ozolnieki	id=g:864359
Aizupe	id=g:864360
Aizupes	id=g:864361
Džamu Dīķis	id=g:864362
Purviņi	id=g:864363
Ladziņas	id=g:864364
Rēķi	id=g:864365
Jauntīreļi	id=g:864366
Vectīreļi	id=g:864367
Pieturas Punkts Jaunolaine	id=g:864368
Vīntapu Ezeri	id=g:864369
Stacija Jelgava Otrā	id=g:864370
Garozas Stacija	id=g:864371
Garozas Skola	id=g:864372
Dravnieki	id=g:864373
Kārniņu Bedres	id=g:864374
Rosiba	id=g:864375
Siera Muiža	id=g:864376
Lediņi	id=g:864377
Vecsvirlauka	id=g:864378
Īslīcas	id=g:864379
Āriņi	id=g:864380
Birzīte	id=g:864381
Tērvete	id=g:864382
Pārupe	id=g:864383
Straume	id=g:864384
Siliņi	id=g:864385
Viesturi	id=g:864386
Mežvidi	id=g:864387
Ruļļu Karjers	id=g:864388
Maiciņu Ezers	id=g:864527
Cibēnu Ezers	id=g:864528
Balziens	id=g:864529
Vipēdis	id=g:864530
Raudene	id=g:864531
Melnezers	id=g:864532
Mazais Vipēdis	id=g:864533
Ūpitis	id=g:864534
Iņķu Ezeriņi	id=g:864535
Sesavas Ezers	id=g:864536
Mellezers	id=g:864537
Priedite	id=g:864538
Spārņa Ezers	id=g:864539
Leinertu Dīķis	id=g:864540
Namiķu Dīķis	id=g:864541
Naudītes Dīķis	id=g:864542
Krūtaiņu Ezers	id=g:864543
Rūju Dīķi	id=g:864544
Dziļezers	id=g:864545
Apguldes Ezers	id=g:864546
Apguldes Dzirnavu Ezers	id=g:864547
Bērzkrasti	id=g:864548
Kroņauces Dzirnavu Ezers	id=g:864549
Gulbju Ezers	id=g:864550
Ozolaines Dīķis	id=g:864640
Birzes	id=g:864641
Strēlnieki	id=g:864642
Lāčplēsis	id=g:864643
Aviekstes Ezers	id=g:864720
Baloži	id=g:864721
Pļavniekkalns	id=g:864722
Mārupe	id=g:864723
Depo Zasulauks	id=g:864724
Selēku Ezers	id=g:864725
Saurieši	id=g:864726
Upeslejas	id=g:864727
Ūlupi	id=g:864728
Mašēnu Ezers	id=g:864729
Sunišu Ezers	id=g:864730
Vecmuiža	id=g:864731
Silakrogs	id=g:864732
Kangaru Ezers	id=g:864733
Jugla	id=g:864734
Bābelītis	id=g:864735
Dambjapurva Ezers	id=g:864736
Velnezers	id=g:864737
Gaiļezers	id=g:864738
Linezers	id=g:864739
Kojusalas Grāvis	id=g:864740
Māras Dīķis	id=g:864741
Stŭrišu Ezers	id=g:864742
Rīgas Ūdenskrātuve	id=g:864743
Nāves Sala	id=g:864749
Suži	id=g:864750
Mazais Jūgezers	id=g:864751
Gaiļezers	id=g:864752
Līņezers	id=g:864753
Vidus Ezers	id=g:864754
Maku Ezers	id=g:864755
Mālezers	id=g:864756
Vecdaugava	id=g:864757
Mangaļsala	id=g:864758
Ziemas Osta	id=g:864759
Остров Любви	id=g:864760
Krievu Sala	id=g:864761
Auzu Sala	id=g:864762
Mazā Sala	id=g:864763
Priežu Sala	id=g:864764
Liepu Sala	id=g:864765
Ropažu Sala	id=g:864766
Priedkalne	id=g:864767
Bukulti	id=g:864768
Sekšu Ezers	id=g:864769
Krievupe	id=g:864770
Ataru Ezers	id=g:864771
Kreiļu Ezers	id=g:864772
Laveri	id=g:864773
Gaujmala	id=g:864774
Pulksteņezers	id=g:864775
Gauja	id=g:864776
Garezers	id=g:864777
Kalna Ulmaņa Sala	id=g:864778
Krievu Sala	id=g:864779
Liņu Ezers	id=g:864780
Pērssala	id=g:864781
Straujupes	id=g:864782
Endzeliņi	id=g:864783
Centra Dīķis	id=g:864784
Ādmiņu Dīķis	id=g:864785
Bīriņu Dīķis	id=g:864786
Bukas Dīķis	id=g:864787
Ummuru Ezers	id=g:864788
Rūnēni	id=g:864789
Jaunsostu Dīķi	id=g:864790
Velna Dīķis	id=g:864791
Veģu Dīķi	id=g:864792
Rumpju Dīķis	id=g:864793
Vecezers	id=g:864794
Ancišu Dīķi	id=g:864795
Matiņu Ezers	id=g:864796
Rūķēnu Ūdenskrātuve	id=g:864797
Lilaste	id=g:864798
Ezerlejas	id=g:864799
Pabažu Ezers	id=g:864800
Lodes Ezers	id=g:864801
Dzelmes Ezers	id=g:864802
Eikažu Dīķis	id=g:864803
Punga	id=g:864804
Kauliņu Ezers	id=g:864805
Knīderu Dzirnavu Ezers	id=g:864806
Braslas Ūdenskrātuve	id=g:864807
Kalnazāģeru Dīķi	id=g:864808
Ķikaulis Ezers	id=g:864809
Mazezers	id=g:864810
Dziļezers	id=g:864811
Ģerķišezers	id=g:864812
Malkalna Dīķis	id=g:864813
Paldažu Dīķi	id=g:864814
Lādeskroga Dīķi	id=g:864815
Ausmas Dīķis	id=g:864816
Melnezers	id=g:864817
Vainižu Dīķi	id=g:864818
Dreimaņu Dīķis	id=g:864819
Muižkalni	id=g:864820
Šķīsterciems	id=g:864821
Rūkas	id=g:864822
Viļķenes Dīķi	id=g:864823
Cimelis	id=g:864824
Līcīši	id=g:864825
Puikules Stacija	id=g:864826
Darbnīcu Dīķis	id=g:864827
Maizezers	id=g:864828
Greiļu Dīķis	id=g:864829
Ārciema Ūdenskrātuve	id=g:864830
Jāņdzirnavu Dīķis	id=g:864831
Ungurpils Dvirnavezers	id=g:864832
Ķāvu Dzirnavu Ezers	id=g:864833
Ziemciems	id=g:6354901
Reval Hotel Latvija	id=g:6463276
Maritim Park Hotel Riga	id=g:6464175
Reval Hotel Ridzene	id=g:6464226
Karavella Hotel	id=g:6464280
Konventa Seta Hotel	id=g:6464435
Tia Hotel	id=g:6464443
Hotel Grand Palace	id=g:6465993
Jurnieks	id=g:6470292
Hotel de Rome	id=g:6478270
Metropole Hotel Riga	id=g:6480117
Radisson SAS Daugava Hotel	id=g:6481161
Hotel Liene	id=g:6493105
Toss Hotel	id=g:6493621
Europa Royale Riga	id=g:6493957
Nordic Hotel Jekaba	id=g:6494019
Europa City Riga Hotel	id=g:6494183
Monika Centrum Hotels	id=g:6494474
City Hotel Bruninieks	id=g:6495127
Domina Inn Riga	id=g:6495573
Best Hotel	id=g:6495694
Hotel Anda	id=g:6496341
Hotel Riga	id=g:6496851
Albert Hotel	id=g:6498187
NB Hotel	id=g:6499525
Park Hotel Latgola	id=g:6504980
Baltpark Hotel	id=g:6518420
Designapartments	id=g:6519154
Boutique Hotel Viesturs	id=g:6519564
Monte Kristo Hotel	id=g:6521144
Kolonna Hotel - Cesis	id=g:6521285
Kolonna Hotel- Rezekne	id=g:6521542
Hotel Valdemars	id=g:6522326
Boutique Hotel Ainavas	id=g:6528305
Bw Hotel Mara	id=g:6530344
Camping Tirukši	id=g:6547226
Vecrīga	id=g:6615326
Jaunlietņi	id=g:6617958
Gulbīši	id=g:6617959
Timbas ezers	id=g:6617960
Lapainis	id=g:6617961
Populis	id=g:6617962
Mareņi	id=g:6617963
Zelti	id=g:6617964
Lāčkalni	id=g:6617965
Bajāri	id=g:6617966
Šķudas	id=g:6617967
Minči	id=g:6617968
Lejasrunči	id=g:6617969
Vizuļi	id=g:6617970
Prūši	id=g:6617971
Aičas dzirnavu ezers	id=g:6617972
Lūši	id=g:6617973
Ķiži	id=g:6617974
Dēļas	id=g:6617975
Rencēnu kapi	id=g:6617976
Čukuri	id=g:6617977
Cālīši	id=g:6617978
Ķīļi	id=g:6617979
Jāņparks	id=g:6617980
Lizdēni	id=g:6617981
Sauļi	id=g:6617982
Burtnieku baznīca	id=g:6617983
Ezerpriedes	id=g:6617984
Oleru purvs	id=g:6617985
Ķemere	id=g:6617986
Seda	id=g:6617987
Trulis	id=g:6617988
Šēfera birzs	id=g:6617989
Kazdangas kapi	id=g:6617990
Mašas	id=g:6618523
Imanta	id=g:6620390
Zolitūde	id=g:6620391
Vecaičas	id=g:6691888
Jaunaičas	id=g:6691889
Baltceri	id=g:6691890
Zelti	id=g:6691891
Argaļi	id=g:6691892
Speļģi	id=g:6691893
Tēraudi	id=g:6691894
Induļi	id=g:6691895
Ābeles	id=g:6691896
Ķelles	id=g:6691897
Arāji	id=g:6691898
Kaķīši	id=g:6691900
Runči	id=g:6691901
Upītes	id=g:6691902
Rudzīši	id=g:6691903
Buciņas	id=g:6691904
Pabēži	id=g:6691905
Nauči	id=g:6691906
Žvīguri	id=g:6691907
Lejasģēģeri	id=g:6691908
Ceriņi	id=g:6691909
Lauciņi	id=g:6691910
Roči	id=g:6691911
Dukuri	id=g:6691912
Eniņi	id=g:6691913
Adzelvieši	id=g:6691914
Čakši	id=g:6691915
Rīgas centrālā dzelzceļa stacija	id=g:6956047
Grīvani	id=g:6957637
Mežvistas	id=g:6957639
Riga TV Tower	id=g:7281582
Riga LVRTC Radio Mast	id=g:7282204
Riga LVRTC Blaw-Knox Radio Mast	id=g:7282205
Aunēni	id=g:7303579
Smilts karjers	id=g:7303580
Cērkstes dzirnavas	id=g:7303581
Mudīrīyat Umm ar Rizam	id=g:80501
Mudīrīyat Martūbah	id=g:80502
Lamlūdah	id=g:80503
Mutaşarrifīyat al Marj	id=g:80504
Mudīrīyat al Marj	id=g:80505
Wādī aḑ Ḑuraybāt	id=g:80506
Bi’r al ‘Uz̧aym	id=g:80507
Az Zuwaytīnah	id=g:80508
Bardīyah	id=g:80509
`Ayn Zayyānah	id=g:80510
Bi’r Zūzāb	id=g:80511
Ābār az Zuwayyil	id=g:80512
Ţarīq az Zuwayyah	id=g:80513
Ţarīq Zuwayyah	id=g:80514
Qūr Zuwayyah	id=g:80515
Qabr az Zuwayyah	id=g:80516
‘Ayn Zuwayyah	id=g:80517
Ra's az Zuwayy	id=g:80518
Bi’r az Zuwayy	id=g:80519
Shuţbān az Zuwaytīnāt	id=g:80520
Wādī az Zuwaytīnah	id=g:80521
Sīrat az Zuwaytīnah	id=g:80522
Sabkhat az Zuwaytīnah	id=g:80523
Wādī az Zuwaytīn	id=g:80524
Wādī az Zuwaytīn	id=g:80525
Ru’ūs az Zuwayllā	id=g:80526
Wādī az Zuwaylī	id=g:80527
Qārat az Zurq	id=g:80528
Jabal az Zurq	id=g:80529
Qabr az Zurayrī‘	id=g:80530
Abyār az Zuqaymāt	id=g:80531
Bi’r az Zuqaym	id=g:80532
Bi’r az Zunqarah	id=g:80533
Wādī Zunnārah	id=g:80534
Jabbānat az Zūmīyah	id=g:80535
Zulayţāt al Ghazāl	id=g:80536
Wādī az Zulayfāt	id=g:80537
Sīrat az Zulayfāt	id=g:80538
Wādī Zuhūm	id=g:80539
Balţat Zuhrah	id=g:80540
Bi’r Zuḩayyif	id=g:80541
Wādī az Zuhayrī	id=g:80542
Shaţīb az Zuhayrī	id=g:80543
Shaţīb az Zuhayrī	id=g:80544
Wādī az Zuhayrah	id=g:80545
Wādī az Zuhayrah	id=g:80546
Jabbānat Z̧uhayrah	id=g:80547
Wādī az Zuḩayḩīf	id=g:80548
Wādī az Zuḩayḩīf	id=g:80549
Jabbānat az Zuḩayḩīf	id=g:80550
Bi’r az Zuḩayḩīf	id=g:80551
Bi’r az Zuḩayḩīf	id=g:80552
Bi’r az Zuḩayf	id=g:80553
Sāniyat Zūbī	id=g:80554
Ra’s Zu‘aytirah	id=g:80555
Abyār az Zu‘aytir	id=g:80556
Bi'r Zu`ayr	id=g:80557
Wādī Zu`ayq	id=g:80558
Wādī Zu’ānah	id=g:80559
Wādī Zu'ānah	id=g:80560
Wādī Zu'ānah	id=g:80561
Qārat Zri	id=g:80562
Bi'r az Zītāyah	id=g:80563
Madrasat az Zirā`ah	id=g:80564
Wādī az Zīr	id=g:80565
Ḩalq az Zīr	id=g:80566
Zīq ‘Ayn al Māl	id=g:80567
Shaţīb az Ziqāq	id=g:80568
Wādī az Zinādī	id=g:80569
Sīrat Zīmah	id=g:80570
Ghawţ az̧ Z̧ill	id=g:80571
Ghawţ az̧ Z̧ill	id=g:80572
Abyār az̧ Z̧ill	id=g:80573
Wādī Zīghan	id=g:80574
Zīghan	id=g:80575
Bi’r az Zibl	id=g:80576
Wādī Za`zūk	id=g:80577
Wādī Zāzah	id=g:80578
Raqabat az Zayyātī	id=g:80579
Ḩaqfat az Zayyātīn	id=g:80580
Ḩaqfat az Zayyāt	id=g:80581
Minqār az Zayyān	id=g:80582
Bi'r az̧ Z̧ayy	id=g:80583
Raqabat az Zaytūnah	id=g:80584
Minţaqat az Zaytūnah	id=g:80585
