Hācheh Dāghī	id=g:6689142
Kūh-e ‘Azīz Leylā	id=g:6709784
Kūh-e Qeshlāq	id=g:6709785
Cherāgh Veys	id=g:6709786
Māzūj Darreh	id=g:6709787
Kūh-e Bardāspī	id=g:6709788
Kūh-e Gerdeh Rāḩateh	id=g:6709789
Darreh-ye Pārsyād	id=g:6709790
Kūh-e Varzemmeh	id=g:6709791
Kūh-e Posht Mālān	id=g:6709792
Kūh-e Kandeh Sūreh	id=g:6709793
Kūh-e Banafsheh	id=g:6709794
Kūh-e Qal‘eh Gāh	id=g:6709795
Eslāmābād	id=g:6709796
Kūh-e Qalā‘	id=g:6709797
Qeshlāq-e Qāẕī	id=g:6709798
Kūh-e Khoshkeh Darreh	id=g:6709799
Kūh-e Rash	id=g:6709800
Kūh-e Şagharbalān	id=g:6709801
Darreh-ye Kānī Sefīd	id=g:6709802
Khoramtā	id=g:6709803
Kūh-e Chow Ālūy	id=g:6709804
‘Aqlābād	id=g:6709805
Darreh Ābī	id=g:6709806
Kūh-e Sang Sīāh	id=g:6709807
Kūh-e Eskanrān	id=g:6709808
Cham-e Mīradeh	id=g:6709809
Cham-e Gūreh	id=g:6709810
Pāzh Bolāgh	id=g:6709811
Tapī	id=g:6709812
ʻEyshābād	id=g:6709813
Kūh-e Shākh Rash	id=g:6709814
Gardgīlān	id=g:6709815
Qāqolābād	id=g:6709816
Khāneqāh-e Sheykh Zanbīl	id=g:6709817
Zanbīl	id=g:6709818
Maqbareh-ye Seyyed Anvar	id=g:6709819
Jamīān	id=g:6709820
Shīlānābād	id=g:6709821
Kānī Zarrīneh	id=g:6709822
Harmīleh	id=g:6709823
Kūh-e Ostād Moşţafá	id=g:6709824
Kūh-e Darband	id=g:6709825
Saʻīdābād	id=g:6709826
Rūdkhāneh-ye Tethū	id=g:6709827
Kahrīzeh-ye Ayyūbī	id=g:6709828
Qahrābād-e Soflá	id=g:6709829
Kūh-e Mollā Ḩamzeh	id=g:6709830
Kūh-e Shams od Dīn	id=g:6709831
Shaqūyaf	id=g:6709832
Tappeh-ye Haft Tavānī	id=g:6709833
ʻAlīshāh Keshteh	id=g:6709834
Maqbareh-ye Seyyed Sūnaj	id=g:6709835
Taqāţo‘-e Qāfeleh Rāh	id=g:6709836
Gorgāvī	id=g:6709837
Qal‘eh Sharafī	id=g:6709838
Kūh-e Bardeh Zard	id=g:6709839
Maqbareh-ye Ḩasan Zīrak	id=g:6709841
Maḩall-e Eḩdās̄-e Shahrak-e Shardārī-ye Būkān	id=g:6709842
Marmar	id=g:6709843
Ḩeşār	id=g:6709844
Kahrīzīūn	id=g:6709845
Kūh-e Tūlakeh	id=g:6709846
Kūh-e Qolā	id=g:6709847
Kūchek-e Pā'īn	id=g:6709848
Kūh-e Āl Shīneh	id=g:6709849
Qelīch	id=g:6709850
Qūchāq	id=g:6709851
Mandīl Besar	id=g:6709852
Kūh-e Oshkūtīn	id=g:6709853
Ordūgāh-e Fajr	id=g:6709854
Sar Kal	id=g:6709855
Kūh-e Bālūqāyeh	id=g:6709856
Bardeh Kūh	id=g:6709857
Sūrākh-e Kabūtar	id=g:6709858
Āltūn-e Bālā	id=g:6709859
Seyyedābād	id=g:6709860
Chakasheh	id=g:6709861
Kūh-e Ālmātū	id=g:6709862
Jegar Āghāch	id=g:6709863
Mamashān	id=g:6709864
Kūh-e Shīrīn Kand	id=g:6709874
Bāgh-e Khodā Karam	id=g:6709875
Kūh-e Shīr	id=g:6709876
Shūrjeh Bārūq	id=g:6709877
Kūch Dāghī	id=g:6709878
Sahand Bālekh	id=g:6709879
Darmāngāh	id=g:6709880
Pīr Dāghī	id=g:6709881
Bādāmlī Dāgh	id=g:6709882
Chākhmāq Darreh	id=g:6709883
Pāreh-ye Soflá	id=g:6709884
Pāreh-ye ‘Olyā	id=g:6709885
Kūh-e Kīl Kah	id=g:6709886
Kānī Kūzlah	id=g:6709887
Tappeh-ye Gordeh Shīn	id=g:6709888
Tappeh-ye Khazāneh	id=g:6709889
Kūh-e Kachī Sheykh	id=g:6709890
‘Abdollāhābād	id=g:6709891
Kūh-e Qarāvol Khāneh	id=g:6709892
Kānī Gol	id=g:6709893
Kūh-e Ān Dowzāvī	id=g:6709894
Kānī ‘Alī Gordeh	id=g:6709895
Kūh-e Kānī Qal‘eh	id=g:6709896
Darreh-ye Kānī Nabī Āqā	id=g:6709897
Darreh-ye Khīzlān	id=g:6709898
Kānī Bonāb	id=g:6709899
Davlū	id=g:6709900
Kūh-e Cher Chereh	id=g:6709901
Kūh-e Sālem Oţāq	id=g:6709902
Kūh-e Kharī Bardāsh	id=g:6709903
Chowgānlū	id=g:6709904
Kūh-e Zard Gūreh	id=g:6709905
Āghchehlū	id=g:6709906
‘Azīz Kand	id=g:6709907
Qal‘eh Kharābeh	id=g:6709908
Kūh-e Nowrūz Golī	id=g:6709909
Kūh-e Āq Dāsh	id=g:6709910
Qūlānjeq	id=g:6709911
Moḩammadābād	id=g:6709912
Zamānābād	id=g:6709913
Kūh-e Sheykh ‘Abbās	id=g:6709914
Kūh-e Gonī Lor	id=g:6709915
Dalah Pasverī	id=g:6709916
Kūh-e Shūmlū Arkhash	id=g:6709917
‘Alīābād	id=g:6709918
Kūh-e ‘Alīābād	id=g:6709919
Kūh-e Qūch Arkhash	id=g:6709920
Kūh-e Bānī Qayeh	id=g:6709921
Kūh-e Qameh Yūrdī	id=g:6709922
Shīrīn Bolāgh	id=g:6709923
Qareh Darreh	id=g:6709924
Qeychī Chaman	id=g:6709925
Darreh-ye Sārī Dāsh	id=g:6709926
Tappeh-ye Gereh Khareh	id=g:6709927
‘Adlābād	id=g:6709928
Ḩamīd	id=g:6709929
Amīrābād	id=g:6709930
Boyūk Dāgh	id=g:6709931
Shūr Kahrīz	id=g:6709932
Mollā Bolāghī	id=g:6709933
Hamah Jān Bolāghī	id=g:6709934
Dallak Gowzeh	id=g:6709935
Kahūl Darreh	id=g:6709936
Bash Āchīq	id=g:6709937
Ārāl Khānā Darrehsī	id=g:6709938
Qelīch Dāghī	id=g:6709939
Qūrnī Bolāgh	id=g:6709940
Āqbolāgh	id=g:6709941
Gowzlī Dāgh	id=g:6709942
‘Abdollāh Bolāghī	id=g:6709943
Yalī Bolāgh Darrehsī	id=g:6709944
Qoroqchī Darrehsī	id=g:6709945
Gowzlū-ye ‘Olyā	id=g:6709946
Esmā‘īl Kandī	id=g:6709947
Kūh-e Kāvārsh	id=g:6709948
Gowzlī Chāy	id=g:6709949
Gowzlū-ye Soflá	id=g:6709950
Kūh-e Ferẕī	id=g:6709951
Kūh-e Jān Āqā	id=g:6709952
Kūh-e Qarāvol	id=g:6709953
Tak Āqāch Chāy	id=g:6709954
Dāsh Āltī	id=g:6709955
Kūh-e Ozūn GedaK	id=g:6709956
Kūrā Bolāgh	id=g:6709957
Jān Āqā	id=g:6709958
Kūh-e Sārī Shūsh	id=g:6709959
Yengejeh	id=g:6709960
Shakhş	id=g:6709961
Kūh-e Qareh Dāsh	id=g:6709962
Naşīr Bolāghī	id=g:6709963
Kūh-e Seyl Band	id=g:6709964
Darreh-ye ‘Alīābād	id=g:6709965
Qareh Bolāgh-e Soflá	id=g:6709966
Kabīrlī	id=g:6709967
Kūh-e Qareh Dāsh	id=g:6709968
Ḩeydarābād	id=g:6709969
Āghcheh Masjed	id=g:6709970
Sa‘īdābād	id=g:6709971
Ḩoseynābād	id=g:6709972
Kūh-e Qār Yāghdī	id=g:6709973
Darreh-ye Sīāvosh	id=g:6709974
Shīrīn Sū	id=g:6709975
Kānī-ye Senjed	id=g:6709976
Kānī Jowz	id=g:6709977
Loţfābād	id=g:6709978
Seh Kānīān	id=g:6709979
Kānī Qal‘eh	id=g:6709980
Gāmīshān	id=g:6709981
Khāvārzamīn	id=g:6709982
Kūh-e Pazhmālān	id=g:6709983
Kānī Sīrān	id=g:6709984
Kūh-e Qūchak	id=g:6709985
Tappeh-ye Bāqī	id=g:6709986
Dūkchī	id=g:6709987
Tappeh-ye Chehel Aşḩābeh	id=g:6709988
Kūh-e Chākī	id=g:6709989
Kūh-e Pīlāv Darreh	id=g:6709990
Qalāychī	id=g:6709991
Tappeh-ye Seh Gardān	id=g:6709992
Ḩasanābād	id=g:6709993
Kaltageh	id=g:6709994
Tappeh-ye Sabz Pūsh	id=g:6709995
Tappeh-ye Sārībābā	id=g:6709996
Gol	id=g:6709997
Tappeh-ye Torkaman Bābā	id=g:6709998
Havār Barzeh	id=g:6709999
Rūdkhāneh-ye Ozūn Darreh	id=g:6710000
Tappeh-ye Khātūn Zahrā	id=g:6710001
Kūh-e Qūch	id=g:6710002
Yāsī Kandī	id=g:6710003
Darāgh	id=g:6710004
Kānī Shīsheh	id=g:6710006
Kānī-ye Kalān	id=g:6710007
Tappeh-ye Shākheh Rash	id=g:6710008
Tappeh-ye Kānī Vīshkeh	id=g:6710009
Tappeh-ye Eynehchī	id=g:6710010
Kūh-e Kaltageh	id=g:6710011
Kānī-ye Kahrīz	id=g:6710012
Kūh-e Bardeh Rashān	id=g:6710013
Kānī-ye Pīrzhaneh	id=g:6710014
Kānī Sefīd	id=g:6710015
Kūh-e Dowshāhī	id=g:6710016
Sarchāveh	id=g:6710017
Kūh-e Dandermaz	id=g:6710018
Arbanūs	id=g:6710019
Īlānī	id=g:6710020
Tappeh-ye Sīāhrash	id=g:6710021
Kānī Sabzeh	id=g:6710022
Tappeh-ye Qal‘eh Bardīneh	id=g:6710023
Tappeh-ye Gardeh Qayeh	id=g:6710024
Kūh-e Charchareh	id=g:6710025
Aḩmadābād-e Dāsh Kasan	id=g:6710026
Tappeh-ye Takht-e Khān	id=g:6710027
Qal‘eh Kūchak	id=g:6710028
Kūh-e Gāmīshāldarū	id=g:6710029
Tappeh-ye Başar	id=g:6710030
Mūshāndarreh	id=g:6710031
Veysābād	id=g:6710032
Kūh-e Māhī Zard	id=g:6710033
‘Abbāsābād-e Behī	id=g:6710034
Ḩoseynābād	id=g:6710035
Kānī Allāh Seyedeh	id=g:6710036
Kūh-e Seh Kūhān	id=g:6710037
Kānī Sanjūd	id=g:6710038
Tappeh-ye Gowdeh-ye Hūrteh Kand	id=g:6710039
Rūdkhāneh-ye Do Ābeh	id=g:6710040
Ūrteh Kand	id=g:6710041
Ḩeydar Mast	id=g:6710042
Gāyanjeh	id=g:6710043
Kūh-e Barābar	id=g:6710044
Haft Kānīān	id=g:6710045
Chāl Gūreh	id=g:6710046
Kānī Shāshān	id=g:6710047
Sheykh ‘Alī	id=g:6710048
Kohneh Mollālar	id=g:6710049
Qāzān Sar	id=g:6710050
Kānī Faqīh	id=g:6710051
Kahrīzeh	id=g:6710052
Kūchek Āţmīsh	id=g:6710053
Tappeh-ye Tardazard	id=g:6710054
Rūdkhāneh-ye Sardārābād	id=g:6710055
Khorāsāneh	id=g:6710056
Zīāratgāh-e Bābā Qaţār	id=g:6710057
‘Azīz Kandī	id=g:6710058
Kūh-e Qormeh	id=g:6710059
Seyf od Dīn-e ‘Olyā	id=g:6710060
Kūh-e Āshākūn	id=g:6710061
Tappeh-ye Pīr Valī	id=g:6710062
Tappeh-ye Seh Chekān	id=g:6710063
Sar Nowbār	id=g:6710064
Emāmzādeh Pīr Moḩammad	id=g:6710065
Kūh-e Pīr Moḩammad	id=g:6710066
Boghdeh Dāghī	id=g:6710067
Kūh-e Seh Gordān	id=g:6710068
Sheykhlar	id=g:6710069
Kūh-e Pīr Ebrāhīm	id=g:6710070
Jāvarchīn	id=g:6710071
Kūh-e Gol kūy	id=g:6710072
Kūh-e Rostam	id=g:6710073
Maqbareh-ye Sheykh Aḩmad-e Kūr	id=g:6710074
Dangūz-e Soflá	id=g:6710075
Kūh-e Bīrak	id=g:6710076
Kūh-e Kūn Pas	id=g:6710077
‘Alī Kand	id=g:6710078
Gerdeh Tappeh	id=g:6710079
‘Abbāsābād	id=g:6710080
Aspūgheh	id=g:6710081
‘Abdollāh Tappehsī	id=g:6710082
Shūrījeh	id=g:6710083
Kūh-e Seh Qolleh	id=g:6710084
Tappeh-ye Cherāgh Bābā	id=g:6710085
Kūh-e Badavī	id=g:6710086
Sīmmīneh	id=g:6710087
Band	id=g:6710088
Tappeh-ye Qermez	id=g:6710089
Kūh-e Shām ‘Olīyān	id=g:6710090
Kūh-e Dāgh Dāghānī	id=g:6710091
Mūcheh	id=g:6710092
Kūh-e Bekr Āqā	id=g:6710093
Kūh-e Sorkh	id=g:6710094
Kahrīzān	id=g:6710095
Kānī Hakī	id=g:6710096
Tappeh-ye Sheykhī	id=g:6710097
Ashkūtān	id=g:6710098
Zīāratgāh-e Pīr Moḩammad	id=g:6710099
Kānī Shaqāqān	id=g:6710100
Zīāratgāh-e Ḩājj Esmā‘īl	id=g:6710101
Maqbareh-ye Sheykh Shaleh	id=g:6710102
Kūh-e Sepīd	id=g:6710103
Kūh-e Qadkeh	id=g:6710104
Anbār-e Soflá	id=g:6710105
Tappeh Mollā Ḩasan	id=g:6710106
Zīāratgāh-e Ḩājj Sheykh Gol	id=g:6710107
Kahrīzeh-ye Maḩmūdābād	id=g:6710108
Kūh-e Shākh Reshāl	id=g:6710109
Shahrak-e Bonyād-e Shahīd	id=g:6710110
Kūh-e Na‘l Shekan	id=g:6710111
Shahrak-e Dāmdārān	id=g:6710112
Ţāherābād	id=g:6710113
Kānī Pānkeh	id=g:6710114
Zīāratgāh-e Fāţemeh Ojāq	id=g:6710115
Golzār-e Shohadā	id=g:6710116
Bashīrkhān Kandī	id=g:6710117
Dowlatābād	id=g:6710118
Manşūr Kandī	id=g:6710119
Kheyrābād	id=g:6710120
Tappeh-ye Gerdeh Shīn	id=g:6710121
Qēshlāq-e Ḩājjī Ḩasan	id=g:6710122
Gerdeh Qūl	id=g:6710123
Tappeh-ye Rash	id=g:6710124
Qeshlāq-e Zeynāl Kandī	id=g:6710125
Kheẕrābād	id=g:6710126
Zangīābād	id=g:6710127
Tappeh-ye Gerdeh Rash	id=g:6710128
Kūh-e Sararvāz	id=g:6710129
Darreh-ye Bar Āb	id=g:6710130
Gorgābād	id=g:6710131
Kūh-e Rād Sefīd	id=g:6710132
Darreh-ye Darūbard	id=g:6710133
Kānī-ye Bāstām	id=g:6710134
Kūh-e Chākeh Savāreh	id=g:6710135
Kānī-ye Darmān	id=g:6710136
Āghlīān	id=g:6710137
Kūh-e Zard Āghlīān	id=g:6710138
Bāstām	id=g:6710139
Bardarshān	id=g:6710140
Kūh-e Chīreh Rash	id=g:6710141
Maqşūdīān	id=g:6710142
Manūchehrī	id=g:6710143
Kūh-e Owtlejī	id=g:6710144
Daveh Shahrī	id=g:6710145
Kūh-e Mardak	id=g:6710146
Zīāratgāh-e Sheykh Ḩasan	id=g:6710147
Darreh-ye Polūrī Bāgh	id=g:6710148
Kūh-e Sārūt	id=g:6710149
Kūh-e ‘Abdollāhābād	id=g:6710150
‘Abdollāhābād	id=g:6710151
Kūh-e Sarīlābād	id=g:6710152
Sarīlābād	id=g:6710153
Kūlābād	id=g:6710154
Qārenjeh-ye Bozorg	id=g:6710155
Kūh-e Na‘l Shekasteh	id=g:6710156
Qārenjeh-ye Kūchek	id=g:6710157
Kūh-e Sārī Bābā	id=g:6710158
Qal‘eh Rasūl Seyat	id=g:6710159
Kūh-e Pīr Moḩammad	id=g:6710160
Kūh-e Esmā‘īl Āqā	id=g:6710161
‘Alīābād-e Qarah Gowl	id=g:6710162
Kārkhāneh-ye Pūdr-e Sang Sahand	id=g:6710163
Kūh-e Qeshlāqlū	id=g:6710164
Kūreh-ye Ājorpazī-ye Eteḩād ow Sālār	id=g:6710165
Dehdārī	id=g:6710166
Behīābād	id=g:6710167
Shīnābād	id=g:6710168
Aşgharābād	id=g:6710169
Qabāgh Kandī	id=g:6710170
Dāneshgāh-e Payām-e Nūr	id=g:6710171
Yūzbāsh Kandī	id=g:6710172
Pārk-e Hādī	id=g:6710173
Valīābād	id=g:6710174
Restūrān-e Sahand	id=g:6710175
Fatḩābād	id=g:6710176
Kūh-e Bābā Golgol	id=g:6710177
Maḩmūdābād	id=g:6710178
Sherkat-e Sāb Water	id=g:6710179
Kūh-e Kahlīk Owtī	id=g:6710180
Moḩsenābād	id=g:6710181
Qāzān Dāgh	id=g:6710182
Kūh-e Gan Darreh	id=g:6710183
Kūh-e Qāryāqhdī	id=g:6710184
‘Olīār Kandī	id=g:6710185
Kūh-e Dāsh Bolāgh	id=g:6710186
Qēshlāq-e Nowrūzlū	id=g:6710187
Ḩōseynābād	id=g:6710188
Kūh-e Dāsh Chekhān	id=g:6710189
Khānehhā-ye Sāzemānī-ye Sadd-e Nowrūzlū	id=g:6710190
Sadd-e Nowrūzlū	id=g:6710191
Kūh-e Ḩājjī ‘Alī	id=g:6710192
Dalameh Dāgh	id=g:6710193
Moshīrābād	id=g:6710194
Karīmābād	id=g:6710195
Kūh-e Ālāshīn	id=g:6710196
Kūh-e Dowmalan	id=g:6710197
Kūh-e Bardeh Būk	id=g:6710198
Kūh-e Torāb	id=g:6710199
Kānī Mamalan	id=g:6710201
Kūh-e Kūlābād	id=g:6710202
Rābarī	id=g:6710203
Gāvmīsh Golī	id=g:6710944
Moḩammad Ḩanīfeh	id=g:6710946
Sadd-e ‘Alavīān	id=g:6710947
Mīkā'īlābād	id=g:6710948
Tāzeh Kand	id=g:6710949
Tāzeh-ye Soflá	id=g:6710950
Kūh-e Ābī	id=g:6710951
Mandīl Pesar Emāmzādeh	id=g:6710952
Goshāyesh	id=g:6710953
Zīāratgāh-e Hājer	id=g:6710954
Behnaq Chāy	id=g:6710955
Emāmzādeh Qarīb Khānom	id=g:6710956
Morghdārī-ye Sahnad	id=g:6710957
Qarah Darreh	id=g:6710958
Darreh-ye Darband	id=g:6710959
Gardaneh-ye Ghūzī	id=g:6710960
Kūchak Darreh	id=g:6710961
Qūzūchī Owlan	id=g:6710962
Ebel Dāgh	id=g:6710963
Qermez Dāgh	id=g:6710964
Tappeh-ye Ganjānī	id=g:6710965
Kūh-e Owchān	id=g:6710966
Darreh-ye Chahār Qayeh	id=g:6710967
Cheshmeh-ye Kandovān	id=g:6710968
Kūh-e Īmā	id=g:6710969
Gardaneh-ye Īmā	id=g:6710970
Ḩaqq Kūh	id=g:6710971
Ojāq Dāghī	id=g:6710972
Emāmzādeh Ojāq	id=g:6710973
Sarkārābād Chāy	id=g:6710974
Darreh-ye Chāy-e Qarah Kand	id=g:6710975
Cheshmeh-ye Ojāq	id=g:6710976
Cheshmeh-ye Nowrūz	id=g:6710977
Kūh-e Qermez Bolāgh	id=g:6710978
Sanjar Dāghī	id=g:6710979
Kūh-e Gadī	id=g:6710980
Kūh-e Ajdān	id=g:6710981
Darreh-ye Kāzī Bolāghī	id=g:6710982
Chālū Darreh	id=g:6710983
Kūh-e Chārāchkhvor	id=g:6710984
Qūsh Tappehsī	id=g:6710985
Kūh-e Sārī Kamareh	id=g:6710986
Chāy Kat	id=g:6710987
Darreh-ye Amrāneh	id=g:6710988
Kūh-e Āghlāghān	id=g:6710989
Alnī Chāy	id=g:6710990
Nahr-e Gūbī	id=g:6710991
Tappeh-ye Soleymān Takht	id=g:6710992
Ḩoseyn‘alī Tappehsī	id=g:6710993
Armanī Tappehsī	id=g:6710994
Chāy-e Chahār Borj	id=g:6710995
Dovehchī	id=g:6710996
Sātelmīsh-e Moḩammadābād	id=g:6710997
Zīāratgāh-e Moḩammad Zeyd ol Ḩasan	id=g:6710998
Ūch Tappeh	id=g:6710999
Gol Tappeh	id=g:6711000
Bāghlān Tappeh	id=g:6711001
Mamdal	id=g:6711002
Yūzbāsh Kandī	id=g:6711003
Pol-e Dokhtar	id=g:6711004
Qareh Dāgh	id=g:6711005
Tappeh-ye Moḩammad Ḩoseyn	id=g:6711006
Darreh-ye Shīr	id=g:6711007
Māsh Bolāgh	id=g:6711008
Darreh-ye Dorband	id=g:6711009
Bolū Darrehsī	id=g:6711010
Molū Darrehsī	id=g:6711011
Gū Dāgh	id=g:6711012
Ekīs Dāgh	id=g:6711013
Gong Darreh	id=g:6711014
Kūh-e Dīzaj	id=g:6711015
Ūsh Bāzīā Dāgh	id=g:6711016
Qarāvol Dāgh	id=g:6711017
Jānbāz Dāgh	id=g:6711018
Darreh-ye Ātūjeq	id=g:6711019
Maqbareh-ye Mīr Ḩoseyn	id=g:6711020
Galīm Bolāghī	id=g:6711021
Kahrīz-e Ābān	id=g:6711022
Kat Darrehsī	id=g:6711023
Bolāgh-e Fatḩ ‘Alī	id=g:6711024
Kahrīz-e Kūrchūleh	id=g:6711025
Āq Kahrīz	id=g:6711026
Āmenā Darrehsī	id=g:6711027
Dāsh Bolāgh Darrehsī	id=g:6711028
Darreh-ye Qozū Jolen	id=g:6711029
Qaţūr-e Ojāq Dāgh	id=g:6711030
Bāl Kahrīz	id=g:6711031
Qaţūr-e Yāstī	id=g:6711032
Kūh-e Qaţūr Būyūk	id=g:6711033
Bāyrām Bolāghī	id=g:6711034
Kahrīz-e Bāyrām	id=g:6711035
Darreh Chāy	id=g:6711036
Zīāratgāh-e Amīr Ghāyeb	id=g:6711037
Yūsof Kahrīz	id=g:6711038
Maḩmūd Dāghī	id=g:6711039
Būdākhān Dāgh	id=g:6711040
Darreh-ye Sakīneh Bolāghī	id=g:6711041
Qal‘eh-ye Bāstānī Bakhtak	id=g:6711042
Allāh Qūlū Tappehsī	id=g:6711043
Kūbī Chāy	id=g:6711044
Emāmzādeh Bābā Shalam	id=g:6711045
Banājūy-e Shomālī	id=g:6711046
Yengī Kand	id=g:6711047
Kūh-e Qarah Qoshūn	id=g:6711048
Shahrak-e San‘atī-ye Mehr	id=g:6711049
Qabī Chāy	id=g:6711050
Āz̄ar Bonāb	id=g:6711051
Kūh-e Pīr Nabī	id=g:6711052
Īstgāh-e Rāh Āhan-e Maragheh	id=g:6711053
Yūsefābād	id=g:6711054
Shahrak-e Valī-ye ‘Asr	id=g:6711055
Zanīq	id=g:6711056
Mardūq Chāy	id=g:6711057
Bashāt Ḩeşār	id=g:6711058
Rūdkhāneh-ye Gangīr	id=g:6711059
Morghdārī-ye Okhovvat	id=g:6711060
Cham Razhān	id=g:6711061
Barzah-e Ramaẕān	id=g:6711062
Shahrak-e Towḩīd	id=g:6711063
Halāshī	id=g:6711064
Nasār Halāshī	id=g:6711065
Dargah	id=g:6711066
Cheshmeh Jādar Rūtah	id=g:6711067
Cheshmeh Sefīd	id=g:6711068
Kūh-e Dārbādām	id=g:6711069
Darānbār	id=g:6711070
Rūdkhāneh-ye Gūāvar	id=g:6711071
Kānī-ye Kabūd	id=g:6711072
Amīr Ḩamzeh	id=g:6711073
Gadmeh	id=g:6711074
Darreh Cherū'īn	id=g:6711075
Emāmzādeh ‘Abdollāh	id=g:6711076
Khosraq	id=g:6711104
Pākel Garāb	id=g:6711182
Den Tūn	id=g:6711183
Cheshmeh-ye Shah	id=g:6711184
Dār Balūţ	id=g:6711185
‘Arab Rūdbār	id=g:6711186
Kīāsabz-e Naqd‘alī	id=g:6711187
Kūh-e Khūtak	id=g:6711188
Kūh-e Gach-e Jāberī	id=g:6711189
Chāh-e Zam zam	id=g:6711190
Rūbeh Rūd	id=g:6711191
Shahrak-e Valī-ye ‘Aşr	id=g:6711192
Cheshmeh-ye Māhī	id=g:6711193
Dārbīd	id=g:6711194
Sar Gandāb	id=g:6711195
Nahr-e Garāb	id=g:6711196
Tang-e Karno	id=g:6711197
Talkhāb	id=g:6711198
Tīmeh	id=g:6711199
Emāmzādeh Seyyed Ḩasan	id=g:6711200
Tang-e Haft Gīb	id=g:6711201
Eshkaf	id=g:6711202
Kūh-e Garāb	id=g:6711203
Haft Kadeh	id=g:6711204
Gol Gol	id=g:6711205
Darreh-ye Darvand Bājak	id=g:6711206
Changūleh	id=g:6711207
Changūleh	id=g:6711208
Tūt Shūhān	id=g:6711209
Rūdkhāneh-ye Tang Khoshūl	id=g:6711210
Kūh-e Būkelī	id=g:6711211
Varvīleh Shūhān	id=g:6711212
Cham-e Pārī Āb	id=g:6711213
Delkeshād	id=g:6711214
Manşūrābād	id=g:6711215
Mīān Tang	id=g:6711216
Rūdkhāneh-ye Mīān Tang	id=g:6711217
Dezkeh	id=g:6711218
Kūh-e Sīāh	id=g:6711219
Rūdkhāneh-ye Pīr Moḩammad	id=g:6711220
Emāmzādeh Pīr Moḩammad	id=g:6711221
Pākal Gadāb	id=g:6711222
Bāvalak	id=g:6711223
Rūstā-ye Ţāleqānī	id=g:6711224
Pālashkāb	id=g:6711225
Dolahāvas	id=g:6711226
Kūh-e Garīsā	id=g:6711227
Garāb Khvoshādūl	id=g:6711228
Khvoshādūl Shūhān	id=g:6711229
Sargol	id=g:6711230
Kūh-e Mīān Tang	id=g:6711249
Qeshlāq-e Bānazār	id=g:6711250
Gardaneh-ye Maleh Sefīd	id=g:6711251
Kūh-e Sheytān Bāzār	id=g:6711252
Qeshlāq-e Shalah Kosh	id=g:6711253
Kūh-e Narīmānrāh	id=g:6711254
Tang-e Kūrak Darreh	id=g:6711255
Darreh-ye Sūrākh Āb	id=g:6711256
Kūh-e Zarīnchīāḩ	id=g:6711257
Darreh-ye Kānī Nareh	id=g:6711258
Ḩodūd-e Shāhāneh	id=g:6711259
Bānavāz-e Zangīnī	id=g:6711260
Emāmzādeh ‘Abbās	id=g:6711261
Kamāngarān	id=g:6711262
Būzhān	id=g:6711263
Kūh-e Kandak	id=g:6711264
Qeshlāq-e Beyrī	id=g:6711265
Darreh-ye Shameh Kabūd	id=g:6711266
Darreh-ye Nes̄ār	id=g:6711267
Kūh-e Chālak	id=g:6711268
Kūh-e Tat Mar	id=g:6711269
Kūh-e Rīvāsān	id=g:6711270
Darreh-ye Sarāb Palgāneh	id=g:6711271
Kūh-e Jānevīs	id=g:6711272
Kūh-e Mīrākhvor	id=g:6711273
Kūh-e Kashk Rīzeh	id=g:6711274
Sherkat-e Mekānīzeh-ye Keshāvarzī-ye Jānevīs	id=g:6711275
Kūh-e Qalʻeh ʻAbbās	id=g:6711276
Tappeh-ye Chāl Bozeh	id=g:6711277
Tang-e Sārbon	id=g:6711278
ʻAlīmorād-e Shāhīvand	id=g:6711279
Sīāh Sīāh	id=g:6711280
Tappeh-ye Kalāneh	id=g:6711281
Tang-e Gūr Bodāgh	id=g:6711282
Kūh-e Shāh Bodāgh	id=g:6711283
Tang-e Shāh Bodāgh	id=g:6711284
Kūh-e Chāl Chāleh	id=g:6711285
Kūh-e Sarband	id=g:6711286
Kūh-e Tap Tap	id=g:6711287
Maleh-e Gāvbareh	id=g:6711288
Kūh-e Sharḩ Khātūn	id=g:6711289
Tang-e Cham Sorkh	id=g:6711290
Kūh-e Qalʻeh-ye Sām	id=g:6711291
Chālāb	id=g:6711292
Cham-e Zīrtang	id=g:6711293
Gardaneh-ye Shotor Maleh	id=g:6711294
Kūh-e Bar Āftāb	id=g:6711295
Gardaneh-ye Māzag	id=g:6711296
Kūh-e Ney Derāz	id=g:6711297
Tang-e Zardeh	id=g:6711298
Moḩammad Zamān-e Kamūleh	id=g:6711299
Maleh-e Shīrkhān	id=g:6711300
Kūh-e Kamūl	id=g:6711301
Kamūl	id=g:6711302
Kūh-e Rālī	id=g:6711303
Tang-e Shahneh	id=g:6711304
Tang-e Rīz Darreh	id=g:6711305
Kūh-e Nok-e Rāh Pāreh	id=g:6711306
Darreh-ye Mareh	id=g:6711307
Kūh-e Bādām	id=g:6711308
Bādām	id=g:6711309
Kūh-e Govār	id=g:6711310
Sarāveh	id=g:6711311
Gardaneh-ye Maleh Sīāh	id=g:6711312
Cheshmeh-ye Tomīāneh	id=g:6711313
Sarāb Mīlehsar	id=g:6711314
Kūh-e Mīleh sar	id=g:6711315
Gadangāh-e Qūchmī	id=g:6711316
Goz̄argāh-e Ḩaẕrat-e ‘Abbās	id=g:6711317
