Wādī al Hayj	id=g:74930
Jabal al Ghabrah	id=g:75709
Al ‘Ayn al Ghabrā’	id=g:75710
Bi’r Ghabr	id=g:75711
Ghabnūn	id=g:75712
Ghabl	id=g:75713
Ghabīb	id=g:75714
Ghābat Yaklā’	id=g:75715
Ghābat Mashya‘	id=g:75716
Wādī Ghabat	id=g:75717
Wādī Ghabaryah	id=g:75718
Wādī Ghabar al Asfal	id=g:75719
Wādī Ghabar al A‘lá	id=g:75720
Shi‘b Ghabarah	id=g:75721
Wādī al Ghabar	id=g:75722
Wādī al Ghabar	id=g:75723
Wādī Ghabar	id=g:75724
Khashm Ghabar	id=g:75725
Jabal al Ghabar	id=g:75726
Ḩişn Ghabar	id=g:75727
Ghabar	id=g:75728
Shi‘b Geweel	id=g:75729
Wādī aş Şawbān	id=g:75730
Jabal Geourounza	id=g:75731
Multaqá al Ghaylayn	id=g:75732
Gehere	id=g:75733
Shi‘b Geen	id=g:75734
Shi‘b Gedhou	id=g:75735
Gebarah	id=g:75736
G’beig’bayn	id=g:75737
Shi‘b Gazalit	id=g:75738
Al Qaza‘	id=g:75739
Gauan	id=g:75740
Wādī Garashib	id=g:75741
Garama	id=g:75742
Garadan Banī Eumeri	id=g:75743
Wādī Garadan	id=g:75744
Gar	id=g:75745
Jabal Gansher	id=g:75746
Gamos	id=g:75747
Gairiat	id=g:75748
Gahi Sâb	id=g:75749
Gadia	id=g:75750
Wādī al Gadeif	id=g:75751
Jabal Gada	id=g:75752
Fūwah	id=g:75753
Fuwayrah	id=g:75754
‘Aqabat Fuţrah	id=g:75755
Futaykhah	id=g:75756
Fūţah	id=g:75757
Fūţ	id=g:75758
‘Aqabat Fusdah	id=g:75759
Jabal al Furt	id=g:75760
Furḑat Naham	id=g:75761
Wādī al Farḑah	id=g:75762
Furayghah	id=g:75763
Ra’s Fūrah	id=g:75764
Al Furrah	id=g:75765
Ra’s Fuqum	id=g:75766
Bandar Fuqum	id=g:75767
Wādī Fūqayt	id=g:75768
Qarn Fuqayhah	id=g:75769
‘Aqabat al Fuqayḩah	id=g:75770
Funnel Island	id=g:75771
Wādī al Faqwah	id=g:75772
Jabal Fukhayḑ	id=g:75773
Bi’r Fujaymah	id=g:75774
Wādī Fuhayrī	id=g:75775
Wādī Fuhayrī	id=g:75776
Wādī Fughmah	id=g:75777
Fughmah	id=g:75778
Ḩişn al Fuḑūl	id=g:75779
Front Bay	id=g:75780
Flint Point	id=g:75781
Wādī al Fishlah	id=g:75782
Fishermans Bay	id=g:75783
Wādī Firqah	id=g:75784
Firi‘	id=g:75785
Jabal Riyām	id=g:75786
Ra’s Finţās	id=g:75787
Findah	id=g:75788
Wādī al Filq	id=g:75789
Shi‘b Filaq	id=g:75790
Jabal ar Rāḩib	id=g:75791
Bindar Fikhah	id=g:75792
Fikhah	id=g:75793
Fijere el Gaitani Pass	id=g:75794
Wādī Fidiya	id=g:75795
Feragey	id=g:75796
Wādī al Faysh	id=g:75797
Bi’r al Faysh	id=g:75798
Khashm Fayrih	id=g:75799
Al Fātirah	id=g:75800
Wādī Fayl	id=g:75801
Fayl	id=g:75802
Wādī Faydah	id=g:75803
Qā‘ al Fayd	id=g:75804
Wādī al Fawwāhah	id=g:75805
Fawshah	id=g:75806
Wādī Fawān	id=g:75807
Jabal Fawāliq	id=g:75808
Jabal al Fatk	id=g:75809
Fatihat	id=g:75810
Faţḩān	id=g:75811
Jazīrat Fasht	id=g:75812
Wādī al Fasahla	id=g:75813
Farthā	id=g:75814
Ra’s Fartak	id=g:75815
Jabal Fartak	id=g:75816
Wādī Farţah	id=g:75817
Wādī al Farshah	id=g:75818
Wādī Umm Farshah	id=g:75819
Wādī Farrūqīyah	id=g:75820
Wādī Farrāt	id=g:75821
Shi‘b Farqet	id=g:75822
Shi‘b Farqad	id=g:75823
Jabal Farjalāt	id=g:75824
Wādī Farīt	id=g:75825
Farīs	id=g:75826
Sha‘īb Farih	id=g:75827
Farih	id=g:75828
Shi‘b Farīdah	id=g:75829
Farīdah	id=g:75830
Jabal al Fāri‘	id=g:75831
Fa’r di-Zinagānoh	id=g:75832
Shi‘b Farawaut	id=g:75833
Shi‘b Farawaut	id=g:75834
Far‘at al Ḩanash	id=g:75835
Far‘at Āl at Tuwam	id=g:75836
Faraţ	id=g:75837
Far‘ān	id=g:75838
Far‘ān	id=g:75839
Faraj	id=g:75840
Wādī Far‘ah	id=g:75841
Najd al Far‘ah	id=g:75842
Wādī Farad	id=g:75843
Wādī al Farā‘	id=g:75844
Wādī Fara‘	id=g:75845
Wādī al Far‘	id=g:75846
Bi’r al Far‘	id=g:75847
Wādī al Faqīr	id=g:75848
Wādī al Faqdūnīyah	id=g:75849
Qalt al Faqash	id=g:75850
Jabal al Fanqūr	id=g:75851
False Bay	id=g:75852
Falasān	id=g:75853
Wādī Falanj	id=g:75854
Ra’s Falanj	id=g:75855
Jabal Falanj	id=g:75856
Jabal al Falāfilah	id=g:75857
Fakhidah	id=g:75858
Fakhdh	id=g:75859
Fakam	id=g:75860
Marsá al Fajrah	id=g:75861
Shi‘b Qushām	id=g:75862
Wādī Fajarah	id=g:75863
Bi’r Fajarah	id=g:75864
Fāj	id=g:75865
Fā’ir	id=g:75866
Fā’ir	id=g:75867
Wādī Faḩmān	id=g:75868
Shi‘b Faḩmān	id=g:75869
Jabal Faḩmān	id=g:75870
Wādī Faḩmah	id=g:75871
Fahīz	id=g:75872
Wādī Fahadh	id=g:75873
Wādī Faghmūt	id=g:75874
Sayḩ Faghmah	id=g:75875
‘Aqabat Fagha	id=g:75876
Qā’ Faḑūl	id=g:75877
Bi’r Faḑl	id=g:75878
Bi’r Faḑl	id=g:75879
Fāḑiyah	id=g:75880
‘Aqabat al Fadfadah	id=g:75881
Fuddān	id=g:75882
Faḑaḩ	id=g:75883
Extension	id=g:75884
Evans Rock	id=g:75885
Shi‘b Ethabout	id=g:75886
Wādī al Eroye	id=g:75887
‘Ērah	id=g:75888
Endeavour Shoal	id=g:75889
Jabal Ilhām	id=g:75890
Elephants Trunk	id=g:75891
Elephants Back	id=g:75892
Wādī Ejuan	id=g:75893
Ejuan	id=g:75894
Jabal Egraut	id=g:75895
East Rocks	id=g:75896
East Point	id=g:75897
Duyūr Sālim	id=g:75898
Shi‘b Duwayt al ‘Umrān	id=g:75899
Duwaym Bā Ḩasan	id=g:75900
Ḑuwayj	id=g:75901
Dusūs	id=g:75902
Dusurat	id=g:75903
Durkān	id=g:75904
Jabal Ḑuraymān	id=g:75905
Bi’r ad Duraymīyah	id=g:75906
Zuraymah	id=g:75907
Durāfī	id=g:75908
Jabal Durāf	id=g:75909
Wādī ad Dūr	id=g:75910
Wādī ad Dūr	id=g:75911
Jabal Qarn‘im	id=g:75912
Jabal Hadād	id=g:75913
‘Aqabat Duqm Bil Aswad	id=g:75914
Duqmat Ḩimá	id=g:75915
Duqm al Muḩawwal	id=g:75916
Duqm al Ghurāb	id=g:75917
Juzur Duqaylah	id=g:75918
Ad Dākhilīyah	id=g:75919
Wādī Dūnah	id=g:75920
Ḑumur Asab	id=g:75921
Khashm Ḑumr	id=g:75922
Dummar	id=g:75923
Ad Dummam	id=g:75924
Dumene	id=g:75925
Sha‘īb Dumdum	id=g:75926
Wādī Dumays	id=g:75927
Dumar	id=g:75928
Dulla	id=g:75929
Dulhama	id=g:75930
Wādī Ḑulay‘ah	id=g:75931
Dukhlus	id=g:75932
Shi‘b Dukhayl	id=g:75933
Dhukhār	id=g:75934
Wādī Dukhān	id=g:75935
Ḑuḩyān	id=g:75936
Wādī Duhur	id=g:75937
Wādī Duhur	id=g:75938
Duhrān	id=g:75939
Duhfari	id=g:75940
Shi‘b Duhaysh	id=g:75941
Ḑufur	id=g:75942
Dufayqah	id=g:75943
Dufayfah	id=g:75944
Wādī ad Dubī	id=g:75945
Ḑubī	id=g:75946
Jabal Ḑubbah	id=g:75947
Jabal Dubayy	id=g:75948
Wādī al Ḩammām	id=g:75949
Wādī Dubaylah	id=g:75950
Ḑubay‘ah	id=g:75951
Ḑubay‘ah	id=g:75952
Jabal Dubās	id=g:75953
Dubar	id=g:75954
Dubālah	id=g:75955
Wādī aḑ Ḑubā‘	id=g:75956
Duaba	id=g:75957
Shi‘b Dswit	id=g:75958
Shi‘b Dsower	id=g:75959
Shi‘b Dsower	id=g:75960
Douglas Point	id=g:75961
Ḑūrāfah	id=g:75962
Double Peak Island	id=g:75963
Jabal Dokar	id=g:75964
Jabal ad Dokaik	id=g:75965
Dohāk	id=g:75966
Dawghān	id=g:75967
Dogara	id=g:75968
Jabal Dogan	id=g:75969
Dmijmar	id=g:75970
Dīzyaf	id=g:75971
Di-Zihārhan	id=g:75972
Di-Zatmoh	id=g:75973
Diyār Luqrun Bin Nuqḩ	id=g:75974
Diyār Bin Tamīm	id=g:75975
Diyār Bin Sulaymān	id=g:75976
Diyār Bin Murayţān	id=g:75977
Diyār Banī Thābit	id=g:75978
Diyār aş Şuq‘ān	id=g:75979
Diyār Āl Nāşir	id=g:75980
Diyār al Ḩibāk	id=g:75981
Diyār Āl Fāris	id=g:75982
Diyār Āl Buqrī	id=g:75983
Diyār ‘Ād	id=g:75984
Diubi	id=g:75985
Dissain	id=g:75986
Khashm ad Diss	id=g:75987
Di-Shuyūkh	id=g:75988
Dishunigran	id=g:75989
Di-Sēya‘	id=g:75990
Di-Sa‘lilotī	id=g:75991
Disabah al Ghiyail	id=g:75992
Wādī Disabah	id=g:75993
‘Aqabat Disabah	id=g:75994
Ḩayy ad Dīs	id=g:75995
Ḑarwān	id=g:75996
Dhirwah	id=g:75997
Di-Rohan	id=g:75998
Dirnah	id=g:75999
Di-Rēnih	id=g:76000
Di-Raţhētī	id=g:76001
Dīrat Bā Ashan	id=g:76002
Dīrat ash Shaykh	id=g:76003
Dir‘ān	id=g:76004
Di-Rahmum	id=g:76005
Wādī ad Dīrah	id=g:76006
Ghubb Diknaw	id=g:76007
Jabal Dinashalah	id=g:76008
Dinan	id=g:76009
Di-Namhor	id=g:76010
Wādī Dinā	id=g:76011
Shi‘b ad Dīn	id=g:76012
Qawz Dimnān	id=g:76013
Khall Dimnān	id=g:76014
‘Irq Dimnān	id=g:76015
Bi’r ad Dimnah	id=g:76016
Dimnah	id=g:76017
Di-Mitūloh	id=g:76018
Di-Mīlḩoh	id=g:76019
Di-Mājūz	id=g:76020
Dimāj	id=g:76021
Dimāj	id=g:76022
Diluwa	id=g:76023
Wādī Dilhām	id=g:76024
Wādī Dilfrain	id=g:76025
Dilfī	id=g:76026
Di-Lāshah	id=g:76027
Jabal Dil‘ān	id=g:76028
Dilan	id=g:76029
Shi‘b Dilahayyah	id=g:76030
Dila‘ah Āl ’Aqīl	id=g:76031
Jawl aḑ Ḑil‘	id=g:76032
Jabal aḑ Ḑil‘	id=g:76033
Sha‘īb Diksou	id=g:76034
Di-Kīlibah	id=g:76035
Dikhnava	id=g:76036
Dijjar	id=g:76037
Di-Īshal	id=g:76038
Di-‘Īnizah	id=g:76039
Di-Imbālih	id=g:76040
Shi‘b Dihum	id=g:76041
Di-Ḩaşhuş	id=g:76042
Di-Ḩāmir	id=g:76043
Wādī Dihamah	id=g:76044
Farīd Dihamah	id=g:76045
Di-Hajhoh	id=g:76046
Di Haholan	id=g:76047
Digisol	id=g:76048
Dighat	id=g:76049
Ḑīghān	id=g:76050
Di-Fa‘rhoh	id=g:76051
Di-Dya‘ah	id=g:76052
Rhiy di-Dīdum	id=g:76053
Di-Da‘rhoh	id=g:76054
Bindar Dibnī	id=g:76055
Rhiy di-Diblih	id=g:76056
Di-Bizirdig	id=g:76057
Dibay	id=g:76058
Jabal Dhabāb	id=g:76059
Dibāb	id=g:76060
Ḑib`	id=g:76061
Di-‘Asrhoh	id=g:76062
Di-‘Asmoh	id=g:76063
Dhū ‘Udhrah	id=g:76064
Wādī Dhuruf	id=g:76065
Jabal Z̧urkām	id=g:76066
Wādī Dhurah	id=g:76067
Dhū Muḩammad	id=g:76068
Dhummar	id=g:76069
Wādī Dhumayrūn	id=g:76070
Shi‘b Dhulayfah	id=g:76071
Jabal Dhula	id=g:76072
Dhula‘	id=g:76073
Dhula	id=g:76074
Dhukrī	id=g:76075
Dhū ‘Īd	id=g:76076
Dhū Ḩusayn	id=g:76077
Dhuhr	id=g:76078
Dhū Ghīlān	id=g:76079
Dhū Fāri‘	id=g:76080
Shi‘b Dhudina	id=g:76081
Dhudhub	id=g:76082
Shi‘b Dhubuk	id=g:76083
Dhū Biḩīn	id=g:76084
Dhubḩānī	id=g:76085
Jabal Yumayn	id=g:76086
Khashm Dhubb	id=g:76087
Wādī Ḑubāwah	id=g:76088
Dhubāb	id=g:76089
Najd Dhuba	id=g:76090
Dhu’ayb	id=g:76091
Dhū aţ Ţalab	id=g:76092
Dhū al Quţaysh	id=g:76093
Shi‘b Dhthqui	id=g:76094
Shi‘b Dh’taka	id=g:76095
Shi‘b Dhsrit	id=g:76096
Shi‘b Dhsowr	id=g:76097
Shi‘b Dhshrashar	id=g:76098
Shi‘b Dhri	id=g:76099
Shi‘b Dh’reyaghub	id=g:76100
Jabal adh Dhobani	id=g:76101
Dhobani	id=g:76102
Shi‘b Dhmeit	id=g:76103
Wādī Dhlylem	id=g:76104
Dhiyām	id=g:76105
Dhī Yabl	id=g:76106
Dhiwein	id=g:76107
Dhī Wādinah	id=g:76108
Jabal Dhī ‘Ulayb	id=g:76109
Dhī Şūrah	id=g:76110
Dhī Shirāq	id=g:76111
Dhī Sharq	id=g:76112
Dhī Sayl	id=g:76113
Dhī Şawwar	id=g:76114
Dhī Saba al Jawf	id=g:76115
Wādī Dhiryū	id=g:76116
Jabal Dhirwān	id=g:76117
Dhirāb	id=g:76118
Wādī Dhirā‘	id=g:76119
Wādī adh Dhiqnah	id=g:76120
Shi‘b Dhī Qiblayn	id=g:76121
Ḩayḑ Dhī Naşr	id=g:76122
Dhī Nākhib	id=g:76123
Dhī Nājidh	id=g:76124
Dhī Nā‘im	id=g:76125
Wādī Dhī Muraykh	id=g:76126
Wādī Dhimfa‘	id=g:76127
Dhī Masal	id=g:76128
Dhī Markh	id=g:76129
‘Aqabat Dhī Maqbīl	id=g:76130
Dhī Maḑḑāḩī	id=g:76131
Wādī Dhī Lībān	id=g:76132
Dhī Kāḩil	id=g:76133
Dhik	id=g:76134
Dhī Ashra‘	id=g:76135
Shi‘b Dhihushm	id=g:76136
Shi‘b Dhihshryia	id=g:76137
Dhihob	id=g:76138
Dhī Ḩirrān	id=g:76139
Dhī Ḩawrah	id=g:76140
Dhīḩān	id=g:76141
Dhifyūr	id=g:76142
Bi’r Dhifen	id=g:76143
Dhīfān	id=g:76144
Wādī Hawwān	id=g:76145
Wādī Dhī Bīn	id=g:76146
Dhī Bīn	id=g:76147
Wādī Dhibayrī	id=g:76148
Dhī Baḩwar	id=g:76149
Jawl adh Dhi’b	id=g:76150
Dhī ‘Ayn	id=g:76151
Wādī Ḑubā’	id=g:76152
Dhī as Sufāl	id=g:76153
Dhī Sufāl	id=g:76154
Dhī ash Shurţah	id=g:76155
Dhī Anās	id=g:76156
Dhī al Ḩumar	id=g:76157
Dhī al Fījah	id=g:76158
Dhī ‘Abam	id=g:76159
Shi‘b adh Dhi’āb	id=g:76160
Qarn adh Dhi’āb	id=g:76161
Qarn adh Dhi’āb	id=g:76162
Shi‘b Dhharadh	id=g:76163
Dheban	id=g:76164
Dhawbah	id=g:76165
Shi‘b Dha‘tharān	id=g:76166
Dha Sohis	id=g:76167
Wādī Dharr	id=g:76168
Dharmah Markal	id=g:76169
Wādī Dharḩān	id=g:76170
Dharḩān	id=g:76171
Wādī Dhareiwok	id=g:76172
Wādī Dharawa	id=g:76173
Dhara	id=g:76174
Jabal Dhanī	id=g:76175
Dhanbarī	id=g:76176
Dhanabah	id=g:76177
Dhanab	id=g:76178
Wādī Dhana	id=g:76179
Wādī Dhāmir	id=g:76180
Jabal aḑ Ḑāmir	id=g:76181
Madīnat Dhamār	id=g:76182
Muḩāfaz̧at Dhamār	id=g:76183
Dhamār	id=g:76184
Qārat Dhalheitec	id=g:76185
Wādī Dhalbīr	id=g:76186
Shi‘b Dhakhtar	id=g:76187
Wādī Dhakadūn	id=g:76188
Dhainimr	id=g:76189
Dhaht Ḩanash	id=g:76190
Dhāhib al Ḩajar	id=g:76191
Dhāhib	id=g:76192
Wādī Dhaḩawn	id=g:76193
Dhāhat ad Dābis	id=g:76194
Shi‘b Dhahara	id=g:76195
Dhahabān	id=g:76196
Wādī Dhahabah	id=g:76197
Wādī Dhahab	id=g:76198
Shi‘b Dhagaanab	id=g:76199
Dhāfir	id=g:76200
Dhafghan	id=g:76201
Dhabīz	id=g:76202
Dhabdhab	id=g:76203
Shi‘b Dhabahan	id=g:76204
Wādī Dhābah	id=g:76205
Dha‘an	id=g:76206
D’gath	id=g:76207
Dermie	id=g:76208
Derebe	id=g:76209
Dhanabah	id=g:76210
Dennen	id=g:76211
Dehsime	id=g:76212
Deham	id=g:76213
Dayyin	id=g:76214
Jabal ar Rayyānī al Qayl	id=g:76215
Dayyān	id=g:76216
Jazīrat Dayy	id=g:76217
Al ‘Uqaylīyah	id=g:76218
Dayr ‘Umar	id=g:76219
Dayr al Ubākī	id=g:76220
Dayr Ţahām	id=g:76221
Dayr as Sulaymānī	id=g:76222
Dhī Zubayyā’	id=g:76223
Dayr Shuwayl	id=g:76224
Dayr Shu‘lah	id=g:76225
Dayr Shiqabah	id=g:76226
Dayr ash Shaykh	id=g:76227
Dayr al ‘Allāk	id=g:76228
Dayr as Sayf	id=g:76229
As Sūdah	id=g:76230
Dayr as Sīd	id=g:76231
Dayr Sāhir	id=g:76232
Ar Rudaynī	id=g:76233
Dayr Ribāţ	id=g:76234
Dayr Rājiḩ	id=g:76235
Ar Rāfi‘ī	id=g:76236
Dayr Quţaynah	id=g:76237
Dayr Qaml	id=g:76238
Al ‘Awlah	id=g:76239
Dayr Nagari	id=g:76240
Dayr al Mukattaf	id=g:76241
Al Muḩaysim	id=g:76242
Dayr al Muḩannib	id=g:76243
Dayr Muḩammad	id=g:76244
Maḩall Muḑayyā’	id=g:76245
Dayr Murrah	id=g:76246
Dayr Mida	id=g:76247
Dayr al Misāwá	id=g:76248
Dayr Manşūr	id=g:76249
Al Maqaşīyah	id=g:76250
Dayr Maḩdalī	id=g:76251
Dayr Kuzābah	id=g:76252
Al Khushm	id=g:76253
Dayr Jubayrīyah	id=g:76254
Dayr Jābir	id=g:76255
Dayr Ibrāhīm	id=g:76256
Dayrī	id=g:76257
Dayr Ḩusaytayn	id=g:76258
Hawsh	id=g:76259
Dayr Ḩashmī	id=g:76260
Dayr Ḩarīsh	id=g:76261
Dayr Ḩamzah	id=g:76262
Dayr al Hādī	id=g:76263
Maḩall Farīqah	id=g:76264
Dayr Durayb	id=g:76265
Dayr Dāwūdīyah	id=g:76266
Dayr Dāwah	id=g:76267
Dayr Da‘ām	id=g:76268
Dayr Banī Mūmī	id=g:76269
Dayr az Zayn	id=g:76270
Dayr az Zayḩ	id=g:76271
Dayr Rājiḩ	id=g:76272
Dayr aţ Ţawīl	id=g:76273
Dayr ‘Aţā’	id=g:76274
Dayr as Suhayl	id=g:76275
Dayr al Aswad	id=g:76276
Dayr as Sidār	id=g:76277
Dayr as Sayyid	id=g:76278
Dayr ‘Asalah	id=g:76279
Dayr as Salām	id=g:76280
Dayr as Sahīl	id=g:76281
Dayr as Sādah	id=g:76282
Dayr ash Shi‘bah	id=g:76283
Dayr ash Sharnibān	id=g:76284
Dayr ash Shálya	id=g:76285
Dayr Ashral	id=g:76286
Dayr an Nūbal	id=g:76287
Dayr ‘Amārah	id=g:76288
Dayr al Wasti	id=g:76289
Dayr al Walī	id=g:76290
Dayr al Walī	id=g:76291
Dayr al Wajīyah	id=g:76292
Dayr al Wāfī	id=g:76293
Dayr al ‘Uz̧ābī	id=g:76294
Dayr al Qāşir	id=g:76295
Dayr al Muqāzilah	id=g:76296
Dayr al Mesaf	id=g:76297
Dayr al Muzabbal	id=g:76298
Mashhūrīyah	id=g:76299
Dayr al Masābā	id=g:76300
Maḩall al Ma‘rūf	id=g:76301
Dayr al Ma‘rūf	id=g:76302
Banī Sumaynah	id=g:76303
Dayr al Manz̧ar	id=g:76304
Dayr al Maḩjūb	id=g:76305
Al Maḩall	id=g:76306
Dayr al Khuţab	id=g:76307
Dayr al Khadāmah	id=g:76308
Al Jārif	id=g:76309
Dayr al Jabalī	id=g:76310
Dayr ‘Alī	id=g:76311
Dayr al Ḩulayl	id=g:76312
Dayr al Ḩajarah	id=g:76313
Dayr al Hindī	id=g:76314
Dayr al Hayjah	id=g:76315
Dayr al Hayjah	id=g:76316
Dayr al Hayjah	id=g:76317
Dayr al Ḩashī	id=g:76318
Al Ḩazar	id=g:76319
Dayr al Ḩarad	id=g:76320
Dayr al Ḩaddād	id=g:76321
Dayr al Jawn	id=g:76322
Dayr al Qiḩām Gharbī	id=g:76323
Dayr al Fagiye	id=g:76324
Dayr al Bulsidī	id=g:76325
Dayr al Basharah	id=g:76326
Dayr al Bakhūr	id=g:76327
Dayr al Baḩrī	id=g:76328
Dayr al Amīn	id=g:76329
Al ‘Ajlānīyah	id=g:76330
Bayt ‘Ikād	id=g:76331
Dayr ‘Akar	id=g:76332
Dayrah Sādisī	id=g:76333
Dayr Muḩammad Hādī	id=g:76334
Dayr Aḩmad	id=g:76335
Dayrah	id=g:76336
Dayr Dukhnah	id=g:76337
Ad Dimnah	id=g:76338
Dayr ad Danīsh	id=g:76339
Dayr ad Damḩ	id=g:76340
Dayr Abū Rīsh	id=g:76341
Dayr Abkū	id=g:76342
Dayr Abkar	id=g:76343
Dayr ‘Abd Allāh	id=g:76344
Dayr ‘Abad	id=g:76345
Dayr ‘Abbās	id=g:76346
Dayr	id=g:76347
Wādī Ḑayqah	id=g:76348
Ḑayqah	id=g:76349
Ḑayqah	id=g:76350
Jabal Z̧īn	id=g:76351
Dayn	id=g:76352
Jabal Dayla‘	id=g:76353
Wādī Dayān	id=g:76354
Jabal Dayan	id=g:76355
Ḑay‘amān	id=g:76356
Jabal Ḑawār	id=g:76357
Dāwūdīyah	id=g:76358
Wādī Dāwūd	id=g:76359
Jabal Ḑawrān	id=g:76360
Jabal Wa‘il	id=g:76361
Ḑawrān	id=g:76362
Shi‘b ad Dawwāj	id=g:76363
Shi‘b Ḑawmarīn	id=g:76364
Ḑawmarān	id=g:76365
Wādī Dawmah	id=g:76366
Ad Dawm	id=g:76367
Wādī Ḑawkūt	id=g:76368
Jabal Ḑawjar	id=g:76369
Dawḩarāb	id=g:76370
Dawhāl	id=g:76371
Dawāthir	id=g:76372
Dawās	id=g:76373
Jabal Daw‘ar	id=g:76374
Wādī Daw‘an	id=g:76375
Ḩayd aḑ Ḑawāhī	id=g:76376
Davina	id=g:76377
Wādī Ḑa‘uf	id=g:76378
Dathirān	id=g:76379
Dathīnah	id=g:76380
Jabal ad Dushsh	id=g:76381
Dār Zīrah	id=g:76382
Dār Zenaka	id=g:76383
Dār Yahūd	id=g:76384
Jabal Dharwah	id=g:76385
Dār Ukama	id=g:76386
Dār ‘Ujūm	id=g:76387
Dār Tawāfud	id=g:76388
Dār Tarnah	id=g:76389
Sulayk	id=g:76390
Dār Sūdaf	id=g:76391
Dār Sofa	id=g:76392
Dār Shiyal	id=g:76393
Dār Shiniaa	id=g:76394
Dār ash Shaykh Jāzim	id=g:76395
Dār Shaybān	id=g:76396
Dār Shaybān	id=g:76397
Dār Shāwar	id=g:76398
Ash Shuḩayţirīyah	id=g:76399
Dār Shabān	id=g:76400
Dār Sayyid	id=g:76401
Dar Sālim Salak	id=g:76402
Dār Sālim Bin Şāliḩ	id=g:76403
Dār Şāliḩ	id=g:76404
Dār Salm	id=g:76405
Dār Sahālah	id=g:76406
Darsah	id=g:76407
Aş Şābirīyah	id=g:76408
Dār Sabaḩ	id=g:76409
Dār Rayḩūn	id=g:76410
Dār Rājiḩ	id=g:76411
Dār Rahbān	id=g:76412
Dār Rafah	id=g:76413
Wādī Darr	id=g:76414
Dār Qisū	id=g:76415
Dār Qāsim	id=g:76416
Al Qāshimīyah	id=g:76417
Dār Qabrayn	id=g:76418
Dār Nawbah	id=g:76419
Ad Dār	id=g:76420
Dār Murshid	id=g:76421
Dār Mujārah	id=g:76422
Dār Mujahhar	id=g:76423
Dār Muḩaymūd	id=g:76424
Dār Muhassim	id=g:76425
Dār Muḩarram	id=g:76426
Dār Moshetaf	id=g:76427
Dār Mijnān	id=g:76428
Dār Melhamer	id=g:76429
Dār Maţraḩ	id=g:76430
Dār Muş‘ab	id=g:76431
Dār Marsá	id=g:76432
Dār Manşūr	id=g:76433
Dār Maḩrūs	id=g:76434
Dār Khula	id=g:76435
Dār Khartah	id=g:76436
Dār Kasawah	id=g:76437
Darja Nishff	id=g:76438
Ra’s Darjah	id=g:76439
Dār Ikar	id=g:76440
Wādī Darii	id=g:76441
Dār Ibrāhīm	id=g:76442
Ḑarī	id=g:76443
Dār Ḩişn Qurayn	id=g:76444
Dār Ḩaydarah	id=g:76445
Dār Ḩawrah	id=g:76446
Dār al Ḩajūf	id=g:76447
Dār Habba	id=g:76448
Dār Ghazīrah	id=g:76449
Darfūt	id=g:76450
Dār Dhirab	id=g:76451
Dār Darib	id=g:76452
Dār Ḑaḩūkah	id=g:76453
Dār Dahmas	id=g:76454
Darb Wādi‘ah	id=g:76455
Dār Būbāl	id=g:76456
Ḑarbīyah	id=g:76457
Dār Bin Dālim	id=g:76458
Darbil	id=g:76459
Hizam	id=g:76460
Ḑarbāt Salūm	id=g:76461
Dār Bā Shuqayr	id=g:76462
Darb al Ma‘ārif	id=g:76463
Darb al Hāshimī	id=g:76464
Darb al ‘Amr	id=g:76465
Darb Āl Abū Ţuhayf	id=g:76466
Wādī Darb	id=g:76467
Jabal ad Darb	id=g:76468
Ad Darb	id=g:76469
Shi‘b Daraweit	id=g:76470
Dār aş Şufayrah	id=g:76471
Dār as Sayyālah	id=g:76472
Dār as Sayf	id=g:76473
Dār as Saqqārah	id=g:76474
Dār ash Sharjab	id=g:76475
Dār al ‘Asharah	id=g:76476
Dār ash Sharaf	id=g:76477
Dār Asāwir	id=g:76478
Ar Raydah	id=g:76479
Dār ar Rāk	id=g:76480
Dār Arḑ	id=g:76481
Dār an Naşr	id=g:76482
Dār an Najā	id=g:76483
Dār ‘Amr Ma’uda	id=g:76484
Dār ‘Amrū	id=g:76485
Dār ‘Umārī	id=g:76486
Dār al Yūsufī	id=g:76487
Dār al Watīd	id=g:76488
Dār al Wādī	id=g:76489
Dār al ‘Umayrah	id=g:76490
Dār am Qusaymī	id=g:76491
Dār al Quḩaym	id=g:76492
Dār al Qudaymī	id=g:76493
Dār al Qawz	id=g:76494
Dār al Qarn	id=g:76495
Dār al Qarn	id=g:76496
Dār al Mulaysah	id=g:76497
Dār al Mujābah	id=g:76498
Dār al Maţāḩin	id=g:76499
Dār al Maşşāş	id=g:76500
Dār al Manāşirah	id=g:76501
Dār al Kubaysh	id=g:76502
Dār al Khulá	id=g:76503
Dār al Jurd	id=g:76504
Dār al Juhār	id=g:76505
Dār al Jayr	id=g:76506
Dār al Jabrī	id=g:76507
Dār al Jabal	id=g:76508
Dār al Ḩijl	id=g:76509
Dār al Hazmirah	id=g:76510
Dār al Ḩayl	id=g:76511
Dār al Ḩayd	id=g:76512
Dār al Ḩawţah	id=g:76513
Dār al Ḩarf	id=g:76514
Dār al Ḩamrānī	id=g:76515
Dār al Hamm	id=g:76516
Dār al Ḩafr	id=g:76517
Dār al Ḩabīl	id=g:76518
Dār al Ghawrī	id=g:76519
Dār al Ghanīmah	id=g:76520
Dār am Farshah	id=g:76521
Dār al Fahd	id=g:76522
Dār al Bayem	id=g:76523
