Verkhneye	id=g:475436
Vazh-Shulay	id=g:476286
Vazh-Shlyapina	id=g:476287
Vazh-Pashnya	id=g:476288
Ozero Vazhozero	id=g:476289
Vazhzhova	id=g:476290
Vazhoikha	id=g:476291
Vazhoikha	id=g:476292
Vazhnoye	id=g:476293
Vazhnoye	id=g:476294
Vazhkur’ya	id=g:476295
Vazhka	id=g:476296
Vazhiny	id=g:476297
Vazhinskoye Boloto	id=g:476298
Vazhinka	id=g:476299
Vazhgort	id=g:476300
Vazhginets	id=g:476301
Vazhenvara	id=g:476302
Mys Vazhennavolok	id=g:476303
Vazhenina	id=g:476304
Vazhena	id=g:476305
Vazhashur	id=g:476306
Vazhanka	id=g:476307
Vazha	id=g:476308
Vazha	id=g:476309
Vayzitsa	id=g:476310
Vayyalovo	id=g:476311
Vaytsendorf	id=g:476312
Vaytolakhti	id=g:476313
Urochishche Vayna-Tundra	id=g:476314
Ozero Vayna-Lambi	id=g:476315
Vaymusha	id=g:476316
Stantsiya Vaymuga	id=g:476317
Vaymuga	id=g:476318
Vaymuga	id=g:476319
Vaymizh	id=g:476320
Vaymes	id=g:476321
Ozero Vaykul’skoye	id=g:476322
Ozero Vaykne	id=g:476323
Ostrov Vayk-Luda	id=g:476324
Vaykis	id=g:476325
Ostrov Vaygach	id=g:476326
Vaygach	id=g:476327
Vayeshta	id=g:476328
Vayenga Pervaya	id=g:476329
Stantsiya Vayenga	id=g:476330
Guba Vayenga	id=g:476331
Vayenga	id=g:476332
Vayen’ga	id=g:476333
Guba Vayda	id=g:476334
Vaybuditskaya-Gora	id=g:476335
Ozero Va-Yarvi	id=g:476336
Vaya	id=g:476337
Vaya	id=g:476338
Vaya	id=g:476339
Vavshukovskaya	id=g:476340
Vavozhskiy Rayon	id=g:476341
Stantsiya Vavozh	id=g:476342
Vavozh	id=g:476343
Vavilovo	id=g:476344
Vavilova	id=g:476345
Vavilonovka	id=g:476346
Vavilon	id=g:476347
Vavilon	id=g:476348
Vavilikha	id=g:476349
Vavibet	id=g:476350
Stantsiya Vavere	id=g:476351
Vavdipol’ye	id=g:476352
Vavchuga	id=g:476353
Varvarino	id=g:476354
Vaul’tsevo	id=g:476355
Stantsiya Vaulovo	id=g:476356
Vaulovo	id=g:476357
Vaulovo	id=g:476358
Vaulovo	id=g:476359
Vaulovo	id=g:476360
Vaulino	id=g:476361
Vaulino	id=g:476362
Vaulino	id=g:476363
Vaulino	id=g:476364
Vaulino	id=g:476365
Vaukintsy	id=g:476366
Vat-Yoki	id=g:476367
Vatutino	id=g:476368
Vatutino	id=g:476369
Vatutino	id=g:476370
Vatutino	id=g:476371
Vatutinki	id=g:476372
Vatushino	id=g:476373
Ozero Vatulma	id=g:476374
Vatulma	id=g:476375
Vatulino	id=g:476376
Vattsy	id=g:476377
Ozero Vatskher”yarvi	id=g:476378
Vatsimanyoki	id=g:476379
Ozero Vatsikas-Yarvi	id=g:476380
Vatraskino	id=g:476381
Vatraska	id=g:476382
Vatrantsy	id=g:476383
Vatoma	id=g:476384
Vatoma	id=g:476385
Votolino	id=g:476386
Vatnuori	id=g:476387
Vatnavolok	id=g:476388
Vatmanovskaya	id=g:476389
Vad’kovka	id=g:476390
Vatkoma	id=g:476391
Vatega	id=g:476392
Vatchoylu	id=g:476393
Ozero Vatchelskoye	id=g:476394
Vatchela	id=g:476395
Vatazhnyy	id=g:476396
Vatazhnoye	id=g:476397
Vatazhka	id=g:476398
Vatanen	id=g:476399
Vatamanovskaya	id=g:476400
Vatalovo	id=g:476401
Vatainkyulya	id=g:476402
Vatagino	id=g:476403
Vatagi	id=g:476404
Vasyutniki	id=g:476405
Vasyutniki	id=g:476406
Vasyutinskaya	id=g:476407
Vasyutino	id=g:476408
Vasyutino	id=g:476409
Vasyutino	id=g:476410
Vasyutino	id=g:476411
Vasyutino	id=g:476412
Vasyutinka	id=g:476413
Vasyutina	id=g:476414
Vasyutina	id=g:476415
Vasyurinskiy	id=g:476416
Vasyurinskaya	id=g:476417
Vasyunino	id=g:476418
Vasyunino	id=g:476419
Vasyunino	id=g:476420
Vasyukovskaya	id=g:476421
Vasyukovskaya	id=g:476422
Vasyukovskaya	id=g:476423
Vasyukovo	id=g:476424
Vasyukovo	id=g:476425
Vasyukovo	id=g:476426
Vasyukovo	id=g:476427
Vasyukovo	id=g:476428
Vasyukovo	id=g:476429
Vasyukovo	id=g:476430
Vasyukova	id=g:476431
Vasyuki	id=g:476432
Vasyuki	id=g:476433
Vasyuchenki	id=g:476434
Vasyata	id=g:476435
Vas’yanskoye	id=g:476436
Vas’yanovo	id=g:476437
Vast’yanovskaya	id=g:476438
Vastsy	id=g:476439
Ozero Vasto	id=g:476440
Vassakara	id=g:476441
Vasnevo	id=g:476442
Vasnevo	id=g:476443
Mys Vasnetsova	id=g:476444
Vaskyr	id=g:476445
Ozero Vasko-Yarvi	id=g:476446
Vas’kovo-Iglino	id=g:476447
Stantsiya Vas’kovo	id=g:476448
Vas’kovskaya	id=g:476449
Vas’kovo	id=g:476450
Vas’kovo	id=g:476451
Posëlok Vas’kovo	id=g:476452
Vas’kovo	id=g:476453
Bykova Gorka	id=g:476454
Vas’kovo	id=g:476455
Vas’kovo	id=g:476456
Vas’kovo	id=g:476457
Vas’kovo	id=g:476458
Vas’kovo	id=g:476459
Vas’kovo	id=g:476460
Vas’kovo	id=g:476461
Vas’kovo	id=g:476462
Vas’kovo	id=g:476463
Vas’kovo	id=g:476464
Vas’kovo	id=g:476465
Vas’kovo	id=g:476466
Vas’kovichi	id=g:476467
Vas'kova	id=g:476468
Vas’ko	id=g:476469
Ozero Vas’ki-Yarvi	id=g:476470
Vas’kino-Tuyraly	id=g:476471
Sovkhoz Imeni Chekhova	id=g:476472
Vas’kino	id=g:476473
Vas'kino	id=g:476474
Vas’kino	id=g:476475
Vas’kino	id=g:476476
Vas’kino	id=g:476477
Vas’kino	id=g:476478
Vas'kino	id=g:476479
Vas’kino	id=g:476480
Vas’kino	id=g:476481
Vas’kino	id=g:476482
Vas’kino	id=g:476483
Vas’kino	id=g:476484
Vas’kino	id=g:476485
Vas’kino	id=g:476486
Vas’kino	id=g:476487
Vas’kino	id=g:476488
Vas’kino	id=g:476489
Vaskinichi	id=g:476490
Vas'kina Gar'	id=g:476491
Vas’kina	id=g:476492
Vas’kina	id=g:476493
Vas'kina	id=g:476494
Vas'kino	id=g:476495
Vas'kina	id=g:476496
Vaskil’	id=g:476497
Vas’ki	id=g:476498
Vas’ki	id=g:476499
Vaskelovo	id=g:476500
Vas’kakerka	id=g:476501
Ozero Vaska	id=g:476502
Vaska	id=g:476503
Vasisovo	id=g:476504
Vasishchev	id=g:476505
Vasinskoye	id=g:476506
Vasino	id=g:476507
Vasino	id=g:476508
Vasino	id=g:476509
Vasina	id=g:476510
Vasin	id=g:476511
Vasil’yev Vrag	id=g:476512
Vasil’yevskoye	id=g:476513
Vasil’yevskoye	id=g:476514
Vasil’yevskoye	id=g:476515
Vasil’yevskoye	id=g:476516
Vasil’yevskoye	id=g:476517
Vasil’yevskoye	id=g:476518
Vasil'yevskoye	id=g:476519
Vasil’yevskoye	id=g:476520
Vasil’yevskoye	id=g:476521
Vasil’yevskoye	id=g:476522
Vasil’yevskoye	id=g:476523
Vasil’yevskoye	id=g:476524
Vasil’yevskoye	id=g:476525
Vasil’yevskoye	id=g:476526
Vasil’yevskoye	id=g:476527
Vasil’yevskoye	id=g:476528
Vasil’yevskoye	id=g:476529
Vasil’yevskoye	id=g:476530
Novovasil’yevskoye	id=g:476531
Vasil’yevskoye	id=g:476532
Vasil’yevskoye	id=g:476533
Vasil’yevskoye	id=g:476534
Vasil’yevskoye	id=g:476535
Vasil’yevskoye	id=g:476536
Vasil’yevskoye	id=g:476537
Vasil’yevskoye	id=g:476538
Vasil’yevskoye	id=g:476539
Vasil’yevskoye	id=g:476540
Vasil’yevskoye	id=g:476541
Vasil’yevskoye	id=g:476542
Vasil’yevskoye	id=g:476543
Vasil’yevskoye	id=g:476544
Vasil’yevskoye	id=g:476545
Vasil’yevskiy Ostrov	id=g:476546
Urochishche Vasil’yevskiy Mokh	id=g:476547
Vasil’yevskiy Mokh	id=g:476548
Vasil’yevskiye Khutora	id=g:476549
Stantsiya Vasil’yevskiy	id=g:476550
Ostrov Vasil’yevskiy	id=g:476551
Vasil’yevskiy	id=g:476552
Vasil’yevskiy	id=g:476553
Vasil’yevskiy	id=g:476554
Vasil’yevskiy	id=g:476555
Vasil’yevskiy	id=g:476556
Vasil’yevskiy	id=g:476557
Vasil’yevskiy	id=g:476558
Vasil’yevskiy	id=g:476559
Vasil’yevskoye	id=g:476560
Vasil’yevskiy	id=g:476561
Vasil’yevskiy	id=g:476562
Vasil’yevskiy	id=g:476563
Vasil’yevskiy	id=g:476564
Vasil’yevskiy	id=g:476565
Vasil’yevskiy	id=g:476566
Vasil’yevskiy	id=g:476567
Vasil’yevka	id=g:476568
Vasil’yevskiy	id=g:476569
Vasil’yevskiy	id=g:476570
Vasil’yevskaya	id=g:476571
Vasil’yevskaya	id=g:476572
Vasil’yevskaya	id=g:476573
Vasil’yevskaya	id=g:476574
Vasil’yevskaya	id=g:476575
Vasil'yevskaya	id=g:476576
Vasil’yevskaya	id=g:476577
Vasil’yevskaya	id=g:476578
Vasil’yevskaya	id=g:476579
Vasil’yevskaya	id=g:476580
Vasil’yevskaya	id=g:476581
Vasil’yevskaya	id=g:476582
Vasil’yevskaya	id=g:476583
Vasil’yevskaya	id=g:476584
Vasil’yevskaya	id=g:476585
Vasil’yevshchina	id=g:476586
Vasil’yevshchina	id=g:476587
Vasil’yevshchina	id=g:476588
Vasil’yevshchina	id=g:476589
Nagorno-Tuzlovka	id=g:476590
Vasil’yevo-Shamshevo	id=g:476591
Vasil’yevo-Petrovskiy	id=g:476592
Vasil’yevo-Khanzhonovka	id=g:476593
Ozero Vasil’yevo	id=g:476594
Vasil’yevo	id=g:476595
Vasil’yevo	id=g:476596
Vasil’yevo	id=g:476597
Vasilëvo	id=g:476598
Vasil’yevo	id=g:476599
Vasilëvo	id=g:476600
Vasil’yevo	id=g:476601
Vasil’yevo	id=g:476602
Vasil’yevo	id=g:476603
Vasil’yevo	id=g:476604
Vasil’yevo	id=g:476605
Vasil’yevo	id=g:476606
Vasilevo	id=g:476607
Vasil’yevo	id=g:476608
Vasil’yevo	id=g:476609
Vasil’yevo	id=g:476610
Vasil’yevo	id=g:476611
Vasil’yevo	id=g:476612
Vasil’yevo	id=g:476613
Vasil’yevo	id=g:476614
Vasilovo	id=g:476615
Vasil’yevo	id=g:476616
Vasil’yevo	id=g:476617
Vasil’yevo	id=g:476618
Vasil’yevo	id=g:476619
Vasil’yevo	id=g:476620
Vasil’yevo	id=g:476621
Vasil’yevo	id=g:476622
Vasil’yevo	id=g:476623
Vasil’yevka Vtoraya	id=g:476624
Vasil’yevka-Spitsina	id=g:476625
Vasil’yevka Pervaya	id=g:476626
Vasil’yevka-Garshino	id=g:476627
Vasil’yevka	id=g:476628
Vasil’yevka	id=g:476629
Vasil’yevka	id=g:476630
Vasil'yevka	id=g:476631
Vasil’yevka	id=g:476632
Vasil’yevka	id=g:476633
Vasil’yevka	id=g:476634
Vasil’yevka	id=g:476635
Vasil’yevka	id=g:476636
Vasil’yevka	id=g:476637
Vasil’yevka	id=g:476638
Vasil’yevka	id=g:476639
Vasil’yevka	id=g:476640
Vasil’yevka	id=g:476641
Vasil’yevka	id=g:476642
Vasil’yevka	id=g:476643
Vasil’yevka	id=g:476644
Vasil’yevka	id=g:476645
Vasil’yevka	id=g:476646
Vasil’yevka	id=g:476647
Vasil’yevka	id=g:476648
Vasil’yevka	id=g:476649
Vasil’yevka	id=g:476650
Vasil’yevka	id=g:476651
Vasil’yevka	id=g:476652
Vasil’yevka	id=g:476653
Vasil’yevka	id=g:476654
Vasil’yevka	id=g:476655
Vasil’yevka	id=g:476656
Vasil’yevka	id=g:476657
Opytnoye Pole	id=g:476658
Vasil’yevka	id=g:476659
Vasil’yevka	id=g:476660
Vasil’yevka	id=g:476661
Vasil’yevka	id=g:476662
Vasil’yevka	id=g:476663
Vasil’yevka	id=g:476664
Vasil’yevka	id=g:476665
Vasil’yevka	id=g:476666
Vasil’yevka	id=g:476667
Vasil’yevka	id=g:476668
Vasil’yevka	id=g:476669
Vasil’yevka	id=g:476670
Vasilёvka	id=g:476671
Vasil’yevka	id=g:476672
Vasil’yevka	id=g:476673
Vasil’yevka	id=g:476674
Vasil’yevka	id=g:476675
Vasil’yevka	id=g:476676
Vasil’yevka	id=g:476677
Vasil’yevskiy	id=g:476678
Vasil’yevka	id=g:476679
Vasil’yevka	id=g:476680
Vasil’yevka	id=g:476681
Vasil’yevka	id=g:476682
Vasil’yevka	id=g:476683
Razvaliny Vasil’yevka	id=g:476684
Vasil’yevka	id=g:476685
Vasil’yevka	id=g:476686
Vasil’yevka	id=g:476687
Vasil’yevka	id=g:476688
Vasil’yevka	id=g:476689
Vasil’yevka	id=g:476690
Vasil’yevka	id=g:476691
Vasil’yevka	id=g:476692
Vasil’yevka	id=g:476693
Vasil’yevka	id=g:476694
Vasil’yevka	id=g:476695
Vasil’yevka	id=g:476696
Vasil’yevka	id=g:476697
Vasil’yevka	id=g:476698
Vasil’yevka	id=g:476699
Vasil’yevka	id=g:476700
Vasil’yevka	id=g:476701
Vasil’yevka	id=g:476702
Vasil’yevka	id=g:476703
Vasil’yevka	id=g:476704
Vasil’yevka	id=g:476705
Vasil’yevka	id=g:476706
Vasil’yevka	id=g:476707
Vasil’yevka	id=g:476708
Vasil’yevka	id=g:476709
Vasil’yevka	id=g:476710
Vasil’yevka	id=g:476711
Vasil’yevka	id=g:476712
Vasil’yevka	id=g:476713
Vasil’yevka	id=g:476714
Vasil’yevka	id=g:476715
Vasil’yevka	id=g:476716
Vasil’yevka	id=g:476717
Vasil’yevka	id=g:476718
Vasil’yevka	id=g:476719
Vasil’yevka	id=g:476720
Vasil’yeva Gora	id=g:476721
Vasil’yeva Gora	id=g:476722
Vasil’yeva	id=g:476723
Novovasilevo	id=g:476724
Vasil’yeva	id=g:476725
Vasil’yev	id=g:476726
Vasil’tsovo	id=g:476727
Vasil’tsevo	id=g:476728
Vasil’tsevo	id=g:476729
Vasil’tsevo	id=g:476730
Vasil’-Tomashëvka	id=g:476731
Vasil’sursk	id=g:476732
Vasil’-Plotki	id=g:476733
Vasilovka	id=g:476734
Zaliv Vasil’kovo	id=g:476735
Vasil’kovo	id=g:476736
Vasil’kovo	id=g:476737
Vasil’kovo	id=g:476738
Vasil’kovo	id=g:476739
Vasil’kovo	id=g:476740
Vasil’kovo	id=g:476741
Vasil’kovo	id=g:476742
Vasil’kovo	id=g:476743
Vasil’kovo	id=g:476744
Vasil’kovo	id=g:476745
Vasil’kovo	id=g:476746
Vasil’kovo	id=g:476747
Vasil’kovo	id=g:476748
Vasil’kovo	id=g:476749
Vasil’kovo	id=g:476750
Alëshino	id=g:476751
Vasil’kovo	id=g:476752
Vasil’kovo	id=g:476753
Vasil’kovo	id=g:476754
Vasil’kovichi	id=g:476755
Vasil’kov	id=g:476756
Vasil’kino	id=g:476757
Vasil’ki	id=g:476758
Vasil’ki	id=g:476759
Vasil’ki	id=g:476760
Vasil’ki	id=g:476761
Vasil’ki	id=g:476762
Vasil’ki	id=g:476763
Vasil’kasy	id=g:476764
Vasil’ka	id=g:476765
Ozero Vasiliy-Ty	id=g:476766
Vasilistovskaya	id=g:476767
Stantsiya Vasilisino	id=g:476768
Vasilisino	id=g:476769
Vasilisino	id=g:476770
Vasilisino	id=g:476771
Vasilisina	id=g:476772
Ostrov Vasilisin	id=g:476773
Vasilevskoye Ozero	id=g:476774
Vasilëvo	id=g:476775
Vasilëvo	id=g:476776
Vasilëvo	id=g:476777
Vasilëvo	id=g:476778
Vasilëvo	id=g:476779
Vasilëvo	id=g:476780
Vasilëvo	id=g:476781
Vasilëvo	id=g:476782
Vasilëvo	id=g:476783
Vasilëvo	id=g:476784
Vasilëvo	id=g:476785
Vasilëvo	id=g:476786
Vasilëvo	id=g:476787
Vasilëvo	id=g:476788
Vasilëvo	id=g:476789
Vasilëvo	id=g:476790
Vasilëvo	id=g:476791
Vasilëvo	id=g:476792
Vasilëvo	id=g:476793
Vasilëvo	id=g:476794
Vasilëvo	id=g:476795
Vasilëvo	id=g:476796
Vasilëvo	id=g:476797
Vasilëvo	id=g:476798
Vasilëvo	id=g:476799
Vasil’yevo	id=g:476800
Vasilëvo	id=g:476801
Vasilëvo	id=g:476802
Vasilëv Maydan	id=g:476803
Vasilëvka	id=g:476804
Vasilëvka	id=g:476805
Vasilëvka	id=g:476806
Vasilëvka	id=g:476807
Vasil’yevka	id=g:476808
Vasilëvka	id=g:476809
Vasilëvka	id=g:476810
Vasilevichi	id=g:476811
Vasilëva	id=g:476812
Vasilëva	id=g:476813
Vasilëvo	id=g:476814
Vasileostrovskiy Rayon	id=g:476815
Vasilentsevo	id=g:476816
Vasilenko	id=g:476817
Vasilënki	id=g:476818
Vasilënki	id=g:476819
Vasil’-Dol	id=g:476820
Vasil’chinino	id=g:476821
Vasil’chikovo	id=g:476822
Vasil’chenkov	id=g:476823
Vasil'chenko	id=g:476824
Vasikovka	id=g:476825
Ostrov Vasikka-Sari	id=g:476826
Urochishche Vasikhnovo	id=g:476827
Vasikha	id=g:476828
Vasichi	id=g:476829
Vash-Yazy	id=g:476830
Ozero Vashutinskoye	id=g:476831
Vashutino	id=g:476832
Vashutino	id=g:476833
Vashugovo	id=g:476834
Vashugovo	id=g:476835
Vashtranga	id=g:476836
Ozero Vashpanskoye	id=g:476837
Vash-Ozero	id=g:476838
Vashnevo	id=g:476839
Ozero Vashkozero	id=g:476840
Ozero Vashkovskoye	id=g:476841
Vashkovo	id=g:476842
Vashkova	id=g:476843
Vashkinskiy Rayon	id=g:476844
Vashki	id=g:476845
Vashka	id=g:476846
Vashka	id=g:476847
Vashino	id=g:476848
Mys Vashington	id=g:476849
Vashindoroy	id=g:476850
Vashi	id=g:476851
Vasheyevo	id=g:476852
Vashchily	id=g:476853
Vashchenichino	id=g:476854
Vashanka	id=g:476855
Vashana	id=g:476856
Vashana	id=g:476857
Vasevskiy	id=g:476858
Vasevo	id=g:476859
Vaseva	id=g:476860
Vaseva	id=g:476861
Vasetskiy	id=g:476862
Lesopunkt Vasen’kin	id=g:476863
Vasenino	id=g:476864
Vaseni	id=g:476865
Vaseni	id=g:476866
Vasenevo	id=g:476867
Vaselga	id=g:476868
Vaselëvo	id=g:476869
Varzuga	id=g:476870
Varzuga	id=g:476871
Varzi-Yatchi	id=g:476872
Varzino-Alekseyevo	id=g:476873
Varzino	id=g:476874
Varzina	id=g:476875
Varzibash	id=g:476876
Varzi	id=g:476877
Varzi	id=g:476878
Varzi	id=g:476879
Varzhelyay	id=g:476880
Varzha	id=g:476881
Varza-Yalchi	id=g:476882
Varyzh	id=g:476883
Varyukovskaya	id=g:476884
Varysh	id=g:476885
Mys Vary-Sale	id=g:476886
Varypayevo	id=g:476887
Obgonnyy Punkt Vyrypayevka	id=g:476888
Varypayevka	id=g:476889
Varygino	id=g:476890
Varyazhna	id=g:476891
Varyazh	id=g:476892
Varyazh	id=g:476893
Varyashbashevo	id=g:476894
Varyash-Bash	id=g:476895
Varyash	id=g:476896
Ozero Varyagozero	id=g:476897
Varvazh	id=g:476898
Varvarskaya	id=g:476899
Varvarovshchina	id=g:476900
Varvarovskoye Vodokhranilishche	id=g:476901
Varvarovo	id=g:476902
Varvarovka	id=g:476903
Varvarovka	id=g:476904
Varvarovka	id=g:476905
Varvarovka	id=g:476906
Varvarovka	id=g:476907
Varvarovka	id=g:476908
Varvarovka	id=g:476909
Varvarovka	id=g:476910
Varvarovka	id=g:476911
Varvarovka	id=g:476912
Varvarovka	id=g:476913
Varvarovka	id=g:476914
Varvarovka	id=g:476915
Varvarovka	id=g:476916
Varvarina Gora	id=g:476917
Varvarinskiy	id=g:476918
Varvaro-Borki	id=g:476919
Varvarinskaya	id=g:476920
Varvarino Vtoroye	id=g:476921
Varvarino	id=g:476922
Varvarino	id=g:476923
Varvarino	id=g:476924
Varvarino	id=g:476925
Varvarino	id=g:476926
Varvarino	id=g:476927
Varvarino	id=g:476928
Varvarino	id=g:476929
Varvarino	id=g:476930
Varvarino	id=g:476931
Varvarino	id=g:476932
Varvarino	id=g:476933
Varvarino	id=g:476934
Varvarino	id=g:476935
Varvarino	id=g:476936
Varvarinka	id=g:476937
Varvarinka	id=g:476938
Varvarinka	id=g:476939
Varvarinka	id=g:476940
Varvarinka	id=g:476941
Varvarinka	id=g:476942
Varvarina Gayka	id=g:476943
Varvarinskiy	id=g:476944
Varvarilka	id=g:476945
Varvarikha	id=g:476946
Varvarenki	id=g:476947
Varushitsy	id=g:476948
Vartemyagi	id=g:476949
Vartatil’	id=g:476950
Vartalambi	id=g:476951
Vartakovo	id=g:476952
Razvaliny Varta	id=g:476953
Stantsiya Varskiye	id=g:476954
Varshipel’da	id=g:476955
Varshavskiy Vokzal	id=g:476956
Varshavskiy Shlyuz	id=g:476957
Varshavka	id=g:476958
Varshavka	id=g:476959
Ozero Varsh	id=g:476960
Varsen’yevskaya	id=g:476961
Boloto Varra	id=g:476962
Varpa-Yoki	id=g:476963
Ozero Varpa-Yarvi	id=g:476964
Ozero Varpa-Yarvi	id=g:476965
Ozero Varpa-Yarvi	id=g:476966
Varpasel’kya	id=g:476967
Varpanen	id=g:476968
Varpakyulya	id=g:476969
Ozero Varpa	id=g:476970
Varpa	id=g:476971
Var-Ozero	id=g:476972
Varnitsy	id=g:476973
Varnichnyy Porog	id=g:476974
Varnayevo	id=g:476975
Varnavskiy	id=g:476976
Mys Varnavolok	id=g:476977
Varnavinskoye Vodokhranilishche	id=g:476978
Varnavinskoye	id=g:476979
Varnavinskiy Rayon	id=g:476980
Varnavino	id=g:476981
Varnavino	id=g:476982
Varnavina	id=g:476983
Varnava	id=g:476984
Varnas	id=g:476985
Varnakushka	id=g:476986
Varnaki	id=g:476987
Varnachevo	id=g:476988
Varnach	id=g:476989
Varmino	id=g:476990
Varmer	id=g:476991
Varmazeyka	id=g:476992
Varma	id=g:476993
Varlygino	id=g:476994
Varlygino	id=g:476995
Varlov Les	id=g:476996
Urochishche Varlomyata	id=g:476997
Varlamovka	id=g:476998
Ostrova Varlamovskiye	id=g:476999
Varlamovskiy	id=g:477000
Nizhneye Varlamovo	id=g:477001
Varlamovo	id=g:477002
Varlamovo	id=g:477003
Varlamovo	id=g:477004
Varlamovka	id=g:477005
Guba Varlamova	id=g:477006
Urochishche Varlamov	id=g:477007
Varlamov	id=g:477008
Varlamov	id=g:477009
Varlamov	id=g:477010
Varnitsy	id=g:477012
Var’kino	id=g:477013
Mys Varkaan-Niyemi	id=g:477014
Varitino	id=g:477015
Poluostrov Varis-Niyemi	id=g:477016
Varishchi	id=g:477017
Varino	id=g:477018
Stantsiya Varilka	id=g:477019
Variksolovo	id=g:477020
Vargusovo	id=g:477021
Ozero Varguno Vtoroye	id=g:477022
Vargunovo	id=g:477023
Vargany	id=g:477024
Varfolomeyevo	id=g:477025
Varfolomeyevka	id=g:477026
Stantsiya Varezhka	id=g:477027
Varezhka	id=g:477028
Varezh	id=g:477029
Varezh	id=g:477030
Vareyevo	id=g:477031
Gora Varents Pakhya	id=g:477033
Varenovka	id=g:477034
Varenka	id=g:477035
Varenitsy	id=g:477036
Varenikovskoye	id=g:477037
Varenikovskiy	id=g:477038
Varenikovskaya	id=g:477039
Vareniki	id=g:477040
Ozero Varekh	id=g:477041
Varegovo	id=g:477042
Varegovo	id=g:477043
Varechki	id=g:477044
Mys Vardiya	id=g:477045
Ushchel’ye Vardane	id=g:477046
Vardane	id=g:477047
Varchuzhka	id=g:477048
Varbozero	id=g:477049
Varbenichi	id=g:477050
Ozero Vara-Yarvi	id=g:477051
Varavino	id=g:477052
Varavinka Vtoraya	id=g:477053
Varavinka Pervaya	id=g:477054
Varavay	id=g:477055
Varatskoye	id=g:477056
Varashilava	id=g:477057
Ozero Varansh-Lambi	id=g:477058
Varankyulya	id=g:477059
Proliv Varandeyskiy Shar	id=g:477060
Ostrov Varandey	id=g:477061
Varandey	id=g:477062
Varamyaki	id=g:477063
Varamyaki	id=g:477064
Varali	id=g:477065
Varaksiny	id=g:477066
Varaksino	id=g:477067
Varaksino	id=g:477068
Varaksino	id=g:477069
Varaksina	id=g:477070
Poluostrov Kamennikovskiy	id=g:477071
Varakovo	id=g:477072
Stantsiya Varakinskiy	id=g:477073
Varakin	id=g:477074
Varaka	id=g:477075
Markotkhskiy Khrebet	id=g:477076
Vara	id=g:477077
Vara	id=g:477078
Vara	id=g:477079
Vapolka	id=g:477080
Vanzh-Ozero	id=g:477081
Vanzh-Ozero	id=g:477082
Stantsiya Vanzëzero	id=g:477083
Vanyutino	id=g:477084
Vanyushkasy	id=g:477086
Vanyushino	id=g:477087
Vanyun’kino	id=g:477088
Vanyukovo	id=g:477089
Vanyuki	id=g:477090
Vanysh-Alpautovo	id=g:477091
Vanyshevo	id=g:477092
Vanya-Yu	id=g:477093
Ozero Van’yavr	id=g:477094
Shilovka	id=g:477095
Vanyashkino	id=g:477096
Vanyalud	id=g:477097
Vanya	id=g:477098
Ozero Vantu-Yarvi	id=g:477099
Vantino	id=g:477100
Vantik	id=g:477101
Vanskoye	id=g:477102
Van’pi	id=g:477103
Vanov’ye	id=g:477104
Vanomozero	id=g:477105
Vannovskoye	id=g:477106
Van’kovo	id=g:477107
Van’kovo	id=g:477108
Van’kovo	id=g:477109
Van'kova	id=g:477110
Van’kova	id=g:477111
Van'kino	id=g:477112
Van'kino	id=g:477113
Van’kino	id=g:477114
Van’ki	id=g:477115
Van'ki	id=g:477116
Van'ki	id=g:477117
Vankhayaama	id=g:477118
Vankhakyulya	id=g:477119
Vankavara	id=g:477120
Van’kava	id=g:477121
Van’iyeva-Sel’ga	id=g:477122
Vanishenskoye Ozero	id=g:477123
Grishata	id=g:477124
Vaninskoye	id=g:477125
Vaninskiye Vyselki	id=g:477126
Vaninskoye	id=g:477127
Vanino	id=g:477128
Vanino	id=g:477129
Vanina	id=g:477130
Vanina	id=g:477131
Vanichi	id=g:477132
Vanichi	id=g:477133
Vani	id=g:477134
Vongyr	id=g:477135
Vozvyshennost’ Vangureymusyur	id=g:477136
Ozero Vangozero	id=g:477137
Ozero Vangozero	id=g:477138
Vangozero	id=g:477139
Vang-Ozero	id=g:477140
Ozero Van’giozero	id=g:477141
Vaney-Vis	id=g:477142
Vaneyevy	id=g:477143
Vaneyevo	id=g:477144
Vaneyevo	id=g:477145
Vanevskoye Ozero	id=g:477146
Vanevo	id=g:477147
Vanevo	id=g:477148
Vanevezh	id=g:477149
Vanets	id=g:477150
Vanyakovo	id=g:477151
Vandyshevo	id=g:477152
Vandysh	id=g:477153
Vandysh	id=g:477154
Vandysh	id=g:477155
Vandovskiy	id=g:477156
Vandovo	id=g:477157
Vandovka	id=g:477158
Vandiga	id=g:477159
Vandyshevo	id=g:477160
Vanda	id=g:477161
Vanda	id=g:477162
Stantsiya Van’chugovo	id=g:477163
Van’chugovo	id=g:477164
Vanchugovka	id=g:477165
Vanch-Ozero	id=g:477166
Vanchiki	id=g:477167
Vanchenki	id=g:477168
Vanashimakhi	id=g:477169
Vanakyula	id=g:477170
Vamsheren’ga	id=g:477171
Vamna	id=g:477172
Vama	id=g:477173
Vama	id=g:477174
Valzama	id=g:477175
Valyushka	id=g:477176
Valyushino	id=g:477177
Valyayevka	id=g:477178
Valyavinskiy	id=g:477179
Valyanitsa	id=g:477180
Stantsiya Valya	id=g:477181
Valya	id=g:477182
Valya	id=g:477183
Val’ya	id=g:477184
Voly	id=g:477185
Valy	id=g:477186
Val’vachi	id=g:477187
