Pleasant Ridge Middle School	id=g:6327974
Arbor View High School	id=g:6329509
Canyon Springs High School	id=g:6329510
Community College East Cheyenne High School	id=g:6329511
Community College South Henderson High School	id=g:6329512
Community College West Charleston High School	id=g:6329513
Wendell Williams Elementary School	id=g:6329514
Eva Wolfe Elementary School	id=g:6329515
Lois Lenski Elementary School	id=g:6329516
Elise L Wolff Elementary School	id=g:6329517
West Middle School	id=g:6329518
Doctor William H Bailey Middle School	id=g:6329519
Heritage Elementary School	id=g:6329520
Homestead Elementary School	id=g:6329521
Willow Creek Elementary School	id=g:6329522
Dry Creek Elementary School	id=g:6329523
Walnut Hills Community Elementary School	id=g:6329524
Covenant Christian School	id=g:6329525
Shinbrier - Coopers School (historical)	id=g:6329526
Christ Lutheran School	id=g:6329527
Brethren Christian Junior-Senior High School	id=g:6329528
Calvary School of Westminster	id=g:6329529
Holy Redeemer Catholic School	id=g:6329530
Messiah Lutheran School	id=g:6329531
Calvary Baptist School	id=g:6329532
Saint Ferdinand's School	id=g:6329533
Ernest Becker Middle School	id=g:6329534
Ralph Cadwallader Middle School	id=g:6329535
Lawrence and Heidi Canarelli Middle School	id=g:6329536
Francis H Cortney Junior High School	id=g:6329537
Frank and Victoria Fertitta Middle School	id=g:6329538
Charles Arthur Hughes Middle School	id=g:6329539
Laughlin Middle School	id=g:6329540
Clifford Lawrence Middle School	id=g:6329541
Duane D Keller Middle School	id=g:6329542
Northridge Elementary School	id=g:6329543
Sand Creek Elementary School	id=g:6329544
Denver Christian School Highlands Ranch	id=g:6329545
Ralph J Bunche Middle School	id=g:6329546
Joseph A Cullier Sr Career Center School	id=g:6329547
Jefferson Community School	id=g:6329548
Jean Lafitte Elementary School	id=g:6329549
Broadway School (historical)	id=g:6329550
Marywood Central Catholic High School (historical)	id=g:6329551
Saint Stephen's Pre-School	id=g:6329552
Ulis Newton Elementary School	id=g:6329553
D'Vorre and Hal Ober Elementary School	id=g:6329554
Dean Petersen Elementary School	id=g:6329555
John Wesley Powell Middle School	id=g:6329556
Twain Elementary School	id=g:6329557
Sandburg Elementary School	id=g:6329558
Clarence Piggott Elementary School	id=g:6329559
Richard C Priest Elementary School	id=g:6329560
Harry Reid Elementary School	id=g:6329561
Betsy Rhodes Elementary School	id=g:6329562
Aldeane Comito Ries Elementary School	id=g:6329563
Aggie Roberts Elementary School	id=g:6329564
Lucille S Rogers Elementary School	id=g:6329565
Our Lady of Guadalupe School	id=g:6329566
William and Mary Scherkenbach Elementary School	id=g:6329567
Eva G Simmons Elementary School	id=g:6329568
Hal Smith Elementary School	id=g:6329569
William E Snyder Elementary School	id=g:6329570
Ethel W Staton Elementary School	id=g:6329571
Wayne N Tanaka Elementary School	id=g:6329572
Sheila R Tarr Elementary School	id=g:6329573
John Tartan Elementary School	id=g:6329574
Glen C Taylor Elementary School	id=g:6329575
Joseph E Thiriot Elementary School	id=g:6329576
Jim Thorpe Elementary School	id=g:6329577
Neil C Twitchell Elementary School	id=g:6329578
John Vanderburg Elementary School	id=g:6329579
J Marlan Walker Elementary School	id=g:6329580
Fredric W Watson Elementary School	id=g:6329581
Louis Wiener Jr Elementary School	id=g:6329582
Elizabeth Wilhelm Elementary School	id=g:6329583
Keith C and Karen W Hayes Elementary School	id=g:6329584
Howard E Heckethorn Elementary School	id=g:6329585
Liliam Lujan Hickey Elementary School	id=g:6329586
Carver Middle School	id=g:6329587
Mountain Empire Community College	id=g:6329588
Los Angeles College of Chiropractic	id=g:6329589
Holy Family School	id=g:6329590
Holy Family Girls High School	id=g:6329591
Allen F Dailey High School	id=g:6329592
Granada Elementary School	id=g:6329593
Rinaldi Adult School Center	id=g:6329594
First Presbyterian School	id=g:6329595
San Fernando Valley Academy	id=g:6329596
McBurney School (historical)	id=g:6329597
West 80th Street Community Child Day Center (historical)	id=g:6329598
Claremont Riding Academy (historical)	id=g:6329599
Hebrew Union College - Jewish Institute of Religion (historical)	id=g:6329600
Living Way Christian Academy	id=g:6329601
Living Word Bible College	id=g:6329602
Chaim Weizmann Jewish School	id=g:6329603
Saints Felicitas and Perpetua School	id=g:6329604
ARC of Alachua County	id=g:6329605
Howard E Hollingsworth Elementary School	id=g:6329606
John R Hummel Elementary School	id=g:6329607
Mervin Iverson Elementary School	id=g:6329608
Jay W Jeffers Elementary School	id=g:6329609
Lorna J Kesterson Elementary School	id=g:6329610
Frank Lamping Elementary School	id=g:6329611
Mary and Zel Lowman Elementary School	id=g:6329612
William Lummis Elementary School	id=g:6329613
Earl B Lundy Elementary School	id=g:6329614
Reynaldo Martinez Elementary School	id=g:6329615
Sandy Searles Miller Elementary School	id=g:6329616
William K Moore Elementary School	id=g:6329617
Sue H Morrow Elementary School	id=g:6329618
Joseph M Neal Elementary School	id=g:6329619
Saint Benedict Day Nursery and Kindergarten	id=g:6329620
Saint Bernard's School	id=g:6329621
Saint Charles Borromeo School	id=g:6329622
Saint David's School	id=g:6329623
Saint Joseph School	id=g:6329624
Saint Joseph's School of Yorkville	id=g:6329625
Saint Mark the Evangelist School	id=g:6329626
Saint Stephen of Hungary School	id=g:6329627
Saint Walburgas Academy	id=g:6329628
School of the Future	id=g:6329629
Seward Park High School	id=g:6329630
Soul Saving Station of Christ Crusader School	id=g:6329631
The Town School	id=g:6329632
Trinity School	id=g:6329633
Walden School	id=g:6329634
West End Day School	id=g:6329635
Winston Preparatory School	id=g:6329636
Yeshiva Ketana School	id=g:6329637
Yeshiva University High School	id=g:6329638
Young Women's Leadership High School	id=g:6329639
Nichols Elementary School	id=g:6329640
North Bay Elementary School	id=g:6329641
Cedar Lake Christian Academy	id=g:6329642
Center for New Opportunities	id=g:6329643
Pine Lane Primary School	id=g:6329644
Sierra Middle School	id=g:6329645
Pine Lane Intermediate School	id=g:6329646
Holy Family Grammar School	id=g:6329647
Raul P Elizondo Elementary School	id=g:6329648
H P Fitzgerald Elementary School	id=g:6329649
Charles and Phyllis Frias Elementary School	id=g:6329650
Edith Garehime Elementary School	id=g:6329651
Roger M Gehring Elementary School	id=g:6329652
Linda Rankin Givens Elementary School	id=g:6329653
Dan Goldfarb Elementary School	id=g:6329654
Judy and John L Goolsby Elementary School	id=g:6329655
Theron H and Naomi D Goynes Elementary School	id=g:6329656
Addeliar Guy Elementary School	id=g:6329657
Public School 192	id=g:6329658
Public School 206	id=g:6329659
Tony Alamo Elementary School	id=g:6329660
Dean LaMar Allen Elementary School	id=g:6329661
Lee Antonello Elementary School	id=g:6329662
Selma F Bartlett Elementary School	id=g:6329663
John C Bass Elementary School	id=g:6329664
Kathy L Batterman Elementary School	id=g:6329665
Patricia A Bendorf Elementary School	id=g:6329666
William G Bennett Elementary School	id=g:6329667
James Bilbray Elementary School	id=g:6329668
John W Bonner Elementary School	id=g:6329669
Joseph L Bowler Elementary School	id=g:6329670
Eileen B Brookman Elementary School	id=g:6329671
Lucile Bruner Elementary School	id=g:6329672
Richard H Bryan Elementary School	id=g:6329673
Roger M Bryan Elementary School	id=g:6329674
Berkeley L Bunker Elementary School	id=g:6329675
Arturo Cambeiro Elementary School	id=g:6329676
Kay Carl Elementary School	id=g:6329677
Roberta C Cartwright Elementary School	id=g:6329678
Eileen Conners Elementary School	id=g:6329679
Manuel J Cortez Elementary School	id=g:6329680
Steve Cozine Elementary School	id=g:6329681
Marshall C Darnell Elementary School	id=g:6329682
Ollie Detwiler Elementary School	id=g:6329683
Public School 208	id=g:6329684
Public School 210	id=g:6329685
Public School 212	id=g:6329686
Public School 290	id=g:6329687
Rabbi Joseph Lookstein Ramaz School	id=g:6329688
Regis High School	id=g:6329689
Rhinelander Children's Center	id=g:6329690
Rice High School	id=g:6329691
Richard R Green High School of Teaching	id=g:6329692
Riverside Church Week Day School	id=g:6329693
Rodeph Sholom Day School	id=g:6329694
Saint Aloysius School	id=g:6329695
Millennium/Tribeca High School	id=g:6329696
Art and Design High School	id=g:6329697
Mount Pleasant Christian Academy	id=g:6329698
New Design High School	id=g:6329699
New Explorations High School	id=g:6329700
New York Academy of Sciences	id=g:6329701
New York City Laboratory Middle School of Collaborative Studies	id=g:6329702
New York City Laboratory High School of Collaborative Studies	id=g:6329703
New York City Museum School	id=g:6329704
Eleanor Roosevelt High School	id=g:6329705
New York School of Interior Design	id=g:6329706
Our Lady of Good Counsel School	id=g:6329707
Park West High School	id=g:6329708
Peter G Peterson Center for International Studies	id=g:6329709
Public School 5	id=g:6329710
Public School 8	id=g:6329711
Public School 36	id=g:6329712
Public School 40	id=g:6329713
Public School 41	id=g:6329714
Public School 46	id=g:6329715
Public School 48	id=g:6329716
Public School 77	id=g:6329717
Public School 92	id=g:6329718
Public School 96	id=g:6329719
Public School 109 (historical)	id=g:6329720
Public School 129	id=g:6329721
Public School 130	id=g:6329722
Public School 134	id=g:6329723
Public School 137	id=g:6329724
Public School 150	id=g:6329725
Public School 153	id=g:6329726
Public School/Intermediate School 176	id=g:6329727
Public School 178	id=g:6329728
Public School 182	id=g:6329729
Public School 183	id=g:6329730
East Harlem School at Exodus House	id=g:6329731
East Harlem Village Academy Charter School	id=g:6329732
Northside Center Day School	id=g:6329733
M450 East Side Community High School	id=g:6329734
Ella Baker School	id=g:6329735
Vanguard High School	id=g:6329736
M459 Manhattan International High School	id=g:6329737
Environmental Studies High School	id=g:6329738
Fellowship of Learning School	id=g:6329739
Health Professions and Human Services High School	id=g:6329740
Institute for Collaborative Education	id=g:6329741
Intermediate School 90	id=g:6329742
Intermediate School 143	id=g:6329743
Intermediate School 195	id=g:6329744
Intermediate School 218	id=g:6329745
Intermediate School 286	id=g:6329746
Intermediate School 172	id=g:6329747
Intermediate School 528	id=g:6329748
International High School for Business and Finance	id=g:6329749
Jacqueline Kennedy Onassis High School for International Careers	id=g:6329750
Junior High School 13	id=g:6329751
Central Park East Secondary School	id=g:6329752
Junior High School 56	id=g:6329753
M415 Wadleigh Secondary School for the Performing and Visual Arts	id=g:6329754
Junior High School 275	id=g:6329755
King's Academy	id=g:6329756
Law and Public Service High School	id=g:6329757
Leadership and Public Service High School	id=g:6329758
Economics and Finance High School	id=g:6329759
Lycee Francais De New York	id=g:6329760
Manhattan Bridges High School	id=g:6329761
Martin Luther King Junior High School	id=g:6329762
Marymount School	id=g:6329763
Media and Communications High School	id=g:6329764
Middle School 114	id=g:6329765
Middle School 224	id=g:6329766
Middle School 255	id=g:6329767
Middle School 260	id=g:6329768
Belter Graduate School of Science	id=g:6329769
Capital Area Career Center	id=g:6329770
Central Elementary School	id=g:6329771
Chippewa Middle School	id=g:6329772
Colt Elementary School	id=g:6329773
Bennett Woods Elementary School	id=g:6329774
Dansville Elementary School	id=g:6329775
Dansville High School	id=g:6329776
Dansville Middle School	id=g:6329777
Diamondale Elementary School	id=g:6329778
Discovery Elementary School	id=g:6329779
East Lansing High School	id=g:6329780
East Lansing Intermediate School	id=g:6329781
Elmwood Elementary School	id=g:6329782
Explorer Elementary School	id=g:6329783
Gardner Middle School	id=g:6329784
Glencairn School	id=g:6329785
Saint Mark the Evangelist Preschool	id=g:6329786
A Philip Randolph Campus High School	id=g:6329787
Academy of Environmental Science	id=g:6329788
Annunciation School	id=g:6329789
Assisium School	id=g:6329790
Beacon School	id=g:6329791
Birch Wathen School	id=g:6329792
Thurgood Marshall Academy for Learning	id=g:6329793
Bread and Roses Integrated Arts High School	id=g:6329794
Buckley School	id=g:6329795
Calhoun School	id=g:6329796
Children's Storefront School	id=g:6329797
Choir Academy of Harlem	id=g:6329798
Coalition School for Social Change	id=g:6329799
Landmark High School	id=g:6329800
Collegiate School	id=g:6329801
Columbia Grammar and Preparatory School	id=g:6329802
Cooke Center School	id=g:6329803
Dominican Academy	id=g:6329804
Dual Language and Asian Studies High School	id=g:6329805
Nathan Hale Mille School	id=g:6329806
Gomez-Heritage Elementary School	id=g:6329807
Buffet Magnet Middle School	id=g:6329808
Fullerton Magnet Center	id=g:6329809
Mannes College of Music of the New School	id=g:6329810
Ballet Hispanica	id=g:6329811
Ethical Culture School	id=g:6329812
Elkhorn Elementary School	id=g:6329813
Lake Forest Montessori Magnet School (historical)	id=g:6329814
Middle Level Alternative School	id=g:6329815
New Orleans Middle Charter School	id=g:6329816
New Orleans Free Academy School	id=g:6329817
O Perry Walker Middle School	id=g:6329818
Sixth Grade Center	id=g:6329819
Treme Street Academy (historical)	id=g:6329820
East New Orleans Education Center (historical)	id=g:6329821
The Alternative Learning Institute School	id=g:6329822
New Orleans Center for Health Careers (historical)	id=g:6329823
New Orleans Charter Science and Mathematics High School	id=g:6329824
Urban League Street Academy (historical)	id=g:6329825
Saint Vincent Ferrer High School	id=g:6329826
Kennedy Child Study Center	id=g:6329827
New York University Institute of Fine Arts	id=g:6329828
Duchesne Residence School	id=g:6329829
Spence School	id=g:6329830
Dalton School	id=g:6329831
Hunter College Campus Schools	id=g:6329832
Manhattan Country School	id=g:6329833
East Building Mount Sinai School of Medicine	id=g:6329835
Bank Street College of Education	id=g:6329836
Jewish Theological Seminary	id=g:6329837
Union Theological Seminary	id=g:6329838
Marion Technical Institute	id=g:6329839
All Saints School	id=g:6329840
Park East High School	id=g:6329841
Boricua College	id=g:6329842
Lexington Avenue Campus Touro College	id=g:6329843
United Nations International School	id=g:6329844
Saint James School	id=g:6329845
Holy Angels School	id=g:6329846
Little Falls Public School Number 3	id=g:6329847
College of Veterinary Medicine	id=g:6329848
Pinkerton Environmental Center	id=g:6329849
Graduate School and University Center City University of New York	id=g:6329850
State University College of Optometry	id=g:6329851
Parsons Center New School University	id=g:6329852
Holy Cross School	id=g:6329853
Northeast Elementary School	id=g:6329854
Owasso Alternative High School	id=g:6329855
Owasso Sixth Grade Center	id=g:6329856
Owasso Seventh Grade Center	id=g:6329857
James M Singleton Charter School	id=g:6329858
Milestone Sabis Academy of New Orleans School	id=g:6329859
International School of Louisiana	id=g:6329860
Benjamin Banneker Elementary School	id=g:6329861
Einstein Charter School	id=g:6329862
Audubon Charter School Broadway Campus	id=g:6329863
Miami Chapel/Louise Campus	id=g:6329864
Louise Troy Primary Structured Traditional School	id=g:6329865
The Springfield High School for Science and Technology	id=g:6329866
Springfield High School at Van Sickle	id=g:6329867
Massachusetts Career Development Center	id=g:6329868
Horace Mann New Leadership Charter School	id=g:6329869
Springfield Adolescent Graduation Experience	id=g:6329870
Robert M Hughes Charter School	id=g:6329871
Joseph A Craig School	id=g:6329872
Lawrence D Crocker Elementary School (historical)	id=g:6329873
Lake Forest Elementary Charter School	id=g:6329874
Fiorello H LaGuardia High School	id=g:6329875
Cathedral Preparatory Seminary	id=g:6329876
American Buddhist Academy	id=g:6329877
Liberty Elementary School	id=g:6329878
J P Lord Elementary School	id=g:6329879
Public School 220	id=g:6329880
Mahnomen High School	id=g:6329881
Saint Michael's School	id=g:6329882
Waubun High School	id=g:6329883
Krasnow Institute	id=g:6329884
Naytahwaush School	id=g:6329885
Oak Hall School	id=g:6329886
Buchholz High School	id=g:6329887
Columbia University College of Physicians and Surgeons	id=g:6329888
Mailman School of Public Health	id=g:6329889
Norman County East High School	id=g:6329890
High School for Mathmatics, Science and Engineering at the City College	id=g:6329891
North Academic Center	id=g:6329892
The New School	id=g:6329893
Saint Joseph's Washington Place School	id=g:6329894
Norman County West Elementary School	id=g:6329895
Norman County West Secondary School	id=g:6329896
Gary Public School	id=g:6329897
Norman County East Elementary School	id=g:6329898
Borup School	id=g:6329899
Jefferson Year-Round One Primary Montessori School	id=g:6329900
Springfield OWL Adult Education Center	id=g:6329901
Fashion Institute of Technology	id=g:6329902
Young Adults Institute	id=g:6329903
All Saints Episcopal School	id=g:6329904
Mississippi Gulf Coast Community College - Jefferson Davis Campus	id=g:6329905
Mississippi Gulf Coast Community College - George County Center	id=g:6329906
Mississippi Gulf Coast Community College - Kessler Center	id=g:6329907
Mississippi Gulf Coast Community College - Community Campus	id=g:6329908
Mississippi Gulf Coast Community College - West Harrison County Center	id=g:6329909
Mississippi Gulf Coast Community College - Applied Technology and Development Center	id=g:6329910
Old Stuyvesant High School	id=g:6329911
Baruch College Academic Complex	id=g:6329912
Yeshiva Gedolah Bais Yisroel	id=g:6329913
Yeshiva Gedolah Ohr Yisroel	id=g:6329914
Yeshiva Jesode Hatorah	id=g:6329915
Yeshiva Karlin Stolin	id=g:6329916
Yeshiva Kehilath Yakov	id=g:6329917
Yeshiva Ketana of Bensonhurst	id=g:6329918
Yeshiva Mesivta Arugath Habosem	id=g:6329919
Yeshiva of Brooklyn	id=g:6329920
Yeshiva of Kings Bay	id=g:6329921
Yeshiva of Manhattan Beach	id=g:6329922
Yeshiva Ohel Shaim D'Kaalov	id=g:6329923
Yeshiva Ohr Shraga D'Veretzky	id=g:6329924
Yeshiva Rabbi Chaim Berlin	id=g:6329925
Yeshiva Sharei Hayosher	id=g:6329926
Yeshiva Sharie Torah	id=g:6329927
Yeshiva Tifereth Elimelech	id=g:6329928
Yeshiva Torah Temimah	id=g:6329929
Yeshiva Torah Vodaath	id=g:6329930
Yeshiva Toras Emes Kamenitz	id=g:6329931
Yeshiva Tzemach Tzadik Viznitz	id=g:6329932
Yeshiva Vyelipol	id=g:6329933
Yeshiva Yesode Hatorah	id=g:6329934
Yeshivat Ateret Torah School	id=g:6329935
Yeshivat Mizrachi L'Banim	id=g:6329936
Yeshivat Ohel Torah	id=g:6329937
Yeshivat Or Hatorah	id=g:6329938
Yeshivat Shaare Rahamim	id=g:6329939
Yda Elite High School	id=g:6329940
Windmill Montessori School	id=g:6329941
Zvi Dov Roth Academy of Yesh Rambam	id=g:6329942
Yeshiva Chasdei Torah	id=g:6329943
Yeshiva Ketana Shaarei Torah	id=g:6329944
Bronx-Manhattan Seventh Day Adventist School	id=g:6329945
Bronx High School of Letters	id=g:6329946
Intermediate School 224	id=g:6329947
Middle School 203	id=g:6329948
Kipp Academy Charter School	id=g:6329949
Middle School 201	id=g:6329950
New School for Arts and Sciences	id=g:6329951
Saint Michael's Elementary School	id=g:6329952
Saint Rose of Lima School	id=g:6329953
Saint Saviour Elementary School	id=g:6329954
Saint Saviour High School	id=g:6329955
Saint Stephen's Lutheran Parochial School	id=g:6329956
Secondary School for Law and Journalism	id=g:6329957
Secondary School for Research	id=g:6329958
Shaare Torah High School for Girls	id=g:6329959
Shaare Torah School	id=g:6329960
Shulamith High School for Girls	id=g:6329961
Shulamith School for Girls	id=g:6329962
Soille Bais Yaakov High School	id=g:6329963
Soterios Ellenas Parochial School	id=g:6329964
South Shore High School	id=g:6329965
Stars and Nights Day School	id=g:6329966
Tabernacle Elementary School	id=g:6329967
Talmud Torah Dnitra	id=g:6329968
Talmud Torah of Kasho	id=g:6329969
Talmud Torah Tashbar	id=g:6329970
Talmud Torah Toldos Hillel-Krasna	id=g:6329971
Teachers Preparatory School	id=g:6329972
Teachers Preparatory Secondary School	id=g:6329973
Three Hierarchs School	id=g:6329974
Tiferes Academy	id=g:6329975
Tiferes Bnos Girls School	id=g:6329976
Torah Academy High School	id=g:6329977
Torah Vodaath High School	id=g:6329978
Transfiguration School	id=g:6329979
W E B Dubois High School	id=g:6329980
Yeshiva Ahavas Torah	id=g:6329981
Yeshiva Ateres Tzvi	id=g:6329982
Yeshiva Bais Ephraim	id=g:6329983
Yeshiva Beth Yitzchok D Spinka	id=g:6329984
Yeshiva Birchas Shmuel	id=g:6329985
Yeshiva Bnai Yesucher	id=g:6329986
Yeshiva Bnos Ahavas Israel	id=g:6329987
Yeshiva Bnos Spinka	id=g:6329988
Yeshiva Boyan	id=g:6329989
Yeshiva Chasdei Tzui	id=g:6329990
Public School 8	id=g:6329991
Public School 13	id=g:6329992
Public School 27	id=g:6329993
Public School 56	id=g:6329994
Public School 58	id=g:6329995
Public School 66	id=g:6329996
Public School 90	id=g:6329997
Public School 94	id=g:6329998
Public School 134	id=g:6329999
Public School 190	id=g:6330000
Public School 245	id=g:6330001
Public School 261	id=g:6330002
Public School 270	id=g:6330003
Public School 280	id=g:6330004
Public School 288	id=g:6330005
Public School K295	id=g:6330006
Public School 315	id=g:6330007
Public School 319	id=g:6330008
Public School 326	id=g:6330009
Public School 345	id=g:6330010
Public School 346	id=g:6330011
Public School K375 Jackie Robinson	id=g:6330012
Public School 376	id=g:6330013
Public School 377	id=g:6330014
Public School 384	id=g:6330015
Public School 397	id=g:6330016
Public School 399	id=g:6330017
Public School/Intermediate School 284	id=g:6330018
Public School/Intermediate School 308	id=g:6330019
Public School/Intermediate School 323	id=g:6330020
Rabbi Harry Halpern Day School	id=g:6330021
Risen Christ Lutheran School	id=g:6330022
Saint Agnes Seminary	id=g:6330023
Saint Athanasius School	id=g:6330024
Saint Edmund Elementary School	id=g:6330025
Saint Francis De Sales School for the Deaf	id=g:6330026
Saint John the Evangelist Lutheran School	id=g:6330027
Saint Mark's Day School	id=g:6330028
Saint Mary Mother of Jesus School	id=g:6330029
Magen David Yeshivah High School	id=g:6330030
Marine Park Day School	id=g:6330031
Mary Queen of Heaven School	id=g:6330032
Masores Bais Yaakov	id=g:6330033
Meorot Beit Yaakov	id=g:6330034
Mesivta and Yeshiva Gedolah of Manhattan Beach	id=g:6330035
Mesivta and Yeshiva Rabbi Chaim Berlin	id=g:6330036
Mesivta Lev Torah	id=g:6330037
Mesivta Mkor Chaim	id=g:6330038
Mesivta Nachlas Yacov A Yerim	id=g:6330039
Mesivta Tiferes Yisroel	id=g:6330040
Mesivta Tifereth Zvi Spinka	id=g:6330041
Mesivta Zichron Eliezer	id=g:6330042
Mesorah School	id=g:6330043
Middle School K002	id=g:6330044
Middle School 266	id=g:6330045
Hidden Oak Elementary School	id=g:6330046
Trilogy School	id=g:6330047
Reynolds Elementary School	id=g:6330048
The William Pitt Child Development Center	id=g:6330049
Lawton M Chiles Elementary School	id=g:6330050
Mikdash Melech Mechina	id=g:6330051
Mirrer Yeshiva Elementary School	id=g:6330052
Mirrer Yeshiva High School	id=g:6330053
Most Precious Blood School	id=g:6330054
Mount Moriah Christian Academy	id=g:6330055
Nefesh Academy	id=g:6330056
New Utrecht High School	id=g:6330057
New Vistas Academy	id=g:6330058
Northside Catholic School at Saint Vincent De Paul	id=g:6330059
Nuestros Ninos Child Development School	id=g:6330060
Our Lady Help of Christians School	id=g:6330061
Our Lady of Refuge School (historical)	id=g:6330062
Park Slope Christian Academy	id=g:6330063
People's Elementary School	id=g:6330064
Phyl's Academy Preparatory School	id=g:6330065
Progress High School	id=g:6330066
Prospect Park Bnos Leah High School	id=g:6330067
Prospect Park Yeshiva	id=g:6330068
First Impressions School	id=g:6330069
Full Gospel Christian Academy	id=g:6330070
Gesher Yehuda	id=g:6330071
Happyland Manhattan Beach Day School	id=g:6330072
High School for Legal Studies	id=g:6330073
High School for Public Service	id=g:6330074
High School of Enterprise, Business and Technology	id=g:6330075
Hychel Hatorah	id=g:6330076
Immaculate Heart of Mary School	id=g:6330077
Intermediate School 71	id=g:6330078
Intermediate School 281	id=g:6330079
Junior High School K291 Roland Hayes	id=g:6330080
Intermediate School 302	id=g:6330081
Intermediate School 318	id=g:6330082
Intermediate School 349	id=g:6330083
Intermediate School 364	id=g:6330084
Intermediate School 381	id=g:6330085
Intermediate School 383	id=g:6330086
Intermediate School 391	id=g:6330087
Intermediate School 392	id=g:6330088
International Arts Business High School	id=g:6330089
Ivdu School	id=g:6330090
Jewish Center for Special Education	id=g:6330091
John Dewey High School	id=g:6330092
John Hus Moravian School	id=g:6330093
Johnson Preparatory School	id=g:6330094
Joseph S Gruss Yeshiva High School	id=g:6330095
Junior High School 113	id=g:6330096
Kedishas Naftoli	id=g:6330097
Keren Hatorah	id=g:6330098
League School	id=g:6330099
Leon M Goldstein High School of Sciences	id=g:6330100
Lev Bais Yaakov	id=g:6330101
Little Flower Preparatory School	id=g:6330102
Lubavitcher High School	id=g:6330103
Lubavitcher School Chabad	id=g:6330104
Lubavitcher Yeshiva	id=g:6330105
Machon Chana	id=g:6330106
Magen David Yeshiva	id=g:6330107
Big Apple Education Center	id=g:6330108
Binos Desha	id=g:6330109
Bnei Shimon Yisroel of Sopron	id=g:6330110
Bnos Chayil	id=g:6330111
Bnos Israel of East Flatbush	id=g:6330112
Bnos Margulia Viznitz	id=g:6330113
Bnos Menachem	id=g:6330114
Bnos Yakov School for Girls	id=g:6330115
B'Not Rachel High School for Girls	id=g:6330116
Bonim Lamokom	id=g:6330117
K553 Brooklyn Academy High School	id=g:6330118
Brooklyn Amity School	id=g:6330119
Clearbrook Gonvick School	id=g:6330120
Frank Lien Elementary School	id=g:6330121
All Leadership Secondary School	id=g:6330122
Brooklyn Comprehensive Night High School	id=g:6330123
Brooklyn Studio School	id=g:6330124
Brooklyn Technical High School	id=g:6330125
Brooklyn Temple School	id=g:6330126
Bushwick High School for Social Justice	id=g:6330127
New York Harbor School	id=g:6330128
High School of Urban Planning	id=g:6330129
Bushwick Leaders High School of Academic Excellence	id=g:6330130
Catherine Laboure Special Education Program	id=g:6330131
Central Brooklyn Seventh Day Adventist School	id=g:6330132
Christian Heritage Academy	id=g:6330133
Clara Muhammad School of Masjid Khal	id=g:6330134
Crown Heights Yeshiva	id=g:6330135
Cycle Education Center	id=g:6330136
Darchai Menachem School for Boys	id=g:6330137
David Grayson Christian Academy	id=g:6330138
East New York Transit Technical High School	id=g:6330139
Ebenezer Preparatory School	id=g:6330140
Ebenezer Seventh Day Adventist School	id=g:6330141
Edward R Murrow High School	id=g:6330142
El Puente Academy for Peace and Justice	id=g:6330143
Enya Community School	id=g:6330144
Brooklyn Conservatory of Music	id=g:6330145
Berkeley-Carroll School	id=g:6330146
Helen Owen Carey Child Development Center	id=g:6330147
Second Street Child Care Center	id=g:6330148
Public School 390	id=g:6330149
Saint Mark's Lutheran School	id=g:6330150
Beth Jacob School	id=g:6330151
Public School 380	id=g:6330152
Bais Yakov of Khal Adas Yereim	id=g:6330153
Yeshiva Yesoda Hatora of K'Hal Adas Yereim	id=g:6330154
Bnos Yakov of Pupa	id=g:6330155
Win-E-Mac-Erskine Elementary School	id=g:6330156
Fertile-Beltrami High School	id=g:6330157
Crookston High School	id=g:6330158
Public School 6	id=g:6330159
South Point Elementary School	id=g:6330160
East Grand Forks Senior High School	id=g:6330161
Northwest Technical College	id=g:6330162
Public School 398	id=g:6330163
Ahaba Ve Ahva Yeshiva	id=g:6330164
Al Madrasa Al Islamiya	id=g:6330165
Al-Noor School	id=g:6330166
All Saints Elementary School	id=g:6330167
Arista Preparatory School	id=g:6330168
Bais Brocho of Karlin Stolin	id=g:6330169
Bais Yaakov Academy	id=g:6330170
Bais Yaakov D'Khal Adas Yereim	id=g:6330171
Barkai Yeshiva	id=g:6330172
Bas Melech School for Girls	id=g:6330173
Be'er Mordechai Elementary School	id=g:6330174
Be'ikvei Hatzoin	id=g:6330175
Beginning With Children Charter School	id=g:6330176
Bet Yaakov Ateret Torah	id=g:6330177
Bet Yakov Ateret Torah High School	id=g:6330178
Beth Chana School for Girls	id=g:6330179
Beth Rachel School for Girls	id=g:6330180
Beth Rivkah High School	id=g:6330181
Beth Rivkah School	id=g:6330182
Lower West Side Children's Center	id=g:6330183
Probstfield Elementary School	id=g:6330184
Moorhead Senior High School	id=g:6330185
Park Christian School	id=g:6330186
Robert Asp Elementary School	id=g:6330187
Ulen-Hitterdal Public School	id=g:6330188
Spring Prairie Colony School	id=g:6330189
Ulen-Hitterdal Elementary School	id=g:6330190
Hawley High School	id=g:6330191
Hawley Elementary School	id=g:6330192
Dilworth/Glyndon-Felton High School	id=g:6330193
Dilworth Glyndon Felton Schools	id=g:6330194
Barnesville Elementary School	id=g:6330195
Barnesville High School	id=g:6330196
Gainesville Christian Academy	id=g:6330197
C W Norton Elementary School	id=g:6330198
Brooklyn Law School Annex	id=g:6330199
Brooklyn Friends School	id=g:6330200
Saint Francis College	id=g:6330201
Packer Collegiate Institute	id=g:6330202
