Victory Primitive Methodist Church	id=g:7184261
River Valley Education Center	id=g:7185480
North Vista Alternative Learning Center	id=g:7185481
South High School	id=g:7185482
Falcon Ridge Elementary School	id=g:7185483
Elliot Special Education School	id=g:7185484
Highland Park Junior High School	id=g:7185485
All Saints Catholic School	id=g:7185486
Saint Mark Lutheran School	id=g:7185487
Glen Lake Elementary School	id=g:7185488
Northfield High School	id=g:7185489
Humboldt Junior High School	id=g:7185490
Saint John the Evangelist School	id=g:7185491
Christian Life School	id=g:7185492
Normandale Hills Elementary School	id=g:7185493
Mounds View Area Learning Center	id=g:7185494
Raven Stream Elementary School	id=g:7185495
Saint Louis Park Alternative High School	id=g:7185496
Berea Lutheran School	id=g:7185497
Osseo Elementary School	id=g:7185498
Beaver Lake Education Center	id=g:7185499
Maple Grove Junior High School	id=g:7185500
Lakeaires Elementary School	id=g:7185501
Andersen Elementary School	id=g:7185502
Folwell Middle School	id=g:7185503
Afrocentric Education Academy	id=g:7185504
Albertville Primary School	id=g:7185505
Falcon Ridge Middle School	id=g:7185506
Anoka High School	id=g:7185507
Groves Academy	id=g:7185508
Edinbrook Elementary School	id=g:7185509
New Visions Alternative School	id=g:7185510
Saint Joseph School	id=g:7185511
Lake Marion Elementary School	id=g:7185512
Valley Crossing Community School	id=g:7185513
Rahn Elementary School	id=g:7185514
Eastern Heights Elementary School	id=g:7185515
Groveland Park Elementary School	id=g:7185516
Longfellow Community School	id=g:7185517
Anne Sullivan Communication Center	id=g:7185518
Battle Creek Environmental Magnet Elementary School	id=g:7185519
Holy Childhood School	id=g:7185520
Tarek Ibn Ziyad Academy	id=g:7185521
Webster Open Elementary School	id=g:7185522
Lake Country School	id=g:7185523
Museum Magnet School	id=g:7185524
Rice Lake Elementary School	id=g:7185525
Centennial Elementary School	id=g:7185526
L'Etoile du Nord French Immersion School	id=g:7185527
Main Street School of Performing Arts	id=g:7185528
Farmington Middle School West	id=g:7185529
Heart of the Earth Charter School	id=g:7185530
Oxbow Creek Elementary School	id=g:7185531
Bais Yaakov High School	id=g:7185532
Pease Academy / Holos	id=g:7185533
Highland Park Senior High School	id=g:7185534
Nativity of Mary School	id=g:7185535
Normandale French Immersion Elementary School	id=g:7185536
Chaska Middle School West	id=g:7185537
Northeast Neighborhood Early Learning Center	id=g:7185538
Johnson Senior High School	id=g:7185539
Heritage Middle School	id=g:7185540
Cross of Christ Lutheran School	id=g:7185541
Prince of Peace Lutheran School	id=g:7185542
Zoe Academy	id=g:7185543
Roseville Area Middle School	id=g:7185544
Saint Paul Area Learning Center	id=g:7185545
McGuire Middle School	id=g:7185546
Harvest Preparatory School / Seed Academy	id=g:7185547
Peter Enich Kindergarten Center	id=g:7185548
Sanford Middle School	id=g:7185549
Meadow Lake Elementary School	id=g:7185550
Oak Grove Middle School	id=g:7185551
Cedar Ridge Elementary School	id=g:7185552
Richardson Elementary School	id=g:7185553
Saint Hubert's Catholic School	id=g:7185554
Thomas Lake Elementary School	id=g:7185555
Pullman Elementary School	id=g:7185556
Calvin Christian School	id=g:7185557
Golden Valley Alternative Learning Center	id=g:7185558
Sky Oaks Elementary School	id=g:7185559
Saint Bernard's School	id=g:7185560
Sonnesyn Elementary School	id=g:7185561
Franklin Middle School	id=g:7185562
Blessed Sacrament School	id=g:7185563
Roosevelt Elementary School	id=g:7185564
North Trail Elementary School	id=g:7185565
Living Word Academy	id=g:7185566
Maple Grove Senior High School	id=g:7185567
Tartan Senior High School	id=g:7185568
Weaver Elementary School	id=g:7185569
Perspective Saint Louis Park School	id=g:7185570
Crista McAuliffe Elementary School	id=g:7185571
Ramsey Elementary School	id=g:7185572
Nawayee Center School	id=g:7185573
Sioux Trail Elementary School	id=g:7185574
Inver Grove Heights Middle School	id=g:7185575
Susan Lindgren Elementary School	id=g:7185576
Pine Hill Elementary School	id=g:7185577
Community of Peace Academy	id=g:7185578
Powderhorn Community School	id=g:7185579
Highwood Hills Elementary School	id=g:7185580
Calvary Memorial Christian School	id=g:7185581
Central Middle School	id=g:7185582
Le Sueur - Henderson Middle School	id=g:7185583
Burroughs Elementary School	id=g:7185584
Christ's Household of Faith School	id=g:7185585
Minnesota Math and Science Academy	id=g:7185586
Coon Rapids Middle School	id=g:7185587
Rice Lake Elementary School	id=g:7185588
Meadow Creek Christian School	id=g:7185589
Life Academy	id=g:7185590
North Community High School	id=g:7185591
Oak Grove Special Education School	id=g:7185592
Fernbrook Elementary School	id=g:7185593
Kenneth Hall Elementary School	id=g:7185594
Osseo Junior High School	id=g:7185595
Five Hawks Elementary School	id=g:7185596
Deerwood Elementary School	id=g:7185597
Minnesota River Valley Special Education Cooperative	id=g:7185598
Eisenhower Elementary School	id=g:7185599
Sandhill Center for the Arts	id=g:7185600
Faribault High School	id=g:7185601
Shattuck - Saint Mary's School - Upper School Campus	id=g:7185602
Laura Baker School	id=g:7185603
Champlin Elementary School	id=g:7185604
Orono Middle School	id=g:7185605
Friends School of Minnesota	id=g:7185606
Zachary Lane Elementary School	id=g:7185607
Mendota Elementary School	id=g:7185608
Second Foundation School	id=g:7185609
Prairie Center Alternative Learning Center	id=g:7185610
Alice Smith Elementary School	id=g:7185611
Minneapolis Schools Early Childhood Special Education	id=g:7185612
The City Incorporated - South Campus	id=g:7185613
Oak View Elementary School	id=g:7185614
Red Pine Elementary School	id=g:7185615
Sunrise Park Middle School	id=g:7185616
Mahtomedi High School	id=g:7185617
Plymouth Middle School	id=g:7185618
Sunnyside Elementary School	id=g:7185619
Cowern Elementary School	id=g:7185620
Rosemount Middle School	id=g:7185621
Little Canada Elementary School	id=g:7185622
Our Savior Lutheran School	id=g:7185623
Crossroads Elementary School	id=g:7185624
Minneapolis Community and Technical College	id=g:7185625
Bethany Academy	id=g:7185626
Woodbury Junior High School	id=g:7185627
Garlough Environmental Magnet School	id=g:7185628
Fred Moore Middle School Center for the Arts	id=g:7185629
Central Middle School	id=g:7185630
Columbus Elementary School	id=g:7185631
Shirley Hills Primary School	id=g:7185632
Park Spanish Immersion Elementary School	id=g:7185633
Dassel - Cokato Area Learning Center	id=g:7185634
Cherry View Elementary School	id=g:7185635
Eagan High School	id=g:7185636
Eastview High School	id=g:7185637
Robbinsdale Armstrong High School	id=g:7185638
Hillside Elementary School	id=g:7185639
Glacier Hills Elementary School	id=g:7185640
Dassel - Cokato Middle School	id=g:7185641
Northview Elementary School	id=g:7185642
Expo For Excellence Magnet Elementary School	id=g:7185643
Coon Rapids High School	id=g:7185644
Andersen Elementary School	id=g:7185645
Saint Bartholomew Catholic School	id=g:7185646
Friendly Hills Middle School	id=g:7185647
Mounds Park Academy	id=g:7185648
Odyssey Charter School	id=g:7185649
Armstrong Elementary School	id=g:7185650
Intermediate District 287 Lincoln Hills Education Center	id=g:7185651
Saint John Lutheran School	id=g:7185652
Al-Amal School	id=g:7185653
Le Center Middle School	id=g:7185654
Lincoln Elementary School	id=g:7185655
Saint Anthony Park Elementary School	id=g:7185656
Marine Elementary School	id=g:7185657
Timothy Lutheran School	id=g:7185658
International School of Minnesota	id=g:7185659
Higher Ground Academy	id=g:7185660
Anwatin Middle School	id=g:7185661
Randolph Heights Elementary School	id=g:7185662
Cottage Grove Junior High School	id=g:7185663
Fridley High School Area Learning Center	id=g:7185664
Saint Paul Academy and Summit School - Goodrich Campus	id=g:7185665
American Indian Opportunities Industrialization Center	id=g:7185666
Saint Anthony Village High School	id=g:7185667
Middleton Elementary School	id=g:7185668
South Saint Paul Junior High School	id=g:7185669
Oak View Middle School	id=g:7185670
Richfield Montessori and Child Care Center	id=g:7185671
Waterville Elementary School	id=g:7185672
Phalen Lake Elementary School	id=g:7185673
Lincoln International High School	id=g:7185674
Westwood Middle School	id=g:7185675
Cedar Park Elementary School	id=g:7185676
Elm Creek Elementary School	id=g:7185677
Pease Academy	id=g:7185678
South Washington County Alternative Learning Center	id=g:7185679
Spring Hill School	id=g:7185680
The World Learner School	id=g:7185681
Montgomery - Lonsdale Middle School	id=g:7185682
Nokomis Montessori Magnet School	id=g:7185683
Frost Lake Magnet School	id=g:7185684
Cyber Village Academy	id=g:7185685
Bush Memorial Children's Center	id=g:7185686
Blessed Trinity Catholic School	id=g:7185687
Central Park Elementary School	id=g:7185688
Richfield Senior High School	id=g:7185689
Excelsior Elementary School	id=g:7185690
Highland Catholic School	id=g:7185691
Concordia Academy	id=g:7185692
Rogers Middle School	id=g:7185693
Early Childhood Family Education	id=g:7185694
Northfield Area Learning Center	id=g:7185695
Leap English Academy School - Area Learning Center	id=g:7185696
Saint John Vianney School	id=g:7185697
Minnehaha Academy - Bloomington Campus	id=g:7185698
Northdale Middle School	id=g:7185699
Centennial High School - White Building	id=g:7185700
Snail Lake Education Center	id=g:7185701
Park Center Senior High School	id=g:7185702
King of Kings Lutheran School	id=g:7185703
North Lakes Academy	id=g:7185704
Nerstrand Elementary School	id=g:7185705
Stepping Stone Child Development Center	id=g:7185706
New City School	id=g:7185707
Hilltop Primary School	id=g:7185708
Prairie Creek Community School	id=g:7185709
Hazel Park Middle School	id=g:7185710
Groveland Elementary School	id=g:7185711
Robbinsdale Spanish Immersion Elementary School	id=g:7185712
Lily Lake Elementary School	id=g:7185713
Longfellow Elementary School	id=g:7185714
Blake Lower School - Highcroft Campus	id=g:7185715
Basswood Elementary School	id=g:7185716
New Prague Area Schools Community Education Center	id=g:7185717
Pilgrim Lane Elementary School	id=g:7185718
Lake Nokomis Community Keewaydin Campus	id=g:7185719
Minneapolis Public Schools Special Education School - Speech	id=g:7185720
Trinity School at River Ridge	id=g:7185721
Dakota Prairie Area Learning Center	id=g:7185722
Childrens Academy North	id=g:7185723
Mound Westonka High School	id=g:7185724
Most Holy Trinity Elementary School	id=g:7185725
Gatewood Elementary School	id=g:7185726
Seward Montessori School	id=g:7185727
Adams Spanish Immersion Magnet School	id=g:7185728
Hill Montessori Magnet School	id=g:7185729
Ames Elementary School	id=g:7185730
East Saint Paul Lutheran School	id=g:7185731
Osseo Senior High School	id=g:7185732
Crooked Lake Elementary School	id=g:7185733
Rosemount High School	id=g:7185734
Mary Queen of Peace Catholic School	id=g:7185735
King of Grace Lutheran School	id=g:7185736
South Vista Education Center	id=g:7185737
Edgerton Elementary School	id=g:7185738
Daytons Bluff Achievement Plus Elementary School	id=g:7185739
Pilgrim Lutheran School	id=g:7185740
Concordia Creative Learning Academy	id=g:7185741
Hennepin Technical College - Brooklyn Park Campus	id=g:7185742
Deephaven Elementary School	id=g:7185743
Lincoln Center Elementary School	id=g:7185744
Plymouth Youth Center Alternative High School	id=g:7185745
City Academy High School	id=g:7185746
Apple Valley High School	id=g:7185747
Mount Calvary Lutheran School	id=g:7185748
Sunny Hollow Elementary School	id=g:7185749
Oak Park Elementary School	id=g:7185750
Pope John Paul II Catholic School	id=g:7185751
Risen Christ Catholic School	id=g:7185752
Dowling Elementary School	id=g:7185753
Pinewood Community School	id=g:7185754
Washington Technology Magnet Middle School	id=g:7185755
West Lutheran High School	id=g:7185756
Phoenix Learning Center	id=g:7185757
Menlo Park Alternative School	id=g:7185758
Saint John the Baptist Catholic School	id=g:7185759
Randolph Elementary School	id=g:7185760
Lifelong Learning Center	id=g:7185761
Saint Paul Open School	id=g:7185762
Right Step Academy	id=g:7185763
Prosperity Heights Elementary School	id=g:7185764
Independent School District 196 Area Learning Center	id=g:7185765
Murray Junior High School	id=g:7185766
American Indian Magnet School	id=g:7185767
Breck School	id=g:7185768
Henry Sibley High School	id=g:7185769
Northrop Elementary School	id=g:7185770
Minnehaha Academy - North Campus	id=g:7185771
Waterville - Elysian - Morristown Senior High School	id=g:7185772
Black Hawk Middle School	id=g:7185773
Dakota Ridge School	id=g:7185774
Northside Christian School	id=g:7185775
Bloomington Lutheran School	id=g:7185776
Southside Family Charter School	id=g:7185777
Akin Road Elementary School	id=g:7185778
Wilder Complex School	id=g:7185779
South Saint Paul Senior High School	id=g:7185780
Heart of the Earth Charter School	id=g:7185781
Humboldt Senior High School	id=g:7185782
Robbinsdale Middle School	id=g:7185783
O H Anderson Elementary School	id=g:7185784
Learning Center for Homeless Families	id=g:7185785
Schumann Elementary School	id=g:7185786
Trinity Lutheran School	id=g:7185787
Anoka Adventist Christian School	id=g:7185788
Champlin Park High School	id=g:7185789
North Star Elementary School	id=g:7185790
Shannon Park Elementary School	id=g:7185791
Maxfield Magnet School	id=g:7185792
Saint Therese Catholic School	id=g:7185793
Soul Academy Charter School	id=g:7185794
Cedar Island Elementary School	id=g:7185795
Rosemount Elementary School	id=g:7185796
Grace Lutheran School	id=g:7185797
Eden Prairie High School	id=g:7185798
John Glenn Middle School	id=g:7185799
Divine Mercy Catholic School - South Campus	id=g:7185800
Meadowbrook Elementary School	id=g:7185801
Valentine Hills Elementary School	id=g:7185802
Maplewood Middle School	id=g:7185803
Saint Mary of the Lake School	id=g:7185804
City of Lakes Waldorf School	id=g:7185805
Saint Croix Valley Area Learning Center	id=g:7185806
Pilot Knob Elementary School	id=g:7185807
Redeemer Lutheran School	id=g:7185808
River Hills Early Childhood Center	id=g:7185809
Calvary Prekindergarten and Kindergarten	id=g:7185810
Saint Michael Catholic School	id=g:7185811
Pact Charter School	id=g:7185812
Park Terrace Elementary School	id=g:7185813
Lake Junior High School	id=g:7185814
Birch Lake Elementary School	id=g:7185815
Evergreen Park Elementary School	id=g:7185816
Chapel Hill Academy	id=g:7185817
Fairview Alternative High School	id=g:7185818
Franklin Music Magnet School	id=g:7185819
Highview Middle School	id=g:7185820
Winnetka Learning Center	id=g:7185821
Saint Anthony Middle School	id=g:7185822
Lincoln Elementary School	id=g:7185823
Saint Helena Catholic School	id=g:7185824
Andover Elementary School	id=g:7185825
Wilson Academy	id=g:7185826
WestWood Elementary School	id=g:7185827
Randolph High School	id=g:7185828
Faribault Lutheran School - Trinity Campus	id=g:7185829
Lakeview Elementary School	id=g:7185830
Chippewa Middle School	id=g:7185831
Achieve Language Academy	id=g:7185832
Coon Rapids Christian School	id=g:7185833
Metro Deaf School	id=g:7185834
West Central Elementary Academy	id=g:7185835
Partnership Academy Charter School	id=g:7185836
Orchard Lake Elementary School	id=g:7185837
Sorteberg Community School	id=g:7185838
Broadway High School	id=g:7185839
Capitol Hill Gifted and Talented Magnet School	id=g:7185840
Saint Michael School	id=g:7185841
Moreland Elementary School	id=g:7185842
Montgomery - Lonsdale Secondary School	id=g:7185843
Saint Andrew's Lutheran School	id=g:7185844
Hancock- Hamline University Collabrative Magnet School	id=g:7185845
Guardian Angels Catholic School	id=g:7185846
Hennepin Technical College - Eden Prairie Campus	id=g:7185847
White Bear Lake Area High School - North Campus	id=g:7185848
New Visions Charter Elementary School	id=g:7185849
Central Middle School	id=g:7185850
Lake Harriet Community Lower School	id=g:7185851
Forest Hills Elementary School	id=g:7185852
Mahtomedi Area Community Education	id=g:7185853
Maple Grove Senior High School - Alternative Learning Center	id=g:7185854
Richfield Middle School	id=g:7185855
Woodbury High School	id=g:7185856
Faribault Middle School	id=g:7185857
Eden Lake Elementary School	id=g:7185858
North View Junior High School	id=g:7185859
Avalon School	id=g:7185860
Webster Elementary School	id=g:7185861
Mount Olive Christian Preschool and Kindergarten	id=g:7185862
Mississippi Creative Arts Magnet School	id=g:7185863
Kings Christian Academy	id=g:7185864
Highland Park Elementary School	id=g:7185865
Trinity Evangelical Lutheran School	id=g:7185866
Good Shepherd Lutheran School	id=g:7185867
Connection Center	id=g:7185868
Marcy Open Elementary School	id=g:7185869
Lake Elmo Elementary School	id=g:7185870
Highview Alternative Program	id=g:7185871
Farmington Middle School East	id=g:7185872
Tuttle Elementary School	id=g:7185873
Como Park Elementary School	id=g:7185874
Nicollet Junior High School	id=g:7185875
Immaculate Heart of Mary Catholic School	id=g:7185876
Central Lutheran School	id=g:7185877
Grace Christian School	id=g:7185878
Talmud Torah of Saint Paul School	id=g:7185879
Northfield Middle School	id=g:7185880
Weaver Lake Elementary School	id=g:7185881
Metropolitan Open School	id=g:7185882
Twin Cities Academy	id=g:7185883
Central Family Center- Community Education	id=g:7185884
Stevenson Elementary School	id=g:7185885
Cretin - Derham Hall	id=g:7185886
Saint Pascal Baylon Catholic School	id=g:7185887
Saint Jude of the Lake School	id=g:7185888
Bethune Elementary School	id=g:7185889
Cityview Performing Arts Magnet Elementary School	id=g:7185890
Farnsworth Aerospace Elementary Magnet School	id=g:7185891
Our Lady of Peace School	id=g:7185892
Saint Francis - Saint James United School	id=g:7185893
Blake Upper School	id=g:7185894
Eagle Heights Spanish Immersion School	id=g:7185895
Oak Hills Elementary School	id=g:7185896
Wildwood Elementary School	id=g:7185897
Oltman Junior High School	id=g:7185898
White Bear Lake Area Learning Center	id=g:7185899
Saint Mark's School	id=g:7185900
Saint John the Baptist Catholic School	id=g:7185901
Buffalo - Hanover- Montrose Special Education Office	id=g:7185902
Castle Elementary School	id=g:7185903
Tesol - Homecroft School	id=g:7185904
Perpich Center for Arts Education	id=g:7185905
Saint Anne's Academy	id=g:7185906
Crossroads North Campus	id=g:7185907
Uptown Academy Alternative High School	id=g:7185908
Academy of Saints Peter and Paul	id=g:7185909
Richfield Intemediate Elementary School	id=g:7185910
Paul and Shelia Wellstone Elementary School	id=g:7185911
Concordia Academy	id=g:7185912
Oak Ridge Elementary School	id=g:7185913
Olson Middle School	id=g:7185914
Trinity Lone Oak Lutheran School	id=g:7185915
Otter Lake Elementary School	id=g:7185916
Hans Christian Andersen Open School	id=g:7185917
Crosstown Educational Center	id=g:7185918
Shore Harvest Presbyterian Church	id=g:7185919
Alumni House	id=g:7185920
Risley Hall	id=g:7185921
Jerome H Holland International Living Center	id=g:7185922
Robert Purcell Community Center	id=g:7185923
George Jameson Hall	id=g:7185924
Mary Donlon Hall	id=g:7185925
Clara Dickson Hall	id=g:7185926
Balch Hall	id=g:7185927
Carol Tatkon Center	id=g:7185928
Helen Newman Hall	id=g:7185929
Fuertes Observatory	id=g:7185930
McClintock Shed	id=g:7185931
Nearing Summer House	id=g:7185932
Comstock Knoll	id=g:7185933
Plantations Lewis Education Center	id=g:7185934
Leland Laboratory	id=g:7185935
Love Laboratory	id=g:7185936
Guterman Bioclimatic Laboratory	id=g:7185937
Schurman Hall	id=g:7185938
Muenscher Garden	id=g:7185939
Law Auditorium	id=g:7185940
Weinhold Chilled Water Plant 1	id=g:7185941
Martha Van Rensselaer Hall	id=g:7185942
Beebe Hall	id=g:7185943
Bruckner Laboratory	id=g:7185944
Rice Hall	id=g:7185945
Fernow Hall	id=g:7185946
Bradfield Hall	id=g:7185947
Emerson Hall	id=g:7185948
Deans Garden	id=g:7185949
Students Centennial Garden	id=g:7185950
Mann Library Building	id=g:7185951
Warren Hall	id=g:7185952
Caldwell Hall	id=g:7185953
Roberts Hall	id=g:7185954
Kennedy Hall	id=g:7185955
Bailey Hall	id=g:7185956
Savage Hall	id=g:7185957
Kinzelberg Hall	id=g:7185958
Newman Laboratory	id=g:7185959
Newman Laboratory Annex	id=g:7185960
Olin Chemistry Research Laboratory	id=g:7185961
Baker Laboratory	id=g:7185962
Clark Hall	id=g:7185963
Rockefeller Hall	id=g:7185964
Space Sciences Building	id=g:7185965
Andrew Dickson White House	id=g:7185966
Farrand Garden	id=g:7185967
Big Red Barn	id=g:7185968
Malott Hall	id=g:7185969
Rockwell Azalea Garden	id=g:7185970
Barton Hall	id=g:7185971
Statler Hall	id=g:7185972
Peter Plaza	id=g:7185973
Uris Hall	id=g:7185974
Ives Hall	id=g:7185975
Seeley G Mudd Hall	id=g:7185976
Dale R Corson Hall	id=g:7185977
Comstock Hall	id=g:7185978
Teagle Hall	id=g:7185979
Lynah Rink	id=g:7185980
Bartels Hall	id=g:7185981
Robison Alumni Fields	id=g:7185982
Robert J Kane Sports Complex	id=g:7185983
Morrison Hall	id=g:7185984
Stocking Hall	id=g:7185985
Wing Hall	id=g:7185986
Riley-Robb Hall	id=g:7185987
Wilson Synchrotron Laboratory	id=g:7185988
Humphreys Service Building	id=g:7185989
Schoellkopf Memorial Hall	id=g:7185990
Schoellkopf Field	id=g:7185991
Hoy Field	id=g:7185992
DeFrees Laboratory	id=g:7185993
Hollister Hall	id=g:7185994
Snee Hall	id=g:7185995
Bard Hall	id=g:7185996
Thurston Hall	id=g:7185997
Kimball Hall	id=g:7185998
Ward Center For Nuclear Sciences	id=g:7185999
Frank H T Rhodes Hall	id=g:7186000
Grumman Hall	id=g:7186001
Upson Hall	id=g:7186002
Phillips Hall	id=g:7186003
Duffield Hall	id=g:7186004
Carpenter Hall	id=g:7186005
Gannett Health Center	id=g:7186006
Willard Straight Hall	id=g:7186007
Bames Hall	id=g:7186008
Olin Hall	id=g:7186009
Sage Hall	id=g:7186010
Rand Hall	id=g:7186011
Sibley Hall	id=g:7186012
Lincoln Hall	id=g:7186013
Goldwin Smith Hall	id=g:7186014
Olin Library	id=g:7186015
Stimson Hall	id=g:7186016
Day Hall	id=g:7186017
Sage Chapel	id=g:7186018
Jennie McGraw Tower	id=g:7186019
Uris Library	id=g:7186020
Morrill Hall	id=g:7186021
McGraw Hall	id=g:7186022
White Hall	id=g:7186023
Olive Tjaden Hall	id=g:7186024
Johnson Museum of Art	id=g:7186025
McFaddin Hall	id=g:7186026
War Memorial Hall	id=g:7186027
Lyon Hall	id=g:7186028
Mennen Hall	id=g:7186029
Founders Hall	id=g:7186030
South Baker Hall	id=g:7186031
North Baker Hall	id=g:7186032
Baker Tower	id=g:7186033
Boldt Hall	id=g:7186034
Boldt Tower	id=g:7186035
Alice H Cook House	id=g:7186036
Carl L Becker House	id=g:7186037
Noyes Community Center	id=g:7186038
Class of '17 Hall	id=g:7186039
Class of '18 Hall	id=g:7186040
Class of '26 Hall	id=g:7186041
Hans Bethe House	id=g:7186042
Noyes Community Recreation Center	id=g:7186043
Telluride House	id=g:7186044
Anabel Taylor Hall	id=g:7186045
Myron Taylor Hall	id=g:7186046
Hughes Hall	id=g:7186047
College Avenue Stone Arch Bridge	id=g:7186048
Eddy Dam Foot Bridge	id=g:7186049
Dwyer Dam Bridge	id=g:7186050
Judd Falls Bridge	id=g:7186051
Sackett Foot Bridge	id=g:7186052
Triphammer Foot Bridge	id=g:7186053
Thurston Avenue Bridge	id=g:7186054
Stewart Avenue Bridge	id=g:7186055
Whitney M Young Community Health Center	id=g:7186056
Yarbrough Homes	id=g:7186057
Homestead Home For The Aged	id=g:7186058
Hackett Park	id=g:7186059
Saint Georges Lithuanian Roman Catholic Church	id=g:7186060
Arbor Hills Elementary School	id=g:7186061
Church of the Blessed Sacrament	id=g:7186062
Swinburne Park	id=g:7186063
West End Presbyterian Church	id=g:7186064
Albany Truck Company Number 3	id=g:7186065
Levine's Memorial Chapel	id=g:7186066
Saint Ann's Institute	id=g:7186067
Kingdom Hall of Jehovahs Witnesses	id=g:7186068
Albany Division 1 Police Station	id=g:7186069
A N Brady Building	id=g:7186070
Saint Catherine Child Care Center	id=g:7186071
Saint Andrew's Episcopal Church	id=g:7186072
Madison Avenue Baptist Church	id=g:7186073
Central Plaza Shopping Center	id=g:7186074
Westland Hills Park	id=g:7186075
Tremont Street Chapel	id=g:7186076
Colvin Central Plaza Shopping Center	id=g:7186077
Westgate Shopping Center	id=g:7186078
Memorial School of Nursing	id=g:7186079
Loudon Shopping Center	id=g:7186080
Bethany Presbyterian Church	id=g:7186081
Menands Village Hall	id=g:7186082
Saint Margaret's Episcopal Church	id=g:7186083
Saint Joan of Arc Roman Catholic Church	id=g:7186084
Loudonville Presbyterian Church	id=g:7186085
Loudonville Community Church	id=g:7186086
Loudon Heights	id=g:7186087
West Albany Fire Department Company Number 1	id=g:7186088
Roessleville Presbyterian Church	id=g:7186089
The Peoples Baptist Church	id=g:7186090
West Albany Fire Department Company Number 2	id=g:7186091
Our Lady of Mercy Roman Catholic Church	id=g:7186092
Our Lady of Mercy School	id=g:7186093
Our Savior Evangelical Lutheran Church	id=g:7186094
Loudonville School	id=g:7186095
Schuetzen Park	id=g:7186096
Menands School	id=g:7186097
Loudonville Christian School	id=g:7186098
Southgate School	id=g:7186099
Roessleville School	id=g:7186100
Saddlewood Elementary School	id=g:7186101
Wilshire Private School	id=g:7186102
Dana L Lyon Elementary School	id=g:7186103
Bath Baptist Church	id=g:7186104
Bethel Assembly of God Church	id=g:7186105
Centenary United Methodist Church	id=g:7186106
First Presbyterian Church of Bath	id=g:7186107
Saint Mary's Roman Catholic Church	id=g:7186108
Saint Thomas Episcopal Church	id=g:7186109
Lake Country Estates	id=g:7186110
The Homes Of Wildflower Hills	id=g:7186111
Bath Veterans Affairs Medical Center	id=g:7186112
Vernon E Wightman Primary School	id=g:7186113
Old County Home Cemetery	id=g:7186114
Pioneer Cemetery	id=g:7186115
Fifteen Election Precinct (Inactive)	id=g:7186116
Naples High School	id=g:7186117
Memorial Town Hall	id=g:7186118
Naples Gospel Tabernacle	id=g:7186119
First Methodist Church	id=g:7186120
Naples Fire Department	id=g:7186121
Naples Village Hall	id=g:7186122
Saint Januarius Roman Catholic Church	id=g:7186123
Naples Hotel (historical)	id=g:7186124
First Baptist Church	id=g:7186125
Trinity Federated Church	id=g:7186126
Naples Elementary School	id=g:7186127
Highland Avenue Christian School	id=g:7186128
Sarita Elementary School	id=g:7186129
Eagle Project School - Pharr McAllen	id=g:7186130
Meyer Elementary School	id=g:7186131
Saint Mary's Catholic School	id=g:7186132
San Perlita Middle School	id=g:7186133
Ricardo Middle School	id=g:7186134
Friendwoods Christian School	id=g:7186135
Benavides Elementary School	id=g:7186136
Industrial High School	id=g:7186137
Valley High School	id=g:7186138
Omega School for Girls	id=g:7186139
High Island Elementary School	id=g:7186140
Vanderbilt Elementary School	id=g:7186141
Saint John's Episcopal Day School	id=g:7186142
Galveston County Juvenile Justice Alternative Education Program	id=g:7186143
Saint Michael's Catholic School	id=g:7186144
Nueces County Juvenile Justice Alternative Education Program	id=g:7186145
Lavace Stewart Elementary School	id=g:7186146
San Isidro High School	id=g:7186147
Sweeny Christian School	id=g:7186148
Holy Family Elementary School	id=g:7186149
Saint James' Episcopal School	id=g:7186150
University of Houston in Victoria	id=g:7186151
Frontier Elementary School	id=g:7186152
Garden Park Elementary School	id=g:7186153
Needville Junior High School	id=g:7186154
Olsen Elementary School	id=g:7186155
C W Dawson Elementary School	id=g:7186156
Eagle Heights Christian Academy	id=g:7186157
Monte Alto Elementary School	id=g:7186158
Progreso West Elementary School	id=g:7186159
Matagorda Elementary School	id=g:7186160
Premont High School	id=g:7186161
Jackson - Roosevelt Elementary School	id=g:7186162
Charles B Scott Elementary School	id=g:7186163
Sheridan Elementary School	id=g:7186164
Hidalgo County Juvenile Justice Alternative Education Program	id=g:7186165
Mainland Christian School	id=g:7186166
Banquete High School	id=g:7186167
Ganado High School	id=g:7186168
Hubert R Hudson Elementary School	id=g:7186169
Cameron County Juvenile Justice Alternative Education Program School	id=g:7186170
Calvary Christian School	id=g:7186171
Industrial Junior High School	id=g:7186172
Benavides High School	id=g:7186173
Ben Bolt - Palito Blanco High School	id=g:7186174
Brookside Intermediate School	id=g:7186175
Orange Grove Primary School	id=g:7186176
Matagorda County Alternative Education School	id=g:7186177
Brownsville Seventh Day Adventist School	id=g:7186178
Country Meadows Montessori School	id=g:7186179
Premont Central Elementary School	id=g:7186180
Faith Christian School	id=g:7186181
Port O'Connor Elementary School	id=g:7186182
Seadrift Elementary School	id=g:7186183
Pettus Elementary School	id=g:7186184
Hopkins Fine Arts Academy	id=g:7186185
Saint Paul Lutheran School	id=g:7186186
Saint Thomas the Apostle Episcopal School	id=g:7186187
Agua Dulce High School	id=g:7186189
Banquete Elementary School	id=g:7186190
Our Lady Queen of Peace Catholic School	id=g:7186191
Angleton Independent School District Administration Office	id=g:7186192
Matagorda County Juvenile Justice Alternative Education School	id=g:7186193
Bishop Elementary School	id=g:7186194
Los Cuates Middle School	id=g:7186195
