Buayan River	id=g:1723675
Bito River	id=g:1724652
Bitoon	id=g:1724653
Bitoon	id=g:1724654
Bitoon	id=g:1724655
Bito-on	id=g:1724656
Bitoon	id=g:1724657
Bito-on	id=g:1724658
Bitoon	id=g:1724659
Bitoon	id=g:1724660
Bito-on	id=g:1724661
Bitoon	id=g:1724662
Biton Point	id=g:1724663
Bitong	id=g:1724664
Bitong	id=g:1724665
Biton Bay	id=g:1724666
Biton Bay	id=g:1724667
Biton	id=g:1724668
Biton	id=g:1724669
Biton	id=g:1724670
Biton	id=g:1724671
Bitogan Point	id=g:1724672
Bitoclan River	id=g:1724673
Lake Bito	id=g:1724674
Bito	id=g:1724675
Bito	id=g:1724676
Bito	id=g:1724677
Bito	id=g:1724678
Bato	id=g:1724679
Bito	id=g:1724680
Bito	id=g:1724681
Bito	id=g:1724682
Bito	id=g:1724683
Bito	id=g:1724684
Bito	id=g:1724685
Mount Bitnung	id=g:1724686
Bitlingan	id=g:1724687
Biting Bayan	id=g:1724688
Bitinan Island	id=g:1724689
Bitin	id=g:1724690
Bitin	id=g:1724691
Bitin	id=g:1724692
Bitik	id=g:1724693
Bitik	id=g:1724694
Bitibot	id=g:1724695
Bitbitnong	id=g:1724696
Bitaugan River	id=g:1724697
Bitaugan	id=g:1724698
Bitaogan	id=g:1724699
Bitaug	id=g:1724700
Bitaug	id=g:1724701
Bitaug	id=g:1724702
Bitas y Pajo Burgos	id=g:1724703
Bitas	id=g:1724704
Bitas	id=g:1724705
Bitas	id=g:1724706
Bitas	id=g:1724707
Bita-oyan	id=g:1724708
Bitaoy	id=g:1724709
Bitaoy	id=g:1724710
Bitaon Reef	id=g:1724711
Bitaog Pasil	id=g:1724712
Bitaog-Gaya	id=g:1724713
Bitaog Creek	id=g:1724714
Bitaogan River	id=g:1724715
Bitaogan River	id=g:1724716
Bitaogan Point	id=g:1724717
Bitaogan Point	id=g:1724718
Bitaogan Point	id=g:1724719
Bitaogan Point	id=g:1724720
Bitaogan Creek	id=g:1724721
Bitaogan Bay	id=g:1724722
Mount Bitaogan	id=g:1724723
Bitaogan	id=g:1724724
Bitaogan	id=g:1724725
Bitaogan	id=g:1724726
Bitaogan	id=g:1724727
Bitaogan	id=g:1724728
Bitaog	id=g:1724729
Bitaog	id=g:1724730
Bitaog	id=g:1724731
Mount Bitanjuan	id=g:1724732
Bitanhuan River	id=g:1724733
Bitanjuan	id=g:1724734
Bitangan	id=g:1724735
Bitanagan River	id=g:1724736
Bitanagan River	id=g:1724737
Bitanagan	id=g:1724738
Bitan-ag	id=g:1724739
Bitalag	id=g:1724740
Bitalag	id=g:1724741
Bitahuan River	id=g:1724742
Bitag	id=g:1724743
Bitag	id=g:1724744
Bitag	id=g:1724745
Bitadton River	id=g:1724746
Bitadton	id=g:1724747
Bitabian	id=g:1724748
Mount Bita	id=g:1724749
Bita	id=g:1724750
Bita	id=g:1724751
Bita	id=g:1724752
Bisucay Island	id=g:1724753
Bisucay Channel	id=g:1724754
Bisucay	id=g:1724755
Bisu Bohan Island	id=g:1724756
Bisu Bintut Island	id=g:1724757
Bisong	id=g:1724758
Bisocol	id=g:1724759
Bislig South	id=g:1724760
Bislig River	id=g:1724761
Bislig Point	id=g:1724762
Bislig Bay	id=g:1724763
Bislig	id=g:1724764
Bislig	id=g:1724765
Bislig	id=g:1724766
Bislig	id=g:1724767
Bislig	id=g:1724768
Bislig	id=g:1724769
Bislian River	id=g:1724770
Bislian Point	id=g:1724771
Bislian Malaki	id=g:1724772
Bisliang Munti River	id=g:1724773
Bisliang Munti	id=g:1724774
Bislian Cove	id=g:1724775
Bislian	id=g:1724776
Biscom	id=g:1724777
Biscayan River	id=g:1724778
Mount Biscal	id=g:1724779
Bisay	id=g:1724780
Bisang River	id=g:1724781
Bisangol	id=g:1724782
Bisang	id=g:1724783
Mount Bisal	id=g:1724784
Bisal	id=g:1724785
Bisagu Creek	id=g:1724786
Bisagu	id=g:1724787
Birunget	id=g:1724788
Birucang	id=g:1724789
Biruc	id=g:1724790
Birong	id=g:1724791
Biroan	id=g:1724792
Biri Sur	id=g:1724793
Biriran River	id=g:1724794
Biriran	id=g:1724795
Biri Norte	id=g:1724796
Birinayan	id=g:1724797
Biri Island	id=g:1724798
Biri Head	id=g:1724799
Biri Channel	id=g:1724800
Biri Anchorage	id=g:1724801
Biria	id=g:1724802
Biri	id=g:1724803
Biri	id=g:1724804
Biri	id=g:1724805
Bire Maragul River	id=g:1724806
Bire Malaiti River	id=g:1724807
Bird Rock	id=g:1724808
Birbira	id=g:1724809
Birauen	id=g:1724810
Birat	id=g:1724811
Bira-o-Point	id=g:1724812
Birao Creek	id=g:1724813
Biran Creek	id=g:1724814
Birac	id=g:1724815
Bique	id=g:1724816
Bioso	id=g:1724817
Bioos River	id=g:1724818
Bioos	id=g:1724819
Biong River	id=g:1724820
Biong	id=g:1724821
Biong	id=g:1724822
Byong	id=g:1724823
Biogan River	id=g:1724824
Bioburhan River	id=g:1724825
Bioborhan	id=g:1724826
Bio	id=g:1724827
Binuyan	id=g:1724828
Mount Binutuan	id=g:1724829
Binutas	id=g:1724830
Binupsuc	id=g:1724831
Binugtuan Creek	id=g:1724832
Binantocan	id=g:1724833
Binuntuan Point	id=g:1724834
Binuntuan	id=g:1724835
Binunsalian Bay	id=g:1724836
Binuni River	id=g:1724837
Binuni Point	id=g:1724838
Benoni	id=g:1724839
Binungto-an	id=g:1724840
Binungan	id=g:1724841
Binunga	id=g:1724842
Binulusan	id=g:1724843
Binuluangan Island	id=g:1724844
Binuluangan	id=g:1724845
Mount Binuluan	id=g:1724846
Binullio	id=g:1724847
Binulin River	id=g:1724848
Binulbulan Island	id=g:1724849
Binulasan	id=g:1724850
Binukawan	id=g:1724851
Binuhay	id=g:1724852
Binunangin River	id=g:1724853
Binuhan	id=g:1724854
Binuguit	id=g:1724855
Binugayan Point	id=g:1724856
Binugayan Bay	id=g:1724857
Binugao	id=g:1724858
Binuclutan	id=g:1724859
Binucayan	id=g:1724860
Binucayan	id=g:1724861
Binubusan	id=g:1724862
Binubungan	id=g:1724863
Binuan River	id=g:1724864
Binuan River	id=g:1724865
Binuang River	id=g:1724866
Binuangan River	id=g:1724867
Binuañgan River	id=g:1724868
Binuangan River	id=g:1724869
Binuañgan	id=g:1724870
Binuangan	id=g:1724871
Binuangan	id=g:1724872
Binuangan	id=g:1724873
Binuangan	id=g:1724874
Binuangan	id=g:1724875
Binuangan	id=g:1724876
Binuangan	id=g:1724877
Binuangan	id=g:1724878
Binuangan	id=g:1724879
Mount Binuang	id=g:1724880
Mount Binuang	id=g:1724881
Binuang	id=g:1724882
Binuang	id=g:1724883
Binuan	id=g:1724884
Binualan	id=g:1724885
Binuahan River	id=g:1724886
Bintut Island	id=g:1724887
Bintun	id=g:1724888
Bintuan River	id=g:1724889
Bintuan	id=g:1724890
Bintoulan Island	id=g:1724891
Vinto Point	id=g:1724892
Bintog	id=g:1724893
Bintog	id=g:1724894
Bintoan	id=g:1724895
Bintawan	id=g:1724896
Bintoulan	id=g:1724897
Bintaugan Island	id=g:1724898
Bintauan River	id=g:1724899
Bintayan	id=g:1724900
Bintana	id=g:1724901
Bintacay	id=g:1724902
Bintacan River	id=g:1724903
Mount Bintacan	id=g:1724904
Bintacan	id=g:1724905
Binsir	id=g:1724906
Binoyoan	id=g:1724907
Binotongan	id=g:1724908
Binosong	id=g:1724909
Binoscogan Island	id=g:1724910
Binosauan	id=g:1724911
Binorong Point	id=g:1724912
Binorongan Point	id=g:1724913
Binorocbasocan	id=g:1724914
Binorhan	id=g:1724915
Binoor	id=g:1724916
Binoong Point	id=g:1724917
Bino-ongan	id=g:1724918
Bino-ongan	id=g:1724919
Binontolan	id=g:1724920
Binonoan River	id=g:1724921
Binonoan	id=g:1724922
Binoni	id=g:1724923
Binoni	id=g:1724924
Binongtoan	id=g:1724925
Binongkalan Point	id=g:1724926
Binongkalan	id=g:1724927
Binongan River	id=g:1724928
Binongan	id=g:1724929
Binonga Creek	id=g:1724930
Binongaan	id=g:1724931
Binongaan	id=g:1724932
Binonga	id=g:1724933
Binonga	id=g:1724934
Estero de Binondo	id=g:1724935
Binondo	id=g:1724936
Binon-an	id=g:1724937
Binoligan	id=g:1724938
Binolho	id=g:1724939
Biñohon	id=g:1724940
Binohañgan	id=g:1724941
Binogsacan	id=g:1724942
Binogauan	id=g:1724943
Binog	id=g:1724944
Binodegahan	id=g:1724945
Binocyahan	id=g:1724946
Binobuhan Hacienda	id=g:1724947
Binobon	id=g:1724948
Binobon	id=g:1724949
Binobolang Point	id=g:1724950
Binobano Creek	id=g:1724951
Binoayan	id=g:1724952
Bino	id=g:1724953
Binmeckeg	id=g:1724954
Binmantay	id=g:1724955
Binmaley	id=g:1724956
Binmaley	id=g:1724957
Mount Binmaca	id=g:1724958
Binlod	id=g:1724959
Binloc River	id=g:1724960
Binlayan	id=g:1724961
Biniuan River	id=g:1724962
Binitinan River	id=g:1724963
Binitinan	id=g:1724964
Binitin	id=g:1724965
Binitin	id=g:1724966
Binitagan	id=g:1724967
Binitayan	id=g:1724968
Mount Binitalo	id=g:1724969
Biniruan	id=g:1724970
Binirayan	id=g:1724971
Biniptican Point	id=g:1724972
Biniptican Hills	id=g:1724973
Binimbingan	id=g:1724975
Binilanga River	id=g:1724976
Mount Binilanga	id=g:1724977
Binikal	id=g:1724978
Bini Island	id=g:1724979
Binigsian River	id=g:1724980
Binigsian Point	id=g:1724981
Binig Creek	id=g:1724982
Binidayan	id=g:1724983
Binidayan	id=g:1724984
Binicul Creek	id=g:1724985
Binicuil River	id=g:1724986
Binicuil	id=g:1724987
Binictigan River	id=g:1724988
Binicayat Hill	id=g:1724989
Mount Binicayon	id=g:1724990
Binibulang	id=g:1724991
Binibitinan River	id=g:1724992
Binibitinan Munti	id=g:1724993
Binibitinan Maloki	id=g:1724994
Binibitinan	id=g:1724995
Binibihan	id=g:1724996
Binibihan	id=g:1724997
Mount Binhagan	id=g:1724998
Binhagan Norte	id=g:1724999
Binhagan Sur	id=g:1725000
Binguang	id=g:1725001
Bingot	id=g:1725002
Mount Bingo	id=g:1725003
Binongan	id=g:1725004
Bingay Point	id=g:1725005
Bingig River	id=g:1725006
Bingao	id=g:1725007
Bingay Point	id=g:1725008
Bingay Island	id=g:1725009
Bingay	id=g:1725010
Bingawan	id=g:1725011
Bingawan	id=g:1725012
Bingauan	id=g:1725013
Binga Point	id=g:1725014
Bingao	id=g:1725015
Bingao	id=g:1725016
Binacag	id=g:1725017
Binga Island	id=g:1725018
Bingag Creek	id=g:1725019
Bingag	id=g:1725020
Bingag	id=g:1725021
Bingad Island	id=g:1725022
Binga Bay	id=g:1725023
Mount Binetenan	id=g:1725024
Bineng	id=g:1725025
Binduyan Cove	id=g:1725026
Binduc River	id=g:1725027
Bindoy Creek	id=g:1725028
Payabon	id=g:1725029
Bindoy	id=g:1725030
Bindolonan	id=g:1725031
Binday	id=g:1725032
Bincoñgan	id=g:1725033
Bincong	id=g:1725034
Bincay River	id=g:1725035
Bincay	id=g:1725036
Bincaon	id=g:1725037
Bincalon	id=g:1725038
Bincagao	id=g:1725039
Bin Bin River	id=g:1725040
Binbanan	id=g:1725041
Binayusan	id=g:1725042
Binaybay	id=g:1725043
Binaybay	id=g:1725044
Binayan Point	id=g:1725045
Binayan	id=g:1725046
Binaya-an	id=g:1725047
Binay	id=g:1725048
Binawawan Mountain	id=g:1725049
Binawangan River	id=g:1725050
Binawangan	id=g:1725051
Binatug	id=g:1725052
Binaticlan River	id=g:1725053
Binaticlan Point	id=g:1725054
Binaticlan	id=g:1725055
Binalican Island	id=g:1725056
Binatanga	id=g:1725057
Binatagan	id=g:1725058
Binatagan	id=g:1725059
Binatac Point	id=g:1725060
Binatac	id=g:1725061
Pinatan River	id=g:1725062
Pinatan Bay	id=g:1725063
Binataan	id=g:1725064
Binasbas	id=g:1725065
Batasan Binasay	id=g:1725066
Binasaran	id=g:1725067
Binaritan	id=g:1725068
Binarera Point	id=g:1725069
Binarayan Island	id=g:1725070
Binaratan	id=g:1725071
Binapon	id=g:1725072
Binaongan River	id=g:1725073
Binauganan	id=g:1725074
Binao-bauan	id=g:1725075
Binanwanaan	id=g:1725076
Binanugan	id=g:1725077
Binanuan	id=g:1725078
Binanuahan	id=g:1725079
Binanuaanan	id=g:1725080
Binanuaan	id=g:1725081
Binano-an	id=g:1725082
Binanuaan	id=g:1725083
Binanua-an	id=g:1725084
Binantagan Point	id=g:1725085
Binansagan	id=g:1725086
Biñan River	id=g:1725087
Binanigan	id=g:1725088
Binangtan Island	id=g:1725089
Biñang Segundo	id=g:1725090
Biñang Primero	id=g:1725091
Mount Binangonan	id=g:1725093
Binangonan	id=g:1725094
Binangonan	id=g:1725095
Binangkilan	id=g:1725096
Binangig	id=g:1725097
Binangculan Point	id=g:1725098
Binangculan Bay	id=g:1725099
Binangbang River	id=g:1725100
Binangbang River	id=g:1725101
Binangbang	id=g:1725102
Binangbang	id=g:1725103
Binangbang	id=g:1725104
Binangbagnan	id=g:1725105
Binanga River	id=g:1725106
Binanga Point	id=g:1725107
Port Binanga	id=g:1725108
Biñan	id=g:1725109
Binancuan	id=g:1725110
Binanbangan Creek	id=g:1725111
Binanauan	id=g:1725112
Binanan Island	id=g:1725113
Binanan Chico Island	id=g:1725114
Biñan	id=g:1725115
Biñan	id=g:1725116
Biñan	id=g:1725117
Binambongan River	id=g:1725118
Binambang	id=g:1725119
Binalui River	id=g:1725120
Binaluan Bay	id=g:1725121
Binaluan	id=g:1725122
Binalsi	id=g:1725123
Binaloy River	id=g:1725124
Binalotuan River	id=g:1725125
Mount Binalao	id=g:1725126
Binalonan	id=g:1725127
Binalonan	id=g:1725128
Banuangdoan River	id=g:1725129
Binatog	id=g:1725130
Binalod	id=g:1725131
Binallan	id=g:1725132
Binaliw	id=g:1725133
Binaliw	id=g:1725134
Binaliw	id=g:1725135
Binaliw	id=g:1725136
Binaliu Rocks	id=g:1725137
Binaliuan Menor	id=g:1725138
Binaliwan	id=g:1725139
Binaleo Point	id=g:1725140
Binalio Point	id=g:1725141
Binalio Island	id=g:1725142
Binalio	id=g:1725143
Binalio	id=g:1725144
Binaligutan	id=g:1725145
Binalian Creek	id=g:1725146
Binalian	id=g:1725147
Binalian	id=g:1725148
Binalian	id=g:1725149
Binali	id=g:1725150
Binaleo	id=g:1725151
Binalbagon River	id=g:1725152
Binalbagan River	id=g:1725153
Binalbagan Point	id=g:1725154
Binalbagan Estate Incorporated	id=g:1725155
Binalbagan	id=g:1725156
Binalbagan	id=g:1725157
Binalbagan	id=g:1725158
Binalayangan	id=g:1725159
Binlayan River	id=g:1725160
Mount Binalayan	id=g:1725161
Binalayan	id=g:1725162
Binalauan	id=g:1725163
Binalayan	id=g:1725164
Binalay	id=g:1725165
Binalan	id=g:1725166
Binalan	id=g:1725167
Pinalacan	id=g:1725168
Binalabag Island	id=g:1725169
Binalabag	id=g:1725170
Binakayan	id=g:1725171
Binakalan	id=g:1725172
Binahaan	id=g:1725173
Binahian Ilaya	id=g:1725174
Binahian Ibaba	id=g:1725175
Binahian	id=g:1725176
Binahian	id=g:1725177
Binahan	id=g:1725178
Binahaan River	id=g:1725179
Binahaan River	id=g:1725180
Binaguinhan River	id=g:1725181
Binago	id=g:1725182
Binagtukan	id=g:1725183
Binagon Point	id=g:1725184
Binaglumang	id=g:1725185
Binagbag	id=g:1725186
Binagbag	id=g:1725187
Binaqbag	id=g:1725188
Binagasbasan Bay	id=g:1725189
Binagasbasan	id=g:1725190
Binaganbangan	id=g:1725191
Binag	id=g:1725192
Bina Francia	id=g:1725193
Binaculan Island	id=g:1725194
Binacud	id=g:1725195
Binacod River	id=g:1725196
Binacod	id=g:1725197
Binacayan	id=g:1725198
Binakas	id=g:1725199
Binacalan	id=g:1725200
Binacag	id=g:1725201
Mount Binaca	id=g:1725202
Binabuyan	id=g:1725203
Binabongol	id=g:1725204
Binabbangan	id=g:1725205
Binabasalan Islet	id=g:1725206
Binaba Point	id=g:1725207
Binabano	id=g:1725208
Binabang	id=g:1725209
Binabalian	id=g:1725210
Binabalian Point	id=g:1725211
Binabalian	id=g:1725212
Binabalian	id=g:1725213
Binabag	id=g:1725214
Binabag	id=g:1725215
Binaba-an Tirador	id=g:1725216
Binabaan	id=g:1725217
Binaba-an Lemoso	id=g:1725218
Binaba-an Labayno	id=g:1725219
Binaba-an Armada	id=g:1725220
Binabaan	id=g:1725221
Bina	id=g:1725222
Bimoubuna Island	id=g:1725223
Bimmutubot	id=g:1725224
Bimmuguel	id=g:1725225
Bimonton	id=g:1725226
Bimmeclot River	id=g:1725227
Bimmanga	id=g:1725228
Bimmaga	id=g:1725229
Bimmanga	id=g:1725230
Bimanco	id=g:1725231
Bilwang	id=g:1725232
Biluso	id=g:1725233
Biluga Point	id=g:1725234
Bilucao	id=g:1725235
Bilucao	id=g:1725236
Biluang Hill	id=g:1725237
Bilot	id=g:1725238
Bilongat	id=g:1725239
Bilong	id=g:1725240
Bilolo	id=g:1725241
Bilog River	id=g:1725242
Bilogo	id=g:1725243
Bilogo	id=g:1725244
Bilog-Bilog	id=g:1725245
Bilog	id=g:1725246
Bilog	id=g:1725247
Biloc Biloc Reef	id=g:1725248
Biloan Bay	id=g:1725249
Bil-Loca	id=g:1725250
Billag	id=g:1725251
Bilis Northwest	id=g:1725252
Bili-isan	id=g:1725253
Bil-isan	id=g:1725254
Biliran Strait	id=g:1725255
Biliran River	id=g:1725256
Biliran Island	id=g:1725257
Biliran	id=g:1725258
Bilaran	id=g:1725259
Biliran	id=g:1725260
Bilina	id=g:1725261
Bilig	id=g:1725262
Bilidan	id=g:1725263
Bilid	id=g:1725264
Bilic	id=g:1725265
Biliboy	id=g:1725266
Bilibiran River	id=g:1725267
Bilibiran	id=g:1725268
Bilibinuang	id=g:1725269
Bilibid Prison	id=g:1725270
Bilibayon	id=g:1725271
Bili	id=g:1725272
Biley	id=g:1725273
Mount Bilbogan	id=g:1725274
Bilbil Mountain	id=g:1725275
Mount Bilbigan	id=g:1725276
Mount Bilbao	id=g:1725277
Bilbao	id=g:1725278
Bilay River	id=g:1725279
Bilay	id=g:1725280
Bilat Point	id=g:1725281
Bilat Point	id=g:1725282
Bilat Creek	id=g:1725283
Bilatan Tampi-Tampi	id=g:1725284
Bilatan Island	id=g:1725285
Bilatan	id=g:1725286
Bilat	id=g:1725287
Bilat	id=g:1725288
Bilat	id=g:1725289
Bilat	id=g:1725290
Bilar River	id=g:1725291
Bilaran	id=g:1725292
Bilaran	id=g:1725293
Bilar	id=g:1725294
Bilar	id=g:1725295
Bilaong	id=g:1725296
Bilao	id=g:1725297
Bilangbilangan Island	id=g:1725298
Bilangbilangan Island	id=g:1725299
Bilangan Island	id=g:1725300
Bilanbilan Point	id=g:1725301
Bilanbilan Bay	id=g:1725302
Bilanbilan	id=g:1725303
Bilan	id=g:1725304
Bilan	id=g:1725305
Bilagbag Beach	id=g:1725306
Mount Biladali	id=g:1725307
Bilad	id=g:1725308
Bilabila	id=g:1725309
Bilabid Point	id=g:1725310
Bilabid Island	id=g:1725311
Bilaa Shoal	id=g:1725312
Bitaa Point	id=g:1725313
Bila	id=g:1725314
Bila	id=g:1725315
Bila	id=g:1725316
Biki River	id=g:1725317
Mount Biking	id=g:1725318
Biking	id=g:1725319
Bikigan	id=g:1725320
Bikal	id=g:1725321
Bikal	id=g:1725322
Bical	id=g:1725323
Mount Bijiang	id=g:1725324
Behia	id=g:1725325
Bihis	id=g:1725326
Bihintinusa Island	id=g:1725327
Bihintinusa Channel	id=g:1725328
Bihid River	id=g:1725329
Binay Island	id=g:1725330
Bihagon Point	id=g:1725331
Mount Bihag	id=g:1725332
Biha Biha	id=g:1725333
Bigwangan	id=g:1725334
Bigun River	id=g:1725335
Bigun Bay	id=g:1725336
Biguito	id=g:1725337
Biguian Malaqui River	id=g:1725338
Biguian	id=g:1725339
Bigte	id=g:1725340
Bigtas River	id=g:1725341
Bigtasan	id=g:1725342
Tanoman Big River	id=g:1725343
Big Tagnepa Island	id=g:1725344
Big Tabiraga Island	id=g:1725345
Big-Sugod	id=g:1725346
Big Peak	id=g:1725347
Big Peak	id=g:1725348
Big Panlibutan Island	id=g:1725349
Bigot	id=g:1725350
Bigong Mountains	id=g:1725351
Bigong	id=g:1725352
Bigol River	id=g:1725353
Bigoho	id=g:1725354
Bigo	id=g:1725355
Bigo	id=g:1725356
Bigo	id=g:1725357
Bignay	id=g:1725358
Bignay	id=g:1725359
Bignay	id=g:1725360
Bignasin	id=g:1725361
Big Matabang River	id=g:1725362
Big Margus River	id=g:1725363
Big Mainit River	id=g:1725364
Big Lingdan Mountain	id=g:1725365
Bigke	id=g:1725366
Bigia Point	id=g:1725367
Big Cruz Island	id=g:1725368
Big Caliban River	id=g:1725369
Caburan Big River	id=g:1725370
Bigbiga	id=g:1725371
Bigbiga	id=g:1725372
Big-Big	id=g:1725373
Bigbia River	id=g:1725374
Biga River	id=g:1725375
Biga River	id=g:1725376
Bigao	id=g:1725377
Bigao	id=g:1725378
Bigao	id=g:1725379
Bigangoan Point	id=g:1725380
Bigajo	id=g:1725381
Bigajo	id=g:1725382
Bigain Number Two	id=g:1725383
Bigain Number One	id=g:1725384
Bigaho Sur	id=g:1725385
Bigaho Norte	id=g:1725386
Bigabiga Bay	id=g:1725387
Bigaa River	id=g:1725388
Biga-an River	id=g:1725389
Bigaan River	id=g:1725390
Bigaa ng Matanda	id=g:1725391
Bigaan	id=g:1725392
Bigaan	id=g:1725393
Bigaan	id=g:1725394
Bigaa	id=g:1725395
Bigaa	id=g:1725396
Bigaa	id=g:1725397
Bigaa	id=g:1725398
Bigaa	id=g:1725399
Biga-a	id=g:1725400
Bigaa	id=g:1725401
Biga	id=g:1725402
Biga	id=g:1725403
Biga	id=g:1725404
Biga	id=g:1725405
Biga	id=g:1725406
Biga	id=g:1725407
Biga	id=g:1725408
Biga	id=g:1725409
Biga	id=g:1725410
Biga	id=g:1725411
Bien Unido	id=g:1725412
Biec West	id=g:1725413
Mount Bidyebang	id=g:1725414
Biduk River	id=g:1725415
Bidoos Bay	id=g:1725416
Bidlinan	id=g:1725417
Mount Bidlayo	id=g:1725418
Bidlayo	id=g:1725419
Badiangan River	id=g:1725420
Bidduang	id=g:1725421
Bidbiday	id=g:1725422
Biday	id=g:1725423
Bidal	id=g:1725424
Bid	id=g:1725425
Upper Bicutan	id=g:1725426
Biculod	id=g:1725427
Bicos	id=g:1725428
Bicos	id=g:1725429
Bicol Rock	id=g:1725430
Bicol River	id=g:1725431
Bicol Peninsula	id=g:1725432
Bicol National Park	id=g:1725433
Port Bicobian	id=g:1725434
Bibiclat	id=g:1725435
Biclat	id=g:1725436
Bicao	id=g:1725437
Bical River	id=g:1725438
Bical Point	id=g:1725439
Bicalbical River	id=g:1725440
Bicalbical	id=g:1725441
Bical	id=g:1725442
Bical	id=g:1725443
Bical	id=g:1725444
Bical	id=g:1725445
Bical	id=g:1725446
Bical	id=g:1725447
Bical	id=g:1725448
Biboyan	id=g:1725449
Bibo	id=g:1725450
Biblaran	id=g:1725451
Beberao	id=g:1725452
Bibinlayan Point	id=g:1725453
Bibincahan	id=g:1725454
Bibila	id=g:1725455
Bibiclat	id=g:1725456
Bibangan Island	id=g:1725457
Biay Creek	id=g:1725458
Biason Point	id=g:1725459
Biasong Point	id=g:1725460
Biasong	id=g:1725461
Biasong	id=g:1725462
Biasong	id=g:1725463
Biasong	id=g:1725464
Biasong	id=g:1725465
Biasong	id=g:1725466
Biasong	id=g:1725467
Biasong	id=g:1725468
Biasong	id=g:1725469
Biasong	id=g:1725470
Biasong	id=g:1725471
Biasong	id=g:1725472
Biasong	id=g:1725473
Biasing	id=g:1725474
Bi-as	id=g:1725475
Biarong	id=g:1725476
Biaringan Island	id=g:1725477
Biao Tenda	id=g:1725478
Biaong	id=g:1725479
Biao Joaquin	id=g:1725480
Mount Biao	id=g:1725481
Biao	id=g:1725482
Biao	id=g:1725483
Biao	id=g:1725484
Biao	id=g:1725485
Biao	id=g:1725486
Biangue	id=g:1725487
Biangan	id=g:1725488
Biangan	id=g:1725489
Bianan	id=g:1725490
Bianan	id=g:1725491
Bialong	id=g:1725492
Bialong	id=g:1725493
Bialong	id=g:1725494
Biak na Bato	id=g:1725495
Biak na Bato	id=g:1725496
Biag River	id=g:1725497
Biac na Bato River	id=g:1725498
Biac-Bato	id=g:1725499
Biabit Creek	id=g:1725500
Biabi	id=g:1725501
Biabatio	id=g:1725502
Biabas River	id=g:1725503
Biabas	id=g:1725504
Biabas	id=g:1725505
Biabas	id=g:1725506
Biaan River	id=g:1725507
Biaan Point	id=g:1725508
Bey River	id=g:1725509
Malolog Point	id=g:1725510
Beyobo Channel	id=g:1725511
Mount Beyer	id=g:1725512
Betwagan	id=g:1725513
Betong Creek	id=g:1725514
Batocan	id=g:1725515
Betongal	id=g:1725516
Betong	id=g:1725517
Beton	id=g:1725518
Betogoc	id=g:1725519
Beto	id=g:1725520
Beto	id=g:1725521
Betis	id=g:1725522
Betia	id=g:1725523
Beti	id=g:1725524
Betbet Point	id=g:1725525
Betbet Island	id=g:1725526
Bita-og	id=g:1725527
Beta Shoal	id=g:1725528
Beta River	id=g:1725529
Beta Reef	id=g:1725530
Betaog	id=g:1725531
Bet-ang	id=g:1725532
Betania	id=g:1725533
Bessie Island	id=g:1725534
Bessang	id=g:1725535
Bessang	id=g:1725536
Besao West	id=g:1725537
Besao	id=g:1725538
Besao	id=g:1725539
Besang	id=g:1725540
Besalan	id=g:1725541
Bertha	id=g:1725542
Berseth	id=g:1725543
Berrugosa Point	id=g:1725544
Birong River	id=g:1725545
Berong	id=g:1725546
Mount Bernacci	id=g:1725547
Bermarekbec	id=g:1725548
Beri	id=g:1725549
Bergante	id=g:1725550
Berg	id=g:1725551
Bereit	id=g:1725552
Beralrali	id=g:1725553
Bera Bank	id=g:1725554
Benuuangan	id=g:1725555
Benuren	id=g:1725556
Binoljo	id=g:1725557
Bentuco	id=g:1725558
Bentowan Bay	id=g:1725559
Bentoan Point	id=g:1725560
Bentoan Peak	id=g:1725561
Bentigan	id=g:1725562
Benticayan	id=g:1725563
Benongtou-an	id=g:1725564
Benobucalan	id=g:1725565
Benoang River	id=g:1725566
Bennocot	id=g:1725567
Bennet Reef	id=g:1725568
Benneng River	id=g:1725569
Benituan River	id=g:1725570
Benit Point	id=g:1725571
Benito Soliven	id=g:1725572
Benito Soliven	id=g:1725573
Benito Shoal	id=g:1725574
Beniton	id=g:1725575
Benitinan	id=g:1725576
Benit	id=g:1725577
Benit	id=g:1725578
Beniay	id=g:1725579
Benguet Consolidated Mining CompanyWharf	id=g:1725580
Benguet Consolidated Mining Company	id=g:1725581
Province of Benguet	id=g:1725582
Benguet	id=g:1725583
Bengñgang	id=g:1725584
Benglat	id=g:1725585
Bemben	id=g:1725586
Bengcag	id=g:1725587
Bengcag	id=g:1725588
Mount Bener	id=g:1725589
Beneg	id=g:1725590
Benavides	id=g:1725591
Binantalon	id=g:1725592
Benangung River	id=g:1725593
Benahagan River	id=g:1725594
Mount Benagongon	id=g:1725595
Belwang	id=g:1725596
Beltran	id=g:1725597
Bolomala	id=g:1725598
Belolo River	id=g:1725599
Belnebe	id=g:1725600
Belnebe	id=g:1725601
Bellong Bellong	id=g:1725602
Port Bello	id=g:1725603
Bellang	id=g:1725604
Bellakan	id=g:1725605
Bell	id=g:1725606
Belitian	id=g:1725607
Belison River	id=g:1725608
Belison	id=g:1725609
Belison	id=g:1725610
Belen	id=g:1725611
Belen	id=g:1725612
Belen	id=g:1725613
Belen	id=g:1725614
Belen	id=g:1725615
Belen	id=g:1725616
Belen	id=g:1725617
Belen	id=g:1725618
Belen	id=g:1725619
