Jabal Dilling	id=g:376449
Jabal Bilamo	id=g:377401
Bilal Matar	id=g:377402
Bilālah	id=g:377403
Bilāl	id=g:377404
Bilaiwal	id=g:377405
Bilait	id=g:377406
‘Idd Bilabo	id=g:377407
Bil	id=g:377408
Bil	id=g:377409
Bikori	id=g:377410
River Biki	id=g:377411
‘Idd al Bija	id=g:377412
Khor Bi-itri	id=g:377413
Jabal Bi Ism Allāhī	id=g:377414
Biim	id=g:377415
Biheil	id=g:377416
Bihadi	id=g:377417
Jabal Biha	id=g:377418
Bigga	id=g:377419
Khawr Biem Rom	id=g:377420
Biem	id=g:377421
Biem	id=g:377422
Biem	id=g:377423
Bielli	id=g:377424
Biel	id=g:377425
Bi’r Bidi	id=g:377426
Bidi	id=g:377427
River Bibi	id=g:377428
River Bibi	id=g:377429
Jabal Bibi	id=g:377430
Jebel Bibi	id=g:377431
Bibi	id=g:377432
Biberto	id=g:377433
Khawr Bibban	id=g:377434
Biau	id=g:377435
Biarubo	id=g:377436
Biar	id=g:377437
Biar	id=g:377438
Saraf al Bezam	id=g:377439
Khawr Bewauwei	id=g:377440
Jabal Betingau	id=g:377441
Betbetti	id=g:377442
Besherri	id=g:377443
Wadi Beseita	id=g:377444
Berti Hills	id=g:377445
Berti	id=g:377446
Bertala Jebels	id=g:377447
Berri Shrine	id=g:377448
Berrikobara	id=g:377449
Jebel Bernit	id=g:377450
Bernawi	id=g:377451
Jabal Berku Tungara	id=g:377452
Berku	id=g:377453
Berkia	id=g:377454
Berinya	id=g:377455
Beringwa	id=g:377456
Beringil	id=g:377457
Beringi	id=g:377458
Beringi	id=g:377459
Beringi	id=g:377460
Jabal Beringal	id=g:377461
Jibāl Birdimma	id=g:377462
Beriab al Ḩujayr	id=g:377463
Bergeig	id=g:377464
Jabal Bergadem	id=g:377465
Wādī al Bardāb	id=g:377466
Berboi	id=g:377467
Berboi	id=g:377468
Jebel Berber	id=g:377469
Wādī Berasaieb	id=g:377470
Bera	id=g:377471
Bentiu	id=g:377472
Bengeya	id=g:377473
Bengengai	id=g:377474
Jabal Benben	id=g:377475
Khor Bemwai	id=g:377476
Belwanshu	id=g:377477
Belwang	id=g:377478
Jebel Belulab	id=g:377479
Hafir el Balolab	id=g:377480
Bēlshē Wenz	id=g:377481
River Bellel	id=g:377482
Belichinanu	id=g:377483
Belichifor	id=g:377484
Belgo	id=g:377485
Belgigho	id=g:377486
Belfodi	id=g:377487
Belegumbo	id=g:377488
Belbubulo	id=g:377489
Belbeldi	id=g:377490
Bela Well	id=g:377491
Jibāl Balāq	id=g:377492
Belag	id=g:377493
Belabolo	id=g:377494
Bekabiya	id=g:377495
Bek	id=g:377496
Bejunu	id=g:377497
Khawr Beishima	id=g:377498
Jabal Beiri	id=g:377499
Beiramfit	id=g:377500
Beira	id=g:377501
Beir	id=g:377502
Beir	id=g:377503
Jabal Beinu	id=g:377504
Island Beinat	id=g:377505
Jebel Beinadim	id=g:377506
Beimachok	id=g:377507
Beilwak	id=g:377508
Beka	id=g:377509
Beigo	id=g:377510
Jabal Bei	id=g:377511
Beh	id=g:377513
Jabal Begulti	id=g:377514
Jabal Begnyu	id=g:377515
Begjuka	id=g:377516
Bedriya	id=g:377517
Bedden Rapids	id=g:377518
Beda	id=g:377519
Bazu	id=g:377520
‘Idd Bazin	id=g:377521
Bazia	id=g:377522
Wādī Bayyūḑah	id=g:377523
Şaḩrā’ Bayyūḑah	id=g:377524
Bi’r Bayyūḑah	id=g:377525
Bayyūḑah	id=g:377526
Bayyūḑah	id=g:377527
Bayyūḑah	id=g:377528
Bayyūḑāb	id=g:377529
Bayud	id=g:377530
Bayt ‘Uthmān	id=g:377531
Jebel Beit Kobi	id=g:377532
Bayt Ḩarāz	id=g:377533
Baytayn	id=g:377534
Jabal Bayt ash Shar	id=g:377535
Jebel Beit en Nahas	id=g:377536
May‘at Bayt al Waḩsh	id=g:377537
Bayt al Marfa‘in	id=g:377538
Bayt ‘Alī	id=g:377539
Wādī Bayt al Fegoh	id=g:377540
Al Billiyāb	id=g:377541
Jabal Baylah	id=g:377542
Baylah	id=g:377543
Wādī Bayḑā’	id=g:377544
Sarafāyat al Bayḑā’	id=g:377545
Jabal Bayḑā’	id=g:377546
‘Idd al Bayḑā’	id=g:377547
Fūlat Bayḑā’	id=g:377548
Bayḑā’	id=g:377549
Bayḑā’	id=g:377550
Beḑa	id=g:377551
Bayḑā’	id=g:377552
Bayḑā’	id=g:377553
Jabal Bayḑ	id=g:377554
‘Idd al Bayāḑah	id=g:377555
Jibāl Bawātēb	id=g:377556
Jabal Bawāţī	id=g:377557
El Bawaled	id=g:377558
Bawadala	id=g:377559
Bāw	id=g:377560
Bāw	id=g:377561
Bāw	id=g:377562
Nuşub Ba‘ūḑah	id=g:377563
Burqat Ba‘ūḑah	id=g:377564
Ba‘ūḑah	id=g:377565
Baturo	id=g:377566
Ḩajar Baţţīkh	id=g:377567
Khor Batab	id=g:377568
Batran	id=g:377569
Batimoru	id=g:377570
Bathing Islet	id=g:377571
Jabal al Batha Subhani	id=g:377572
Jabal al Batha Gharbani	id=g:377573
Jabal Baţḩā’ ‘Aţshān	id=g:377574
Khawr al Baţḩā’	id=g:377575
Khawr al Baţḩā’	id=g:377576
Baţḩā’	id=g:377577
Batarus	id=g:377578
Jabal Bataih	id=g:377579
Bata	id=g:377580
Baswi Island	id=g:377581
Basunda	id=g:377582
Basukwa	id=g:377583
Wādī Bassao	id=g:377584
Baslan	id=g:377585
Wādī al Basiyai	id=g:377586
Jabal Ba‘shūmīyāt	id=g:377587
Jabal Ba‘shūmī	id=g:377588
Jabal Ba‘shūmī	id=g:377589
Jabal Ba‘shūm	id=g:377590
Ba‘shūm	id=g:377591
Bashotei	id=g:377592
Bashoida	id=g:377593
Bashīr Maqbūl	id=g:377594
Lake Bashiri	id=g:377595
Bashīr	id=g:377596
Jibāl Bashqiryay	id=g:377597
Jabal Bashem	id=g:377598
Bashar	id=g:377599
Bashaqra Sharq	id=g:377600
Bashaqra Island	id=g:377601
Bashaqra Gharb	id=g:377602
Khawr Bashamid	id=g:377603
Bashāmah	id=g:377604
Bashāmah	id=g:377605
Bashām	id=g:377606
Bashāyir Sulemān	id=g:377607
Bāshā	id=g:377608
Bāshā	id=g:377609
Bāshā	id=g:377610
Basayib	id=g:377611
Basabir	id=g:377612
Jabal Basa	id=g:377613
Khor Bar’ōt	id=g:377614
Barum Barum	id=g:377615
Barud Mbaiyra	id=g:377616
Bārūd	id=g:377617
Baro Wenz	id=g:377618
Bartul Island	id=g:377619
Barteb	id=g:377620
Jabal Bartazuga	id=g:377621
Barşī al Faḑl	id=g:377622
Barşī	id=g:377623
Barşī	id=g:377624
Barshomi Gabra	id=g:377625
Barr Mūsá Şaghīr	id=g:377626
Barr Mūsá Kabīr	id=g:377627
Jabal Barranga	id=g:377629
Sāniyat Barrah	id=g:377630
Barqu	id=g:377631
Jebel Barqat esh Shabaki	id=g:377632
Jebel Barqat Bint Rahma	id=g:377633
Jabal Barq Ashamun	id=g:377634
Jabal Barqah	id=g:377635
Jebel Barqa Abban	id=g:377636
Jebel el Barqa	id=g:377637
Jebel Barqa	id=g:377638
Barqa	id=g:377639
Baroth	id=g:377640
Baronga	id=g:377641
Khawr Barok	id=g:377642
Jabal Barok	id=g:377643
Barodi	id=g:377644
Nahr Baro	id=g:377645
Khor Baro	id=g:377646
Baro	id=g:377647
Barmit	id=g:377648
Barkol el Gafal	id=g:377649
Wādī Barkol	id=g:377650
Jabal Barkol	id=g:377651
Jabal Barkol	id=g:377652
Jabal Barkin	id=g:377653
Barkaz	id=g:377654
Jabal Barkal	id=g:377655
Barkal	id=g:377656
Jebel el Barka	id=g:377657
Baringa	id=g:377658
Jabal Barid	id=g:377659
Jebel el Bariaros	id=g:377660
Bariang	id=g:377661
Bari	id=g:377662
Bari	id=g:377663
Bari	id=g:377664
Bari	id=g:377665
Bari	id=g:377666
Bargnop	id=g:377667
Jebel Barg Faras	id=g:377668
Jebel Bargat es Suleim	id=g:377669
Bargarol	id=g:377670
Barfa	id=g:377671
Baremadit	id=g:377672
Bareia	id=g:377673
Wādī Barei	id=g:377674
Wādī Barei	id=g:377675
Jabal Barrēb	id=g:377676
Wādī Bardī	id=g:377677
Rahad al Bardī	id=g:377678
Qaltī Bardī	id=g:377679
Jabal Bardī	id=g:377680
Jabal Bardei	id=g:377681
Bardei	id=g:377682
Bardei	id=g:377683
Bardānī	id=g:377684
Bardānī	id=g:377685
Bardai	id=g:377686
Jabal al Bardah	id=g:377687
Rigl Berbeta	id=g:377688
Barbarī	id=g:377689
Berber	id=g:377690
Baratong	id=g:377691
Jabal Bararungu	id=g:377692
Bararumbo	id=g:377693
Barankawa	id=g:377694
Khawr Baranga	id=g:377695
Baranga	id=g:377696
Baranga	id=g:377697
Jabal Baran	id=g:377698
Jabal Baramribab	id=g:377699
Khawr Barameiyu	id=g:377700
Mahattat Baramyo	id=g:377701
Jabel Baramba	id=g:377702
Jibāl Baramaweb	id=g:377703
Khawr Baramanob	id=g:377704
Baralil Marsh	id=g:377705
Wādī Barakulla	id=g:377706
Barakīyah	id=g:377707
Barākīn	id=g:377708
Barak ath Thawr	id=g:377709
Barakāt	id=g:377710
Barakat	id=g:377711
Barakāt	id=g:377712
Barakāt	id=g:377713
Barakandi	id=g:377714
Baraka	id=g:377715
Bi’r Barakah	id=g:377716
Barakah	id=g:377717
Barakah	id=g:377718
Barakah	id=g:377719
Barakah	id=g:377720
Baraka Delta	id=g:377721
Jabal al Brayroba	id=g:377722
Jabal Bārah Sunbul	id=g:377723
Bārah	id=g:377724
Baragu	id=g:377725
Jabal Bara Diu	id=g:377726
Bara	id=g:377727
Bar	id=g:377728
Baqāri	id=g:377729
Jabal Baqqārāt	id=g:377730
Qarn al Baqqārah	id=g:377731
Khawr al Baqqārah	id=g:377732
Qaryat Baghara	id=g:377733
Baqiya	id=g:377734
Al Baqer	id=g:377735
Baqbaqī	id=g:377736
Bagbagat	id=g:377737
Baqbaqah	id=g:377738
Wadi al Baqbaq	id=g:377739
Wādī Baqbaq	id=g:377740
Baqbaq	id=g:377741
Al Baqer al Wrrani	id=g:377742
Al Baqer al Qidami	id=g:377743
Baqarīyat aţ Ţiwāl	id=g:377744
Baqariya al Qisar Wells	id=g:377745
Baqari Daba	id=g:377746
Wadi el Baqar	id=g:377747
Buruq el Baqar	id=g:377748
Baqalul	id=g:377749
Banyong	id=g:377750
Banyjiel	id=g:377751
Banwar	id=g:377752
Ban Toltukke	id=g:377753
Bansit Plain	id=g:377754
Jabal Ban Naqa	id=g:377755
Bir Banaga	id=g:377756
Ban Kaala	id=g:377757
Jebel el Ban Gedid	id=g:377758
Bi’r Bān Jadīd	id=g:377759
Bi’r Bān Jadīd	id=g:377760
Bi’r Bān Jadīd	id=g:377761
Banj	id=g:377762
Banio	id=g:377763
Banio	id=g:377764
Banī Muḩammad	id=g:377765
Banī Jarrār	id=g:377766
‘Idd Banī Halbah	id=g:377767
Banī Halbah	id=g:377768
Jabal Banigau	id=g:377769
Banī ‘Āmir	id=g:377770
Jabal Bānī	id=g:377771
Khawr Bangu	id=g:377772
Khawr Banglai	id=g:377773
Banglai	id=g:377774
Benga	id=g:377775
Khawr Bangilis	id=g:377776
Bangi	id=g:377777
Jabal Bangenze	id=g:377778
Bangbara	id=g:377779
Bangarup	id=g:377780
Banganarti	id=g:377781
‘Idd al Bang	id=g:377782
Bang	id=g:377783
Jabal Banid Owin	id=g:377784
Ban Donige	id=g:377785
Jabel Bandilia	id=g:377786
Banda Wadda	id=g:377787
Bandarbi	id=g:377788
Khawr Bandama	id=g:377789
Banda Linda	id=g:377790
Khawr Bandagi	id=g:377791
Bandagi	id=g:377792
Bandighew	id=g:377793
Bandadito	id=g:377794
Banda	id=g:377795
Banda	id=g:377796
Wādī Banāt	id=g:377797
Banat	id=g:377798
Banasu	id=g:377799
Banasha	id=g:377800
Jabal Banagreib	id=g:377802
Banagelada	id=g:377803
Bana	id=g:377804
Bān	id=g:377805
Bamina	id=g:377806
Bambuka	id=g:377807
Khor Bambu	id=g:377808
Al Banbonab	id=g:377809
Bambon	id=g:377810
Khor Ba’mashīshinēb	id=g:377811
Balwan	id=g:377812
Jabal Balūlah	id=g:377813
Balūlah	id=g:377814
Balul	id=g:377815
Hillat Baa‘lōk	id=g:377816
Jabal Balu	id=g:377817
Balos	id=g:377818
Baloke	id=g:377819
Khor Baloab	id=g:377820
Jabal Balmut	id=g:377821
Jabal Ballul	id=g:377822
Khawr Ballolab	id=g:377823
Ballīlah	id=g:377824
Ballīlah	id=g:377825
Ballas	id=g:377826
Wadi Ballal	id=g:377827
Ballah	id=g:377828
Ballah	id=g:377829
Ballah	id=g:377830
Ballah	id=g:377831
Balkab	id=g:377832
Khawr Balimi	id=g:377833
Jebel Bali	id=g:377834
Bali	id=g:377835
Jabal Balguti	id=g:377836
Bale	id=g:377837
Bale	id=g:377838
Baldanga	id=g:377839
Balbud	id=g:377840
Jabal Balbolit	id=g:377841
Jebel Balatida	id=g:377842
Khor Balatat	id=g:377843
Bala Pool	id=g:377844
Balala	id=g:377845
Balak	id=g:377846
Bala Hills	id=g:377847
Balagat	id=g:377848
Baladras Island	id=g:377849
Jebel Baladok	id=g:377850
Khawr Balaboru	id=g:377851
Jabal Bala	id=g:377852
Bakwondo	id=g:377853
Jabal Bakwitne	id=g:377854
Khor Bahatīt	id=g:377855
Bakrab	id=g:377856
Bakordi	id=g:377857
Bakkah	id=g:377858
Bakiyai Islands	id=g:377859
Bakht ar Ruḑā	id=g:377860
Bakhita Umm Humbukker	id=g:377861
Bakhit	id=g:377862
Bakhīt	id=g:377863
Bakhīt	id=g:377864
Bakhīt	id=g:377865
Bakhīt	id=g:377866
Bakhīt	id=g:377867
Bakhīt	id=g:377868
Bakendi	id=g:377869
Jabel Bakawiru	id=g:377870
Bakabul	id=g:377871
Baka	id=g:377872
Bajuggi	id=g:377873
Bajbol Island	id=g:377874
Jabel Bajal	id=g:377875
Wadi Baja	id=g:377876
Khawr Baiyu	id=g:377877
Baitamaru	id=g:377878
Bairdok	id=g:377879
Bain Gedid	id=g:377880
Baily	id=g:377881
Jabal Bailateb	id=g:377882
Jebel Baieiwei	id=g:377883
Baidit	id=g:377884
Baia	id=g:377885
Baḩr Umm Surein	id=g:377886
Baḩr az Zarāf	id=g:377887
Mudīrīyat Baḩr al Ghazāl ash Sharqīyah	id=g:377888
Mudīrīyat Baḩr al Ghazāl al Gharbīyah	id=g:377889
Ba?r al Ghazal Wilayat	id=g:377890
Baḩr al Ghazāl	id=g:377891
Wadi el Bahogi	id=g:377892
Khor el Bahogi	id=g:377893
Wadi el Bahm	id=g:377894
Bi’r al Bahm	id=g:377895
Wādī Bahirmi	id=g:377896
Bahā’ ad Din	id=g:377897
Gazirat Ibn ‘Abbas	id=g:377898
Khor Bahānkōk	id=g:377899
Bir Bahay	id=g:377900
Bahairi Jebels	id=g:377901
Bagras	id=g:377902
Bagirma	id=g:377903
Jebal Bahaqil Shabob	id=g:377904
Jabal Bagharaweb	id=g:377905
Baghabur	id=g:377906
Barqat Baggura	id=g:377907
Baggarda	id=g:377908
Buta Baqqara	id=g:377909
Bagera	id=g:377910
Bagera	id=g:377911
Jabal al Bagdan	id=g:377912
Khawr Bagburri	id=g:377913
Jebel Bagbaiya	id=g:377914
Bijāwi	id=g:377915
Bagategella	id=g:377916
Bagasa	id=g:377917
Bagarosi	id=g:377918
Baqros	id=g:377919
Bagaia	id=g:377920
Bagagia	id=g:377921
Bagadi	id=g:377922
Baqādī	id=g:377923
Baga	id=g:377924
Jabal Bafdai	id=g:377925
Jabal el Faret	id=g:377926
Khor Bafagit	id=g:377927
Hafir Badria	id=g:377928
Badrīyah	id=g:377929
Badri Island	id=g:377930
Jebel el Badra	id=g:377931
Badodi	id=g:377932
Wādī al Badoba	id=g:377933
Badin Island	id=g:377934
Qawz Badīn	id=g:377935
Badigeru Swamp	id=g:377936
Badiab	id=g:377937
Jebel Badi	id=g:377938
Badi	id=g:377939
Baden	id=g:377940
Badé	id=g:377941
Baddāl	id=g:377942
Khawr Badbairi	id=g:377943
Bados	id=g:377944
Badalayn	id=g:377945
Badai	id=g:377946
Bada	id=g:377947
Jabal Bachi	id=g:377948
Jebel Babux	id=g:377949
Hafir el Babanota	id=g:377950
Babul	id=g:377951
Babinga	id=g:377953
Bābil	id=g:377954
Bā Bikr Ḩamzah	id=g:377955
Bā Bikr	id=g:377956
Khawr Babeyok	id=g:377957
Babei	id=g:377958
Jabal Bābāt	id=g:377959
Babarros	id=g:377960
Babanūsah	id=g:377961
Babanūsah	id=g:377962
Babanūs	id=g:377963
Bābanūsa	id=g:377964
Khawr Baba	id=g:377965
Baba	id=g:377966
Khashm al Bāb	id=g:377967
Wādī Baashoia	id=g:377968
Jabal Ba‘āshīm	id=g:377969
Ba‘āshīm	id=g:377970
Ba‘as	id=g:377971
Ba‘ar	id=g:377972
Wadi Ba‘anit	id=g:377973
Jebel Ba‘anit	id=g:377974
Bir Ba‘anit	id=g:377975
Wādī Baanet	id=g:377976
Jabal Ba‘aneit	id=g:377977
Bi’r Ba‘aneit	id=g:377978
Baag	id=g:377979
Ba‘abish	id=g:377980
Baabai	id=g:377981
Lake Ba	id=g:377982
Az Zuwayrah	id=g:377983
Az Zuwayrah	id=g:377984
Az Zurayqā’	id=g:377985
Az Zūmah	id=g:377986
Az Zūmah	id=g:377987
Wad Soltab	id=g:377988
Az Zumagi	id=g:377989
Az Zulayţ	id=g:377990
Az Zu‘ayfah	id=g:377991
Az Zayyādīyah	id=g:377992
Az Zayyādīyah	id=g:377993
Mahattat el Zedab	id=g:377994
Az Zawarat	id=g:377996
Az Zarāf	id=g:377997
Az Zarāf	id=g:377998
Az Zamzamīyah	id=g:377999
Az Zamalyab	id=g:378000
Dar Zagaoua	id=g:378001
Az Zaghāwah	id=g:378002
Az Zaghāwah	id=g:378003
Wādī al Azraq	id=g:378004
Khawr al Azraq	id=g:378005
Al Jabal al Azraq	id=g:378006
Jabal Azraq	id=g:378007
‘Idd al Azraq	id=g:378008
‘Idd al Azraq	id=g:378009
Azraq	id=g:378010
Azraq	id=g:378011
Azraq	id=g:378012
Azraq	id=g:378013
Jabal ‘Azib	id=g:378014
Khawr Azi	id=g:378015
Azḩaf	id=g:378016
‘Azāzat al Fīl	id=g:378017
‘Azāzah	id=g:378018
‘Azāzah	id=g:378019
‘Azāzah	id=g:378020
‘Azāzah	id=g:378021
Al ‘Azāzāb	id=g:378022
Azai	id=g:378023
River ‘Aza	id=g:378024
Khor el Yina	id=g:378025
Ayu	id=g:378026
‘Aysh Barrah	id=g:378027
Nusub El Aish	id=g:378028
Jabal al ‘Aysh	id=g:378029
Ayowangen	id=g:378030
Ayowangen	id=g:378031
Ayoni	id=g:378032
Ayom	id=g:378033
Ayom	id=g:378034
Ayom	id=g:378035
Ayom	id=g:378036
War Ayok	id=g:378037
Khawr Ayok	id=g:378038
Ayod	id=g:378039
Jabal Iyōb	id=g:378040
Jabal ‘Aynī	id=g:378041
‘Ayn al Luwayqah	id=g:378042
Mashra‘ ‘Ayn al Jamal	id=g:378043
Jebel El ‘Ein	id=g:378044
Jabal al ‘Ayn	id=g:378045
Aylei	id=g:378046
River Ayi	id=g:378047
Ayer	id=g:378048
Ayen	id=g:378049
Ayeie	id=g:378050
Ayeb Lawib	id=g:378051
Wādī ‘Aydhāb	id=g:378052
‘Aydhāb	id=g:378053
Mashra‘ Ayaya	id=g:378054
Ayau	id=g:378055
Khawr Ayar	id=g:378056
Ayang	id=g:378057
Ayak Umm Rukuba	id=g:378058
Khawr Ayak	id=g:378059
War Ayae	id=g:378060
Ayad	id=g:378061
Awulu	id=g:378062
Awuk	id=g:378063
‘Awrah	id=g:378064
Aworo Kit	id=g:378065
Awong	id=g:378066
Awolabul	id=g:378067
Awo	id=g:378068
Wādī ‘Awm	id=g:378069
Jabal al Awliyā’	id=g:378070
Awlād Yāsīn	id=g:378071
Aulad Noai	id=g:378072
Awlād Maḩmūd	id=g:378073
Awlād Ghanam	id=g:378074
Jabal Awlād Burqah as Samīn	id=g:378075
Awita	id=g:378076
Awiri	id=g:378077
Khawr Awilwil	id=g:378078
Awet Shol	id=g:378079
Aweragor	id=g:378080
Marsa Awētirī	id=g:378081
Jabal Aweirib	id=g:378082
Jabal al Aweiba	id=g:378083
Aweib	id=g:378084
Awei	id=g:378085
Awe	id=g:378086
Awau	id=g:378087
Wadi el Awatieb	id=g:378088
Jibāl Awāt	id=g:378089
Khor al Lawar	id=g:378090
Awar	id=g:378091
Awangaling	id=g:378092
Awangak	id=g:378093
Awan	id=g:378094
Rahad ‘Awama	id=g:378095
Awakot	id=g:378096
‘Awaj al Baqar	id=g:378097
Wādī al ‘Awaj	id=g:378098
Jabal al ‘Awaj	id=g:378099
Awaida	id=g:378100
Al ‘Awayda	id=g:378101
Awaiat	id=g:378102
Khor Awaqēt	id=g:378103
Khor Awafti	id=g:378104
Awadun Hills	id=g:378105
Wādī ‘Awadun	id=g:378106
‘Awaḑīyah	id=g:378107
‘Awaḑīyah	id=g:378108
‘Awadat	id=g:378109
‘Awaḑ Allāh	id=g:378110
Awad	id=g:378111
Jabal Awa	id=g:378112
Avokoia	id=g:378113
Auyeir	id=g:378114
Au’u	id=g:378115
Auro	id=g:378116
Jabal Auri	id=g:378117
Auri	id=g:378118
Aulad Amer Island	id=g:378119
Audi	id=g:378120
River Aua	id=g:378121
Khawr Au	id=g:378122
Atyoptyop	id=g:378123
Atwot	id=g:378124
Aturok	id=g:378125
Atur	id=g:378126
Jabal Atunda	id=g:378127
Atum	id=g:378128
At Tuweifra	id=g:378129
Aţ Ţuwayshah	id=g:378130
Aţ Ţuwayshah	id=g:378131
Aţ Ţuwayr	id=g:378132
At Tuwaynah	id=g:378133
At Turay‘ah	id=g:378134
At Tur‘ah	id=g:378135
At Tur‘ah	id=g:378136
At Tur‘ah	id=g:378137
At Tumama	id=g:378138
Aţ Ţileḩ	id=g:378139
Aţ Ţulayḩ	id=g:378140
Aţ Ţulayḩ	id=g:378141
Aţ Ţulayb	id=g:378142
At Tukul	id=g:378143
At Tukl	id=g:378144
At Tukl	id=g:378145
At Toman	id=g:378146
Attiri West	id=g:378147
Attiri East	id=g:378148
Jabal Attiri	id=g:378149
Hillat at Tires	id=g:378150
Attir	id=g:378151
At Tīn	id=g:378152
Et Timsah	id=g:378153
Et Tikkawin	id=g:378154
Jabal Attiki	id=g:378155
Attigu	id=g:378156
Et Tigil	id=g:378157
At Tibbun	id=g:378158
At Tibb	id=g:378159
Attib	id=g:378160
Tartar	id=g:378161
At Tekeina	id=g:378162
At Teb	id=g:378163
Et Taiyib Mafin	id=g:378164
Aţ Ţayyib Aḩmad	id=g:378165
Ţayba	id=g:378166
Aţ Ţayyārah	id=g:378167
Aţ Ţayyārah	id=g:378168
Et Teitel	id=g:378169
At Tays	id=g:378170
At Tawm Ḩalāl	id=g:378171
At Tawm	id=g:378172
Aţ Ţawīlah	id=g:378173
Aţ Ţarfāyah	id=g:378174
At Ţunduba	id=g:378175
At Tamrah	id=g:378176
At Talab	id=g:378177
Attair Marial	id=g:378178
‘Attab West	id=g:378179
‘Attab East	id=g:378180
Tab Al Diyya	id=g:378181
At Tabaldīyah	id=g:378182
At Tabaldī	id=g:378183
Aţ Ţābah	id=g:378184
Aţ Ţābah	id=g:378185
Aţ Ţābah	id=g:378186
Aţ Ţābah	id=g:378187
At Ta‘ā’ishah	id=g:378188
At Ta‘ā’ishah	id=g:378189
‘Aţshānah	id=g:378190
Wādī ‘Aţshān	id=g:378191
Qal‘at ‘Aţshān	id=g:378192
Khawr al ‘Aţshān	id=g:378193
Qal‘at el ‘Atshana	id=g:378194
Jabal al ‘Aţshān	id=g:378195
Jabal ‘Aţshān	id=g:378196
Wādī ‘Aţrūn	id=g:378197
Bi’r al ‘Aţrūn	id=g:378198
Atonj	id=g:378199
Atongour	id=g:378200
Bi’r Atomai	id=g:378201
Atok	id=g:378202
Atoing	id=g:378203
Atoadwoi	id=g:378204
Jabal ‘Aţmūr	id=g:378205
‘Aţmūr	id=g:378206
‘Aţmūr	id=g:378207
Jabal Atkinad	id=g:378208
Atitwi	id=g:378209
Atiro	id=g:378210
Jabal Atioteb	id=g:378211
Atingrur	id=g:378212
Naşb Atiliya	id=g:378213
Jabal Atiliya	id=g:378214
Jabal al Atil	id=g:378215
Atiit	id=g:378216
Atietit	id=g:378217
Atiedo	id=g:378218
Atiam Tiam	id=g:378219
‘Ati	id=g:378220
Ath Thumayd	id=g:378221
Athigiriait	id=g:378222
Athakong	id=g:378223
Jebel Atgawi	id=g:378224
River Ateppi	id=g:378225
Khawr Ateir	id=g:378226
Ateina	id=g:378227
Ateim	id=g:378228
Atcherah	id=g:378229
Atbara Old	id=g:378230
Madent Atbara	id=g:378231
Atbara	id=g:378232
Atba Island	id=g:378233
Atateb	id=g:378234
May‘at ‘Aţash	id=g:378235
Jibāl al ‘Aţash	id=g:378236
Khor Atara	id=g:378237
Atara	id=g:378238
Khawr ‘Aţār	id=g:378239
Ataloma Hills	id=g:378240
Atalochulo	id=g:378241
Atairu	id=g:378242
Atai	id=g:378243
Khor Ataate	id=g:378244
Marsá ‘Aţā’	id=g:378245
Achwa	id=g:378246
Asut Duk Pass	id=g:378247
’Asuda	id=g:378248
Asuburi	id=g:378249
Qaryah Asubri	id=g:378251
Asta en Nabi	id=g:378252
As Suyūf	id=g:378253
As Suweigat	id=g:378254
As Surik	id=g:378255
As Sereha	id=g:378256
As Surat	id=g:378257
As Sura	id=g:378258
As Sunayţīr	id=g:378259
As Sunayţāyah	id=g:378260
As Sunayţah	id=g:378261
As Sunayţ	id=g:378262
As Sumu‘a	id=g:378263
As Sumayn	id=g:378264
Es Sumeih	id=g:378265
Assum	id=g:378266
As Sulţān	id=g:378267
As Sulayk	id=g:378268
Hillat as Sayyal	id=g:378269
As Sukkarī	id=g:378270
As Sūkī	id=g:378271
As Sufr	id=g:378272
Madinat Aş Şūfī	id=g:378273
Hafir al Sifiyat	id=g:378274
Aş Şufayyah	id=g:378275
As Sufar	id=g:378276
As Sudd	id=g:378277
As Subagh Wells	id=g:378278
Aş Şubābī	id=g:378279
As Su‘ayfī	id=g:378280
As Su‘ayfah	id=g:378281
As Su‘ayf	id=g:378282
Assua	id=g:378283
Jebel Assorli	id=g:378284
As Soriba	id=g:378285
Assombo	id=g:378286
As Sirāj	id=g:378287
As Sinun	id=g:378288
As Silaia	id=g:378289
As Sihai	id=g:378290
As Sidr al Lekib	id=g:378291
As Sidr Abu Nagga	id=g:378292
Aş Şiddīq	id=g:378293
Es Sida	id=g:378294
As Seqeir	id=g:378295
As Senuda	id=g:378296
As Senaga	id=g:378297
As Sayyāl	id=g:378298
As Sayf	id=g:378299
As Sayar	id=g:378300
As Sawānī	id=g:378301
Aş Şarrārah	id=g:378302
As Sarāḩinah	id=g:378303
Aş Şaqr	id=g:378304
Saqqai	id=g:378305
As Sānī	id=g:378306
As Samrā’	id=g:378307
As Samrā’	id=g:378308
As Samn	id=g:378309
As Samḩāt	id=g:378310
As Samḩah	id=g:378311
As Samaranduwāb	id=g:378312
As Salīm	id=g:378313
As Salamat	id=g:378314
Es Salam	id=g:378315
As Sā’im	id=g:378316
As Saheib	id=g:378317
Aş Şāfiyah	id=g:378318
Aş Şafāyā	id=g:378319
As Saddah	id=g:378320
As Saddah	id=g:378321
As Sa‘ata	id=g:378322
As Saart	id=g:378323
Jibāl Asōtribā	id=g:378324
Jibāl Asōtribā	id=g:378325
Jebel Asoteriba	id=g:378326
Jabal Asotribāb	id=g:378327
Maḩaţţat Asōtribā	id=g:378328
Jabal Asotdai	id=g:378329
