Pooles Grove Baptist Church	id=g:7231028
Corona Christian Church	id=g:7232452
Corona Congregation of Jehovah's Witnesses	id=g:7232453
Covenant Church	id=g:7232454
Crystal Evangelical Church	id=g:7232455
Saint Agnes Chapel (historical)	id=g:7232456
Blueberry School (historical)	id=g:7232457
Brooklyn Transition Center	id=g:7232458
Saint Sarkis Armenian Apostolic Church	id=g:7232459
Children's World Montessori School	id=g:7232460
Freeport Christian Academy	id=g:7232461
Hi-Hello Child Day Care Center	id=g:7232462
New Visions Elementary School	id=g:7232463
Twin Oaks Country Day School	id=g:7232464
Word of Life Ministries Academy	id=g:7232465
Garden City Park School	id=g:7232466
Robert D. Maxwell Veterans Memorial Bridge	id=g:7232467
North Shore Day School	id=g:7232468
School For Language And Communications Development	id=g:7232469
Solomon Schechter Middle-High School	id=g:7232470
Long Island Lutheran High School	id=g:7232471
North Shore Hebrew Academy	id=g:7232472
North Shore Hebrew Academy High School	id=g:7232473
Agape Christian Academy	id=g:7232474
Nolan Post Office (historical)	id=g:7232475
Nellsville Post Office (historical)	id=g:7232476
Michelson Post Office (historical)	id=g:7232477
Markey Post Office (historical)	id=g:7232478
Loxley Post Office (historical)	id=g:7232479
Keno Post Office (historical)	id=g:7232480
Houghton Point Post Office (historical)	id=g:7232481
Geels Post Office (historical)	id=g:7232482
Achill Post Office (historical)	id=g:7232483
Lake Saint Helen Baptist Church	id=g:7232484
Saint Helen Post Office	id=g:7232485
Saint Helen Elementary School	id=g:7232486
Shady Lane Trailer Court	id=g:7232487
Richfield Township Public Library	id=g:7232488
Richfield Township Police Department	id=g:7232489
Hope Lutheran Church	id=g:7232490
Saint Helen Catholic Church	id=g:7232491
Community Baptist Church	id=g:7232492
Saint Helen Assembly of God Church	id=g:7232493
Nester Township Hall	id=g:7232494
Backus Township Hall	id=g:7232495
Roscommon County Sheriff Office	id=g:7232496
Roscommon County Courthouse	id=g:7232497
Roscommon Area Historical Society Museum	id=g:7232498
Hilltop Manor Health Care Center	id=g:7232499
Roscommon Walk-In Medical Clinic	id=g:7232500
Mercy Family Care Roscommon	id=g:7232501
Mid Michigan Medical Offices	id=g:7232502
Roscommon Village Hall	id=g:7232503
Higgins Township Hall	id=g:7232504
Kingdom Hall	id=g:7232505
Kirtland Community College	id=g:7232506
Roscommon Post Office	id=g:7232507
Soul's Harbor Worship Center	id=g:7232508
Roscommon Free Methodist Church	id=g:7232509
Saint Michael's Church	id=g:7232510
First Congregational Church	id=g:7232511
Roscommon Baptist Church	id=g:7232512
Saint Martin Lutheran Church	id=g:7232513
Good Shepherd United Methodist Church	id=g:7232514
Immanuel Baptist School	id=g:7232515
Immanuel Baptist Church	id=g:7232516
Civilian Conservation Corps Museum	id=g:7232517
Marguerite Gahagan Nature Preserve	id=g:7232518
Songers Point	id=g:7232519
McDonald Point	id=g:7232520
Houghton Lake Seventh Day Adventist Church	id=g:7232521
Prudenville Post Office	id=g:7232522
Mercy Family Care	id=g:7232523
Buena Vista Community Church	id=g:7232524
Living Word Faith Fellowship	id=g:7232525
Monmouth Evangelical Church	id=g:7232526
Calvary Bible Church	id=g:7232527
First Baptist Church	id=g:7232528
Tillamook Christian Center	id=g:7232529
Saint Josephs Catholic Church	id=g:7232530
Winema Christian Church	id=g:7232531
Leader's Mobile Home Park	id=g:7232532
Pacific Coast Bible Church	id=g:7232533
Jacques High Chapparal Mobile Home Park	id=g:7232534
Maple Ridge Community	id=g:7232535
Nestucca Valley Presbyterian Church	id=g:7232536
Rustic Pine Mobile Home Park	id=g:7232537
Wilder Senior Citizen Mobile Home Park North	id=g:7232538
Terrace Glenn Estates	id=g:7232539
Wilder Senior Citizen Mobile Home Park South	id=g:7232540
Church of Jesus Christ of Latter Day Saints	id=g:7232541
Deer Lake Mobile Park	id=g:7232542
Grennan Mobile Village	id=g:7232543
Spacious Acres	id=g:7232544
Sacred Heart Catholic Church	id=g:7232545
Village Terrace Mobile Home Park	id=g:7232546
Rock River Mobile Home Park	id=g:7232547
Church of Jesus Christ of Latter Day Saints	id=g:7232548
Woodhaven Community Church	id=g:7232549
Cornelius Baptist Church	id=g:7232550
Saint Peter Lutheran Church	id=g:7232551
Saint Bedes Episcopal Church	id=g:7232552
Zion Lutheran Church	id=g:7232553
Chinese Evangelical Church	id=g:7232554
North Plains Christian Church	id=g:7232555
Saint Francis of Assisi Catholic Church	id=g:7232556
Church of Jesus Christ of Latter Day Saints	id=g:7232557
Saint Anthony's Catholic Church	id=g:7232558
Wapato Valley Church	id=g:7232559
Valley Baptist Church	id=g:7232560
Abundant Life Community Church	id=g:7232561
Sherwood United Methodist Church	id=g:7232562
First Free Methodist Church of Carlton	id=g:7232563
Pioneer Evangelical Church	id=g:7232564
Valley Baptist Church	id=g:7232565
Saint John Lutheran Church	id=g:7232566
McMinnville Foursquare Church	id=g:7232567
United Methodist Church of McMinnville	id=g:7232568
Newberg Foursquare Church	id=g:7232569
Zion Lutheran Church	id=g:7232570
Chehalem Valley Baptist Church	id=g:7232571
Newberg Christian Church	id=g:7232572
First Christian Church	id=g:7232573
Trinity Lutheran Church of Sheridan	id=g:7232574
Church of Jesus Christ of Latter Day Saints	id=g:7232575
Church of Christ	id=g:7232576
Church of Jesus Christ of Latter Day Saints	id=g:7232577
Lafayette Community Church	id=g:7232578
Bible Baptist Church	id=g:7232579
First United Presbyterian Church	id=g:7232580
Saint Michaels Catholic Church	id=g:7232581
East Bay Medical Center	id=g:7232582
Abundant Grace Assembly of God Church	id=g:7232583
Pathway Southern Baptist Church	id=g:7232584
Our Lady of the Lake Catholic Church	id=g:7232585
Our Lady of the Lake School	id=g:7232586
First Baptist Church	id=g:7232587
Denton Township Trailer Park	id=g:7232588
Jehovah's Witnesses Hall	id=g:7232589
North Shore Trailer Park	id=g:7232590
King Nursing Center	id=g:7232591
Markey Township Hall	id=g:7232592
MidMichigan Health Park	id=g:7232593
Lake Township Hall	id=g:7232594
Roscommon Township Hall	id=g:7232595
Houghton Lake Post Office	id=g:7232596
Houghton Lake Wesleyan Church	id=g:7232597
Houghton Lake Church of Christ	id=g:7232598
Houghton Lake Middle School	id=g:7232599
Collins Elementary School	id=g:7232600
Prudenville Elementary School	id=g:7232601
Houghton Lake Baptist Church	id=g:7232602
Houghton Lake Community Church	id=g:7232603
Faith Community Church	id=g:7232604
United Methodist Church	id=g:7232605
Church on the Lakes Free Methodist Church	id=g:7232606
Church of Jesus Christ of Latter Day Saints	id=g:7232607
Saint Johns Lutheran Church	id=g:7232608
Higgins Lake Hideaway Mobile Home Park	id=g:7232609
Higgins Lake Post Office	id=g:7232610
Higgins Lake Baptist Church	id=g:7232611
Higgins Township Cemetery	id=g:7232612
Lakeview Park Indian Cemetery	id=g:7232613
Nolan Cemetery	id=g:7232614
Prudenville Cemetery	id=g:7232615
Gerrish Township Cemetery	id=g:7232616
Pioneer House Historical Marker	id=g:7232617
Terney House Historical Marker	id=g:7232618
Gerrish Historical Marker	id=g:7232619
Yuma Post Office (historical)	id=g:7232620
Wheatland Post Office (historical)	id=g:7232621
Wexford Post Office (historical)	id=g:7232622
Sherman Post Office (historical)	id=g:7232623
Round Lake Post Office (historical)	id=g:7232624
Mystic Post Office (historical)	id=g:7232625
Millersville Post Office (historical)	id=g:7232626
Meauwataka Post Office (historical)	id=g:7232627
Hoxeyville Post Office	id=g:7232628
Hobart Post Office (historical)	id=g:7232629
Haring Post Office (historical)	id=g:7232630
Haire Post Office (historical)	id=g:7232631
Gilbert Post Office (historical)	id=g:7232632
Elton Post Office (historical)	id=g:7232633
Bunyea Post Office (historical)	id=g:7232634
Bond's Mills Post Office (historical)	id=g:7232635
Benson Post Office (historical)	id=g:7232636
Baxter Post Office (historical)	id=g:7232637
Ballou Post Office (historical)	id=g:7232638
Bagnell Post Office (historical)	id=g:7232639
Axin Post Office (historical)	id=g:7232640
Angola Post Office (historical)	id=g:7232641
Carl T Johnson Hunting and Fishing Center	id=g:7232642
White Pine Trail State Park	id=g:7232643
First Christian Church	id=g:7232644
First Baptist Church	id=g:7232645
First Baptist Church	id=g:7232646
Community of Christ Church	id=g:7232647
Emmanuel Lutheran Church	id=g:7232648
Fresh Annointing Church of God	id=g:7232649
First Covenant Church	id=g:7232650
First Congregational Church	id=g:7232651
Resurrection Life Church	id=g:7232652
Cadillac First Church of the Nazarene	id=g:7232653
Evergreen Baptist Church	id=g:7232654
Sunnyside Baptist Church	id=g:7232655
Kingdom Hall of Jehovah's Witnesses	id=g:7232656
Cadillac Assembly of God Church	id=g:7232657
Temple Hill Baptist Church	id=g:7232658
Church of Christ	id=g:7232659
Harvest Worship Center	id=g:7232660
New Hope Christian Church	id=g:7232661
First Church of God	id=g:7232662
Crossroads Community Center	id=g:7232663
Independent Bible Church	id=g:7232664
Zion Lutheran Church	id=g:7232665
Cadillac Seventh Day Adventist Church	id=g:7232666
Saint Ann Church	id=g:7232667
Faith Baptist Church	id=g:7232668
Crown of Life Lutheran Church	id=g:7232669
First Presbyterian Church	id=g:7232670
Saint Mary's Episcopal Church	id=g:7232671
Cadillac United Methodist Church	id=g:7232672
Cadillac Christian Reformed Church	id=g:7232673
Church of Jesus Christ of Latter Day Saints	id=g:7232674
Cherry Grove Church of the Nazarene	id=g:7232675
Cadillac and Wexford Library	id=g:7232676
Haring Township Fire Department	id=g:7232677
Selma Township Hall	id=g:7232678
Baker College of Cadillac	id=g:7232679
Wexford-Missaukee Intermediate School	id=g:7232680
Cadillac Post Office	id=g:7232681
Cadillac Family Physicians Clinic	id=g:7232682
Cadillac Police Department	id=g:7232683
Family Practice of Cadillac	id=g:7232684
Great Lakes Family Care	id=g:7232685
Cadillac Area Community Health Clinic	id=g:7232686
Cadillac After Hours Clinic	id=g:7232687
Wexford Country Sheriff Department	id=g:7232688
Lakeview Lutheran Manor	id=g:7232689
Seventh Day Adventist School	id=g:7232690
Heritage Christian School	id=g:7232691
Cadillac Junior High School	id=g:7232692
Cadillac High School	id=g:7232693
Mackinaw Trail Middle School	id=g:7232694
Wexford County Courthouse	id=g:7232695
Meauwataka Free Methodist Church	id=g:7232696
Chris Blackburn Skate Park	id=g:7232697
Cadillac City Fire Department	id=g:7232698
Wexford City Park	id=g:7232699
Wexford County Historical Society Museum	id=g:7232700
Oakwood Mobile Home Park	id=g:7232701
Andover Country Meadows	id=g:7232702
Asbury Park	id=g:7232703
Mobile Acres	id=g:7232704
Profeta's Mobile Home Park	id=g:7232705
Whispering Willows Mobile Home Park	id=g:7232706
Jefferson Mobile Estates	id=g:7232707
Mobile Grove Trailer Park	id=g:7232708
Normandy Village Mobile Home Park	id=g:7232709
A C Mobile Home Park	id=g:7232710
Crestlawn Village	id=g:7232711
D F C Mobile Home Park	id=g:7232712
Willow Arms	id=g:7232713
Edgewood Trailer Park	id=g:7232714
Parkwood Village	id=g:7232715
Theil's Mobile Home Park	id=g:7232716
Woodman Mobile Home Park	id=g:7232717
Erieview	id=g:7232718
Keyes Trailer Park	id=g:7232719
State Road Mobile Home Park	id=g:7232720
Taylor Mobile Home Park	id=g:7232721
Pheasant Ridge Estates Mobile Home Park	id=g:7232722
Country Acres Mobile Village	id=g:7232723
Cadillac Leisure Mobile Home Community	id=g:7232724
Springville Township Fire Department	id=g:7232725
Mesick Public Library	id=g:7232726
Mesick Post Office	id=g:7232727
United Methodist Church	id=g:7232728
Mesick Seventh Day Adventist Church	id=g:7232729
Bible Believers Fellowship Church	id=g:7232730
Faith Lutheran Church	id=g:7232731
Mesick Medical Center	id=g:7232732
Free Methodist Church	id=g:7232733
Mesick Middle School	id=g:7232734
Mesick High School	id=g:7232735
Trinity Lutheran Church	id=g:7232736
Manton Public Library	id=g:7232737
Manton Police Department	id=g:7232738
Manton Area Historical Museum	id=g:7232739
Manton Post Office	id=g:7232740
Manton Baptist Church	id=g:7232741
Manton Free Methodist Church	id=g:7232742
Manton United Methodist Church	id=g:7232743
First Christian Church	id=g:7232744
Saint Theresa's Church	id=g:7232745
Manton Consolidated Schools	id=g:7232746
Harrietta United Methodist Church	id=g:7232747
Harrietta Post Office	id=g:7232748
Northern Pines Health Center	id=g:7232749
Buckley Post Office	id=g:7232750
Buckley Wayside Congregational Church	id=g:7232751
Buckley School	id=g:7232752
Buckley Public Library	id=g:7232753
Buckley Gospel Tabernacle Church	id=g:7232754
Buckley Fire Department	id=g:7232755
Boon Post Office	id=g:7232756
Pilgrim Holiness Church	id=g:7232757
Foursquare Lighthouse Church	id=g:7232758
Boon Baptist Church	id=g:7232759
Shay Locomotive Historical Marker	id=g:7232760
Cadillac City Park	id=g:7232761
Cobbs and Mitchell Building Historical Marker	id=g:7232762
Cobbs and Mitchell Mill No 1 Historical Marker	id=g:7232763
Clam Lake Canal Historical Marker	id=g:7232764
Cadillac Carnegie Library Historical Marker	id=g:7232765
Charles T Mitchell House Historical Marker	id=g:7232766
Rotary Park	id=g:7232767
Battle of Manton Historical Marker	id=g:7232768
Caberfae Ski Resort Historical Marker	id=g:7232769
First Wexford County Courthouse Historical Marker	id=g:7232770
Irwin Family Center Cemetery	id=g:7232771
Larson Family Cemetery	id=g:7232772
Green Family Cemetery	id=g:7232773
Haring Township Cemetery	id=g:7232774
Gilbert Lutheran Cemetery	id=g:7232775
Cornell Cemetery	id=g:7232776
Crowell Family Cemetery	id=g:7232777
Minor Cemetery	id=g:7232778
Meauwataka Cemetery	id=g:7232779
Antioch Township Cemetery	id=g:7232780
Mesick-Sherman Cemetery	id=g:7232781
Yuma Cemetery	id=g:7232782
Day Star Church of Christ	id=g:7232783
Dov Revel Synagogue	id=g:7232784
East Elmhurst Congregation	id=g:7232785
Ebenezer Baptist Church	id=g:7232786
El Amanecer De La Esperanza	id=g:7232787
Elim Presbyterian Church	id=g:7232788
Elmhurst Baptist Church	id=g:7232789
Evangelistic Church of Our Lord	id=g:7232790
Eun Chong Bible Presbyterian Church	id=g:7232791
King William Historical Museum	id=g:7232792
Jefferson Valley Fire Station	id=g:7232793
Furnace Woods Fire Station	id=g:7232794
Pamunkey Indian Museum	id=g:7232795
Hollowbrook Fire Station	id=g:7232796
Yorktown Heights Engine Company Number 1	id=g:7232797
Cazenovia College	id=g:7232798
Hubbard Hall	id=g:7232799
Eddy Hall	id=g:7232800
Coleman Union	id=g:7232801
Williams Hall	id=g:7232802
Eckel Hall	id=g:7232803
Daniel W Terry Library	id=g:7232804
Carousel Day School	id=g:7232805
Haftr Middle School	id=g:7232806
Hebrew Academy-Elementary School	id=g:7232807
Levittown Memorial Special Education Center	id=g:7232808
Harriet Eisman Community School	id=g:7232809
Our Lady of Grace Montessori School	id=g:7232810
Shelter Rock Elementary School	id=g:7232811
Grace Day School	id=g:7232812
Yeshiva Or Chadash	id=g:7232813
South Shore Country Day School	id=g:7232814
Old Westbury School - Holy Child	id=g:7232815
Whispering Pines Seventh Day Adventist School	id=g:7232816
Hebrew Academy of Nassau Plainview Campus	id=g:7232817
Hickory Hill Day School	id=g:7232818
Miss Sue's Nursery School and Kindergarten	id=g:7232819
Happy Montessori School of Port Washington	id=g:7232820
Vincent Smith School	id=g:7232821
Bundle of Joy Kindergarten	id=g:7232822
Roosevelt Children's Academy Charter School	id=g:7232823
Mesivta of Roslyn	id=g:7232824
Greentrees Country Day School	id=g:7232825
Torah Academy of Long Island	id=g:7232826
Pat-Kam School Early Childhood Center	id=g:7232827
Red Robin Country Day School	id=g:7232828
Westbury Friends School	id=g:7232829
Gold Coast Public Library	id=g:7232830
Eglise De Dieu	id=g:7232831
Free And Independent Church	id=g:7232832
Memorial Presbyterian Church	id=g:7232833
Miracle Revival Center Interfaith	id=g:7232834
Mount Sinai Baptist Church	id=g:7232835
Mount Zion Apostolic Church	id=g:7232836
Little Abbott Creek	id=g:7232837
Quarry Substation	id=g:7232838
Riley Substation	id=g:7232839
South Overland Park City Hall Annex	id=g:7232840
Switzer Substation	id=g:7232841
Trailwoods Shopping Center	id=g:7232842
Heartland Spine and Specialty Hospital	id=g:7232843
Minimally Invasive Surgery Hospital	id=g:7232844
Delaware Highlands Assisted Living Facility	id=g:7232845
Rose Estates Assisted Living Community	id=g:7232846
Wyandotte Clinic	id=g:7232847
The Kansas Rehabilitation Hospital	id=g:7232848
Riverbend Rural Health Clinic	id=g:7232849
Rainbow Mental Health Facility	id=g:7232850
Galichia Heart Hospital	id=g:7232851
Kansas Surgery and Recovery Center	id=g:7232852
Kansas Spine Hospital	id=g:7232853
Saint John Hospital Ambulatory Surgery Center	id=g:7232854
Kansas Heart Hospital	id=g:7232855
Kansas City Orthopaedic Institute	id=g:7232856
Doctors Hospital	id=g:7232857
Grace Gardens of Leawood Assisted Living Facility	id=g:7232858
Robert J Dole Department of Veterans Affairs Medical and Regional Office Center	id=g:7232859
Lakepoint Assisted Living at Crestview	id=g:7232860
The Rehabilitation Institute South	id=g:7232861
Via Christi Regional Medical Center	id=g:7232862
Olathe Medical Clinic	id=g:7232863
Midwest Family Care Emergicenter	id=g:7232864
Fellowship Acres	id=g:7232865
Forum Retirement Center	id=g:7232866
Rossville Community Library	id=g:7232867
Nortonville Public Library	id=g:7232868
University of Kansas - Lawrence Campus Chi Omega Fountain	id=g:7232869
Wyandotte County Community Recycling Center	id=g:7232870
Jefferson County Memorial Hospital and Geriatric Center	id=g:7232871
Wanamaker Woods Church of Nazarene	id=g:7232872
Walnut View Christian Church	id=g:7232873
Breakpoint Church	id=g:7232874
Faith Community Church	id=g:7232875
The Church of Jesus Christ of Latter Day Saints	id=g:7232876
Westboro Baptist Church	id=g:7232877
Lawrence Wesleyan Church	id=g:7232878
Grantville United Methodist Church	id=g:7232879
Saint Philip Episcopal Church	id=g:7232880
Church of Christ	id=g:7232881
First Presbyterian Church of Kansas City Kansas	id=g:7232882
Oskaloosa Church of Christ	id=g:7232883
Grace Bible Church	id=g:7232884
Rossville United Methodist Church	id=g:7232885
Wesley United Methodist Church	id=g:7232886
First Southern Baptist Church	id=g:7232887
Rossville Presbyterian Church	id=g:7232888
Morning Star Bible Church	id=g:7232889
Metropolitan Community Church of Topeka	id=g:7232890
Clearwater Evangelical Free Church	id=g:7232891
Family Life Church of the Nazarene	id=g:7232892
First Presbyterian Church	id=g:7232893
Family Church of Lawrence	id=g:7232894
Welborn Community United Church of Christ	id=g:7232895
Bread of Life Church	id=g:7232896
Risen Lamb Church of the Nazarene	id=g:7232897
Covenant Baptist Church	id=g:7232898
West Ridge Baptist Church	id=g:7232899
Saint Margarets Episcopal Church	id=g:7232900
Southwest Christian Church	id=g:7232901
Grace Missionary Baptist Church	id=g:7232902
Christ The King Church	id=g:7232903
Lansing Missionary Baptist Church	id=g:7232904
Corpus Christi Catholic Church	id=g:7232905
Indian Hills Church of God	id=g:7232906
Bridge Point Community Church	id=g:7232907
Brenner Heights Baptist Church	id=g:7232908
Mount Carmel Missionary Baptist Church	id=g:7232909
First Church of God in Christ	id=g:7232910
Saint Aloysius Catholic Church	id=g:7232911
Peace Mennonite Church	id=g:7232912
Heartland Community Church	id=g:7232913
Clear Creek Baptist Church	id=g:7232914
Edwardsville Assembly Church	id=g:7232915
Calvary Church of God in Christ	id=g:7232916
North Lawrence Christian Church	id=g:7232917
The Village Presbyterian Church	id=g:7232918
Berryton Baptist Church	id=g:7232919
Bethel Community Church	id=g:7232920
Fellowship Bible Church	id=g:7232921
Hillview Church of God	id=g:7232922
Saint Stanislaus Church	id=g:7232923
Fellowship Baptist Church	id=g:7232924
Church of God Holiness	id=g:7232925
Greater Pentecostal Church of God in Christ	id=g:7232926
New Dimensions of Christ Church	id=g:7232927
Korean Baptist Church of Topeka	id=g:7232928
Saint Pauls United Church of Christ	id=g:7232929
First Baptist Church of Bethel	id=g:7232930
Saint Michael Church Western Rite	id=g:7232931
Saint Albans Anglican Church	id=g:7232932
Cornerstone Community Church	id=g:7232933
Fellowship Bible Church	id=g:7232934
Good Sheperd Family Church	id=g:7232935
Aldersgate United Methodist Church	id=g:7232936
Cornerstone Southern Baptist Church	id=g:7232937
Highland Park Southern Baptist Church	id=g:7232938
Topeka Reformed Presbyterian Church	id=g:7232939
Saint Sophias Orthodox Christian Church	id=g:7232940
Church of God	id=g:7232941
Church of the Savior	id=g:7232942
Western Plains Church of the Brethren	id=g:7232943
Unity Church of Lawrence	id=g:7232944
Saint Luke African Methodist Episcopal Church	id=g:7232945
Overland Park Church of the Nazarene	id=g:7232946
El Shaddai Ministries Church of God in Christ	id=g:7232947
Plymouth Congregational Church United Church of Christ	id=g:7232948
Grace United Methodist Church	id=g:7232949
First United Methodist Church	id=g:7232950
Lawrence Indian United Methodist Church	id=g:7232951
Morning Star Church	id=g:7232952
Saint John Hospital Rehabilitation Center	id=g:7232953
Johnson County Health Department Mission Clinic	id=g:7232954
Boeing Industrial Park	id=g:7232955
Resurrection Lutheran Church	id=g:7232956
Midway Southern Baptist Church	id=g:7232957
Buu Quang Temple	id=g:7232958
Bel Aire Recreation Complex	id=g:7232959
Mount Vernon United Methodist Church	id=g:7232960
Haysville United Methodist Church	id=g:7232961
Sedgwick County Juvenile Detention Center	id=g:7232962
First Christian Church of Haysville	id=g:7232963
East Point Church of Christ	id=g:7232964
Hope Mennonite Church	id=g:7232965
East Branch YMCA	id=g:7232966
Saint Joseph Cemetery	id=g:7232967
Farber Substation	id=g:7232968
Wichita Civic Center	id=g:7232969
Countryside Pentecostal Holiness Church	id=g:7232970
Chisholm Creek Manor Mobile Home Park	id=g:7232971
Hope Community Baptist Church	id=g:7232972
Cherry Creek Shopping Center	id=g:7232973
Peck Substation	id=g:7232974
Northwest Substation	id=g:7232975
Valley Center Christian Church	id=g:7232976
Durand's Greenhouse	id=g:7232977
Topeka Baptist Church	id=g:7232978
Capitol View Memorial Gardens Cemetery	id=g:7232979
England Mobile Home Estates	id=g:7232980
West Ridge Plaza Shopping Center	id=g:7232981
Overbrook Water Tower	id=g:7232982
Carbondale Water Tower	id=g:7232983
Sedgwick County Water Tower 3	id=g:7232984
Valley Falls Water Tower	id=g:7232985
Douglas County Rural Water District 5 Water Tower	id=g:7232986
Clearwater Water Tower	id=g:7232987
Prairie Schooner Mobile Home Court Water Tank	id=g:7232988
Sedgwick County Rural Water District 3 Water Tower	id=g:7232989
Appanoose School Water Tank	id=g:7232990
Kechi Water Tower	id=g:7232991
Conway Springs Water Tower	id=g:7232992
Sedgwick County Rural Water District 4 Water Tower	id=g:7232993
Leavenworth County Rural Water District 7 Water Tower	id=g:7232994
Harper Rural Water District 5 Water Tower	id=g:7232995
Johnson County Rural Water District 7 Water Tower	id=g:7232996
Andale Water Tower	id=g:7232997
Rose Hill Post Office	id=g:7232998
Valley Falls Post Office	id=g:7232999
Mulvane Post Office	id=g:7233000
Garden Plain Post Office	id=g:7233001
Sedgwick Post Office	id=g:7233002
Colwich Post Office	id=g:7233003
Topeka Post Office	id=g:7233004
Belle Plaine Post Office	id=g:7233005
Rossville Post Office	id=g:7233006
Delia Post Office	id=g:7233007
Lecompton Post Office	id=g:7233008
Tonganoxie Post Office	id=g:7233009
Civic Center Post Office	id=g:7233010
Packers Post Office	id=g:7233011
Clearwater Post Office	id=g:7233012
Lawrence Post Office	id=g:7233013
Baldwin City Post Office	id=g:7233014
Berryton Post Office	id=g:7233015
Eudora Post Office	id=g:7233016
Wichita Post Office	id=g:7233017
Stony Point Cemetery	id=g:7233018
Shawrence Cemetery	id=g:7233019
Washington Creek Cemetery	id=g:7233020
Rossville Cemetery	id=g:7233021
Starns Family Cemetery	id=g:7233022
Delaware Cemetery	id=g:7233023
Joe's Market and Nursery	id=g:7233024
Saint John Hospital	id=g:7233025
Arbor Woods at Overland Park Assisted Living Facility	id=g:7233026
Atria Hearthstone West Assisted Living Facility	id=g:7233027
K - 15 Mobile Home Park	id=g:7233028
Clearview Baptist Church	id=g:7233029
Douglas County Jail	id=g:7233030
Anderson Mobile Home Park	id=g:7233031
White Lakes Mobile Home Park	id=g:7233032
Cornerstone Ridge Plaza Assisted Living Facility	id=g:7233033
S and J Estates Mobile Home Park	id=g:7233034
Tensquatawa Burial Ground	id=g:7233035
Coachlight Village Mobile Home Courts South	id=g:7233036
Lakeshore Mobile Home Park	id=g:7233037
Conestoga Mobile Home Park	id=g:7233038
Oak Lane Mobile Home Park	id=g:7233039
Kenneth L Caldwell Assisted Living Facility	id=g:7233040
Pinnacle Ridge Nursing and Rehabilitation Center	id=g:7233041
Saint Paul African Methodist Episcopal Church	id=g:7233042
Golden Living Center of Wichita	id=g:7233043
Oskaloosa Church of Christ	id=g:7233044
Wichita Work Release Facility	id=g:7233045
Kansas Masonic Home Nursing Home	id=g:7233046
Oskaloosa First United Methodist Church	id=g:7233047
Spring Hill Baptist Church	id=g:7233048
Cotton - O'Neil Meriden Clinic	id=g:7233049
Dicks Mobile Home Park	id=g:7233050
Valley Falls United Methodist Church	id=g:7233051
University of Saint Mary - Leavenworth Campus Brooder House	id=g:7233052
University of Saint Mary - Leavenworth Campus McGilley Field House	id=g:7233053
University of Saint Mary - Leavenworth Campus Ryan Sports Center	id=g:7233054
University of Saint Mary - Leavenworth Campus Ross Hall	id=g:7233055
University of Saint Mary - Leavenworth Campus Cantwell Hall	id=g:7233056
University of Saint Mary - Leavenworth Campus Berchmans Hall	id=g:7233057
University of Saint Mary - Leavenworth Campus Saint Joseph Dining Hall	id=g:7233058
University of Saint Mary - Leavenworth Campus Mother House	id=g:7233059
University of Saint Mary - Leavenworth Campus Marillac Center	id=g:7233060
University of Saint Mary - Leavenworth Campus Miege Hall	id=g:7233061
University of Saint Mary - Leavenworth Campus Mead Hall	id=g:7233062
University of Saint Mary - Leavenworth Campus De Paul Library	id=g:7233063
University of Saint Mary - Leavenworth Campus Annunciation Chapel	id=g:7233064
University of Saint Mary - Leavenworth Campus Saint Mary Hall	id=g:7233065
University of Saint Mary - Leavenworth Campus South Campus Convent	id=g:7233066
University of Saint Mary - Leavenworth Campus Xavier Hall	id=g:7233067
University of Saint Mary - Leavenworth Campus Maria Hall	id=g:7233068
Ridgewood Estates Mobile Home Park	id=g:7233069
Bonner Springs YMCA	id=g:7233070
Wichita Area Technical College Seneca Center Campus	id=g:7233071
Village East Assisted Living Facility	id=g:7233072
Ponchos Mobile Home Park	id=g:7233073
Leavenworth Public Library	id=g:7233074
Bonner Springs Church of Christ	id=g:7233075
The Salvation Army	id=g:7233076
Riverside Mobile Home Park	id=g:7233077
Garden Plain Community Library	id=g:7233078
Valley Falls City Office	id=g:7233079
Delaware Township Library	id=g:7233080
Metzger Nursery	id=g:7233081
Kuhns Mobile Home Park	id=g:7233082
Orchard Park Mobile Home Park	id=g:7233083
Bonner Springs United Methodist Church	id=g:7233084
Bible Baptist Church	id=g:7233085
Sunview Mobile Home Park	id=g:7233086
Rice Community Center	id=g:7233087
Caudill Mobile Home Park	id=g:7233088
College Hill Church of Christ	id=g:7233089
Rossville City Hall	id=g:7233090
Clearwater Retirement Community Village Assisted Living Facility	id=g:7233091
Woodland Health Center Nursing Home	id=g:7233092
Stonegate Mobile Home Park	id=g:7233093
Shawnee Hills Mobile Home Park	id=g:7233094
Cottonwood Grove Mobile Home Park	id=g:7233095
Westview Manor Nursing Home	id=g:7233096
The Woodlands Mobile Home Park	id=g:7233097
Kechi United Methodist Church	id=g:7233098
Living Hope Church Church of the Nazarene	id=g:7233099
Wichita Municipal Court	id=g:7233100
Wichita City Hall	id=g:7233101
Riverside Mobile Home Park	id=g:7233102
Twin Oaks Retirement Center	id=g:7233103
Audora Mobile Home Park	id=g:7233104
South Village Mobile Home Park	id=g:7233105
Wichita Presbyterian Manor Assisted Living Facility	id=g:7233106
Heifner Nursery and Garden Center	id=g:7233107
Topeka Presbyterian Manor Nursing Home	id=g:7233108
Topeka Presbyterian Manor Assisted Living Facility	id=g:7233109
Shady Acres Mobile Home Park	id=g:7233110
Crestview Community Center	id=g:7233111
