Aiyede	id=g:2351598
Adamu Kulu	id=g:2352595
Adamu Jimi	id=g:2352596
Adamu	id=g:2352597
Adamu	id=g:2352598
Adamu	id=g:2352599
Adamu	id=g:2352600
Adamri	id=g:2352601
Adambaki	id=g:2352602
Adamawa	id=g:2352603
Adamani	id=g:2352604
Adama	id=g:2352605
Adama	id=g:2352606
Adama	id=g:2352607
Adam	id=g:2352608
Adam	id=g:2352609
Adam	id=g:2352610
Adale Lake	id=g:2352611
Agala	id=g:2352612
Adala	id=g:2352613
Adakorigbo	id=g:2352614
Adako	id=g:2352615
Adakaka Ridge	id=g:2352616
Adakaka	id=g:2352617
Adaiwai	id=g:2352618
Adaigievbe	id=g:2352619
Adaigba	id=g:2352620
Adaha	id=g:2352621
Adagoro	id=g:2352622
Adago	id=g:2352623
Adago	id=g:2352624
Adage	id=g:2352625
Adage	id=g:2352626
Adagbrassa	id=g:2352627
Adagbarassa-Amukpe	id=g:2352628
Adagbabri	id=g:2352630
Adagba	id=g:2352631
Adagba	id=g:2352632
Adagba	id=g:2352633
Adagaki Escarpment Forest Reserve	id=g:2352634
Adafila	id=g:2352635
Adadu	id=g:2352636
Adadu	id=g:2352637
Adadia	id=g:2352638
Adadeju	id=g:2352639
River Adada	id=g:2352640
Adadama	id=g:2352641
Adada	id=g:2352642
River Adabu	id=g:2352643
Adabu	id=g:2352644
Adagbasa Creek	id=g:2352645
Adabo	id=g:2352646
Adabiaran	id=g:2352647
Adabi	id=g:2352648
Adabata	id=g:2352649
Adaba	id=g:2352650
Adaba	id=g:2352651
Ada	id=g:2352652
Ada	id=g:2352653
Ada	id=g:2352654
Ada	id=g:2352655
Ada	id=g:2352656
Acraha	id=g:2352657
Acka	id=g:2352658
Aciol	id=g:2352659
Acikaratu	id=g:2352660
Acika	id=g:2352661
Acida	id=g:2352662
Achuwa	id=g:2352663
Achuna	id=g:2352664
Achu	id=g:2352665
Achough	id=g:2352666
Achoro Ndiagu	id=g:2352667
Achongh	id=g:2352668
Achitar	id=g:2352669
Achiogh	id=g:2352670
Achina	id=g:2352671
Achin	id=g:2352672
Achilo	id=g:2352673
Achilgbenda	id=g:2352674
Achilafia	id=g:2352675
Achila	id=g:2352676
Achil	id=g:2352677
Achil	id=g:2352678
Achikaratu Ubandawaki	id=g:2352679
Achigogo	id=g:2352680
Achifeten	id=g:2352681
Achifa	id=g:2352682
Achido	id=g:2352683
Achi	id=g:2352684
Achi	id=g:2352685
Achi	id=g:2352686
Achi	id=g:2352687
Acheni	id=g:2352688
Acheche	id=g:2352689
Acheche	id=g:2352690
Acharu	id=g:2352691
Achara	id=g:2352692
Achara	id=g:2352693
Achara	id=g:2352694
Achan	id=g:2352695
Achan Ika	id=g:2352696
Achalla-Owa-Olo	id=g:2352697
Achalla	id=g:2352698
Achala-Ezi	id=g:2352699
Achakwale	id=g:2352700
River Achacha	id=g:2352701
Acha	id=g:2352702
Acha	id=g:2352703
Acha	id=g:2352704
Acha	id=g:2352705
Acha	id=g:2352706
Abwa	id=g:2352707
Abuyerin	id=g:2352708
Abuyanrin	id=g:2352709
Abuyanrin	id=g:2352710
Abutu	id=g:2352711
Abu Tsofo	id=g:2352712
Abuturu Creek	id=g:2352713
Abusta	id=g:2352714
Abusoro	id=g:2352715
Aburumbede	id=g:2352716
Aburumaku	id=g:2352717
Aburumbede	id=g:2352718
Aburukiri	id=g:2352719
Aburu	id=g:2352720
Aburu	id=g:2352721
Aburu	id=g:2352722
Aburu	id=g:2352723
Aburosi	id=g:2352724
Abore	id=g:2352725
Abura	id=g:2352726
Abur	id=g:2352727
Abur	id=g:2352728
Abur	id=g:2352729
Abuochichi	id=g:2352730
Abunwa	id=g:2352731
Abuni	id=g:2352732
Abung	id=g:2352733
Abunerok	id=g:2352734
Abunde	id=g:2352735
Abuha	id=g:2352736
Abumwenre	id=g:2352737
Abumpong	id=g:2352738
Abuma	id=g:2352739
Abum	id=g:2352740
Ubulu-Uku	id=g:2352741
Abulu	id=g:2352742
Abuloma	id=g:2352743
Abul Ivur	id=g:2352744
Abule Tailor	id=g:2352745
Abule Soro	id=g:2352746
Abule Olola	id=g:2352747
Abule Okoru	id=g:2352748
Abule Ojo	id=g:2352749
Abule Ogunremi	id=g:2352750
Abule Odo	id=g:2352751
Abule Oba	id=g:2352752
Abule Oba	id=g:2352753
Abule Nla	id=g:2352754
Abule Nla	id=g:2352755
Abule Nla	id=g:2352756
Abule Mesan	id=g:2352757
Abule Lawal Tapa	id=g:2352758
Abule Iya Agba	id=g:2352759
Abule Eruwa	id=g:2352760
Abule Bello	id=g:2352761
Abule Basi	id=g:2352762
Abule Apata	id=g:2352763
Abule Alagbede	id=g:2352764
Abule Aborisade	id=g:2352765
Abulam	id=g:2352766
Abulabiri	id=g:2352767
Abul	id=g:2352768
Abul	id=g:2352769
Abul	id=g:2352770
Abukur	id=g:2352771
Abukun	id=g:2352772
Abuku	id=g:2352773
Abelkiri	id=g:2352774
Abujaga	id=g:2352775
Abuja Federal Capital Territory	id=g:2352776
Abuja	id=g:2352777
Abuja	id=g:2352778
Abu Hills	id=g:2352779
Abugi	id=g:2352780
Abugi	id=g:2352781
Abugaga	id=g:2352782
Abuga	id=g:2352783
Abuduski	id=g:2352784
Abuduka	id=g:2352785
Abudu-Isu	id=g:2352786
Abudu	id=g:2352787
Abudu	id=g:2352788
Abudu	id=g:2352789
Abudo	id=g:2352790
Abudem	id=g:2352791
Abuchi Gwari	id=g:2352792
Abuchi	id=g:2352793
Abube-Nando	id=g:2352794
River Abuba	id=g:2352795
Abu Aro	id=g:2352796
Abua	id=g:2352797
Abu	id=g:2352798
Abu	id=g:2352799
Abu	id=g:2352800
Abu	id=g:2352801
Abriski	id=g:2352802
Abriski	id=g:2352803
Abraka	id=g:2352804
Abowula	id=g:2352805
Aboto Oja	id=g:2352806
Aboto Afa	id=g:2352807
Aboto	id=g:2352808
Aboshin	id=g:2352809
Aboshin	id=g:2352810
Abosa	id=g:2352811
Aboru	id=g:2352812
Abor Isu	id=g:2352813
Aborisade	id=g:2352814
Abori	id=g:2352815
Abore	id=g:2352816
Abor	id=g:2352817
Abor	id=g:2352818
Abor	id=g:2352819
Abonyi River	id=g:2352820
Abonuzu	id=g:2352821
Abonu	id=g:2352822
Abonnema	id=g:2352823
Abonnema	id=g:2352824
Abonji	id=g:2352825
Abong Yeri	id=g:2352826
Abong	id=g:2352827
Abonabung	id=g:2352828
Abonabo	id=g:2352829
Abo Manga	id=g:2352830
Abolohunko	id=g:2352831
Abolo	id=g:2352832
Abolikiri	id=g:2352833
Abolikiri	id=g:2352834
Abokpa Tyav	id=g:2352835
Abokorere	id=g:2352836
Abokolaiya	id=g:2352837
Aboko Hill	id=g:2352838
Aboki	id=g:2352839
Aboki	id=g:2352840
Abokede	id=g:2352841
Aboke	id=g:2352842
Abojosu	id=g:2352843
Aboine	id=g:2352844
Aboine	id=g:2352845
Abohwo Camp	id=g:2352846
Aboh-Ogwashi-Ukwu	id=g:2352847
Aboh	id=g:2352848
Abogunde	id=g:2352849
Abogunde	id=g:2352850
Abofifia	id=g:2352851
Aboe	id=g:2352852
Abodere Oridokun	id=g:2352853
Abodere	id=g:2352854
Aboday	id=g:2352855
Abodari	id=g:2352856
Abocho	id=g:2352857
Abobo	id=g:2352858
Abobiri	id=g:2352859
Aboba	id=g:2352860
Aboabam	id=g:2352861
Abo	id=g:2352862
Abo	id=g:2352863
Abo	id=g:2352864
Abo	id=g:2352865
Abo	id=g:2352866
Abo	id=g:2352867
Abo	id=g:2352868
Abo	id=g:2352869
Abo	id=g:2352870
Abo	id=g:2352871
Abissa	id=g:2352872
Abiskata	id=g:2352873
Abiriba	id=g:2352874
Abire	id=g:2352875
Abioro	id=g:2352876
Abiono	id=g:2352877
Abinyon	id=g:2352878
Abinti-Abangork	id=g:2352879
Abinsi	id=g:2352880
Abini	id=g:2352881
Abinabo Aiko	id=g:2352882
Abina	id=g:2352883
Abina	id=g:2352884
Abimbola	id=g:2352885
Abimba	id=g:2352886
Abiluyungba	id=g:2352887
Abilti	id=g:2352888
Abilabio	id=g:2352889
Abikehin	id=g:2352890
Abijo	id=g:2352891
Abiji	id=g:2352892
Abijang	id=g:2352893
Abiin	id=g:2352894
Abi Iba	id=g:2352895
Abi Hill	id=g:2352896
Abigi	id=g:2352897
Abevgborode	id=g:2352898
Abigbinde	id=g:2352899
Abidogun	id=g:2352900
Abidogun	id=g:2352901
Abidogun	id=g:2352902
Abidogun	id=g:2352903
Abidiore	id=g:2352904
Abidioki	id=g:2352905
Abidemi	id=g:2352906
Abida	id=g:2352907
Abia Okpo Otoro	id=g:2352908
Abia-Okpo	id=g:2352909
Abia Okpo	id=g:2352910
Lekuma Abiama	id=g:2352911
Abiala	id=g:2352912
Abiala	id=g:2352913
Abiala	id=g:2352914
Abiakpo Ikot Udo Oboro	id=g:2352915
Abiakpo Ikot Obionting	id=g:2352916
Abiakpo Ikot Ntuen	id=g:2352917
Abiakpo-Ibo	id=g:2352918
Abiakpo	id=g:2352919
Abiakpa	id=g:2352920
Abiak Owo	id=g:2352921
Abiaka	id=g:2352922
Abia	id=g:2352923
Abia	id=g:2352924
Abia	id=g:2352925
Abia	id=g:2352926
Abia	id=g:2352927
Abi	id=g:2352928
Abeta	id=g:2352929
Abeta	id=g:2352930
Abesu	id=g:2352931
Abesse	id=g:2352932
River Abessan	id=g:2352933
Abese	id=g:2352934
Abese	id=g:2352935
Aberu Agba	id=g:2352936
Aberma	id=g:2352937
River Abe	id=g:2352938
Aberishi	id=g:2352939
Aberin	id=g:2352940
Aberewo	id=g:2352941
Abere Ijo	id=g:2352942
Abere Creek	id=g:2352943
Abere	id=g:2352944
Abepe	id=g:2352945
Abeotobo	id=g:2352946
Abeokuta	id=g:2352947
Abenga	id=g:2352948
Abemo	id=g:2352949
Abemi	id=g:2352950
Abemi	id=g:2352951
Abell	id=g:2352952
Abele	id=g:2352953
Abela	id=g:2352954
Abeku	id=g:2352955
Abekenta	id=g:2352956
Abeka	id=g:2352957
Abejukolo	id=g:2352958
Abejo	id=g:2352959
Abehu	id=g:2352960
Abegunrin	id=g:2352961
Abegunrin	id=g:2352962
Abegunde	id=g:2352963
Abegede	id=g:2352964
Abefa	id=g:2352965
Abee	id=g:2352966
Abedotun	id=g:2352967
Abedei	id=g:2352968
Abebu	id=g:2352969
Abebeyun	id=g:2352970
Abealirih	id=g:2352971
Abe	id=g:2352972
Abe	id=g:2352973
Abe	id=g:2352974
Abduri	id=g:2352975
Abduli	id=g:2352976
Abdujaki	id=g:2352977
Abdu	id=g:2352978
Abdolo	id=g:2352979
Abdalawa	id=g:2352980
Abb Tilo	id=g:2352981
Abbiati	id=g:2352982
Abbi	id=g:2352983
Abbawusi	id=g:2352984
Abbari	id=g:2352985
Abbare	id=g:2352986
Abbare	id=g:2352987
Abba Omege	id=g:2352988
Abba Kumbo	id=g:2352989
Abba Jabari	id=g:2352990
Abba Isari	id=g:2352991
Abba	id=g:2352992
Abaza	id=g:2352993
Abayono	id=g:2352994
Abayon	id=g:2352995
Abayomi	id=g:2352996
Abayo	id=g:2352997
Abayi Nchokoro	id=g:2352998
Abayi	id=g:2352999
Abayi	id=g:2353000
Abayi	id=g:2353001
Abayi	id=g:2353002
Aba Yawu	id=g:2353003
Abaya Hill	id=g:2353004
Abawo	id=g:2353005
Abavo	id=g:2353006
Abavo	id=g:2353007
Aba Ukpo	id=g:2353008
Aba Tuntun	id=g:2353009
Abaton	id=g:2353010
Abatiwa	id=g:2353011
Aba Titun	id=g:2353012
Abak Isiet	id=g:2353013
Abati	id=g:2353014
Abatete	id=g:2353015
Abatchor	id=g:2353016
Abatan	id=g:2353017
Abatan	id=g:2353018
Abata Hill	id=g:2353019
Abata Egba	id=g:2353020
Abata	id=g:2353021
Abata	id=g:2353022
Abata	id=g:2353023
Abata	id=g:2353024
Abat	id=g:2353025
Aba Solomon	id=g:2353026
Abarijang	id=g:2353027
Abarigwe	id=g:2353028
Abari	id=g:2353029
Abarezoma	id=g:2353030
Abaren	id=g:2353031
Abaredunga	id=g:2353032
Abare	id=g:2353033
Abare	id=g:2353034
Abarchari	id=g:2353035
Abara Uno	id=g:2353036
Abaranjeh	id=g:2353037
Abaragba	id=g:2353038
Abara Dugu	id=g:2353039
Abara	id=g:2353040
Abara	id=g:2353041
Abar	id=g:2353042
Abapia	id=g:2353043
Aba Panu	id=g:2353044
Aba Panu	id=g:2353045
Abaoyo	id=g:2353046
Aba Osa	id=g:2353047
Aba Olode	id=g:2353048
Aba Olobe	id=g:2353049
Aba Ola	id=g:2353050
Aba Oku	id=g:2353051
Aba Oku	id=g:2353052
Aba Oke	id=g:2353053
Aba Oke	id=g:2353054
Aba Oje	id=g:2353055
Aba Oja	id=g:2353056
Aba Ogo	id=g:2353057
Aba Odedele	id=g:2353058
Aba Ode	id=g:2353059
Aba Oba	id=g:2353060
Aba Oba	id=g:2353061
Abanwan	id=g:2353062
Abantoken	id=g:2353063
Abantagari	id=g:2353064
Abanla	id=g:2353065
Abanla	id=g:2353066
Abanla	id=g:2353067
Abanla	id=g:2353068
Aba Nla	id=g:2353069
Aba Nla	id=g:2353070
Aba Nkomini	id=g:2353071
Abankang	id=g:2353072
Abanikanda	id=g:2353073
Abangel	id=g:2353074
Abanabe	id=g:2353075
Aban	id=g:2353076
Aban	id=g:2353077
Abama	id=g:2353078
Abalam	id=g:2353079
Abalala	id=g:2353080
Abalakiri	id=g:2353081
Abalago	id=g:2353082
Aba Ladunni	id=g:2353083
Abalabi	id=g:2353084
Abalia	id=g:2353085
Abala	id=g:2353086
Abala	id=g:2353087
Hosere Abakun	id=g:2353088
Abakum	id=g:2353089
Abak Ukpum	id=g:2353090
Abaku	id=g:2353091
Abaku	id=g:2353092
Abaku	id=g:2353093
Abakpa	id=g:2353094
Abakomerri	id=g:2353095
Abako	id=g:2353096
Abakire	id=g:2353097
Aba Khalli	id=g:2353098
Abakaliki	id=g:2353099
Abak	id=g:2353100
Abak	id=g:2353101
Abajo	id=g:2353102
Abaji Okolo	id=g:2353103
Abaji	id=g:2353104
Abaja Owi	id=g:2353105
Aba-Isu	id=g:2353106
Aba Isale	id=g:2353107
Aba Ilowa	id=g:2353108
Abailenla	id=g:2353109
Aba Ijesha	id=g:2353110
Aba Ige	id=g:2353111
Aba Ibadan	id=g:2353112
Aba Ibadan	id=g:2353113
Abahwange	id=g:2353114
Abah	id=g:2353115
Abagu	id=g:2353116
Aba Goderi	id=g:2353117
Abago	id=g:2353118
Abagh	id=g:2353119
Abagbene	id=g:2353120
Abagato	id=g:2353121
Abagana	id=g:2353122
River Abafon	id=g:2353123
Abafon	id=g:2353124
Aba Epo	id=g:2353125
Abadogo	id=g:2353126
Abadawa	id=g:2353127
Abadan	id=g:2353128
Abache	id=g:2353129
Abaamo	id=g:2353130
Ababu	id=g:2353131
Ababoko	id=g:2353132
Aba Bale	id=g:2353133
Aba Bale	id=g:2353134
Aba Ala	id=g:2353135
Abaal	id=g:2353136
Aba Adi	id=g:2353137
Aba Adefoju	id=g:2353138
Aba Ada	id=g:2353139
Abaa	id=g:2353140
Aba River	id=g:2353141
Aba	id=g:2353142
Aba	id=g:2353143
Aba	id=g:2353144
Aba	id=g:2353145
Aba	id=g:2353146
Aba	id=g:2353147
Aba	id=g:2353148
Aba	id=g:2353149
Aba	id=g:2353150
Aba	id=g:2353151
Aayonso Ndoor	id=g:2353152
Aayongu	id=g:2353153
River Aao	id=g:2353154
Aangel	id=g:2353155
Aakyor	id=g:2353156
Aakaa	id=g:2353157
Ilogourou	id=g:2393810
Abia State	id=g:2565340
Delta State	id=g:2565341
Adamawa State	id=g:2565342
Ekpoma	id=g:2565343
Enugu State	id=g:2565344
Jigawa State	id=g:2565345
Signal Point	id=g:2565978
Okun-Ibese	id=g:2566577
Ondotedo	id=g:2566578
Tamaro	id=g:2566579
Oluwa	id=g:2566580
Igbo Ejo	id=g:2566581
Victoria Island	id=g:2566582
Alaguntan	id=g:2566583
Ogoyo	id=g:2566586
Obalende	id=g:2566633
Ikoyi Park	id=g:2566634
Tin Can Island	id=g:2566635
Ajegunle	id=g:2566636
Aiyetoro	id=g:2566637
Kirikiri	id=g:2566638
Alapako	id=g:2566639
Agboju	id=g:2566640
Olute	id=g:2566641
Aiyetoto-Asogun	id=g:2566642
Abule-Nla	id=g:2566643
Iponri	id=g:2566644
Oke Ira	id=g:2566645
Iwaya	id=g:2566646
Tatala	id=g:2566647
Onitiri	id=g:2566648
New Lagos	id=g:2566649
Ijesha-Tedo	id=g:2566650
Ijero	id=g:2566651
Abule Ijesha	id=g:2566652
Igbobi	id=g:2566653
Iseri-Osun	id=g:2566654
Bolorunpelu	id=g:2566655
Mofoluku	id=g:2566656
Orile Oshodi	id=g:2566657
Obanikoro	id=g:2566658
Ilemere	id=g:2566659
Ososun	id=g:2566660
Isasi	id=g:2566661
Arida	id=g:2566662
Idowu	id=g:2566663
Isheri-Olofin	id=g:2566664
Cardoso	id=g:2566665
Asipa	id=g:2566666
Oduwole	id=g:2566667
Atan	id=g:2566668
Fatade	id=g:2566669
Igbogila	id=g:2566670
Akinyele	id=g:2566671
Agun	id=g:2566672
Adeleye	id=g:2566673
Mosan	id=g:2566674
Ajegunle	id=g:2566675
Alimosho	id=g:2566676
Shogunle	id=g:2566677
Onigbongbo	id=g:2566678
Opamore	id=g:2566679
Ojota	id=g:2566680
Oshosun	id=g:2566681
Ososun	id=g:2566682
Onisigun	id=g:2566683
Eregun	id=g:2566684
Sagisa	id=g:2566685
Ogunlogun	id=g:2566686
Agbede	id=g:2566687
Olowoira	id=g:2566688
Agidingbi	id=g:2566689
George	id=g:2566690
Aguda	id=g:2566691
Omole	id=g:2566692
Ijaiye	id=g:2566693
Coker	id=g:2566694
Ifako	id=g:2566695
Akowonjo	id=g:2566696
Magbon	id=g:2566697
Alagba	id=g:2566698
Agbelekale	id=g:2566699
Ekoro	id=g:2566700
Egba	id=g:2566701
Jibowu	id=g:2566702
Wasimi Ojokoro	id=g:2566703
Olasore	id=g:2566704
Alakuko	id=g:2566705
Wasimi-Aiyetoro	id=g:2566706
Akinde	id=g:2566707
Ajegunle	id=g:2566708
Iroko	id=g:2566709
Opeilu	id=g:2566710
Isaga-Abosule	id=g:2566711
Lambe	id=g:2566712
Olori	id=g:2566713
Bale-Akiosi	id=g:2566714
Aketu-Oja	id=g:2566715
Magodo	id=g:2566716
Imoro	id=g:2566717
Ilara-Ile	id=g:2566718
Kajola	id=g:2566719
Magbon	id=g:2566720
Elepete	id=g:2566721
Imute	id=g:2566722
Kesun	id=g:2566723
Adiyan River	id=g:2566724
Ogudu Creek	id=g:2566725
Ajegunle Creek	id=g:2566726
Tarkwa Bay	id=g:2566727
Iddo	id=g:2567426
Oluwo	id=g:2567541
Tungan Gajere	id=g:2590102
Tunga Yalwa	id=g:2590103
Rafin Kaffi	id=g:2590106
Tunga Mekidi	id=g:2590107
Gwari	id=g:2590108
Saupe	id=g:2590131
River Dnako	id=g:2590132
River Wuna	id=g:2590175
River Paa	id=g:2590219
River Gujigwo	id=g:2590220
River Dakwa	id=g:2590221
Karako	id=g:2590259
Kwarana	id=g:2590260
Kwabushi	id=g:2590262
Garui	id=g:2590264
Garu	id=g:2590265
Jimpe	id=g:2590268
Gidan Gogo	id=g:2590270
Kupe	id=g:2590271
Koso	id=g:2590273
Kabusu Koro	id=g:2590276
Kagwaru	id=g:2590278
Pmadna	id=g:2590280
Shishipe	id=g:2590281
Gwari	id=g:2590282
Kabusu	id=g:2590283
Kafa	id=g:2590286
Kafa Forest Reserve	id=g:2590289
Gwarin Rafa	id=g:2590290
Angwan Tsokwa	id=g:2590291
Gwalada	id=g:2590292
Gurushe	id=g:2590293
Katambe	id=g:2590294
Kubabo	id=g:2590305
Jikakuchi	id=g:2590308
Gurku	id=g:2590310
Gurku Gwari	id=g:2590312
Kubobbagi	id=g:2590313
Gidan Rago	id=g:2590314
Jawu	id=g:2590315
Aso Hills	id=g:2590316
Gwagwa Rafi	id=g:2590317
Yelwa	id=g:2590318
Mampa Hills	id=g:2590319
Kujupi	id=g:2590320
Aso	id=g:2590321
Ganuwa	id=g:2590322
Ruhu	id=g:2590323
Aso	id=g:2590324
Kabara	id=g:2590325
Kusafe	id=g:2590343
Kurunduma Forest Reserve	id=g:2590344
Kurunduma	id=g:2590345
Kugo	id=g:2590346
Paputache	id=g:2590347
Yanyan	id=g:2590348
Agwan	id=g:2590352
Kubewa	id=g:2590353
Sabon Ruhu	id=g:2590354
Garki	id=g:2590355
Foroko	id=g:2590356
Boi	id=g:2590357
Katambe	id=g:2590358
Ado	id=g:2590361
Choko	id=g:2590362
Rubuda	id=g:2590363
Masaka	id=g:2590364
Nukuchi	id=g:2590911
Karu	id=g:2590999
Jikoyi	id=g:2591000
Owowo	id=g:2591001
Wowo Stream	id=g:2591002
Kpeyi	id=g:2591003
Ginda	id=g:2591004
Kurudu	id=g:2591005
Anka	id=g:2591006
Aba	id=g:2591007
Gidan Mudu	id=g:2591008
Gidan Waziri	id=g:2591009
Bana Stream	id=g:2591010
Bada	id=g:2591011
Ashata	id=g:2591012
Ziona	id=g:2591013
Sape	id=g:2591014
Rafin Kwara	id=g:2591015
Fiyanko	id=g:2591016
Kupai	id=g:2591017
Kwaye	id=g:2591018
Bakin Kog	id=g:2591019
Jeje	id=g:2591020
Gidan Busa	id=g:2591021
Jijipe	id=g:2591022
Umuperepe	id=g:2591064
Umu-Ogwu	id=g:2591065
Umu-Ikume	id=g:2591066
Umueke	id=g:2591067
Isiokpo	id=g:2591068
Azumiri-Isiokpo	id=g:2591069
Umu-Chetu	id=g:2591070
Umu-Eketu	id=g:2591071
Umu-Olo	id=g:2591072
Umu-Eket	id=g:2591073
Imogwu-Agwa	id=g:2591074
Ozuaha	id=g:2591075
Aoanta	id=g:2591078
Agwa-Were	id=g:2591079
Umu-Ike	id=g:2591080
Umu-Oda	id=g:2591081
Obogo	id=g:2591082
Ahia-Eke	id=g:2591083
Ngbagidi	id=g:2591084
Umu-Igwe	id=g:2591085
Rumu-Ahunwa	id=g:2591086
Rumuafo	id=g:2591087
Rumuodogo	id=g:2591088
Obaku	id=g:2591089
Obitie	id=g:2591090
Ahiakwo	id=g:2591091
Omuochi	id=g:2591094
Isiokpo	id=g:2591098
Omuokiri	id=g:2591100
Gbo	id=g:2591101
Ola-Rumuodogo	id=g:2591102
Isiodu	id=g:2591103
Rumakunde	id=g:2591104
Orotoh	id=g:2591105
Rumualogu	id=g:2591106
Alakohia	id=g:2591107
Rumu-Okwachi	id=g:2591108
Rumu-Epeni	id=g:2591109
Nkpelu	id=g:2591110
Rumu-Aholu	id=g:2591111
Rumuafo	id=g:2591118
Kalabari Settlement	id=g:2591119
Ogbamafa	id=g:2591120
Ahia-Ahor	id=g:2591121
Rumu-Oparala	id=g:2591124
Mgbu-Oba	id=g:2591125
Egbelu	id=g:2591128
Rumu-Opirikom	id=g:2591129
Rumu-Ola	id=g:2591132
Rurowolukwo	id=g:2591133
Ruromerezigbu	id=g:2591134
Osugu Creek	id=g:2591135
Dialafiari Creek	id=g:2591136
Rumuokani	id=g:2591137
Ahiankwo	id=g:2591138
Nkpo	id=g:2591139
Rumu-Ome	id=g:2591140
Rumu-Olumene	id=g:2591141
Orowokwo-Woji	id=g:2591142
Nkbuodahia	id=g:2591143
Mgbuosimiri	id=g:2591144
Ngbetchurukiri	id=g:2591145
Okpo	id=g:2591146
Sama Creek	id=g:2591147
Sonomailameni-Boko Creek	id=g:2591148
Diminabokiri	id=g:2591149
Etibiligbologbo	id=g:2591150
Diepreye	id=g:2591151
Mujidiaya Creek	id=g:2591152
Okirika	id=g:2591153
Gulakiri	id=g:2591154
Bokobokiri	id=g:2591155
Abalama Creek	id=g:2591156
Krakrama	id=g:2591157
Opudegema	id=g:2591158
Degema Hulk	id=g:2591159
Ikwake	id=g:2591160
Alumirir-Isiokpo	id=g:2591161
Tudun Wada	id=g:2591172
Kabobo	id=g:2591173
Ungwan Magawata	id=g:2591176
Munboude	id=g:2591177
Tungan Madaki	id=g:2591179
Jama an Sani Baka	id=g:2591180
Rigachikun Forest Reserve	id=g:2591187
Randage	id=g:2591188
Afaka Forest Reserve	id=g:2591189
Ungwan Ma Aji	id=g:2591190
Mashigi	id=g:2591191
Ungwan Dandaba	id=g:2591192
Kurmin Mashi	id=g:2591193
Abakpa	id=g:2591194
Ungwar Shanu	id=g:2591195
Tudun Nupawa	id=g:2591196
Ungwan Tama	id=g:2591197
Mashi	id=g:2591198
Ungwan Bado	id=g:2591199
Rimi	id=g:2591200
Ungwan Rimi	id=g:2591201
Sangote	id=g:2591348
Adediran	id=g:2591349
Idiapa	id=g:2591350
Igbo	id=g:2591351
Epo	id=g:2591352
Oworinde	id=g:2591353
Onifa	id=g:2591354
Ajana	id=g:2591355
Iseke	id=g:2591356
Japota	id=g:2591357
Alase	id=g:2591358
Gogo	id=g:2591359
Odusi	id=g:2591360
Olutayo	id=g:2591361
Tosa	id=g:2591362
Olusami	id=g:2591363
Base	id=g:2591364
Olayiki	id=g:2591365
Idi Ope	id=g:2591366
Idi Ito	id=g:2591367
Elegun	id=g:2591368
Japata	id=g:2591369
Adimu	id=g:2591370
Ogunleye	id=g:2591371
Ojokoburu	id=g:2591372
Balogun	id=g:2591373
Ojele	id=g:2591374
Omonije	id=g:2591375
Elero	id=g:2591376
Eyeade	id=g:2591377
Ogunlofi	id=g:2591378
Ajani	id=g:2591379
Olora	id=g:2591380
Ojoja	id=g:2591381
Olode	id=g:2591382
Onako	id=g:2591383
Abaodo	id=g:2591384
Agboye Loko	id=g:2591385
Agbegun	id=g:2591386
Akinpelu	id=g:2591387
Lambienu	id=g:2591388
Lakanpo	id=g:2591389
Asawo	id=g:2591390
Odofin	id=g:2591391
Aiyetoro	id=g:2591392
Kolade	id=g:2591393
Amao	id=g:2591394
Agboye	id=g:2591395
Elebolo	id=g:2591396
Dapo	id=g:2591397
Amodu	id=g:2591398
Agure	id=g:2591399
Sulu	id=g:2591400
Ogogo	id=g:2591401
Eleko	id=g:2591402
Abudu	id=g:2591403
Asipa	id=g:2591404
Ajitose	id=g:2591405
Panu	id=g:2591406
Adekunle	id=g:2591407
Aderibigbe	id=g:2591408
Ajingode	id=g:2591409
Bello	id=g:2591410
Adio	id=g:2591411
Oyekan	id=g:2591412
Arafejojo	id=g:2591413
Oloke	id=g:2591414
Ajagba	id=g:2591415
Lagun	id=g:2591416
Elesan	id=g:2591417
Akande	id=g:2591418
Omoba	id=g:2591419
Akiode	id=g:2591420
Alawusa	id=g:2591421
Baba Sale	id=g:2591422
Ologunde	id=g:2591423
Alagbe	id=g:2591424
Eleti	id=g:2591425
Ayinde	id=g:2591426
Mafikuyomi	id=g:2591427
Ojerinde	id=g:2591428
Ajawa	id=g:2591429
Eleiyele	id=g:2591430
Agoye	id=g:2591431
Adamaroko	id=g:2591432
Ape	id=g:2591433
Disu	id=g:2591434
Ajele	id=g:2591435
Omotunde	id=g:2591436
Olukotun	id=g:2591437
Lakanle	id=g:2591438
Jagun	id=g:2591439
Oke Lagan	id=g:2591440
Olomitutu	id=g:2591441
Lalere	id=g:2591442
Osa	id=g:2591443
Alabata	id=g:2591444
Ona	id=g:2591445
Molade	id=g:2591446
Dakeja	id=g:2591447
Taiwo	id=g:2591448
Aba Odan	id=g:2591449
Panu	id=g:2591450
Idi Emi	id=g:2591451
Idisin	id=g:2591452
Adiope	id=g:2591453
Popo Ola	id=g:2591454
Sale	id=g:2591455
Idiroko	id=g:2591456
Safejo	id=g:2591457
Akinde	id=g:2591458
Olubodi	id=g:2591459
Jarija	id=g:2591460
Ajibade	id=g:2591461
Agbonrin	id=g:2591462
Olakunle	id=g:2591463
