Hobo Lake	id=g:4996170
Karm Drain	id=g:4997826
Mount Kallio	id=g:4997827
Kart Creek	id=g:4997828
Karrs Corner	id=g:4997829
Kasson Cemetery	id=g:4997830
Kasson Center School	id=g:4997831
Township of Kasson	id=g:4997832
Kassuba Lake	id=g:4997833
Katakitckon Indian Village	id=g:4997834
Kates Bay	id=g:4997835
Kates Bay Cemetery	id=g:4997836
Kates Lake	id=g:4997837
Katherine Lake	id=g:4997838
Kathryn Park	id=g:4997839
Katie Lake	id=g:4997840
Kauffman Bay	id=g:4997841
Kaufman Drain	id=g:4997842
Kaufman Drain	id=g:4997843
Kaski Lake	id=g:4997844
Kauslers Island	id=g:4997845
Kawalski Drain	id=g:4997846
International Academy of Saginaw	id=g:4997847
Kaweck Drain	id=g:4997848
Kawkawlin	id=g:4997849
Kawkawlin Creek	id=g:4997850
Lake Kawbawgam	id=g:4997851
Kawkawlin Oil Field	id=g:4997852
Kawkawlin River	id=g:4997853
Kawkawlin Creek Flooding	id=g:4997854
Kawkawlin Village School	id=g:4997855
Township of Kawkawlin	id=g:4997856
Ke-wag-a-wan Lake	id=g:4997857
Keans Detroit Yacht Harbor	id=g:4997858
Township of Kearney	id=g:4997859
Kearsarge	id=g:4997860
Kearsley Creek	id=g:4997861
Kawkawlin River Church	id=g:4997862
Kearsley Park	id=g:4997863
Kearsley Reservoir	id=g:4997864
Keating School	id=g:4997865
Kedron Drain	id=g:4997866
Kearsley High School	id=g:4997867
Keego Harbor	id=g:4997868
City of Keego Harbor	id=g:4997869
Keel Ridge Mine	id=g:4997870
Keelans Corner	id=g:4997871
Keeler	id=g:4997872
Keeler Lake	id=g:4997873
Keeler School	id=g:4997874
Township of Keeler	id=g:4997875
Keelo Creek	id=g:4997876
Keefer Cemetery	id=g:4997877
Keene Stewart Drain	id=g:4997878
Township of Keene	id=g:4997879
Keeney Cemetery	id=g:4997880
Keeney Lake	id=g:4997881
Keewahdin	id=g:4997882
Lake Keewaydin	id=g:4997883
Kefalake Camp	id=g:4997884
Keidan School	id=g:4997885
Keidan School	id=g:4997886
Keinath Drain	id=g:4997887
Keith School	id=g:4997888
Kelchner Drain	id=g:4997889
Keenan Marine	id=g:4997890
Kelderhouse Cemetery	id=g:4997891
Kelland Drain	id=g:4997892
Kellar and Riga Drain	id=g:4997893
Kellar Drain	id=g:4997894
Kellar Park	id=g:4997895
Kellars Corners	id=g:4997896
Keller Drain	id=g:4997897
Kelley Creek	id=g:4997898
Kelden	id=g:4997899
Kelley Drain	id=g:4997900
Kelley Drain	id=g:4997901
Kelley Playground	id=g:4997902
Kelleys Airport	id=g:4997903
Kellie Creek	id=g:4997904
Kellogg Biological Preserve	id=g:4997905
Kellogg Community College	id=g:4997906
Kellogg Drain	id=g:4997907
Kellogg Junior High School	id=g:4997908
Kellogg Lake	id=g:4997909
Kellogg Lake	id=g:4997910
Kellogg Lake	id=g:4997911
Kellogg Lake	id=g:4997912
Kellogg Lookout Tower	id=g:4997913
Kellogg Park	id=g:4997914
Kellogg School	id=g:4997915
Kelloggs Bridge	id=g:4997916
Kelloggsville East School	id=g:4997917
Kelloggsville High School	id=g:4997918
Kelloggsville Northwest School	id=g:4997919
Kelloggsville Christian School	id=g:4997920
Kelloggsville Southeast School	id=g:4997921
Discovery High School	id=g:4997922
Kells	id=g:4997923
Kellwood School	id=g:4997924
Kelly Branch	id=g:4997925
Kelly Cemetery	id=g:4997926
Kelly Creek	id=g:4997927
Kelley Drain	id=g:4997928
Kelly Drain	id=g:4997929
Kelly Doty Drain	id=g:4997930
Kelly Drain	id=g:4997931
Kelly Drain	id=g:4997932
Kelly Hills	id=g:4997933
Kelly Junior High School	id=g:4997934
Kelly Lake	id=g:4997935
Kelly Lake	id=g:4997936
Kelly Lake	id=g:4997937
Kelly Lake	id=g:4997938
Kelly Lake	id=g:4997939
Kelly Lake Drain	id=g:4997940
Kelly Drain	id=g:4997941
Kelly Point	id=g:4997942
Kelly School	id=g:4997943
Kelly School	id=g:4997944
Kelsey Creek	id=g:4997945
Kelly Park	id=g:4997946
Kelsey Creek	id=g:4997947
Kelsey Lake	id=g:4997948
Kelsey Lake	id=g:4997949
Kelso Creek	id=g:4997950
Kelsey Lake	id=g:4997951
Kelso River	id=g:4997952
Kelso Junction	id=g:4997953
Kemp Creek	id=g:4997954
Kemp Drain	id=g:4997955
Kemp Lake	id=g:4997956
Kempaien Lake	id=g:4997957
Kemperman Lake	id=g:4997958
Kempf Lake	id=g:4997959
Kempf School	id=g:4997960
Kemps Point	id=g:4997961
Kempton Drain	id=g:4997962
Kemp Drain	id=g:4997963
Ken-Mar Lodge	id=g:4997964
Ken-O-Sha Park	id=g:4997965
Ken-O-Sha Park School	id=g:4997966
Kenabeek Creek	id=g:4997967
Kempton School	id=g:4997968
Kendall	id=g:4997969
Kendall Marsh	id=g:4997970
Kendall School	id=g:4997971
Kendalville Lake	id=g:4997972
Kendon Elementary School	id=g:4997973
Kenfield Drain	id=g:4997974
Kennedy Annex School	id=g:4997975
Phoenix High School	id=g:4997976
Kennedy Drain	id=g:4997977
Kennedy Lake	id=g:4997978
Kennedy Lake	id=g:4997979
Kennedy Lake	id=g:4997980
Kennedy Lake	id=g:4997981
Kennedy Lake	id=g:4997982
Kennedy Park	id=g:4997983
Kennedy Park	id=g:4997984
Kennedy School	id=g:4997985
Kennedy School	id=g:4997986
Kennedy School	id=g:4997987
Kenner Drain	id=g:4997988
Kenbrook School	id=g:4997989
Kenneth Hayward Airport	id=g:4997990
Kenney Drain	id=g:4997991
Kenny School	id=g:4997992
Keno	id=g:4997993
Kenobo Lake	id=g:4997994
Kenockee School (historical)	id=g:4997995
Township of Kenockee	id=g:4997996
Kenosha Lake	id=g:4997997
Kenowa Hills High School	id=g:4997998
Kensington Metropolitan Park	id=g:4997999
Kensington Park	id=g:4998000
Kensington School	id=g:4998001
Kent City	id=g:4998002
Kent Corners	id=g:4998003
Kent Country Club	id=g:4998004
Kent County	id=g:4998005
Gerald R. Ford International Airport	id=g:4998006
Kent County Vocational School	id=g:4998007
Kent Hills School	id=g:4998008
Kent Industrial Center	id=g:4998009
Kent Lake	id=g:4998010
Kent Memorial Gardens	id=g:4998011
Kent Oaks Hospital	id=g:4998012
Kenton	id=g:4998013
Kenton Cemetery	id=g:4998014
Kenton District Ranger Office	id=g:4998015
Kentucky	id=g:4998016
Kentucky Lake	id=g:4998017
Kentwood	id=g:4998018
Crestwood Middle School	id=g:4998019
Southwood Elementary School	id=g:4998020
City of Kentwood	id=g:4998021
Kenwood Heritage Park	id=g:4998022
Kenwood Park	id=g:4998023
Kenwood School	id=g:4998024
Kenwood School	id=g:4998025
Kenyon Bay	id=g:4998026
Kenyon Lake	id=g:4998027
Kenyon Lake	id=g:4998028
Keopfgen Lake	id=g:4998029
Kepler Lake	id=g:4998030
Keppen School	id=g:4998031
Keranen Creek	id=g:4998032
Kenneth	id=g:4998033
Kerby Field	id=g:4998034
Kerby Field	id=g:4998035
Kern Cemetery	id=g:4998036
Kern Playground	id=g:4998037
Kern School	id=g:4998038
Kerr Cemetery	id=g:4998039
Kerr Creek	id=g:4998040
Kerby	id=g:4998041
Kerr Hill	id=g:4998042
Kerr Lake	id=g:4998043
Kerston Station	id=g:4998044
Kerswill Lake	id=g:4998045
Kesler Lake	id=g:4998046
Kessington	id=g:4998047
Kessler Lake	id=g:4998048
Kester Drain	id=g:4998049
Kerr Drain	id=g:4998050
Ketcham Drain	id=g:4998051
Keswick	id=g:4998052
Ketchum Creek	id=g:4998053
Ketchum Lake	id=g:4998054
Kettering High School	id=g:4998055
Kettering School	id=g:4998056
Kettle Lake	id=g:4998057
Kettle Lake	id=g:4998058
Kettle Lake School	id=g:4998059
Kettle Lake Swamp	id=g:4998060
Kew	id=g:4998061
Kewadin	id=g:4998062
Keweenaw Bay	id=g:4998063
Keweenaw Bay	id=g:4998064
Keweenaw Bay Cemetery	id=g:4998065
Keweenaw Bay Tribal Center	id=g:4998066
Keweenaw County	id=g:4998067
Keweenaw County Park	id=g:4998068
Keweenaw National Historical Park	id=g:4998069
Keweenaw Peninsula	id=g:4998070
Keweenaw Point	id=g:4998071
Keweenaw Waterway	id=g:4998072
Key School	id=g:4998073
The Keyhole	id=g:4998074
Keystone Bay	id=g:4998075
Keystone Point	id=g:4998076
Keystone Pond	id=g:4998077
Kibbie	id=g:4998078
Kibbie Chapel	id=g:4998079
Kibbie Corners	id=g:4998080
Kibbie School	id=g:4998081
Kibby Creek	id=g:4998082
Ketchum Park	id=g:4998083
Kickapoo Lake	id=g:4998084
Kidder Field Heliport	id=g:4998085
Kidder School	id=g:4998086
Kidder School	id=g:4998087
Kiddville Dam	id=g:4998088
Kidney Creek	id=g:4998089
Kibler Lake	id=g:4998090
Kidney Lake	id=g:4998091
Kids Creek	id=g:4998092
Kidney Lake	id=g:4998093
Kiernan	id=g:4998094
Kilborn School	id=g:4998095
Kilborne Lake	id=g:4998096
Kilgus Branch	id=g:4998097
Kiefer Park	id=g:4998098
Killarney Lake	id=g:4998099
Killarney Point	id=g:4998100
Killdeer Creek	id=g:4998101
Killarney Beach	id=g:4998102
Killenbeck Drain	id=g:4998103
Killmaster	id=g:4998104
Killpatrick Drain	id=g:4998105
Kilmanagh	id=g:4998106
Kilmanagh Church	id=g:4998107
Kilp Lake	id=g:4998108
Kilpatrick Church	id=g:4998109
Kilpatrick Lake	id=g:4998110
Kilpecker Creek	id=g:4998111
Killdeer Lake	id=g:4998112
Kilwy Cemetery	id=g:4998113
Kimball	id=g:4998114
Kimball Calvary Gospel Church	id=g:4998115
Kimball Camp	id=g:4998116
Kimball Cemetery	id=g:4998117
Kimball Drain	id=g:4998118
Kimball High School	id=g:4998119
Kimball Lake	id=g:4998120
Kimball Lake School	id=g:4998121
Kimball Location	id=g:4998122
Kimball Sanitorium	id=g:4998123
Kimball School	id=g:4998124
Kimball Stadium	id=g:4998125
Kimball Township Park	id=g:4998126
Township of Kimball	id=g:4998127
Kimberley Creek	id=g:4998128
Kilty Point	id=g:4998129
Kimberly Creek	id=g:4998130
Kimberly Clark Lookout Tower	id=g:4998131
Kimble County Park	id=g:4998132
Kimble Lake	id=g:4998134
Kimble Lake	id=g:4998135
Kimes Lake	id=g:4998136
Kinawa Middle School	id=g:4998137
Kinde	id=g:4998138
Kindell Drain	id=g:4998139
Kimberly Park	id=g:4998140
Township of Kinderhook	id=g:4998141
Kindleberger Park	id=g:4998142
King Cemetery	id=g:4998143
King Creek	id=g:4998144
Kinderhook	id=g:4998145
King Drain	id=g:4998146
King Drain	id=g:4998147
King Drain	id=g:4998148
King Creek	id=g:4998149
King Drain	id=g:4998150
King Drain	id=g:4998151
King Lake	id=g:4998152
King Lake	id=g:4998153
King Lake	id=g:4998154
King Lake	id=g:4998155
King Lake	id=g:4998156
King Lake Cemetery	id=g:4998157
King Lookout Tower	id=g:4998158
King Pond	id=g:4998159
King School	id=g:4998160
King School	id=g:4998161
King School	id=g:4998162
King School	id=g:4998163
King School	id=g:4998164
King Trout Airport	id=g:4998165
King of Kings Church	id=g:4998166
Kingdom Hall	id=g:4998167
Kingdom Hall	id=g:4998168
Kingdom Hall	id=g:4998169
Kingdom Hall	id=g:4998170
Kingdom Hall	id=g:4998171
Kingdom Hall	id=g:4998172
Kingdom Hall	id=g:4998173
Kinglet Creek	id=g:4998174
King Lake	id=g:4998175
Kings Corner	id=g:4998176
Kings Corners	id=g:4998177
Kings Creek	id=g:4998178
Kingman Museum	id=g:4998179
Kings Marsh	id=g:4998180
Kings Mill	id=g:4998181
Kings Mill	id=g:4998182
Kings Point	id=g:4998183
Kings Pond	id=g:4998184
Kings Ponds	id=g:4998185
Kingsbury Creek	id=g:4998186
Kings Landing	id=g:4998187
Kingsbury School	id=g:4998188
Kingsford	id=g:4998189
Kingsford Heights School	id=g:4998190
City of Kingsford	id=g:4998191
Kingsford-Quinnesec Cemetery	id=g:4998192
Kingsland	id=g:4998193
Kingsley	id=g:4998194
Kingsley	id=g:4998195
Kingsley Lookout Tower	id=g:4998196
Kingston	id=g:4998197
Kingston Cemetery	id=g:4998198
Kingston Lake	id=g:4998199
Kingston Plains	id=g:4998200
Kingston Pond	id=g:4998201
Township of Kingston	id=g:4998202
Kingswood School	id=g:4998203
Kinloch School	id=g:4998204
Kinne Drain	id=g:4998205
Kinneville	id=g:4998206
Kinney	id=g:4998207
Kinney Cemetery	id=g:4998208
Kinney Creek	id=g:4998209
Kingsbury Oil Company	id=g:4998210
Kinney Creek	id=g:4998211
Kinney Creek	id=g:4998212
Kinney Drain	id=g:4998213
Kinney Lake	id=g:4998214
Kinney School	id=g:4998215
Kinney School	id=g:4998216
Kinney School	id=g:4998217
Kinney School	id=g:4998218
Kinnickinnic Creek	id=g:4998219
Kinney Drain	id=g:4998220
Kinross Lake	id=g:4998221
Kinross Tower	id=g:4998222
Charter Township of Kinross	id=g:4998223
Kinsey Lake	id=g:4998224
Kinsman Drain	id=g:4998225
Kintz Creek	id=g:4998226
Kinwamakwad Lake	id=g:4998227
Kinyon Cemetery	id=g:4998228
Kinyon Lake	id=g:4998229
Kipling	id=g:4998230
Kipper School	id=g:4998231
Kipple Creek	id=g:4998232
Kinross	id=g:4998233
Kirby Creek	id=g:4998234
Kirby Creek	id=g:4998235
Kirby Church	id=g:4998236
Kirby Lake	id=g:4998237
Kirby Lake	id=g:4998238
Kirby Lake	id=g:4998239
Kirby School	id=g:4998240
Kirby School	id=g:4998241
Kirch Drain	id=g:4998242
Kirchner Lake	id=g:4998243
Kirk Lake	id=g:4998244
Kirk Lake	id=g:4998245
Kirk Lake	id=g:4998246
Kirk of Our Savior	id=g:4998247
Kirkham Drain	id=g:4998248
Kirby Drain	id=g:4998249
Kirkridge Church	id=g:4998250
Kirktown Creek	id=g:4998251
Kirkland Lake	id=g:4998252
Kirkwood School	id=g:4998253
Kirsch Municipal Airport	id=g:4998254
Kissinger Creek	id=g:4998255
Kirkwood Lake	id=g:4998256
Kistlers Corners	id=g:4998257
Kitchens Creek	id=g:4998258
Kistlers Corner	id=g:4998259
Kitchie Cemetery	id=g:4998260
Kitchners Lake	id=g:4998261
Kits Creek	id=g:4998262
Kitchie Cemetery	id=g:4998263
Kittle Cemetery	id=g:4998264
Kittle Cemetery	id=g:4998265
Kittle Lake	id=g:4998266
Kittridge Cemetery	id=g:4998267
Kitty Ann Creek	id=g:4998268
Kitten Lake	id=g:4998269
Kiwanis Park	id=g:4998270
Kiwanis Park	id=g:4998271
Kiwanis Park	id=g:4998272
Kjaringa Kjeft	id=g:4998273
Klacking Creek	id=g:4998274
Kiva	id=g:4998275
Klauss Drain	id=g:4998276
Kleber Dam	id=g:4998277
Klees Cemetery	id=g:4998278
Klees Pond	id=g:4998279
Klegstads Slough	id=g:4998280
Klein Street School	id=g:4998281
Kleinart Drain	id=g:4998282
Kleinke County Park	id=g:4998283
Kleinstuck Marsh	id=g:4998284
Klinck Lakes	id=g:4998285
Kline Cemetery	id=g:4998286
Kline Creek	id=g:4998287
Township of Klacking	id=g:4998288
Klinger Lake	id=g:4998289
Klinger Lake Country Club	id=g:4998290
Klingers	id=g:4998291
Klingville	id=g:4998292
Klix School	id=g:4998293
Kloeckner and Fuller Creek	id=g:4998294
Klingaman Lake	id=g:4998295
Klondike Creek	id=g:4998296
Kloman Lake	id=g:4998297
Klutes Lakes	id=g:4998298
Knap Creek	id=g:4998299
Klondike Lake	id=g:4998300
Knapp Cutoff Drain	id=g:4998301
Knapp Drain	id=g:4998302
Knapp Cemetery	id=g:4998303
Forest Hills Central Middle School	id=g:4998304
Knapp Street Church	id=g:4998305
Knappen Creek	id=g:4998306
Knapp Drain	id=g:4998307
Knauss Cemetery	id=g:4998308
Knave Creek	id=g:4998309
Knause School	id=g:4998310
Kneebone Creek	id=g:4998311
Knave Lake	id=g:4998312
Kneeland Branch	id=g:4998313
Kneeland	id=g:4998314
Kneff Lakes	id=g:4998315
Kneff Lakes Campground	id=g:4998316
Knicker Bocker School	id=g:4998317
Knickerbocker Lake	id=g:4998318
Kniebes Cemetery	id=g:4998319
Kniffin Drain	id=g:4998320
Kneeland Drain	id=g:4998321
Knight Drain	id=g:4998322
Knight Lake	id=g:4998323
Knight School	id=g:4998324
Knights Mill	id=g:4998325
Kniss Lake	id=g:4998326
Knob Cemetery	id=g:4998327
Knob Lake	id=g:4998328
Knobhill Cemetery	id=g:4998329
Knoll School	id=g:4998330
Knollwood Country Club	id=g:4998331
Knollwood Park	id=g:4998332
Knowland Lake	id=g:4998333
Knowles Creek	id=g:4998334
Knight Bay	id=g:4998335
Knowles Lake	id=g:4998336
Knowlton Lake	id=g:4998337
Knox Creek	id=g:4998338
Knox Field	id=g:4998339
Knox Lake	id=g:4998340
Knox Swamp	id=g:4998341
Knudsen Junior High School	id=g:4998342
Knust Drain	id=g:4998343
Knowles Drain	id=g:4998344
Knute Creek	id=g:4998345
Knuth Creek	id=g:4998346
Knutsen Lake	id=g:4998347
Knutson Creek	id=g:4998348
Koch Warner Drain	id=g:4998349
Kochville	id=g:4998350
Kochville Drain	id=g:4998351
Kochville and Branches Drain	id=g:4998352
Kochville and Frankenlust Drain	id=g:4998353
Kochville Church	id=g:4998354
Koehler Cemetery	id=g:4998355
Township of Koehler	id=g:4998356
Koester Lakes	id=g:4998357
Kolb Drain	id=g:4998358
Kolb Park	id=g:4998359
Kolb School	id=g:4998360
Kolke Creek	id=g:4998361
Township of Kochville	id=g:4998362
Kollen Park	id=g:4998363
Kollen School	id=g:4998364
Kolping Park	id=g:4998365
Kona Hills	id=g:4998366
Konteka Creek	id=g:4998367
Koll Drain	id=g:4998368
Koon School	id=g:4998369
Koops Creek	id=g:4998370
Kontio Lake	id=g:4998371
Kopp School	id=g:4998372
Kortio Lake	id=g:4998373
Kosciusko School	id=g:4998374
Kosciuszko School	id=g:4998375
Koski Lake	id=g:4998376
Koski Pond	id=g:4998377
Koss	id=g:4998378
Koss Creek	id=g:4998379
Kope Kon Point	id=g:4998380
Kostlenick Creek	id=g:4998381
Kowalski Drain	id=g:4998382
Township of Koylton	id=g:4998383
Krafft School	id=g:4998384
Krafts Lake	id=g:4998385
Krainz Park	id=g:4998386
Township of Krakow	id=g:4998387
Kramer Drain	id=g:4998388
Kramer School	id=g:4998389
Kramp Drain	id=g:4998390
Koylton Church	id=g:4998391
Krampe Park	id=g:4998392
Kranz Drain	id=g:4998393
Krapf Drain	id=g:4998394
Kratt Lakes	id=g:4998395
Krause Cemetery	id=g:4998396
Krauth Lake	id=g:4998397
Kregg Bay	id=g:4998398
Krenerick Cemetery	id=g:4998399
Krepps School	id=g:4998400
Kreusel Drain	id=g:4998401
Krampe Lake	id=g:4998402
Krobath Cabin	id=g:4998403
Krohn Drain	id=g:4998404
Krolick School	id=g:4998405
Krouse Lake	id=g:4998406
Krueger Drain	id=g:4998407
Krum Cemetery	id=g:4998408
Krum Park	id=g:4998409
Kruse Drain	id=g:4998410
Kryst Pond	id=g:4998411
Kubitz Ditch	id=g:4998412
Kuhn Hill	id=g:4998413
Kuhn Lake	id=g:4998414
Kuhn Lake	id=g:4998415
Kujawa or Burg Lake	id=g:4998416
Kukuk Drain	id=g:4998417
Kriewall Strip	id=g:4998418
Kunschke Lake	id=g:4998419
Kunze Creek	id=g:4998420
Kukura Creek	id=g:4998421
Kurtz	id=g:4998422
Kurtz Creek	id=g:4998423
Kunze Lake	id=g:4998424
Kurtz School	id=g:4998425
Kuznick Creek	id=g:4998426
Kurtz Drain	id=g:4998427
Kyle Lake	id=g:4998428
Kyro Church	id=g:4998429
L D Ranch Airport	id=g:4998430
L'Anse	id=g:4998431
L'Anse Bay	id=g:4998432
L'Anse Reservation	id=g:4998433
Township of L'Anse	id=g:4998434
L'anse Creuse Bay	id=g:4998435
L'anse Creuse High School	id=g:4998436
Point La Barbe	id=g:4998437
La Crone Playground	id=g:4998438
La Grange	id=g:4998439
Township of LaGrange	id=g:4998440
La Mora School	id=g:4998441
La Salle	id=g:4998442
La Salle	id=g:4998443
La Salle	id=g:4998444
La Salle High School	id=g:4998445
La Salle Park	id=g:4998446
Township of La Salle	id=g:4998447
Lake LaBarge	id=g:4998448
LaBlanc Field	id=g:4998449
LaBranche	id=g:4998450
LaCrosse Lake	id=g:4998451
LaFayette Landing	id=g:4998452
LaFayette Mine	id=g:4998453
LaFayette Peak	id=g:4998454
LaPorte Creek	id=g:4998455
Kvidera Lake	id=g:4998456
LaSalle Landing	id=g:4998457
LaSalle School	id=g:4998458
LaStrange Lake	id=g:4998459
Laakso Lake	id=g:4998460
Labadie Drain	id=g:4998461
Labadie School	id=g:4998462
Labarge	id=g:4998463
Labozinski Drain	id=g:4998464
LaRock Cabins	id=g:4998465
Lac La Belle	id=g:4998466
Lac La Belle Marina	id=g:4998467
Lac La Belle Resort	id=g:4998468
Lacey	id=g:4998469
Lacey Creek	id=g:4998470
Labre Creek	id=g:4998471
Lachine	id=g:4998472
Lachman School	id=g:4998473
Lacomb Bay	id=g:4998474
Lacore Lake	id=g:4998475
Lacota	id=g:4998476
Lacota Cemetery	id=g:4998477
Lacota Church	id=g:4998478
Lacure School	id=g:4998479
Lacy Lake	id=g:4998480
Lada Airport	id=g:4998481
Ladd Center School	id=g:4998482
Ladd Creek	id=g:4998483
Lacey Lake	id=g:4998484
Ladner Cemetery	id=g:4998485
Ladner Creek	id=g:4998486
Ladd School	id=g:4998487
Ladue Lake	id=g:4998488
Lady of Guadalupe Mission	id=g:4998489
Ladywood High School	id=g:4998490
Lafayette Cemetery	id=g:4998491
Lafayette Church	id=g:4998492
Lafayette Plaisance	id=g:4998493
Lafayette Point	id=g:4998494
Lafayette School	id=g:4998495
Township of Lafayette	id=g:4998496
Laferre School	id=g:4998497
Lafferty Lake	id=g:4998498
Lafler School	id=g:4998499
Lagoon Beach	id=g:4998500
Lahser High School	id=g:4998501
Lahti Creek	id=g:4998502
Ladoga	id=g:4998503
Laing	id=g:4998504
Laing School	id=g:4998505
Laingsburg	id=g:4998506
City of Laingsburg	id=g:4998507
Laird Cemetery	id=g:4998508
Laird Creek	id=g:4998509
Laidlaw Cemetery	id=g:4998510
Township of Laird	id=g:4998511
Lake	id=g:4998512
Lake Adrian	id=g:4998513
Lake Allegan	id=g:4998514
Lake Angeline	id=g:4998515
Lake Angelus	id=g:4998516
City of Lake Angelus	id=g:4998517
Lake Ann	id=g:4998518
Lake Ann Camp	id=g:4998519
Lake Ann Cemetery	id=g:4998520
Lake Ann Elementary School	id=g:4998521
Lake Antoine Park	id=g:4998522
Lake Besser	id=g:4998523
Lake Bluff	id=g:4998524
Lake Braemar	id=g:4998525
Lake Branch	id=g:4998526
Lake Cemetery	id=g:4998527
Lake Cemetery	id=g:4998528
Lake Center Church	id=g:4998529
Lake Center School	id=g:4998530
Lake Chapin	id=g:4998531
City of Lake City	id=g:4998532
Lake City	id=g:4998533
Lake City Cemetery	id=g:4998534
Lake County	id=g:4998535
Lake Creek	id=g:4998536
Laird Lake	id=g:4998537
Lake Desor Campground (historical)	id=g:4998538
Lake Doster Golf Club	id=g:4998539
Lake Drain	id=g:4998540
Lake Emma Lookout Tower	id=g:4998541
Lake Erie Metropark Marina	id=g:4998542
Lake Fenton	id=g:4998543
West Shore Elementary School	id=g:4998544
Lake Fenton School	id=g:4998545
Lake Fifteen Creek	id=g:4998546
Lake Crest Church	id=g:4998547
Lake Four Outlet	id=g:4998548
Lake Forest Cemetery	id=g:4998549
Lake George	id=g:4998550
Lake Gitchegumee	id=g:4998551
Lake Gogebic	id=g:4998552
Lake Henson	id=g:4998553
Lake Hills School	id=g:4998554
Lake Huron Beach	id=g:4998555
Lake Huron Camp	id=g:4998556
Lake IHM	id=g:4998557
Lake Independence	id=g:4998558
Lake Inez	id=g:4998559
Lake Isabella	id=g:4998560
Lake Isabella Airpark	id=g:4998561
Lake James	id=g:4998562
Lake Land Hills Golf Club	id=g:4998563
Lakeland School	id=g:4998564
Lake Lansing Church	id=g:4998565
Lake Lapeer	id=g:4998566
Lake Leelanau	id=g:4998567
Lake Lesage Cemetery	id=g:4998568
Lake Linden	id=g:4998569
Lake Lorraine	id=g:4998570
Lake Louise Church	id=g:4998571
Lake Margrethe	id=g:4998572
Lake Metamora	id=g:4998573
Lake Michigan Beach	id=g:4998574
Lake Michigan Campground	id=g:4998575
Lake Michigan College	id=g:4998576
Lake Michigan College	id=g:4998577
Lake Michigan Yacht Club	id=g:4998578
Lake Mine	id=g:4998579
Lake Mine	id=g:4998580
Lake Minnawanna	id=g:4998581
Lake Number Ten	id=g:4998582
Lake Odessa	id=g:4998583
Lake Ogemaw	id=g:4998584
Lake Olga Auto Tour Point of Interest	id=g:4998585
Lake Olga Recreation Site	id=g:4998586
Lake Orion	id=g:4998587
Lake Orion Heights	id=g:4998588
Lake Orion High School	id=g:4998589
Lake Orion Junior High School	id=g:4998590
Lake Orion School	id=g:4998591
Lake Orion United Methodist Church	id=g:4998592
Lake Ottawa Recreation Area	id=g:4998593
Lake Outlet	id=g:4998594
Lake Ovid	id=g:4998595
Lake Richie Campground	id=g:4998596
Lake Richie Trail	id=g:4998597
Lake Ridge Cemetery	id=g:4998598
Lake Roland	id=g:4998599
Lake Sally	id=g:4998600
Lake School	id=g:4998601
Lake School	id=g:4998602
Lake School	id=g:4998603
Lake School	id=g:4998604
Lake School	id=g:4998605
Norton Elementary School	id=g:4998606
Lake Shore Cemetery	id=g:4998607
Lake Shore Cemetery	id=g:4998608
Lake Shore High School	id=g:4998609
Roosevelt Elementary School	id=g:4998610
Lake Shore School	id=g:4998611
Lake Shore Ski Club	id=g:4998612
Lake Shore Yacht Club Harbor	id=g:4998613
Lake Sainte Kathryn Campground	id=g:4998614
Lake Superior Campground	id=g:4998615
Lake Superior Park	id=g:4998616
Lake Superior State University	id=g:4998617
Lake Superior State Forest	id=g:4998618
Lake Superior Yacht Yard	id=g:4998619
Lake Thirteen Creek	id=g:4998620
Lake Genesareth	id=g:4998621
Lake View Cemetery	id=g:4998622
Lake View Cemetery	id=g:4998623
Lake View Cemetery	id=g:4998624
Lake View Cemetery	id=g:4998625
Lake View Cemetery	id=g:4998626
Lake Windaga	id=g:4998627
Lake Winyah	id=g:4998628
Lake of the Hills	id=g:4998629
Lake of the North Airport	id=g:4998630
Lake of the Woods Drain	id=g:4998631
Lake Victoria	id=g:4998632
Bay Lake	id=g:4998633
Charter Township of Lake	id=g:4998634
Township of Lake	id=g:4998635
Township of Lake	id=g:4998636
Township of Lake	id=g:4998637
Township of Lake	id=g:4998638
Township of Lake	id=g:4998639
Township of Lake	id=g:4998640
Township of Lake	id=g:4998641
Lakefield	id=g:4998642
Lakefield Cemetery	id=g:4998643
Lakefield Cemetery	id=g:4998644
Lakefield Church	id=g:4998645
Township of Lakefield	id=g:4998646
Township of Lakefield	id=g:4998647
Lakefront Park	id=g:4998648
Lakeland	id=g:4998649
Lakeland Church	id=g:4998650
Lakeland Church	id=g:4998651
Lakeland Post Office (historical)	id=g:4998652
Lakeland School	id=g:4998653
Lakeport	id=g:4998654
Lakeport State Park	id=g:4998655
Lakes Camp	id=g:4998656
Lakes School	id=g:4998657
Lakeshore Church	id=g:4998658
Lakeshore Church	id=g:4998659
Lakeshore High School	id=g:4998660
Lakeshore Junior High School	id=g:4998661
Lakeshore Terminal and Pipeline Company	id=g:4998662
Lakeshore Trail	id=g:4998663
Lakeside	id=g:4998664
Lakeside	id=g:4998665
Lakeside	id=g:4998666
Lakeside Airport	id=g:4998667
Lakeside Camp	id=g:4998668
Lakeside Cemetery	id=g:4998669
Lakeside Cemetery	id=g:4998670
Lakeside Cemetery	id=g:4998671
Lakeside Cemetery	id=g:4998672
Lakeside Cemetery	id=g:4998673
Lakeside Cemetery	id=g:4998674
