Kal Gāh	id=g:129197
Rūdkhāneh-ye Jūb Āsīāb	id=g:129982
Khūy Bazm	id=g:129983
Āb Bārīk	id=g:129984
Jūbajī	id=g:129985
Jūbādeh	id=g:129986
Joznīn Zarghāmī	id=g:129987
Joznīn Bolbolū	id=g:129988
Tūt	id=g:129989
Jowzū	id=g:129990
Jowzjān	id=g:129991
Jowzī	id=g:129992
Jowz-e Langarī	id=g:129993
Jowzchāl	id=g:129994
Jūjergān	id=g:129995
Jūzār Jāvīd	id=g:129996
Jowzār	id=g:129997
Jowzār	id=g:129998
Ārpā Darrehsī	id=g:129999
Jowzār	id=g:130000
Jowzān-e Nūkī	id=g:130001
Jowzān	id=g:130002
Jowzān	id=g:130003
Jūzīr	id=g:130004
Jowzān	id=g:130005
Jowzak	id=g:130006
Jowz	id=g:130007
Jūbādām	id=g:130008
Jowkān	id=g:130009
Jowshīrvān	id=g:130010
Jowshīn	id=g:130011
Jowsheqān-e Qālī	id=g:130012
Jūsheqān-e Estark	id=g:130013
Jūshqān	id=g:130015
Jowshān	id=g:130016
Jūryāb	id=g:130017
Jowrvandī	id=g:130018
Jūrvand	id=g:130019
Chow Rīz	id=g:130020
Jūranj	id=g:130021
Jowqūneh	id=g:130022
Jow-e Pā’īn	id=g:130023
Jownūsh	id=g:130024
Jūlāndeh	id=g:130025
Jow Khvāst	id=g:130026
Jow Khvāh	id=g:130027
Jow Kārān	id=g:130028
Jowkār	id=g:130029
Jowkār	id=g:130030
Jowkār-e ‘Olyā	id=g:130031
Kūh-e Jovakān	id=g:130032
Jovakān-e Pā’īn	id=g:130033
Jowharī	id=g:130034
Jūgīn	id=g:130035
Jahāgaz	id=g:130036
Jowestān	id=g:130037
Jow Darāb	id=g:130038
Jow Darreh	id=g:130039
Jūdān	id=g:130040
Rūd-e Jowchī	id=g:130041
Chāh-e Jowchī	id=g:130042
Jūbjārkol	id=g:130043
Tang-e Jowkān	id=g:130044
Jovītān	id=g:130045
Jovīn	id=g:130046
Choveys-e Yek	id=g:130048
Choveys-e Do	id=g:130049
Rūd-e Joveyn	id=g:130050
Jovestān	id=g:130051
Jortān	id=g:130052
Jorjor	id=g:130053
Ḩorjond	id=g:130054
Jorjāfak	id=g:130055
Jorjān	id=g:130056
Jorgheh	id=g:130057
Jorgeh-ye Seyyed ‘Alī	id=g:130058
Jowgaz-e Pā’īn	id=g:130059
Jozf-e ‘Olyā	id=g:130060
Jorbat	id=g:130061
Kūh-e Joqneh	id=g:130062
Jangāh	id=g:130063
Jondān	id=g:130064
Jond	id=g:130065
Janbeh	id=g:130066
Jombed	id=g:130067
Khonak	id=g:130068
Jenāḩ	id=g:130069
Jomhūrī	id=g:130070
Jom‘ehlū	id=g:130071
Jamār Jān	id=g:130072
Jalambādān	id=g:130073
Jalmājerd-e Jadīd	id=g:130074
Jolleyn	id=g:130075
Jolgeh-ye Khalaj	id=g:130076
Jolgeh-ye Khalaj-e ‘Olyā	id=g:130077
Jolgeh	id=g:130078
Jolgeh	id=g:130079
Īstgāh-e Jolfā	id=g:130080
Jolfā	id=g:130081
Joldar	id=g:130082
Jolbar	id=g:130083
Jokleh Bandān	id=g:130084
Jokak	id=g:130085
Joghrī	id=g:130086
Joghdī	id=g:130087
Jaghdar	id=g:130088
Jakadān	id=g:130089
Kūhhā-ye Jaghnās̄ī	id=g:130090
Joghatāy	id=g:130091
Joft Rūd	id=g:130092
Joft Balūţ-e ‘Olyā	id=g:130093
Rūdkhāneh-ye Khoftān	id=g:130094
Kūh-e Joftān	id=g:130095
Kūh Joftān	id=g:130096
Joftān	id=g:130097
Jofreh-ye Mo‘īnī	id=g:130098
Jowfeyr	id=g:130099
Jodāqayah	id=g:130100
Jedā	id=g:130101
Jofdol-e Pā’īn	id=g:130102
Jītū	id=g:130103
Chītī	id=g:130104
Jīsqān	id=g:130105
Jīroft	id=g:130106
Jīrkūyeh	id=g:130107
Jīrī-ye Soflá	id=g:130108
Jīrīā	id=g:130109
Jīrī-ye ‘Olyā	id=g:130110
Jīrgūrāb	id=g:130111
Jīrestān	id=g:130112
Jīrdeh (2)	id=g:130113
Jīr Deh	id=g:130114
Jīr Bāgh	id=g:130115
Jīrandeh	id=g:130116
Jīrak	id=g:130117
Jīk	id=g:130118
Jīqī	id=g:130119
Jeqeh	id=g:130120
Jīn Sū	id=g:130121
Janyān	id=g:130122
Jīn	id=g:130123
Kūh-e Jīmah	id=g:130124
Jīmābād	id=g:130125
Jīldān	id=g:130126
Jīlārd	id=g:130127
Jīlān	id=g:130128
Darreh Jīk	id=g:130129
Jījag	id=g:130130
Jeyjān Rūd	id=g:130131
Jeyḩān Kūh	id=g:130132
Jījīān	id=g:130133
Kūh-e Jegīrī	id=g:130134
Jegardān	id=g:130135
Jagīn-e Bālā	id=g:130136
Jabdaraq	id=g:130137
Ḩabībak	id=g:130138
Jīāvān	id=g:130139
Jīān	id=g:130140
Jīān	id=g:130141
Jīā	id=g:130142
Jezū	id=g:130143
Jezlān	id=g:130144
Jeyshābād	id=g:130145
Kūh-e Jeyrān Goleh	id=g:130146
Jīrangī Cham	id=g:130147
Jeyrān Bolāghī	id=g:130148
Jeyrān	id=g:130149
Jeyḩūnābād	id=g:130150
Jeyḩūnābād	id=g:130151
Jeyḩūn	id=g:130152
Jeybar-e Bozorg	id=g:130153
Jey	id=g:130154
Jevenjān	id=g:130156
Jestūyeh	id=g:130157
Jeshnīān	id=g:130158
Jeshnīān	id=g:130159
Jarīā	id=g:130160
Kalāgh Jīrū	id=g:130161
Jermī	id=g:130162
Jerjīs-e Peyghambar	id=g:130163
Jerjīs	id=g:130164
Jereh	id=g:130165
Jerbānlū	id=g:130166
Jerā	id=g:130167
Jeq Jeq-e Bālā	id=g:130168
Jīn Ţarāqayah	id=g:130169
Tappeh-ye Jennī	id=g:130170
Kamar-e Jennī	id=g:130171
Jenjān	id=g:130172
Rūdkhāneh-ye Jangābād	id=g:130173
Darreh-ye Jendīneh	id=g:130174
Jenāqerd	id=g:130175
Kūh-e Jelowgīr	id=g:130176
Kāl-e Jelowgīr	id=g:130177
Jelow Gīr	id=g:130178
Jelowgīr	id=g:130179
Jelowgīr	id=g:130180
Tang-e Jelow	id=g:130181
Tang-e Jelow	id=g:130182
Jelow	id=g:130183
Jelīn-e ‘Olyā	id=g:130184
Jek Nār	id=g:130185
Tang Gahrāb	id=g:130186
Jehjeh	id=g:130187
Kūh-e Jehetī	id=g:130188
Jehaq-e Pā’īn	id=g:130189
Jagh-e Kūtak	id=g:130190
Jeghīr	id=g:130191
Jeghanāb	id=g:130192
Joghanāb	id=g:130193
Jaghān	id=g:130194
Jegestūn	id=g:130195
Jedāqayah	id=g:130196
Jodāqīyeh	id=g:130197
Selseleh-ye Jebāl-e ‘Ūdeh	id=g:130198
Gazvār	id=g:130200
Jozvenaq	id=g:130201
Jezvān	id=g:130202
Jezūzan	id=g:130203
Hāmūn-e Jāz Mūreyān	id=g:130204
Jāz Mūrīān	id=g:130205
Jazmūdaq	id=g:130206
Jazmeh	id=g:130207
Rūdkhāneh-ye Jozmān	id=g:130208
Jezlān Dasht	id=g:130209
Jezlā	id=g:130210
Jazīreh-ye Mīānī	id=g:130211
Jazīreh-ye Shīf	id=g:130213
Markaz-e Bārgīrī-ye Jazīreh-ye Lāvān	id=g:130214
Markaz-e Bārgīrī-ye Jazīreh-ye Khārk	id=g:130215
Khārk	id=g:130216
Jazīreh-ye Jonūbī	id=g:130217
Jazīreh-ye Shomālī	id=g:130218
Jazīn	id=g:130219
Jazīmaq	id=g:130220
Jazeh	id=g:130221
Jezeh	id=g:130222
Jezzeh	id=g:130223
Jazanaq	id=g:130224
Jeznābād	id=g:130225
Jazan	id=g:130226
Jazan	id=g:130227
Jaz	id=g:130228
Jāyezān-e Kohneh	id=g:130229
Jāyezān	id=g:130230
Zeydār	id=g:130231
Jīzom	id=g:130232
Jowzdar	id=g:130233
Jovīn	id=g:130235
Javīlān	id=g:130236
Rūdkhāneh-ye ’ūnak	id=g:130237
Javazm	id=g:130238
Javeshqān	id=g:130239
Javāsh	id=g:130240
Jāvar Tan	id=g:130241
Jāvarsīān	id=g:130242
Javarg	id=g:130243
Javārān	id=g:130244
Javānrūd	id=g:130245
Javānmardī	id=g:130246
Javānmardābād	id=g:130247
Javānmard	id=g:130248
Jāvonī	id=g:130249
Javānān-e Gorūh	id=g:130250
Javānān	id=g:130251
Kūh-e Jūnak	id=g:130252
Jovonak	id=g:130253
Javālīqān	id=g:130254
Jowkār	id=g:130255
Javāher Deh	id=g:130256
Javāher Dasht	id=g:130257
Javāherān	id=g:130258
Javādīyeh	id=g:130259
Javādīyeh	id=g:130260
Javādīyeh	id=g:130261
Javādīyeh	id=g:130262
Javādīyeh	id=g:130263
Javād Ḩeşārī	id=g:130264
Javādābād	id=g:130265
Javādābād	id=g:130266
Jetūţ	id=g:130268
Jāteh	id=g:130269
Jassānīyeh-ye Bozorg	id=g:130270
Jāsk-e Kohneh	id=g:130271
Rūdkhāneh-ye Jāsk	id=g:130272
Ra’s-e Jāsk	id=g:130273
Khowr-e Jāsk	id=g:130274
Khalīj-e Jāsk	id=g:130275
Jāsk	id=g:130276
Jashn Sarā	id=g:130277
Jashnīābād	id=g:130278
Jashnābād	id=g:130279
Kūh-e Jāshīr Kesh	id=g:130280
Kūh-e Jāshīr Kesh	id=g:130281
Kūh-e Jaryak	id=g:130283
Kūh-e Jaryak	id=g:130284
Jārū-ye Pā’īn	id=g:130285
Jārū-ye Bālā	id=g:130286
Kūh-e Jārū	id=g:130287
Jārū	id=g:130288
Jārū	id=g:130289
Jartūdeh	id=g:130290
Jarreh-ye Soflá	id=g:130291
Jarreh-ye Vostá	id=g:130292
Jarreh-ye ‘Olyā	id=g:130293
Rūd-e Jarreh	id=g:130294
Jarreh	id=g:130295
Rūdkhāneh-ye Jarrāḩī	id=g:130296
Rūdkhāneh-ye Jarrāḩī	id=g:130297
Rūd-e Jarrāḩī	id=g:130298
Jarnān	id=g:130299
Jarmosht-e Pā‘īn	id=g:130300
Garmābād	id=g:130301
Jarkān	id=g:130302
Jark	id=g:130303
Sa`īdābād-e Jerjerū	id=g:130304
Fatḩ ol Mobīn	id=g:130305
Jarīyeh	id=g:130306
Jarīskhān	id=g:130307
Jarīn	id=g:130308
Kūh-e Jarrīk	id=g:130309
Jārīān	id=g:130310
Jārīābād	id=g:130311
Jarrī	id=g:130312
Jarrī	id=g:130313
Jārehī	id=g:130314
Jordījān	id=g:130315
Yarba‘	id=g:130316
Jarāyeh	id=g:130317
Jarandaq	id=g:130318
Rūdkhāneh-ye Jarān	id=g:130319
Kūh-e Jaragī	id=g:130320
Jarāfī	id=g:130321
Kāl-e Jār	id=g:130322
Jaq Jaq	id=g:130323
Jaghdān	id=g:130324
Jā Ordū	id=g:130325
Rūdkhāneh-ye Janshūd	id=g:130326
Jānqūr	id=g:130327
Jān Qāchār	id=g:130328
Jūb Nesā	id=g:130329
Rūdkhāneh-ye Jannatābād	id=g:130330
Kūh-e Jannatābād	id=g:130331
Jannatābād	id=g:130332
Jannatābād	id=g:130333
Jannatābād	id=g:130334
Jannatābād	id=g:130335
Jannatābād	id=g:130336
Jannatābād	id=g:130337
Jannatābād	id=g:130339
Jannatābād	id=g:130340
Jannatābād	id=g:130341
Jannatābād	id=g:130342
Jannatābād	id=g:130343
Jannatābād	id=g:130344
Jannatābād	id=g:130345
Chahār Şad Dastgāh	id=g:130346
Jannatābād	id=g:130347
Jannatābād	id=g:130348
Jannatābād	id=g:130349
Jannatābād-e Gonbagī	id=g:130350
Jannatābād	id=g:130351
Jannatābād	id=g:130352
Jannat	id=g:130353
Jenjenkū	id=g:130354
Janjālābād	id=g:130356
Jānī Beyglū	id=g:130357
Jeq Janīb	id=g:130358
Jānīābād	id=g:130359
Jānīābād	id=g:130360
Jānīābād	id=g:130361
Jānīābād	id=g:130362
Changū	id=g:130363
Jangī	id=g:130364
Jangeh	id=g:130365
Jongīyeh	id=g:130366
Chāh-e Jāngerd	id=g:130367
Dowjangān	id=g:130368
Jān Gān	id=g:130369
Chāh-e Jangal Tū’ī	id=g:130370
Jangal Jāz	id=g:130371
Jangeh-ye Soflá	id=g:130372
Jangeh-ye ‘Olyā	id=g:130373
Jangal-e Gharbī	id=g:130374
Tappeh-ye Jangal	id=g:130375
Chāh-e Jangal	id=g:130376
Jangal	id=g:130377
Jangal	id=g:130378
Jangal-e `Alīreẕā	id=g:130379
Jangal	id=g:130380
Jangal	id=g:130381
Kūh-e Jangā	id=g:130382
Jān Darreh	id=g:130383
Chendār-e Qavī	id=g:130384
Jandaq	id=g:130385
Jandak	id=g:130386
Jandāb	id=g:130387
Jondāb	id=g:130388
Chambūk	id=g:130389
Jān Aḩmad	id=g:130390
Jamz	id=g:130391
Jamsī	id=g:130392
Jamshīdābād	id=g:130393
Jamshīdābād	id=g:130394
Jamshīdābād	id=g:130395
Jamshīdābād	id=g:130396
Jamrak	id=g:130397
Chāmqān	id=g:130398
Jām Khāneh	id=g:130399
Jam Jūd	id=g:130400
Rūdkhāneh-ye Jāmīshān	id=g:130401
Jeyheh	id=g:130402
Jamīlābād	id=g:130403
Jammī	id=g:130404
Jamghārī	id=g:130405
Jamkarān	id=g:130406
Jāmeshlū	id=g:130407
Jāmeh Shūrān	id=g:130408
Jām Bozorgī	id=g:130409
Jambarjūg	id=g:130410
Rūdkhāneh-ye Jāmāsh	id=g:130411
Jamālū-ye Now	id=g:130412
Jamāl Pā’īn	id=g:130413
Jamālkeh	id=g:130414
Zā’er Ḩoseyn-e Jamālī	id=g:130415
Kūh-e Jamālī	id=g:130416
Kūh-e Jamālī	id=g:130417
Jamālī	id=g:130418
Jamāl-e Bālā	id=g:130419
Kūh-e Jamāl Āvā	id=g:130420
Jamāl Aḩmad-e Bālā	id=g:130421
Jamālābād-e Soflá	id=g:130422
Jamālābād-e ‘Olyā	id=g:130423
Jamālābād-e Do Kūhak	id=g:130424
Jamālābād	id=g:130425
Jamālābād	id=g:130426
Jamālābād	id=g:130427
Jamālābād	id=g:130428
Jamālābād	id=g:130429
Jamālābād-e Nez̧āmīvand	id=g:130430
Jamālābād	id=g:130431
Jamālābād	id=g:130432
Jamālābād	id=g:130433
Jamālābād	id=g:130434
Jamālābād	id=g:130435
Jamālābād	id=g:130436
Jamālābād	id=g:130437
Jamālābād	id=g:130438
Jamālābād	id=g:130439
Jamālābād	id=g:130440
Kūh-e Jamāt	id=g:130441
Kamar-e Jamal	id=g:130442
Jamābād	id=g:130444
Jam Āb	id=g:130445
Rūd-e Jam	id=g:130446
Chāh-e Jām	id=g:130447
Jām	id=g:130448
Jām	id=g:130449
Jam‘	id=g:130450
Jam	id=g:130451
Jannat Makān	id=g:130452
Kūh-e Jallād	id=g:130453
Rūdkhāneh-ye Jallābī	id=g:130454
Jalābī	id=g:130455
Jalīzī-ye Sharqī	id=g:130456
Jalīleh	id=g:130457
Jalīlābād-e Sar Mūrd	id=g:130458
Jalīlābād	id=g:130459
Jalīlābād	id=g:130460
Jalīlābād	id=g:130461
Jalīlābād	id=g:130462
Jalīlābād	id=g:130463
Jalīlābād	id=g:130465
Jalīl	id=g:130466
Jalīkān-e Bālā	id=g:130467
Jalīyeh	id=g:130468
Jalī‘eh	id=g:130469
Jelī‘eh	id=g:130470
Jelīān	id=g:130471
Jelīz Jand	id=g:130472
Jaleh	id=g:130473
Cham-e Jaldīān	id=g:130474
Jaldīān	id=g:130475
Jeldeh Bākhān	id=g:130476
Jalāyer	id=g:130477
Jalāyer	id=g:130478
Jalāyer	id=g:130479
Jalārān	id=g:130480
Jalāllū	id=g:130481
Jalālīyeh	id=g:130482
Jalālīyeh	id=g:130483
Şadr-e Jalālīyeh	id=g:130484
Jalālīyeh	id=g:130485
Jalālīyeh	id=g:130486
Jalālī	id=g:130487
Jalālī	id=g:130488
Jalālī	id=g:130489
Jalāl	id=g:130490
Jalāleh	id=g:130491
Jalālābād-e Now	id=g:130492
Jalālābād	id=g:130493
Jalālābād	id=g:130494
Jalālābād	id=g:130495
Jalālābād	id=g:130496
Jalālābād	id=g:130497
Jalālābād	id=g:130498
Jalālābād	id=g:130499
Jalālābād	id=g:130500
Jalālābād	id=g:130501
Jalālābād	id=g:130502
Jalālābād	id=g:130503
Jalālābād	id=g:130504
Jalālābād	id=g:130505
Jalālābād	id=g:130506
Jalālābād	id=g:130507
Jalālābād	id=g:130508
Jalīlābād	id=g:130509
Jalālābād	id=g:130511
Jalālābād	id=g:130512
Jalakbar	id=g:130513
Jalā Dāgh	id=g:130514
Tang-e Jalābī	id=g:130515
Darreh Jākī	id=g:130516
Chekak	id=g:130517
Darreh Jak	id=g:130518
Jak	id=g:130519
Jājū	id=g:130520
Rūdkhāneh-ye Jājrūd	id=g:130521
Jājrūd	id=g:130522
Kūh-e Jājarmī	id=g:130523
Jājarm	id=g:130524
Jājang	id=g:130525
Jājān	id=g:130526
Jā'īnak	id=g:130527
Kūh-e Jā’īn	id=g:130528
Jā’īn	id=g:130529
Jāhyad	id=g:130530
Jahrom	id=g:130531
Jahreh	id=g:130532
Rūdkhāneh-ye Jahr	id=g:130533
Jahr	id=g:130534
Jahmān	id=g:130535
Johlū	id=g:130536
Jahlīzak	id=g:130537
Jahlā	id=g:130538
Jeh Jeh	id=g:130539
Jahīdū	id=g:130540
Jaghdarī	id=g:130541
Janbolāq	id=g:130542
Kūh-e Jahāz Khāneh	id=g:130543
Gahaq-e Bālā	id=g:130544
Jahānshāhī	id=g:130545
Jahānshāhī	id=g:130546
Jahānshāhābād	id=g:130547
Jahān Qal`eh	id=g:130548
Cheshmeh-ye Jahān ol Molk	id=g:130549
Jahān Namā	id=g:130550
Jā Morgh	id=g:130551
Jahān Khvosh	id=g:130552
Qīām	id=g:130553
Jahāngīr Khānī	id=g:130554
Kūh-e Jahāngīr Khān	id=g:130555
Ḩowz-e Jahāngīr Khān	id=g:130556
Jahāngīrābād	id=g:130557
Jahāngīrābād	id=g:130558
Kūh-e Jahān Dāghī	id=g:130559
Kūh-e Jahānbīn	id=g:130560
Āb-e Jahānbīn	id=g:130561
Jahānābād	id=g:130562
Jahānābād	id=g:130563
Jahānābād-e Afshārīeh	id=g:130564
Jahānābād	id=g:130565
Jahānābād	id=g:130566
Jahānābād	id=g:130567
Jahānābād	id=g:130568
Jahānābād	id=g:130569
Jahānābād	id=g:130570
Jahānābād	id=g:130571
Jahānābād	id=g:130572
Jahānābād	id=g:130573
Jahānābād	id=g:130574
Jahānābād	id=g:130575
Jahānābād	id=g:130576
Jahānābād	id=g:130577
Jagīn-e Zīr	id=g:130578
Jagīn	id=g:130579
Jagīn-e Bālā	id=g:130580
Rūdkhāneh-ye Jagīn	id=g:130581
Jagī	id=g:130582
Kūh-e Jāgh Jāgh	id=g:130583
Āb-e Jāgh Jāgh	id=g:130584
Rūdkhāneh-ye Jaghīn	id=g:130585
Dabestān-e Jaghīn	id=g:130586
Jaghīn	id=g:130587
Jāgharq	id=g:130588
Choghār Chū’īyeh	id=g:130589
Rūdkhāneh-ye Jaghān	id=g:130590
Kūh-e Joghān	id=g:130591
Jaghān	id=g:130592
Jagestān	id=g:130593
Jagard	id=g:130594
Jaganlū	id=g:130595
Jagā	id=g:130596
Jagān	id=g:130597
Kūh-e Chaftāb	id=g:130598
Jefrūd-e Bālā	id=g:130599
Jafrīz	id=g:130600
Jafreh-ye ‘Ellatbāsh	id=g:130601
Jāf Bar-e Sīmīn	id=g:130602
Ja‘farebn	id=g:130603
Ja`farīyeh	id=g:130604
Rūdkhāneh-ye Ja‘farī	id=g:130605
Rūdkhāneh-ye Ja‘farī	id=g:130606
Khvor-e Ja‘farī	id=g:130607
Ja`farī	id=g:130608
Ja‘farī-ye ‘Olyā	id=g:130609
Ja‘far-e Sādeq	id=g:130610
Jaffāl-e Pā’īn	id=g:130611
Joghghāl-e Bālā	id=g:130612
Ja‘farak	id=g:130613
Ja‘farābād	id=g:130614
Ja‘farābād-e Pā’īn	id=g:130615
Ja‘farābād-e Soflá	id=g:130616
Ja‘farābād	id=g:130617
Ja‘farābād	id=g:130618
Ja‘farābād-e Pā’īn	id=g:130619
Ja‘farābād	id=g:130620
Ja‘farābād-e ‘Olyā	id=g:130621
Ja‘farābād	id=g:130622
Ja‘farābād	id=g:130623
Ja‘farābād	id=g:130624
Ja‘farābād	id=g:130625
Ja‘farābād	id=g:130626
Ja‘farābād	id=g:130627
Ja`farābād	id=g:130628
Ja‘farābād	id=g:130629
Ja‘farābād	id=g:130630
Ja‘farābād	id=g:130631
Ja`farābād	id=g:130632
Ja‘farābād	id=g:130633
Ja‘farābād	id=g:130634
Ja‘farābād	id=g:130635
Zāre‘ābād	id=g:130636
Ja‘farābād	id=g:130637
Ja‘farābād-e Soflá	id=g:130638
Ja‘farābād-e Pā’īn	id=g:130639
Ja‘farābād	id=g:130640
Ja‘farābād	id=g:130641
Ja`farābād	id=g:130642
Ja`farābād	id=g:130643
Ja`farābād	id=g:130645
Ja‘farābād	id=g:130646
Ja‘farābād	id=g:130647
Ja‘farābād	id=g:130648
Ja`farābād	id=g:130649
Ja`farābād	id=g:130650
Ja‘farābād	id=g:130651
Ja‘farābād-e Nūq	id=g:130652
Ja‘farābād	id=g:130653
Ja‘farābād	id=g:130654
Ja`farābād	id=g:130655
Ja‘farābād	id=g:130656
Ja‘farābād	id=g:130657
Ja‘farābād	id=g:130658
Ja‘farābād	id=g:130659
Ja‘farābād	id=g:130660
Emāmzādeh Ja‘far	id=g:130661
Emāmzādeh Ja‘far	id=g:130662
Emāmzādeh Ja‘far	id=g:130663
Ja‘far	id=g:130664
Ja‘far	id=g:130665
Jadval Now	id=g:130666
Jadval-e Now	id=g:130667
Jadval-e Torkī	id=g:130668
Jadval-e Now	id=g:130669
Jadval-e Now	id=g:130670
Jadval-e Now	id=g:130671
Jadīr	id=g:130672
Jadīd	id=g:130673
Ḩadas	id=g:130674
Kūh-e Jāddeh Rīg-e Dam-e Rāh	id=g:130675
Jāydasht	id=g:130676
Jābūz	id=g:130677
Ra’s-e Jabrīn	id=g:130678
Jabrīn	id=g:130679
Ra’s-e Jabrī	id=g:130680
Jabrī	id=g:130681
Jabrī	id=g:130682
Jebre’īlān	id=g:130683
Jebre’īl	id=g:130684
Jāberī	id=g:130685
Jāber Ḩamdān	id=g:130686
Jāber-e ‘Olyā	id=g:130687
Jabbār Sū	id=g:130688
Kūh-e Jabbār	id=g:130689
Jābān	id=g:130690
Jabal-e Anārūyeh	id=g:130691
Jabalābād	id=g:130692
Bāmdezh Ja‘āvoleh	id=g:130693
Īzmān-e Pā’īn	id=g:130694
Īzmān-e ‘Olyā	id=g:130695
Qal‘eh-ye Īzī	id=g:130696
Īz̄eh	id=g:130697
Īz Deh-e Pā’īn	id=g:130698
Īzdeh-e Bāzārsar	id=g:130699
Īrar	id=g:130700
Rūdkhāneh-ye Īzad Khvāst	id=g:130701
Īzad Khvāst	id=g:130702
Īzad Khvāst	id=g:130703
Īzadīyeh	id=g:130704
Īzadābād	id=g:130705
Īzadābād	id=g:130706
Īzadābād	id=g:130707
Īdel	id=g:130708
Īveh	id=g:130709
Īvāsk	id=g:130710
Kūh-e Īvard	id=g:130711
Abūrā‘	id=g:130712
Īvar	id=g:130713
Īvar	id=g:130714
Eyvaq	id=g:130715
Īvaydeh	id=g:130716
Īvandeh	id=g:130717
Īvand	id=g:130718
Īvak	id=g:130719
Īvaj	id=g:130720
Kūh-e Īt Ūjān	id=g:130721
Īlān Darreh	id=g:130722
‘Īsvand	id=g:130723
Īstu Chāh	id=g:130724
Īstī Sū	id=g:130725
Īstī Bolāgh	id=g:130726
Īstgāh-e Soheyl	id=g:130727
Īstgāh-e Rāh Āhan-e Nā’īn	id=g:130728
Īstgāh-e Mehrābād	id=g:130729
Īstgāh-e Jājarm	id=g:130730
Īstgāh-e Jahānābād	id=g:130731
Īshgeh Sū	id=g:130733
Eshaqlū	id=g:130734
Īshān	id=g:130735
Eshakchī	id=g:130736
‘Īsá Beyglū	id=g:130737
‘Īsáābād	id=g:130738
Kūh-e `Īsáābād Fīrūz	id=g:130739
‘Īsáābād	id=g:130740
‘Īsáābād	id=g:130741
‘Īsáābād	id=g:130742
‘Īsáābād	id=g:130743
‘Īsáābād	id=g:130744
Īrveh	id=g:130745
Īrī-ye Soflá	id=g:130746
Īrī-ye Bālā	id=g:130747
Īrīn	id=g:130748
Īrī Dāgh	id=g:130749
Īrī Chāy	id=g:130750
Gardaneh-ye Īrī	id=g:130751
Īrdī Mūsá	id=g:130752
Tīlkū	id=g:130753
Īrānshahr	id=g:130754
Īrāneh	id=g:130755
Īrānaq	id=g:130756
Īrānābād	id=g:130757
Islamic Republic of Iran	id=g:130758
Īrajīyeh	id=g:130759
Īraj	id=g:130760
Īrāj	id=g:130761
Īrā	id=g:130762
Īnjār	id=g:130763
Īnekak-e Zīrānā	id=g:130764
Engak	id=g:130765
Kamar-e Īndal	id=g:130766
Īncheh-ye Rahbarī	id=g:130767
Īncheh	id=g:130768
Īncheh-ye Bālā	id=g:130769
Darreh Dīz Chāy	id=g:130770
Īncheh Borūn	id=g:130771
Rūd-e Īncheh	id=g:130772
Īncheh	id=g:130773
Īncheh Sū’ī	id=g:130774
Kūh-e Īnchah Darreh	id=g:130775
Īnāq	id=g:130776
Īmeshjeh	id=g:130777
Īmar	id=g:130778
Kāl-e Īmānī	id=g:130779
Īmānābād	id=g:130780
Kūh-e Īlvak	id=g:130781
Īlūd	id=g:130782
Kūh-e Īlū	id=g:130783
Īlkhechī	id=g:130784
Īlkhchī	id=g:130785
Ma‘dan-e Īlkā	id=g:130786
Īljāq	id=g:130787
Īlīāt	id=g:130788
Īlqaneh Chāy	id=g:130789
Īl-e Būyer Aḩmadī	id=g:130790
Īdah Līk	id=g:130791
Pol Chūpān	id=g:130792
Kūh-e Īlchī	id=g:130793
Īlchī	id=g:130794
Īlbegī	id=g:130795
Īlard	id=g:130796
Īlānlū	id=g:130797
Īlān Kash	id=g:130798
Rūdkhāneh-ye Īlān Darreh	id=g:130799
Īlān	id=g:130800
Ostān-e Īlām	id=g:130801
Īlām	id=g:130802
Īl	id=g:130803
Ījūb	id=g:130804
Kūh-e Ījand	id=g:130805
Ījānī	id=g:130806
Īj	id=g:130807
Īch	id=g:130808
Īj	id=g:130809
Īgel	id=g:130810
Īlī Bolāgh	id=g:130811
Īgdīr	id=g:130812
Īdīr-e Pā'īn	id=g:130813
Īdalū	id=g:130814
Īdahlū	id=g:130815
Īdah	id=g:130816
Eydanak	id=g:130817
Īdalū	id=g:130819
Īch	id=g:130820
Hoveyzeh	id=g:130821
Hūyeh	id=g:130822
Hūvehrū	id=g:130823
Tang-e Hūtāsān	id=g:130824
Hūtak	id=g:130825
Hūtak	id=g:130826
Hūshūt	id=g:130827
Hūshūshāt	id=g:130828
Hūshkū’īyeh	id=g:130829
Band-e Hūshdān Kūh	id=g:130830
Hūshdān	id=g:130831
Hūshābī	id=g:130832
Hūshangābād	id=g:130833
Hūsh	id=g:130834
Hūsh	id=g:130835
Hūrz	id=g:130836
Rūdkhāneh-ye Hūr	id=g:130837
Kūh-e Hūrsīān	id=g:130838
Kūh-e Hūrow	id=g:130839
Hūr or Rashīd	id=g:130840
Hūr ol Chāseb	id=g:130841
Hūr ol Chāseb	id=g:130842
Ḩūranjūn	id=g:130843
Hermūdar	id=g:130844
Ḩūr Moqān-e Pā’īn	id=g:130845
Ḩūr Moqān-e Bālā	id=g:130846
Ḩormeh	id=g:130847
Hūramah	id=g:130848
Deh Dīvān	id=g:130849
Howrīk	id=g:130850
’ūr-e Khūnī	id=g:130851
Hūreh	id=g:130852
Hūreh	id=g:130853
Hūrānd	id=g:130854
Chāh-e Hūr	id=g:130855
