Al Qusum	id=g:173315
Aḩraş	id=g:174146
Jabal al Ahrām	id=g:174147
Wādī al Aḩmar	id=g:174148
Wādī Bi’r al Aḩmar	id=g:174149
Wādī al Aḩmar	id=g:174150
Tall al Aḩmar	id=g:174151
Tall al Aḩmar	id=g:174152
Tall al Aḩmar	id=g:174153
Tall al Aḩmar	id=g:174154
Tall al Aḩmar	id=g:174155
Tall al Aḩmar	id=g:174156
Tall al Aḩmar	id=g:174157
Tall al Aḩmar	id=g:174158
Tall al Aḩmar	id=g:174159
Tall Aḩmar	id=g:174160
Rām al Aḩmar	id=g:174161
Jabal al Aḩmar	id=g:174162
Jabal al Aḩmar	id=g:174163
Ḑahr al Aḩmar	id=g:174164
Bi’r Aḩmad Jarrāḩ	id=g:174165
Aḩmadīyah	id=g:174166
Aḩmadīyah	id=g:174167
Bi’r Aḩmad ‘Alī	id=g:174168
Aḩmad al Hallāl	id=g:174169
Wādī Aḩmad	id=g:174170
Tall Aḩmad	id=g:174171
Tall Aḩmad	id=g:174172
‘Āhirah	id=g:174173
Tall Aghbar	id=g:174174
Tall Afyūn	id=g:174175
‘Afw al Jiḩār	id=g:174176
Tiyās ‘Afw	id=g:174177
Tall al ‘Afw	id=g:174178
Aftrīs	id=g:174179
‘Afşūnīyah	id=g:174180
‘Afsh	id=g:174181
‘Ayn al ‘Afşah	id=g:174182
Minţaqat ‘Afrīn	id=g:174184
‘Afrīn	id=g:174185
‘Afrīn	id=g:174186
‘Afrīn	id=g:174187
Afrah	id=g:174188
Shārat ‘Aflah	id=g:174189
Bi’r ‘Aflah	id=g:174190
Afis	id=g:174191
Jabal Afā‘ī	id=g:174192
Tall al ‘Adwānīyah	id=g:174193
Tall ‘Adwānīyah	id=g:174194
Sha‘īb ‘Adwānīyah	id=g:174195
‘Adwān	id=g:174196
‘Adwān	id=g:174197
Ḑahr al ‘Adūl	id=g:174198
Wādī ‘Adrā	id=g:174199
Sahl ‘Adrā	id=g:174200
‘Adrā	id=g:174201
Adlīn	id=g:174202
Wādī al ‘Adīmah	id=g:174203
Wādī Adīmā	id=g:174204
Shārat Adīmā	id=g:174205
Jabal Adīmā	id=g:174206
Adīm	id=g:174207
‘Ādilīyah	id=g:174208
Adh Dhubaybīnī	id=g:174209
Adh Dhahabīyah	id=g:174210
Adh Dhahabīyah	id=g:174211
Adhār	id=g:174212
Sudd ‘Adhab	id=g:174213
Ad Duwayrah	id=g:174214
Ad Duwayr	id=g:174215
Ad Duwayr	id=g:174216
Ad Duwayr	id=g:174217
Ad Duwayr	id=g:174218
Ad Duwayr	id=g:174219
Ad Duwayminah	id=g:174220
Ad Duwaylīyah	id=g:174221
Ad Duwaybah	id=g:174222
Ad Dūsah	id=g:174223
Ad Dūsah	id=g:174224
Ad Durūqīyah	id=g:174225
Ad Durs	id=g:174226
Ad Durayj	id=g:174227
Ad Dūrah	id=g:174228
‘Ad Dūr	id=g:174229
Ad Duqqārah	id=g:174230
Ad Dulbah	id=g:174231
Ad Dulaybāt	id=g:174232
Ad Dukaykah	id=g:174233
Aḑ Ḑuhūr	id=g:174234
Ad Dughayrāt	id=g:174235
Ad Dubayqah	id=g:174236
Ad Diyātah	id=g:174237
Ad Diqqār	id=g:174238
Ad Dīmās	id=g:174239
Ad Dayy	id=g:174240
Ad Dayrūnah	id=g:174241
Ad Dayr	id=g:174242
Ad Daymūs	id=g:174243
‘Addāyah	id=g:174244
Ad Daww	id=g:174245
Ad Dāwūdīyah	id=g:174246
Ad Dawshah	id=g:174247
Ad Dawsarīyah	id=g:174248
Ad Dashāghīyah	id=g:174249
Ad Dar‘īyah	id=g:174250
Ad Dardārah	id=g:174251
Ad Dardārah	id=g:174252
Ad Dār al Kabīrah	id=g:174253
Ad Daraj	id=g:174254
Ad Dārah	id=g:174255
Ad Daqqāqah	id=g:174256
Ad Dandānīyah	id=g:174257
Ad Danbīyah	id=g:174258
Ad Dānā	id=g:174259
Ad Dānā	id=g:174260
Ad Dāmāt	id=g:174261
Ad Dālī	id=g:174262
Ad Dalhamīyah	id=g:174263
Ad Dala	id=g:174264
Ad Dakkah	id=g:174265
Aḑ Ḑahr	id=g:174266
Aḑ Ḑahr	id=g:174267
Ad Daḩl	id=g:174268
Ad Daḩl	id=g:174269
Aḑ Ḑāhirīyah	id=g:174270
Ad Daḩdāḩ	id=g:174271
Wādī al ‘Addād	id=g:174272
Bi’r al ‘Addād	id=g:174273
Aḑ Ḑab‘ah	id=g:174274
Wādī Adbéssé	id=g:174275
Wādī al ‘Adas	id=g:174276
Jabal al ‘Adas	id=g:174277
Bi’r al ‘Adas	id=g:174278
Wādī al Adamah	id=g:174279
Adabāt	id=g:174280
Wādī al Abyaḑ	id=g:174281
Wādī al Abyaḑ	id=g:174282
Wādī al Abyaḑ	id=g:174283
Wādī al Abyaḑ	id=g:174284
Wādī al Abyaḑ	id=g:174285
Wādī al Abyaḑ	id=g:174286
Wādī al Abyaḑ	id=g:174287
Wādī al Abyaḑ	id=g:174288
Wādī al Abyaḑ	id=g:174289
Wādī al Abyaḑ	id=g:174290
Wādī al Abyaḑ	id=g:174291
Tall al Abyaḑ	id=g:174292
Tall al Abyaḑ	id=g:174293
Tall al Abyaḑ	id=g:174294
Tall al Abyaḑ	id=g:174295
Tall al Abyaḑ	id=g:174296
Rujm al Abyaḑ	id=g:174297
Qārat Abyaḑ	id=g:174298
Nahr al Abyaḑ	id=g:174299
Jubb al Abyaḑ	id=g:174300
Jabal al Abyaḑ	id=g:174301
Jabal al Abyaḑ	id=g:174302
Jabal al Abyaḑ	id=g:174303
Jabal al Abyaḑ	id=g:174304
Jabal Abyaḑ	id=g:174305
Fayḑāt Abyaḑ	id=g:174306
Ḑahr al Abyaḑ	id=g:174307
Bi’r al Abyaḑ	id=g:174308
Ghadīr Abū Zu‘rūr	id=g:174309
Abū Zurayqīyah	id=g:174310
Abū Zurayq	id=g:174311
Wādī Abū Zughrāt	id=g:174312
Tall Abū Z̧arīfah	id=g:174313
Bi’r Abū Zallah	id=g:174314
Abū Yazīd al Bustānī	id=g:174315
Tall Abū Yazīd	id=g:174316
‘Ayn Abū ‘Uthmān	id=g:174317
Tall Abū ‘Urūq	id=g:174318
Abū ‘Umar	id=g:174319
Abū ‘Ubaydah al Jarrāḩ	id=g:174320
Abū Ţuwayqīyah	id=g:174321
Jabal Abū Tuwayjīyah	id=g:174322
Bi’r Abū Tūtah	id=g:174323
Tall Abū Ţumays	id=g:174324
Abū Ţuḩayjah	id=g:174325
Bi’r Abū Tīnah	id=g:174326
Abū Tīnah	id=g:174327
Abū Ţawīl	id=g:174328
Abū Ţāsh	id=g:174329
Abū Ţarrāḩah	id=g:174330
Bi’r Abū Tanak	id=g:174331
Abū Ţalţal	id=g:174332
Abū Ţalḩah	id=g:174333
Abū Ţabbah	id=g:174334
Abū Ţabaq	id=g:174335
Abū Ţabābīr	id=g:174336
Abū Su‘ūd	id=g:174337
‘Uyūn Abū Sunaysil	id=g:174338
Tall Abū Sunaysil	id=g:174339
Tall Abū Sourra	id=g:174340
Jabal Abū Sīrī	id=g:174341
Abū Sidrah	id=g:174342
Wādī Abū Sīd	id=g:174343
Khirbat Abū Shimāyah	id=g:174344
Ţāḩūn Abū Shiblī	id=g:174345
Wādī Abū Shaylam	id=g:174346
Abū Shaylam	id=g:174347
Tall Abū Shaykhāt	id=g:174348
Ḑahr Abū Shaykhāt	id=g:174349
Wādī Abū Sharshūḩ	id=g:174350
Tall Abū Sharshūḩ	id=g:174352
Bi’r Abū Sharshūḩ	id=g:174353
Abū Sharjī	id=g:174354
Tall Abū Shanādir	id=g:174355
Abū Shalmān	id=g:174356
Abū Shallah	id=g:174357
Wādī Abū Shajarah	id=g:174358
Tall Abū Shajarah	id=g:174359
Jabal Abū Shajarah	id=g:174360
Wādī Abū Shahrī	id=g:174361
Bi’r Abū Sha‘af	id=g:174362
Tall Abū Sarāb	id=g:174363
Jabal Abū Sanad	id=g:174364
Wādī Abū Sanābil	id=g:174365
Bi’r Abū Sanābil	id=g:174366
Abū Samrah	id=g:174367
Jabal Abū Samīd	id=g:174368
Wādī Abū Sālim	id=g:174369
Ḑahr Abū Salīm	id=g:174370
Bi’r Abū Şalāḩ	id=g:174371
Wādī Abū Sa‘īd	id=g:174372
Nahr Abū Sa‘īd	id=g:174373
Abū Sa‘īd	id=g:174374
Tall Abū Sa‘fān	id=g:174375
Abū Şafā’iḩ	id=g:174376
Ghadīr Abū Şafā	id=g:174377
Tall Abū Rummān	id=g:174378
Wādī Abū Rujūm	id=g:174379
Jabal Abū Rujmayn	id=g:174380
Abū Rujm	id=g:174381
Tall Abū Rubayş	id=g:174382
Abū Rubayş	id=g:174383
Abū Rubayş	id=g:174384
Abū Ru’ayl	id=g:174385
Abū Rimāl	id=g:174386
Tall Abū Rhitar	id=g:174387
Abū Rhatté	id=g:174388
Abū Rāmī	id=g:174389
Abū Raḩbah	id=g:174390
Jabal Abū Rabāḩ	id=g:174391
Tall Abū Quşaybah	id=g:174392
Wādī Abū Qurayţūn	id=g:174393
Tall Abū Qulayb	id=g:174394
Wādī Abū Qubays	id=g:174395
Abū Qubays	id=g:174396
Abū Qubays	id=g:174397
Tall Abū Qelli	id=g:174398
Bi’r Abū Qa‘ţūr	id=g:174399
Abū Qa‘ţūr	id=g:174400
Bi’r Abū Qaţţāsh	id=g:174401
Abū Qaşā’ib	id=g:174402
Abū Qanţarah	id=g:174403
Tall Abū Qannāş	id=g:174404
Bi’r Abū Qanāţir	id=g:174405
Nahr Abū Qalqal	id=g:174406
Abū Qalqal	id=g:174407
Wādī Abū Qal‘ah	id=g:174408
Abū Qabr	id=g:174409
Tall Abū Qabārah	id=g:174410
Abū Naytūlah	id=g:174411
Wādī Abū Nayţal	id=g:174412
Bi’r Abū Nayţal	id=g:174413
Abū Naţūlīyah	id=g:174414
Qulb Abū Murayr	id=g:174415
Tall Abū Muḩammad	id=g:174416
Abū Misannatayn	id=g:174417
Khirbat Abū Mirtī	id=g:174418
Arḑ Abū Mīrī	id=g:174419
Abū Mīkhā’īl	id=g:174420
Qulb Abū Maţar	id=g:174421
Abū Marw	id=g:174422
Abū Marw	id=g:174423
Bi’r Abū Marih	id=g:174424
Abū Marès	id=g:174425
Abū Maqbarah aş Şaghīrah	id=g:174426
Abū Maqbarah al Kabīrah	id=g:174427
Abū Mannsaf	id=g:174428
Abū Mandīl	id=g:174429
Abū Makkah	id=g:174430
Abū Makkah	id=g:174431
Tall Abū Maghārah	id=g:174432
Abū Layl	id=g:174433
Abū Khuwayţ	id=g:174434
Abū Khurayzah	id=g:174435
Abū Khunayzah	id=g:174436
Tall Abū Khinzīr	id=g:174437
Abū Khaţţār	id=g:174438
Abū Khasharīyah	id=g:174439
Abū Khashabah	id=g:174440
Abū Khashab	id=g:174441
Abū Khanādiq ash Shamālī	id=g:174442
Abū Khanādiq al Qiblī	id=g:174443
Abū Khanādiq	id=g:174444
Tall Abū Khaḑraf	id=g:174445
Abū Kannsé	id=g:174446
Minţaqat Abū Kamāl	id=g:174447
Abū Kamāl	id=g:174448
Abū Kālā	id=g:174449
Abū Kabīrah	id=g:174450
Bi’r Abū Kabārah	id=g:174451
Abū Kabārah	id=g:174452
Abū Ka‘bah	id=g:174453
Abū Ka‘b	id=g:174454
Wādī Abū Jurn	id=g:174455
Abū Jurayn	id=g:174456
Abū Jurayn	id=g:174457
Abū Jurayf	id=g:174458
Bi’r Abū Julūd	id=g:174459
Bi’r Abū Juday‘ah	id=g:174460
Abū Juday‘ah	id=g:174461
Wādī Abū Jīr	id=g:174462
Rujm Abū Jīr	id=g:174463
Hawīyat Abū Jīr	id=g:174464
‘Ayn Abū Jīn	id=g:174465
Abū Jarīd	id=g:174466
Tall Abū Jarādah	id=g:174467
Abū Jarādah	id=g:174468
Abū Jarādah	id=g:174469
Wādī Abū Jāmūs	id=g:174470
Abū Jalāl	id=g:174471
Abū Jakkah	id=g:174472
Wādī Abū Jāj	id=g:174473
Nahr Abū Jāj	id=g:174474
Bi’r Abū Jady	id=g:174475
Abū Jadhah Kubrá	id=g:174476
Abū Jadhah ‘Atīq	id=g:174477
Bi’r Abū Jadāyā	id=g:174478
Ishārat Abū Jabwāyā	id=g:174479
Abū Jabbār aş Şaghīrah	id=g:174480
Abū Jabbār al Kabīrah	id=g:174481
Bayt Abū ‘Idl	id=g:174482
Abū Ibrāhīm	id=g:174483
Ziyārat Abū Hurayrah	id=g:174484
Abū Hurayrah	id=g:174485
Abū Ḩujayrah	id=g:174486
Abū Ḩujayrah	id=g:174487
Tall Abū Ḩufūr	id=g:174488
Abū Ḩubaylāt	id=g:174489
Tall Abū Ḩijārah	id=g:174490
Abū Ḩajarah	id=g:174491
Wādī Abū Ḩayyah	id=g:174492
Wādī Abū Ḩayyah	id=g:174493
Abū Ḩayyah	id=g:174494
Abū Ḩayyah	id=g:174495
Abū Ḩayyah	id=g:174496
Abū Hayj	id=g:174497
Tall Abī Ḩaydar	id=g:174498
Abū Ḩawrī	id=g:174499
Abū Ḩawādīd	id=g:174500
Bi’r Abū Ḩassān	id=g:174501
Tall Abū Ḩasan	id=g:174502
Abū Ḩasan	id=g:174503
Abū Ḩardūb	id=g:174504
Bi’r Abū Ḩardān	id=g:174505
Hajīn	id=g:174506
Wādī Abū Ḩanāyā	id=g:174507
Abū Ḩanāyā	id=g:174508
Abū Ḩanāyā	id=g:174509
Khirbat Abū Ḩamrā	id=g:174510
Abū Ḩammām	id=g:174511
Abū Ḩammām	id=g:174512
Abū Ḩāmid	id=g:174513
Wādī Abū Ḩamdah	id=g:174514
Abū Ḩamām	id=g:174515
Abū Ḩamad	id=g:174516
Abū Ḩajar Shāmīyah	id=g:174517
Abū Ḩajar Jazīrah	id=g:174518
Abū Ḩajar	id=g:174519
Tall Abū Ḩadīd	id=g:174520
Abū Ḩabbah	id=g:174521
Bi’ār Abū Ghaşīn	id=g:174522
Abū Ghānim	id=g:174523
Abū Fūlah	id=g:174524
Wādī Abū Fījah	id=g:174525
Bi’r Abū Fayyāḑ al ‘Atīqah	id=g:174526
Wādī Abū Fayyāḑ	id=g:174527
Jabal Abū Fayyāḑ	id=g:174528
Bi’r Abū Fayyāḑ	id=g:174529
Khirbat Abū Fāsh	id=g:174530
‘Ayn Abū Faraj	id=g:174531
Abū Faraj	id=g:174532
Nahr Abū Fallāt	id=g:174533
Tall Abū Fahd	id=g:174534
Khirbat Abū Ḑuhūr	id=g:174535
Abū Dūdah	id=g:174536
Abū Du‘ān	id=g:174537
Qulb Abū Dhi’āb	id=g:174538
Bi’r Abū Dhakar	id=g:174539
Tall Abū Darīkhah	id=g:174541
Abū Darīkhah	id=g:174542
Abū Darīkhah	id=g:174543
Jabal Abū Dardah	id=g:174544
Abū Dardah	id=g:174545
Abū Dārah	id=g:174546
Abū Dannah	id=g:174547
Wādī Abū Dandash	id=g:174548
Thanīyat Abū Dāliyah	id=g:174549
Jabal Abū Dāliyah	id=g:174550
Abū Dālī	id=g:174551
Abū Dālī	id=g:174552
Abū Dālī	id=g:174553
Abū Daghmah	id=g:174554
Abū Dafnah	id=g:174555
Tall Abū Chatane	id=g:174556
Tall Abū Bināyah	id=g:174557
Ţāḩūn Abū Bilāl	id=g:174558
Khirbat Abū Başalah	id=g:174559
Jabal Abū Bārūḩ	id=g:174560
Abū Barmīl	id=g:174561
Abū Bakr	id=g:174562
Abū ‘Ayyāshah	id=g:174563
Abū as Sayyid	id=g:174564
Wādī Abū ‘Ashā’ir	id=g:174565
Jabal Abū ‘Ashā’ir	id=g:174566
Ḑahr Abū As‘ad	id=g:174567
Abū ar Rīsh	id=g:174568
Tall Abū ‘Aqqah	id=g:174569
Bi’r Abū ‘Anz	id=g:174570
Wādī Abū an Nāşir	id=g:174571
Tall Abū an Nadá	id=g:174572
Abū ‘Amshā’	id=g:174573
Abū ‘Amr	id=g:174574
Abū al Qudūr	id=g:174575
Tall Abū al Qanāfidh	id=g:174576
Abū al Murayr	id=g:174577
Abū al Mujāhir	id=g:174578
Tall Abū al Mawākir	id=g:174579
Abū al Kusūr	id=g:174580
Abū al Kusūr	id=g:174581
Abū al Khassah	id=g:174582
Wādī Abū al Khayr	id=g:174583
Abū al Kahf	id=g:174584
Abū al Jūrah	id=g:174585
Qurnat Abū al Ḩusayn	id=g:174586
Abū al Ḩişn	id=g:174587
Jabal Abū al Ḩinn	id=g:174588
Abū al Haysh	id=g:174589
Tall Abū al Hayj	id=g:174590
Jabal Abū al Ḩawr	id=g:174591
Jabal Abū al Hawā’	id=g:174592
Abū al Ḩasnān	id=g:174593
Wādī Abū al Ghurr	id=g:174594
Abū al Ghurr	id=g:174595
Abū al Ghurr	id=g:174596
Abū al Fawāris	id=g:174597
Abū al Fāris	id=g:174598
Abū al Bawr	id=g:174599
Abū al Balāyah	id=g:174600
Jabal Abū al ‘Aţā’	id=g:174601
Ḑahr Abū al ‘Ashā’ish	id=g:174602
Bi’r Abū ‘Ajwah	id=g:174603
Abū ‘Ajwah	id=g:174604
Abū ‘Ajwah	id=g:174605
Qubbat Abū Aḩmad	id=g:174606
Abū ‘Afşah	id=g:174607
Wādī Abū aḑ Ḑuhūr	id=g:174608
Jabal Abū aḑ Ḑuhūr	id=g:174609
Abū aḑ Ḑuhūr	id=g:174610
Abū aḑ Ḑuhūr	id=g:174611
Abū ‘Abdah	id=g:174612
Jabal Abī ‘Abāyah	id=g:174613
Jabal Abū ‘Abā	id=g:174614
Abū Aachté	id=g:174615
Ḑahr ‘Abţīn	id=g:174616
‘Abţīn	id=g:174617
Jabal al Abtar	id=g:174618
Jubb Abshar	id=g:174619
‘Abr Bayt Sayf	id=g:174620
Abraz	id=g:174621
‘Abraytah	id=g:174622
‘Abraytā	id=g:174623
Nahr al Abrash	id=g:174624
Abrāj	id=g:174625
Ablīn	id=g:174626
Wādī ‘Ablah	id=g:174627
‘Ablah	id=g:174628
‘Ābirah	id=g:174629
Abil	id=g:174630
Tall ‘Ābid Mār	id=g:174631
Khirbat ‘Ābidīn	id=g:174632
‘Ābidīn	id=g:174633
Wādī al ‘Abīd	id=g:174634
Wādī ‘Ābid	id=g:174635
Tall ‘Ābid	id=g:174636
Khirbat ‘Ābid	id=g:174637
Khandaq al ‘Abīd	id=g:174638
‘Ayn al ‘Ābid	id=g:174639
‘Abdū	id=g:174640
‘Ayn al ‘Abdīyah	id=g:174641
‘Abdiklīyah	id=g:174642
‘Abdat Bīshah	id=g:174643
Tall ‘Abd as Sālim	id=g:174644
‘Abd as Sālim	id=g:174645
‘Abd ash Shaykh	id=g:174646
Wādī ‘Abd ar Razzāq	id=g:174647
Jabal ‘Abd ar Razzāq	id=g:174648
Tall ‘Abd an Nāşir	id=g:174649
Wādī ‘Abdān	id=g:174650
Bi’r ‘Abdān	id=g:174651
‘Abd al Qādir	id=g:174652
Wādī ‘Abd Allāh	id=g:174653
Tall ‘Abd Allāh	id=g:174654
Rujm ‘Abd al Karīm	id=g:174655
Maghārat ‘Abd al Ḩamīd	id=g:174656
Wādī ‘Abd al ‘Azīz	id=g:174657
Jabal ‘Abd al ‘Azīz	id=g:174658
‘Abd al ‘Azīz	id=g:174659
‘Abd al ‘Azīz	id=g:174660
Tall ‘Abd al ‘Ālī	id=g:174661
Jabal al ‘Abdah	id=g:174662
‘Ayn ‘Abdah	id=g:174663
‘Abd aḑ Ḑāfī	id=g:174664
Qā‘ al ‘Abd	id=g:174665
Jabal al ‘Abd	id=g:174666
Ishārat al ‘Abbūsh	id=g:174667
‘Abbūlī ‘Arīḑ	id=g:174668
‘Abbūlī	id=g:174669
‘Abbūdīyah	id=g:174670
Wādī ‘Abbūd	id=g:174671
‘Abbās ‘Ubayd	id=g:174672
‘Abbāsīyah	id=g:174673
Wādī ‘Abbās	id=g:174674
Wādī ‘Abbās	id=g:174675
Wādī `Abbās	id=g:174676
‘Abb al Khaznah	id=g:174677
‘Abb al Jinnāt	id=g:174678
Nahr ‘Abbah	id=g:174679
‘Abbah	id=g:174680
‘Abbādah	id=g:174681
Abbād	id=g:174682
‘Abāyah	id=g:174683
‘Abātayn	id=g:174684
Rujm ‘Abas	id=g:174685
‘Abahaş Şaghīrah	id=g:174686
‘Abah al Kabīrah	id=g:174687
Wādī ‘Abāh	id=g:174688
Aazamîyé Sharqīyah	id=g:174689
‘Atbah	id=g:174690
‘Uraymīsh	id=g:174691
Wādī al Aâoueje	id=g:174692
Bi’r al Aâoueje	id=g:174693
Tal‘at Aaouaïd Fennîh	id=g:174694
Aannzaouiyé	id=g:174695
Aaniss	id=g:174696
Tall Aali Farro	id=g:174697
Aali Farro	id=g:174698
Aalidji	id=g:174699
Şabon Şo	id=g:302296
Kurd Dāgh	id=g:305518
Qarah Mūkh	id=g:309493
Nahr Quwayq	id=g:312866
Wādī Maşaff	id=g:313612
Nahr Jaghjagh	id=g:320062
Büyük Dere	id=g:320245
Nahr as Sājūr	id=g:322496
As Sa‘īdah ‘Amqūn	id=g:383642
Tall Ḑayyiq	id=g:383643
Kharāb Bunyān	id=g:383644
Kharāb Abū Ghālib aş Şubḩīyah	id=g:383646
As Sab‘ Jifār	id=g:383647
Tall Ghazāl	id=g:383648
Aş Şihrīj al Gharbī	id=g:383649
Tall adh Dhahab	id=g:383650
As Suwaydīyah	id=g:383651
Quldmān	id=g:383652
Qal‘at al Ḩişn	id=g:383656
Al Khuwaytilah	id=g:383657
Aş Şihrīj	id=g:383658
Al Mushayrifah	id=g:383659
Al ‘Ulyānīyah	id=g:383660
Al Ya‘rūbīyah	id=g:383661
Al Maḩmūdīyah	id=g:383662
Mas‘ūd ar Rafī‘ah	id=g:383665
Şaydah	id=g:383666
Aş Şadīdīyah	id=g:383667
‘Uqaylīyah	id=g:383668
Diyābah	id=g:383670
Jalwah	id=g:383671
Mas‘adah	id=g:383672
Wādī ‘Awāriḑ	id=g:383675
Wādī ‘Adas	id=g:383676
Tall Hawdā	id=g:383720
Matlūtah	id=g:383729
Kiri Markah	id=g:383732
Tall ‘Awdah	id=g:383734
Ḩusūr Ţallah	id=g:383740
Kūrah Sībī	id=g:383747
Tall Aḩmar	id=g:383748
Suhayr Makkah	id=g:383749
Gīreh Zīl Kabīr	id=g:383756
Khirbat Wānīkah	id=g:383758
Abū ‘Azālah	id=g:383762
Shūkir	id=g:383763
Tall al Faras	id=g:383764
Tuwaym	id=g:383765
Tall Fāyir	id=g:383766
Gīreh Zīl Şaghīr	id=g:383771
Ash Shajlah	id=g:384694
Aş Şafāqinah	id=g:384695
Ḩuwayjat Bāghūz	id=g:384696
Wādī Hunaydilī	id=g:384697
Wādī Bakīyah	id=g:384698
Jabal Ḩammār	id=g:384699
Arḑ Bakīyah	id=g:384700
Ti‘s ash Shāyir	id=g:384701
Al Marāshidah	id=g:384702
Abū Ḩasan	id=g:384703
‘Abbās	id=g:384704
Mazra‘at Shammū	id=g:384705
Wādī al Haddāmah	id=g:384706
Wādī ‘Ajāj	id=g:384707
Wādī Ḩulwah	id=g:384708
Wādī Abū Murīḩ	id=g:384709
Wādī Rayyā	id=g:384710
Fayḑat al Khashm	id=g:384711
Fayḑat Abū Ḩasan	id=g:384712
Malḩat al Baḩrah	id=g:384714
Mamlaḩat Surrat Khalaf al Ḩamd	id=g:384715
Maqbarat Shaykh Ḩammād	id=g:384716
Maqbarat al Mujawwidah al Kabīrah	id=g:384717
Arḑ Şuqūr	id=g:384718
Rujam al Hajjānah	id=g:384719
Tall al Khinzīr	id=g:384720
Tall Ḩalīm	id=g:384721
Tall Khaymat Hajīn	id=g:384722
Tall Jubb al Baḩrah	id=g:384723
Kharāyij	id=g:384724
Wādī as Surrāt	id=g:384725
Wādī Mukhkh	id=g:384726
Wādī ash Shuwayl	id=g:384727
Wādī al Ḩusaynīyah	id=g:384728
Maqbarat Ḩasīyat Jīdū	id=g:384729
Ḩabbat ‘Uqlat Subaykhān	id=g:384730
Fayḑat Sarḩīt	id=g:384732
Shu‘aytāt	id=g:384733
Khaḑrat Yūnus	id=g:384734
Wādī al Akfān	id=g:384747
Wādī al Wa‘r	id=g:384751
Dīkmah Ţāsh	id=g:385195
Īkī Dām	id=g:385196
Ḩawār Killis	id=g:385197
Īkdah	id=g:385198
Ţūghalī	id=g:385199
Shaykh Rīḩ	id=g:385204
Sakarkaya Tepesi	id=g:385211
Mahrep Tepesi	id=g:385218
Kurukütük Tepesi	id=g:385219
Qiriq Bāyir Dāgh	id=g:385221
Cekem Tepesi	id=g:385222
Bi’r Jarbū	id=g:385342
‘Abbārah	id=g:385344
Jarwah	id=g:385345
Qalţah	id=g:385347
Thulth Khunayz	id=g:385348
Khunayz	id=g:385349
Mulayḩān	id=g:385351
Mu‘ayzīlah	id=g:385352
Mushayrifah	id=g:385354
Abū Kabrā	id=g:385356
Dukhkhān	id=g:385359
Marjān	id=g:385360
Wādī Ḩafşīr	id=g:385373
Kharījat Wardī	id=g:385374
Kharīj aş Şūfī	id=g:385375
Bi’r Sa‘īd	id=g:385376
Khān Dāl	id=g:385377
Wādī al Khaḑir	id=g:385379
Al Makhābiţ	id=g:385386
Jarwān	id=g:385387
Kuwaytār	id=g:385388
Mastūr	id=g:385389
Kassār	id=g:385390
Şabāḩ al Khayr	id=g:385391
Bi’r Shumrī	id=g:385392
Abū Qanādīl	id=g:385393
Qanādīl Sharqī	id=g:385394
Mardak	id=g:385395
Aşālah	id=g:385396
Wādī Dirwān	id=g:385397
Mihbāsh	id=g:385417
Makman	id=g:385418
Bi’r Mulayḩān	id=g:385419
Ghuzaylān	id=g:385421
Wādī Ghuzaylān	id=g:385423
Sajrīyah	id=g:385425
Jarmā	id=g:385426
Jarmā	id=g:385427
Al Khānū	id=g:385446
Umm Midfa‘	id=g:385447
Akhlā	id=g:385448
Akhlā	id=g:385449
Khirbat al Bi’r	id=g:385450
Ghuzaylān ash Sharqī	id=g:385451
Manājīd Fawqānī	id=g:385452
Al Mūmī	id=g:385453
Manājīd Taḩtānī	id=g:385454
Umm al Jafā	id=g:385455
Sīḩā	id=g:385456
Rujm al Faras	id=g:385457
Kanfūshah	id=g:385458
Mityāḩah	id=g:385459
Ādam	id=g:385460
Al Ḩaşw	id=g:385461
Zahrāwīyah	id=g:385462
Rumaylān	id=g:385463
Şuwayyān	id=g:385464
Khashmānīyah	id=g:385465
Umm al Kahf	id=g:385466
Ţurumbah	id=g:385467
Umm al Ma‘z	id=g:385468
Ţurumbah ash Sharqīyah	id=g:385469
Raḩmān	id=g:385470
Bāb ar Rakhā	id=g:385472
Al Madīnah	id=g:385473
Ḩanān Bāb al Khawr	id=g:385474
Abū Shawkah	id=g:385475
Şafāwī	id=g:385476
Barzān	id=g:385477
Jarwān	id=g:385478
Mastūr	id=g:385479
Rayḩānīyah	id=g:385480
Sarrāqā	id=g:385481
Arḑ Şuqūr	id=g:385756
Bi’r al Aḩmar	id=g:385759
Qulūbat al Aḩmar	id=g:385760
Ḩawījat al Mujawwadah	id=g:385761
Bi’r Ballūzah	id=g:385762
Şafşāfah	id=g:385780
Wādī al Ward	id=g:385789
Wādī Abū Shuwaymah	id=g:385793
Al Jadlah	id=g:385832
Jīshīyah	id=g:385833
Al Jurdī ash Sharqī	id=g:385834
Suwaydān Shāmīyah	id=g:385835
Bi’r Dahām	id=g:385836
Tall Milḩim	id=g:385837
Arḑ Ţal‘at Milḩim	id=g:385842
Sūrat al Kishmah	id=g:385845
Maqbarat Abū Shuwaymah	id=g:385847
Maqbarat Subaykhān	id=g:385848
Arḑ al ‘Alam	id=g:385850
Al Kishmah	id=g:385851
Arḑ az Zirr	id=g:385853
Wādī Abū Jāsim	id=g:385854
Arḑ al Jadlah	id=g:385856
Mazār al Arba‘īn	id=g:385858
Zanāzel Būidan	id=g:385859
Ta ūs Rizij	id=g:385860
