Jabal Maydān	id=g:395175
Rujaym Dabbūs	id=g:396941
Khashm Umm as Sibā‘	id=g:396942
Qārat Ḩaşānī	id=g:396943
‘Iblat al Badā’i‘	id=g:396944
Qārat Ḩişnī	id=g:396945
Qārat al Aslāf	id=g:396946
Zibārat Umm Shuwayribāt	id=g:396947
Al Muzayri‘	id=g:396948
‘Urayq al Ḩamdī	id=g:396949
Urayq Abū ‘Ijlah	id=g:396950
Nufūd az Zarrānī	id=g:396951
Zibārat Umm al ‘Ishar	id=g:396952
Zibārat al Burākīyah	id=g:396953
Wādī al Muzayri‘	id=g:396954
Nuqrat al Mughaysilīyah	id=g:396955
Bi’r Mithfar	id=g:396956
Zibārat al Ḩimār	id=g:396957
Khabbat al Muzayri‘	id=g:396958
Aḑ Ḑal‘ah	id=g:396959
Kasr al Muzayri‘	id=g:396960
Mazra‘at al Ghubaywī	id=g:396961
Zibārat Julayyil	id=g:396962
Khashm ad Daghmā’	id=g:396963
‘Irq Fayḑat Khuraym	id=g:396964
Mazāri‘ al Qub‘īyah	id=g:396965
Mazāri‘ ar Rimthīyāt	id=g:396966
Mazāri‘ al Kilá	id=g:396967
Al Badā’i‘ al ‘Ulyā	id=g:396968
Quwayrat Muţar	id=g:396969
Bi’r al Khafaq	id=g:396970
Nufūd al Ghamīs	id=g:396971
Qārat Ḩaşānī	id=g:396972
Nufūd Umm Haḑīd	id=g:396973
Zibārat as Samrā’	id=g:396974
Z̧almā’	id=g:396975
Zibārat Muhrah	id=g:396976
Al Khafaq al Jadīd	id=g:396977
Aşfar al ‘Āqilī	id=g:396978
Al Jilh	id=g:396979
Qā‘ ‘Ablā	id=g:396980
Al Khafaq al Qadīm	id=g:396981
Mazra‘at ‘Ablā	id=g:396982
Al Ma‘adā	id=g:396983
Mazāri‘ Duhaymā’	id=g:396984
Al Mulaydā’	id=g:396985
Ţibrāk	id=g:396986
Sha‘īb Abū ‘Ishar	id=g:396987
Khubayb ar Rīm	id=g:396988
Al Qarārah	id=g:396989
Qalīb al Arţāwīyah	id=g:396990
Umm Ţulayḩ	id=g:396991
Jabal ‘Anz	id=g:396992
Zibārat Umm ‘Isharah	id=g:396993
Al Māni‘īyah	id=g:396994
Al ‘Ulayyā’	id=g:396995
Al Jadīdah	id=g:396996
Sha‘īb Kahaf Rawq	id=g:396997
Sāhibat Umm ‘Awshaz	id=g:396998
Al Mashā‘ilah	id=g:396999
Aş Şayhad	id=g:397000
Al Laghfah	id=g:397001
Qā‘ al Ḩanādir	id=g:397002
Jibāl al ‘Işwiddah	id=g:397003
Qā‘ al ‘Işwiddah	id=g:397004
Qā‘ Umm Shifallaḩ	id=g:397005
Jibāl al Ghumayyis	id=g:397006
Qā‘ as Saḩaq	id=g:397007
Nuqrat Şalāşil	id=g:397008
Jibāl Umm Ḩamām	id=g:397009
Az Zirār	id=g:397010
Khabrā’ Fārān	id=g:397011
Qā‘ Şalāşil	id=g:397012
Jibāl al ‘Uwaynī	id=g:397013
Qā‘ az Zirār	id=g:397014
Mazāri‘ Rufaydah	id=g:397015
Jāl az Zirār	id=g:397016
Zibārat Haylā’	id=g:397017
Rawḑat Abū Khirr	id=g:397018
Mazāri‘ adh Dhībī	id=g:397019
Rawḑat al Khuwaybīyah	id=g:397020
Nufūd ad Diḩmūl	id=g:397021
Jāl ar Ra‘an	id=g:397022
Z̧ahrat al Ḩadbā’	id=g:397023
Khall Haylā’	id=g:397024
Sha‘īb Jamal	id=g:397025
Khall al Ghurābah	id=g:397026
Bi’r Umm ash Shuţn	id=g:397027
Sha‘īb al Quwayţīr	id=g:397028
Mukhaykirān	id=g:397029
Qārat ‘Unqūd	id=g:397030
Bi’r al Ḩadhyānah	id=g:397031
Al Ma‘ashbah	id=g:397032
Qūr al Fuhaydī	id=g:397033
Al ‘Uqlah	id=g:397034
Jabal Ḩannah	id=g:397035
Mazra‘at ar Rukhaymīyah	id=g:397036
Jabal ar Ruwaydif	id=g:397037
Qārat al Madarrah	id=g:397038
Fayḑat al Jirdhānīyah	id=g:397039
Qalīb Umm ‘Isharah	id=g:397040
Sha‘īb al Maḩālib	id=g:397041
Fayḑat Ibqirīyah	id=g:397042
Fayḑat al Mu‘aydhir	id=g:397043
Bi’r al Quraynīyah	id=g:397044
‘Adāmat al Faras	id=g:397045
Sarḩān	id=g:397046
Ţi‘s Muḩaymīd	id=g:397047
Rawḑat Sudayr	id=g:397048
Sha‘īb al Jawfā’	id=g:397049
Ţi‘s Markūz	id=g:397050
Wādī al Amāliḩ	id=g:397051
Mazāri‘ an Nawmān	id=g:397052
Qaltat al ‘Inānīyah	id=g:397053
Qulbān Murayţibah	id=g:397054
Z̧ahrat Quşaybā’	id=g:397055
Bi’r Umm Ḩuyayshah	id=g:397056
Jabal aţ Ţuwayyilah	id=g:397057
Rathrath ash Shāwīyan	id=g:397058
Qūr Muţabbaqah	id=g:397059
‘Irq al Ḩumrānī	id=g:397060
Huḑaybat al Ḩişān	id=g:397061
Huḑaybat az̧ Z̧āhirīyah	id=g:397062
Ābār az̧ Z̧āhirīyah	id=g:397063
Ţi‘s Sharyān	id=g:397064
Mazāri‘ Khuffīyat al Waybār	id=g:397065
Ţu‘ūs al Ghurayrā	id=g:397066
Muqbilah	id=g:397067
Mishāsh Kabd	id=g:397068
Kabd al Bayḑā’	id=g:397069
Al Junayfī	id=g:397070
Al Ḩadīdīyah	id=g:397071
Badā’i‘ al Mashā‘ilah	id=g:397072
Ma‘ānīq	id=g:397073
Al Ghuţghuţ	id=g:397074
Qārat Zubayr	id=g:397075
Şayhad Ḩamdān	id=g:397076
Şayhad ‘Uwayyid	id=g:397077
Şayhad as Sāmir	id=g:397078
Şayhad Abū Yidayyah	id=g:397079
Al Khuţāmah	id=g:397080
Ash Shaḩmah	id=g:397081
Şayhad Ḩumayyidah	id=g:397082
Ḩazm al Amghar	id=g:397083
Mazra‘at Umm Rijm	id=g:397084
Ar Rujaymāt	id=g:397085
Qulumat Jaḩājiḩ	id=g:397086
Sha‘īb al Lubayb	id=g:397087
Sumr al Khishibī	id=g:397088
Qulumat Ḩamdān	id=g:397089
Qulumat an Nuwayb	id=g:397090
Al Wudayy	id=g:397091
Khashm Mi‘ḑad	id=g:397092
Sha‘īb Abā al Qilāt	id=g:397093
Mazra‘at al Ḩanīyah	id=g:397094
Mubhilah	id=g:397095
Qūr Timrīyah	id=g:397096
Thamad al Ḩuwayyif	id=g:397097
Jibāl al ‘Işwiddah	id=g:397098
Timrīyah	id=g:397099
Zibārat Umm Junūn	id=g:397100
Zibārat Jabalah	id=g:397101
Zibārat Ibn Ghurayyis	id=g:397102
Zibārat Umm Lawḩaw	id=g:397103
Zibārat Munawwikh	id=g:397104
Zibā’ir al Māni‘īyāt	id=g:397105
Zibārat Bilād	id=g:397106
Bi’r ar Ruwayqīyah	id=g:397107
Işba‘ah	id=g:397108
As Sābḩīyah	id=g:397109
Umm Ţulayḩah	id=g:397110
Ābār al Ḩumaysīyah	id=g:397111
Abā al Qawāţīr	id=g:397112
Ḑulay‘ Dāmigh	id=g:397113
Zibārat al Marwá	id=g:397114
Ḑulay‘āt al Ḩafar	id=g:397115
Zibārat al ‘Ulaymīyah	id=g:397116
Zibārat ar Ruwaylīyah	id=g:397117
Qūr Abū ‘Annābah	id=g:397118
Qārat al Kharmā’	id=g:397119
Zibā’ir at Tanānīr	id=g:397120
Qārat Umm Rijūm	id=g:397121
Qārat Umm Ḑibā‘	id=g:397122
Rawḑat Qab‘ah	id=g:397123
Qirī al Ḩāwiyah	id=g:397124
Zibārat al ‘Awrā’	id=g:397125
Rijm al Khayl	id=g:397126
Nuqrat Ghunaymān	id=g:397127
Ḩazm an Nuwayb	id=g:397128
Ābār al Ḩifnah	id=g:397129
Al Ḩifnah	id=g:397130
Qārat Umm Shidād	id=g:397131
Sha‘īb Nufaykh	id=g:397132
Qārat al Qamrā’	id=g:397133
Ābār Nufaykh	id=g:397134
Fayḑat Sajwān	id=g:397135
Qirī Abū Ḩarmalah	id=g:397136
Rawḑat al Maḩallīyah	id=g:397137
Sabkhat Ḩusayn	id=g:397138
Jabal al Ashqar	id=g:397139
Jabal ash Shahbā’	id=g:397140
Sabkhat Ḩisū Nāhiḑ	id=g:397141
Ath Thāmirīyah	id=g:397142
Ruwayghib	id=g:397143
Al Ḩanīyah	id=g:397144
Al Awsaţ	id=g:397145
Bi’r Kiḩlān	id=g:397146
Al Maḩrūqah	id=g:397147
Zihlūlah	id=g:397148
Jabal Ghurūr	id=g:397149
Bi’r Umm Rukbah	id=g:397150
Al Jimidah	id=g:397151
Al Maşābīḩ	id=g:397152
Sha‘īb al Jimidah	id=g:397153
‘Uwayjā’ Nufaykh	id=g:397154
Sha‘īb Abū Thimīl	id=g:397155
Dil‘ al Khinşar	id=g:397156
Qirī Iq‘id	id=g:397157
Sha‘īb Rikdān ash Shamālī	id=g:397158
Qaşr Ibn Shuhayl	id=g:397159
Zibārat as Salhamīyah	id=g:397160
Al Fayḑah	id=g:397161
Sha‘īb Fuwayliq al Ḩijāj	id=g:397162
Ḑil’ al Wakir	id=g:397163
Ḑulay‘āt al Ḩulayyāt as Sūd	id=g:397164
Qirnat al Ḩisyān	id=g:397165
Qirī al Jamal	id=g:397166
Qirī al Khuluwī	id=g:397167
Al Maghrafīyah	id=g:397168
Ḑab‘ ar Rumḩīyah	id=g:397169
Barqā‘ Diqāqah	id=g:397170
Ar Rumḩīyah	id=g:397171
Fayḑat al Khafs ash Shamālīyah	id=g:397172
Fayḑat al Khafs al Janūbīyah	id=g:397173
Al Mafīḑ	id=g:397174
Mazāri‘ Faţḩānah	id=g:397175
Al Khafs	id=g:397176
Mazra‘at ‘Adhlah	id=g:397177
Sha‘īb al Ghaymār	id=g:397178
Ābār al Ghaymār	id=g:397179
Mazāri‘ aţ Ţawqī	id=g:397180
Sha‘īb al Makḩūl	id=g:397181
Mazāri‘ Mu‘ayriḑah	id=g:397182
Mazāri‘ Abū ‘Ādhir	id=g:397183
Jūbāḩ	id=g:397184
Mazāri‘ Jarīyah	id=g:397185
Al Quway‘īyah Water Project	id=g:397186
Khashm Nufaykh	id=g:397187
Mazra‘at al Ḩaqbā’	id=g:397188
Al Buţayn	id=g:397189
Mazra‘at Mu‘ayriḑ	id=g:397190
Zibārat as Sanfā’	id=g:397191
Al Qu‘ayyir	id=g:397192
Zibā’ir Munīfah	id=g:397193
Khibbat aţ Ţawīlah	id=g:397194
Aţ Ţawīlah	id=g:397195
Mazāri‘ aţ Ţawīlah	id=g:397196
Sha‘īb Abū ‘Ādhir	id=g:397197
Sha‘īb Maḩraqah	id=g:397198
Sha‘īb Mu‘ayriḑah	id=g:397199
Bi’r Jarrār	id=g:397200
Fayḑat Khunayfisān	id=g:397201
Abū Ghuwayrāt	id=g:397202
Jibāl al Mityāhah	id=g:397203
Sha‘īb Abū ‘Uwayzah	id=g:397204
Ḑulay‘āt al Khirsh	id=g:397205
Jibāl Sumr al Kharshā’	id=g:397206
Jabal Ḑubay‘ah	id=g:397207
Mazāri‘ Ţawqā’	id=g:397208
Al Khātilah	id=g:397209
Zibārat al Jadhmā’	id=g:397210
Fayḑat Umm ‘Unşayl	id=g:397211
Al Hubayrīyah	id=g:397212
Ar Riḑam	id=g:397213
Sumr al Hubayrīyah	id=g:397214
Qirī aţ Ţāfiḩah	id=g:397215
Sha‘īb al ‘Amyā’	id=g:397216
Nufūd as Sirr	id=g:397217
Bi’r ‘Āmir	id=g:397218
Bi’r aţ Ţawqī	id=g:397219
Sha‘īb Abā al Ḩilyān	id=g:397220
Qurayy ad Dāb	id=g:397221
Rawḑat al Khuwaybīyah	id=g:397222
Sināf Dir‘	id=g:397223
Sha‘īb as Si‘īrah	id=g:397224
Sha‘īb al ‘Uwayr	id=g:397225
Sha‘īb al ‘Ajājah	id=g:397226
Qārat aḑ Ḑumūd	id=g:397227
Qurayy Liḩyān	id=g:397228
Ad Du‘aykah	id=g:397229
Bi’r al ‘Ajājah	id=g:397230
Mafraq Thādiq	id=g:397231
Sha‘īb Umm Athlah	id=g:397232
Sha‘īb al Bīr	id=g:397233
Ḩuwaytah	id=g:397234
Sha‘īb Ḑulay‘ Rashīd	id=g:397235
Rawḑat al Faras	id=g:397236
Rawḑat al Mashrāt	id=g:397237
Umm Ţalḩah	id=g:397238
Umm Raḑmah	id=g:397239
Abraq al Akhrash	id=g:397240
Abraq ‘Arhān	id=g:397241
Fayḑat Şad‘ah	id=g:397242
Ḑulay‘ Rashīd	id=g:397243
Rawḑat Aş Şihd	id=g:397244
Al Jurayyir	id=g:397245
Al Ishay‘il	id=g:397246
Rawḑat Umm ‘Awāqīl	id=g:397247
Qurayy al ‘Arḑah	id=g:397248
Khashm az Zāwīyah	id=g:397249
Sha‘īb al ‘Uwayjā’	id=g:397250
Mazra‘at Mushrifah	id=g:397251
Mazāri‘ al Muhāwishīyah	id=g:397252
Sha‘īb Abū Ţulayḩ	id=g:397253
Al Qunaynah	id=g:397254
Ar Ruḩaymīyah	id=g:397255
Qurayyāt al ‘Arād	id=g:397256
Rawḑat al Kharīmah	id=g:397257
Sha‘īb Fuwayliq al Qunaynah	id=g:397258
Fayḑat al Muḩtajibah	id=g:397259
Fayḑat Umm Quşayr	id=g:397260
Fayḑat Āl Shāmir	id=g:397261
Fayḑat Umm Shubrum	id=g:397262
Rawḑat ar Raḩá	id=g:397263
Rawḑat Sidrān	id=g:397264
Umm al Khashab	id=g:397265
Al Khalā’iq al Gharbīyah	id=g:397266
Al Khalā’iq ash Sharqīyah	id=g:397267
Qārat al ‘Ashāshah	id=g:397268
Fayḑat Umm Ḩijūl	id=g:397269
Quff Faţḩānah	id=g:397270
Qurayy al Hāyish	id=g:397271
Wādī al Kalb	id=g:397272
Sha‘īb al Khānūs	id=g:397273
Qurayy Shuwayhir	id=g:397274
Zibārat ‘Ifrīyah	id=g:397275
Qurayy Shāhir	id=g:397276
‘Ifrīyah	id=g:397277
Dahaw Dallī	id=g:397278
Qunayfidhah	id=g:397279
Jabal aş Şufayḩah	id=g:397280
Ḩazm Ḑab‘	id=g:397281
Sha‘īb Abū Ḩarmal	id=g:397282
Sha‘īb Ḩūwijān	id=g:397283
Fayḑat Di‘mān	id=g:397284
Sha‘īb ar Rakīyah	id=g:397285
Wādī as Si‘īrah	id=g:397286
Jabal ar Rubūḑ	id=g:397287
Sha‘īb al Hushayyim	id=g:397288
Sha‘īb al Ḩayd	id=g:397289
Sha‘īb Abū Rukbah	id=g:397290
Jabal al Ḩaḑir	id=g:397291
Ābār Juraydhī	id=g:397292
Ḩalāt aţ Ţalḩah	id=g:397293
Sha‘īb ‘Ushayrān	id=g:397294
‘Ayn Ḩuzaymah	id=g:397295
Sha‘īb al ‘Ayn	id=g:397296
Zibārat al Mu‘ayzīlah	id=g:397297
Sha‘īb an Naqḩ	id=g:397298
Zibārat al Qarā’in	id=g:397299
Qurayy Umm adh Dharr	id=g:397300
Sha‘īb al Ḩajrah	id=g:397301
Sha‘īb Umm Ţulayḩ	id=g:397302
Sha‘īb al ‘Arjah	id=g:397303
Zibārat Bayyinah	id=g:397304
Qurayy Abā aţ Ţurq	id=g:397305
Jibāl Aşbir	id=g:397306
Sha‘īb as Saqţah	id=g:397307
Ţu‘ays Umm Ruqaybah	id=g:397308
Sha‘īb as Suqayţah	id=g:397309
Adh Dhībīyah	id=g:397310
Abraqīyah	id=g:397311
Maraghān	id=g:397312
Mazāri‘ Maraghān	id=g:397313
Al Ḩimlīyah	id=g:397314
Abraq al Wahaţ	id=g:397315
Mazāri‘ al Khuwaybiyah	id=g:397316
Qārat Dagham	id=g:397317
Mazāri‘ an Nuqay‘ah	id=g:397318
Qārat ‘Adlān	id=g:397319
Qārat Sālim	id=g:397320
Wādī al Maqriḩ	id=g:397321
Mazāri‘ al Qarā’in	id=g:397322
Jibāl al Qarā’in	id=g:397323
Qurayy al ‘Īd	id=g:397324
Sāyiḩ Junayb	id=g:397325
Qārat Muḩammad	id=g:397326
Al Wuţāh	id=g:397327
Al Ghuzayz	id=g:397328
‘Irq ar Rithimah	id=g:397329
Ābār Muşiddah	id=g:397330
Ath Thumāmah	id=g:397331
Ḑil‘ Mujḩirah	id=g:397332
Al Buwayb	id=g:397333
Khashm al Buwayb	id=g:397334
Ḑil‘ Quraydān	id=g:397335
Mazāri‘ Samḩān	id=g:397336
Al ‘Ulayyā’	id=g:397337
Şafrā’ Umm Rujūm	id=g:397338
Ghadīr al Ḩişān	id=g:397339
Ḩajrufah	id=g:397340
Mazāri‘ al Khabrā’	id=g:397341
Sha‘īb Nasr	id=g:397342
Sha‘īb al Murabba‘ ash Shamālī	id=g:397343
Sha‘īb Muz̧ayfīr	id=g:397344
Sha‘īb al Wudayy	id=g:397345
Sha‘īb Abū Jişşah	id=g:397346
Sha‘īb as Sihil	id=g:397347
Ad Da‘athah	id=g:397348
Umm al Kharāsi‘	id=g:397349
Mazāri‘ al Barbak	id=g:397350
Mazra‘at al Arţāwī	id=g:397351
Mazra‘at aş Şulay‘	id=g:397352
Muz̧ayfīrah	id=g:397353
Al Mukaylī	id=g:397354
Al Qā‘	id=g:397355
Al Ghaylānah	id=g:397356
Fayḑat at Tunz̧um	id=g:397357
Jabal ash Shi‘bah	id=g:397358
Fayḑat Khuraym	id=g:397359
Mazāri‘ as Sudayrāt	id=g:397360
Jabal al Mushamrakh	id=g:397361
Wādī Khuwaysh ar Rayyān	id=g:397362
Wādī Khuwaysh al ‘Aţshān	id=g:397363
Al Ḩawţah	id=g:397364
Qirī Suwīd	id=g:397365
Ash Shawraqīyah	id=g:397366
Qirī Bayyin	id=g:397367
Sha‘īb Abū Thimām	id=g:397368
Ābār al Ḩafā’ir	id=g:397369
Ḑulay‘ al Kharmā’	id=g:397370
Al Ḩajjāzīyah	id=g:397371
Qadmat as Saqţah	id=g:397372
Ābār al Bijādīyah	id=g:397373
Al Kharmā’	id=g:397374
Mazra‘at Ḑubay‘ah	id=g:397375
Mazāri‘ Dilaymā	id=g:397376
Khashm al Manjūr	id=g:397377
Khuraymān	id=g:397378
Al Kharmā’ al Janūbīyah	id=g:397379
Sha‘īb al Ḩumayḑ	id=g:397380
Zibārat al Barşā’	id=g:397381
Sha‘īb al Murayr	id=g:397382
Al Kharmā’ ash Shamālīyah	id=g:397383
Sha‘īb al ‘Amyā’	id=g:397384
Haḑabat Abū Ţawārīq	id=g:397385
Farā’id al Misājidī	id=g:397386
Buwayb Water Treatment Plant	id=g:397387
An Niqā al Marḩūm	id=g:397388
Rawḑat al Khuwaybiyah	id=g:397389
Khashm Khuzam	id=g:397390
Mazra‘ at Khuzam	id=g:397391
Wādī Bawḑah	id=g:397392
Barqā‘ an Naz̧īm	id=g:397393
Ad Dughum	id=g:397394
Quşūr al Muqbil	id=g:397395
Fayḑat al Majlis	id=g:397396
Sha‘īb as Saqţah	id=g:397397
Fayḑat Umm Shuqūq	id=g:397398
Aţ Ţirāq	id=g:397399
Ūbayr	id=g:397400
Ḩuzūm al Mu’minīyah	id=g:397401
An Na‘āyim	id=g:397402
Z̧ahrat Ūbarah	id=g:397403
Mazāri‘ Qurayţah	id=g:397404
Şubayḩ	id=g:397405
Jibāl al Khirsh	id=g:397406
Mazāri‘ Ḑulay‘ Sumār	id=g:397407
Jibāl al Ḩamar	id=g:397408
Ḑulay‘ Sumār	id=g:397409
Samrā’ ‘Īsá	id=g:397410
Samrā’ Umm Raḑḑām	id=g:397411
Mazāri‘ Umm Qabr	id=g:397412
Sha‘īb al Yusrá	id=g:397413
Mazāri‘ al Hillīyah	id=g:397414
Sha‘īb al Ḩamar	id=g:397415
Qirī al Mu’minīyah	id=g:397416
Mazāri‘ ar Rufā’i‘	id=g:397417
‘Ushayrān	id=g:397418
Sha‘īb al Mas‘ūdīyah	id=g:397419
Wuthaylān	id=g:397420
Zabā’ir ash Shiqqān	id=g:397421
Mazāri‘ ar Rawḑah	id=g:397422
Zibārat ‘Adhrā’	id=g:397423
‘Ayn aş Şuwayni‘	id=g:397424
Zibārat Umm Ruqaybah	id=g:397425
Zabā’ir al Madfan	id=g:397426
Jabal ar Ruwaykib	id=g:397427
Huḑaybat Umm Jubayy	id=g:397428
‘Ayn al Qannūr	id=g:397429
Ar Ruwayḑah	id=g:397430
Khuraymān ash Shaghghār	id=g:397431
Mazra‘at aş Şadr	id=g:397432
Mazāri‘ Khuraymān ash Shaghghār	id=g:397433
Ābār Ḩişnīyah	id=g:397434
Mazāri‘ Khuraymān	id=g:397435
Fayḑat ar Ruwaykib	id=g:397436
Aş Şūḩ	id=g:397437
Al Khālidīyah	id=g:397438
Abraq al Filāj	id=g:397439
Ābār al Buday‘ah	id=g:397440
Qulbān al ‘Umayshā’	id=g:397441
Sha‘īb al ‘Ibb	id=g:397442
Mazra‘at ar Rawḑah	id=g:397443
Ābār Sāmūdah	id=g:397444
Mazāri‘ ‘Anz	id=g:397445
Mushrifāt	id=g:397446
Qurayy Musay‘īd	id=g:397447
Samrā’ ‘Anz	id=g:397448
Umm Ţulayḩah	id=g:397449
Huḑaybāt Waqţ	id=g:397450
Huḑaybat al Mizārīr	id=g:397451
Baţn ‘Anz	id=g:397452
Sha‘īb al Mā’	id=g:397453
Zibārat Ḑabbān	id=g:397454
Mazāri‘ al Muḩtajibah	id=g:397455
Wādī Khuwaysh Zamzam	id=g:397456
Ḑil‘ ‘Unayzān	id=g:397457
Mazāri‘ aş Şāliḩīyah	id=g:397458
Zarībat Ibn Khufayr	id=g:397459
Marbakh Ramlān	id=g:397460
Rawḑat ar Rumḩīyah	id=g:397461
Abraq Ḑabbān	id=g:397462
Ghidrān al Jilhimiyāt	id=g:397463
Mazāri‘ aţ Ţāli‘īyah	id=g:397464
Rawḑat al ‘Ikrishīyah	id=g:397465
Mazāri‘ al Mu‘ayzīlah	id=g:397466
Ad Dīrīyah	id=g:397467
Qā‘ Umayghir	id=g:397468
Ābār Buthayyah	id=g:397469
Ābār Jūdah	id=g:397470
Fayḑat Gharghar	id=g:397471
As Sinnārīyah	id=g:397472
Mazāri‘ ash Shifā’	id=g:397473
Ābār Gharghar	id=g:397474
Mazra‘at al Mubarraz	id=g:397475
Mazāri‘ as Sihhab	id=g:397476
Ruwayḑāt as Salam	id=g:397477
Rawḑat Umm al Ḩaşānīyah	id=g:397478
Rawḑat Umm Shīḩ	id=g:397479
Jabal al Maḑābi‘ah ash Shamālīyah	id=g:397480
Sha‘īb Wuthaylān	id=g:397481
Sha‘īb Ghuwaymiḑ	id=g:397482
Rawḑat al Hawbajah	id=g:397483
Khashm ar Ru‘ayn	id=g:397484
Al Ghurābah	id=g:397485
Mazāri‘ al Wusayţā’	id=g:397486
Mazāri‘ al Maşak	id=g:397487
Khashm Umm Işba‘ah	id=g:397488
Aḑ Ḑabbīyāt ash Shamālīyāt	id=g:397489
Khashm Muşiddah	id=g:397490
Khashm al Qarrāshīyah	id=g:397491
Aḑ Ḑabbīyāt al Janūbīyāt	id=g:397492
Qārat an Nukhayl	id=g:397493
Niqrat Suwayqah	id=g:397494
Jibāl Suwayqah	id=g:397495
Sha‘īb Suwayqah	id=g:397496
Al Matīnah	id=g:397497
Qā‘ an Nuz̧ayyim	id=g:397498
At Tasrīr	id=g:397499
Fayḑat at Tasrīr	id=g:397500
Qalīb Wabdah	id=g:397501
Mazra‘at al Bāzim	id=g:397502
Sabkhat Maḩāmat ‘Uşayyim	id=g:397503
Ash Shukayyirah	id=g:397504
Jabal ‘Ubayd al Qullah	id=g:397505
Jabal al Ḩumaymāt	id=g:397506
Mazra‘at Ibn Khalīfah	id=g:397507
Khafaq ash Shams	id=g:397508
Khashm Abā al Ḩamārī	id=g:397509
Burqān at Tays	id=g:397510
Mazra‘at Umm Ghār	id=g:397511
Ḑulay‘ Shāliḩ	id=g:397512
Al Fuwayliq	id=g:397513
Al ‘Iyāb	id=g:397514
Qārat as Sāddah	id=g:397515
Jabal Qishay‘ al Gharbī	id=g:397516
Quwayrāt ash Shumaysah	id=g:397517
Ābār ash Shumaysah	id=g:397518
Khashm Abā az Zawā’id	id=g:397519
Sha‘īb al Munaşşá	id=g:397520
Qārat al Munaşşá	id=g:397521
Mazra‘at Maqţa‘ Şārah	id=g:397522
Mazra‘at Mishrifah	id=g:397523
Bi’r ash Shams	id=g:397524
Mazāri‘ Lawdhān	id=g:397525
Majrá al ‘Amār	id=g:397526
Aţ Ţirāq	id=g:397527
Majrá Duwayghir	id=g:397528
Mazāri‘ Fayḑat Şayyād	id=g:397529
Majrá Abū Ţulayḩāt	id=g:397530
Majrá as Sidr	id=g:397531
Sha‘īb Abū Fuḩayḩīl	id=g:397532
Sha‘īb al Quşay‘ah	id=g:397533
Wādī Abā as Sidr	id=g:397534
Sha‘īb al Khubayb	id=g:397535
Abū Muşaykh	id=g:397536
Ash Shafī‘ī	id=g:397537
Qā‘ Ḩuqayy	id=g:397538
Samrā’ ad Diḩmūl	id=g:397539
Al Muwayrikah	id=g:397540
Jibāl aţ Ţirāq	id=g:397541
Mazāri‘ Murayyiḩah	id=g:397542
Mazāri‘ al Mukharim	id=g:397543
Al Mukharim	id=g:397544
Rawḑat ad Dākhilīyah	id=g:397545
Umm Sulaym	id=g:397546
Qārat al Qunbī‘ah	id=g:397547
Qārat al Ḩazqā’	id=g:397548
Ghadīr Abā al Ḩīrān	id=g:397549
Jāl al Uşayfir	id=g:397550
Ad Dubayjah	id=g:397551
Jibāl ‘Urayḑ	id=g:397552
Ābār Umm ash Shīḩ	id=g:397553
Sha‘īb Abā al Farāwiḩ	id=g:397554
Qulbān Umm ash Shuţn	id=g:397555
Barqā’ ash Shuyūkh	id=g:397557
Sha‘īb Abū Şufayy	id=g:397558
Diraymīḩah	id=g:397559
Sha‘īb al ‘Uwaynid	id=g:397560
Baţīn al Barrah	id=g:397561
Abraq an Niyāq	id=g:397562
Huḑaybat Umm al ‘Amāyir	id=g:397563
Ḩamrā’ al ‘Uwaynid	id=g:397564
Jabal Fihrayn	id=g:397565
Bi’r al Bīshīyah	id=g:397566
Ḑabbah	id=g:397567
Qalīb Ghurayrah	id=g:397568
Sāhibat al Ḩimá	id=g:397569
Al Ghaydānīyah	id=g:397570
Sināf ar Riddāmī	id=g:397571
Qulbān ath Tharmānī	id=g:397572
Sha‘īb Abū Arţá	id=g:397573
Bi’r al ‘Abd	id=g:397574
Sha‘īb adh Dhībīyah	id=g:397575
Huḑaybat al Ḩilāj	id=g:397576
Jibāl Umm al Manāshīr	id=g:397577
Huḑaybat aḑ Ḑulla‘	id=g:397578
Khashm Mu‘ayqil	id=g:397579
Sha‘īb ad Dilaymīyah	id=g:397580
Ābār Dharqān	id=g:397581
Jabal al Wushā‘il	id=g:397582
Bi’r Mughayrā’	id=g:397583
Jabal an Nuwaybāt	id=g:397584
Khashm Ḑāḩik	id=g:397585
Khushūm Abā al Quşūr	id=g:397586
Ḩubayl Zāri‘	id=g:397587
Jibāl al Ukhayḑirāt	id=g:397588
Ḩubayl Sāmūdah	id=g:397589
Sināf Abū Nibţah	id=g:397590
Qārat ‘Afrā’	id=g:397591
Sināf al Mu‘allaq	id=g:397592
Ḩumr al Mīrakah	id=g:397593
Khashm Abā al Ḩamārī	id=g:397594
Sināf al Ḩishīshah	id=g:397595
Qulbān Waşlah	id=g:397596
Khashm Abā al Ghubţān	id=g:397597
Rawḑat al Ḩubayl	id=g:397598
Rawḑat al ‘Utayk	id=g:397599
Khashm Bā‘ij	id=g:397600
As Sāḩibah	id=g:397601
Sha‘īb al Wudaynīyah	id=g:397602
Khashm al Maz̧al	id=g:397603
Sha‘īb al Maz̧al	id=g:397604
Khashm Shuwaytīḩah	id=g:397605
Jabal Abū Muşāfiḩ	id=g:397606
Qūr Saḩaq Ghānim	id=g:397607
Huḑaybat as Sibā‘	id=g:397608
