Sisagolo	id=g:175173
Manganga	id=g:176216
Mangamu School	id=g:176217
Mandyata	id=g:176218
Mandwizi	id=g:176219
Mande	id=g:176220
Mandanda	id=g:176221
Manchene	id=g:176222
Manchelo	id=g:176223
Mambwe Reserve	id=g:176224
Mambwe Mission	id=g:176225
Mambwe	id=g:176226
Mambwe	id=g:176227
Mambwe	id=g:176228
Mamba	id=g:176229
Mamanga	id=g:176230
Malwilo	id=g:176231
Malupenga	id=g:176232
Malungu	id=g:176233
Malunde	id=g:176234
Malunda	id=g:176235
Malume	id=g:176236
Malume	id=g:176237
Malula	id=g:176238
Malongi	id=g:176239
Malombe	id=g:176240
Malisawa	id=g:176241
Malindima	id=g:176242
Maliko Mutambo	id=g:176243
Maliko	id=g:176244
Maliko	id=g:176245
Malengu Ridge	id=g:176246
Malengo Kasopa	id=g:176247
Malenge	id=g:176248
Malembo	id=g:176249
Malemale	id=g:176250
Malazi	id=g:176251
Malawi	id=g:176252
Malawi	id=g:176253
Malawe Ridge	id=g:176254
Malawe	id=g:176255
Malangwa	id=g:176256
Malangala	id=g:176257
Malandawo	id=g:176258
Malambo Hill	id=g:176259
Malambo	id=g:176260
Malamba	id=g:176261
Malale	id=g:176262
Makwakwa	id=g:176263
Makunkwa	id=g:176264
Makungu	id=g:176265
Makube	id=g:176266
Makotwe Point	id=g:176267
Makombe	id=g:176268
Makolongo	id=g:176269
Makobe	id=g:176270
Makawe	id=g:176271
Makasi	id=g:176272
Makashe	id=g:176273
Makasa	id=g:176274
Makasa	id=g:176275
Makani	id=g:176276
Makanga	id=g:176277
Makanga	id=g:176278
Makamba	id=g:176279
Makalandu	id=g:176280
Makabe	id=g:176281
Mafwesa	id=g:176282
Mafwasa	id=g:176283
Mafwa	id=g:176284
Mafumba	id=g:176285
Mafito	id=g:176286
Mafinga Mountains	id=g:176287
Maende	id=g:176288
Machipisha	id=g:176289
Machipembela	id=g:176290
Machindo	id=g:176291
Machili	id=g:176292
Mabwe	id=g:176293
Mabu	id=g:176294
Mabingu	id=g:176295
Mabingu	id=g:176296
Mabale	id=g:176297
Lyapa Kapaso	id=g:176298
Lwozi	id=g:176299
Lwinga	id=g:176300
Lwindu	id=g:176301
Lwena Lwantipa	id=g:176302
Lwela	id=g:176303
Lwela	id=g:176304
Lwazu	id=g:176305
Lwatika	id=g:176306
Luao	id=g:176307
Lwano	id=g:176308
Lwankole	id=g:176309
Lwanga	id=g:176310
Lwanga	id=g:176311
Lwanga	id=g:176312
Lwampanda	id=g:176313
Lwalika	id=g:176314
Lwali	id=g:176315
Lwalezi	id=g:176316
Lwala	id=g:176317
Luwona	id=g:176318
Luwo	id=g:176319
Luwisha	id=g:176320
Luwala Swamp	id=g:176321
Lusunda	id=g:176322
Lusonsa	id=g:176323
Lushiba Marsh	id=g:176324
Lusenga Plain National Park	id=g:176325
Lusenga Plain	id=g:176326
Lusava	id=g:176327
Lusamba	id=g:176328
Lusale Mengo	id=g:176329
Lupupa Falls	id=g:176330
Lupungu	id=g:176331
Lupungu	id=g:176332
Lupombo	id=g:176333
Lupiya	id=g:176334
Lupeya	id=g:176335
Lupele School	id=g:176336
Lupele	id=g:176337
Lupasha	id=g:176338
Lupansa	id=g:176339
Cape Lupala	id=g:176340
Luosi	id=g:176341
Lunzua Falls	id=g:176342
Lunzua	id=g:176343
Lunzua	id=g:176344
Lunyungu	id=g:176345
Lunyonge	id=g:176346
Luntomfwe	id=g:176347
Luntiya	id=g:176348
Lunsangwe	id=g:176349
Lunsangwe	id=g:176350
Lungu Native Reserve Number III	id=g:176351
Lungu Native Reserve Number II	id=g:176352
Lungu Native Reserve Number I	id=g:176353
Lungu	id=g:176354
Lungu	id=g:176355
Lungu	id=g:176356
Lunga	id=g:176357
Lunde	id=g:176358
Lunde	id=g:176359
Lunkinda	id=g:176360
Lunchinda	id=g:176361
Lunangwa	id=g:176362
Lumpombwe	id=g:176363
Lumi	id=g:176364
Lumi	id=g:176365
Lumangwe Falls	id=g:176366
Lulonka	id=g:176367
Lulenga	id=g:176368
Lulanka	id=g:176369
Lukweza	id=g:176370
Lukwesa	id=g:176371
Lukwesa	id=g:176372
Lukwesa	id=g:176373
Lukumali	id=g:176374
Lukulise	id=g:176375
Lukozya	id=g:176376
Lukota	id=g:176377
Lukonda Ridge	id=g:176378
Lukanda	id=g:176379
Lukalesi	id=g:176380
Lukale Misengo	id=g:176381
Lukala	id=g:176382
Luisindo	id=g:176383
Lufute	id=g:176384
Lufubu Mission	id=g:176385
Lufubu	id=g:176386
Lufubu	id=g:176387
Lufubu	id=g:176388
Lufubu	id=g:176389
Luendawe	id=g:176390
Luena Farms	id=g:176391
Luela	id=g:176392
Luchinde	id=g:176393
Luchewe Flood Plain	id=g:176394
Luchewe	id=g:176395
Luchewe	id=g:176396
Luchenche	id=g:176397
Lucheche	id=g:176398
Lubuta	id=g:176399
Lubumba	id=g:176400
Lubuli	id=g:176401
Lubaleshi	id=g:176402
Luapula	id=g:176403
Luapula	id=g:176404
Luao	id=g:176405
Luangwa	id=g:176406
Luango	id=g:176407
Losa	id=g:176408
Longwani	id=g:176409
Longakufika	id=g:176410
Londayila	id=g:176411
Lomyonga	id=g:176412
Lombwe	id=g:176413
Lombe	id=g:176414
Loka	id=g:176415
Liwamba	id=g:176416
Lisuti	id=g:176417
Lisondwa	id=g:176418
Lisande	id=g:176419
Lilonda Hills	id=g:176420
Lilembo	id=g:176421
Lilanga	id=g:176422
Lifuti	id=g:176423
Liamba Hill	id=g:176424
Leo Makoti	id=g:176425
Lenga	id=g:176426
Lenga	id=g:176427
Lembo	id=g:176428
Lembe	id=g:176429
Lembalemba	id=g:176430
Lemba	id=g:176431
Lazalo	id=g:176432
Lazalo	id=g:176433
Laya	id=g:176434
Laula	id=g:176435
Lasalo	id=g:176436
Langashe	id=g:176437
Lamvi	id=g:176438
Lambo	id=g:176439
Lamba	id=g:176440
Lalisha	id=g:176441
Lali	id=g:176442
Lali	id=g:176443
Laban Sinkala	id=g:176444
Kyonga	id=g:176445
Kyanike Ridge	id=g:176446
Kwimba	id=g:176447
Kwawo	id=g:176448
Kwankonko	id=g:176449
Kwangu	id=g:176450
Kusalaba	id=g:176451
Kuntamwela	id=g:176452
Kungwi	id=g:176453
Kungwe	id=g:176454
Kunga	id=g:176455
Kundimambwe	id=g:176456
Kundabwika Falls	id=g:176457
Kundabwika Falls	id=g:176458
Kunda	id=g:176459
Kumolwa	id=g:176460
Kumbula Island	id=g:176461
Kumbira	id=g:176462
Kumbi	id=g:176463
Kumbi	id=g:176464
Kulolwa	id=g:176465
Kule	id=g:176466
Kulankwi Escarpment	id=g:176467
Kuboko	id=g:176468
Kowa	id=g:176469
Kotota School	id=g:176470
Kotito	id=g:176471
Kosam	id=g:176472
Kosam	id=g:176473
Konkola	id=g:176474
Koni	id=g:176475
Konde	id=g:176476
Konde	id=g:176477
Konde	id=g:176478
Konde	id=g:176479
Kompe	id=g:176480
Kombe	id=g:176481
Kombe	id=g:176482
Komba Niyabanya	id=g:176483
Komakoma	id=g:176484
Kolwe	id=g:176485
Kolwe	id=g:176486
Kololwa Hill	id=g:176487
Cape Kolokola	id=g:176488
Kokoma	id=g:176489
Koko	id=g:176490
Koko	id=g:176491
Koka	id=g:176492
Kituta Bay	id=g:176493
Kitate	id=g:176494
Kisiki Hills	id=g:176495
Kisiki	id=g:176496
Kisesa	id=g:176497
Kisenga	id=g:176498
Kisamba	id=g:176499
Cape Kipimbi	id=g:176500
Kilwa School	id=g:176501
Kilwa Island	id=g:176502
Kilombwa	id=g:176503
Keyaya	id=g:176504
Keyaya	id=g:176505
Keso	id=g:176506
Kenneth	id=g:176507
Kenan	id=g:176508
Kela	id=g:176509
Kazwila Hill	id=g:176510
Kazwila	id=g:176511
Kazumba	id=g:176512
Kazumba	id=g:176513
Kazumba	id=g:176514
Kazuma	id=g:176515
Kazula	id=g:176516
Kazinga Hill	id=g:176517
Kazinga	id=g:176518
Kazimoto	id=g:176519
Kazimoto	id=g:176520
Kazimolwa	id=g:176521
Kazembe	id=g:176522
Kazembe	id=g:176523
Kazawa Hill	id=g:176524
Kazala	id=g:176525
Kayungulu	id=g:176526
Kayowela	id=g:176527
Kayomba	id=g:176528
Kayiwa	id=g:176529
Kayiwa	id=g:176530
Kayisuma	id=g:176531
Kayipambe	id=g:176532
Kayengese	id=g:176533
Kayende	id=g:176534
Kayele	id=g:176535
Kayazuma	id=g:176536
Kayambi Mission	id=g:176537
Kayambi	id=g:176538
Kawunda	id=g:176539
Kawombo	id=g:176540
Kawisya	id=g:176541
Kawindilo	id=g:176542
Kawimbe	id=g:176543
Kawilizye	id=g:176544
Kawila	id=g:176545
Kawila	id=g:176546
Kawendwa	id=g:176547
Kawena	id=g:176548
Kawe Hill	id=g:176549
Kawe	id=g:176550
Kawanga	id=g:176551
Kawanga	id=g:176552
Kawambwa District	id=g:176553
Kawambwa	id=g:176554
Kawambwa	id=g:176555
Kawambwa	id=g:176556
Kawale	id=g:176557
Kawale	id=g:176558
Kawala	id=g:176559
Kavuna Falls	id=g:176560
Kavuma	id=g:176561
Kaverizi	id=g:176562
Kaunguluka	id=g:176563
Kaungulu	id=g:176564
Kaungulu	id=g:176565
Kaungo	id=g:176566
Kaungo	id=g:176567
Kaunga	id=g:176568
Kaunga	id=g:176569
Kaunda	id=g:176570
Kaunda	id=g:176571
Kaumbi	id=g:176572
Kaumba	id=g:176573
Kaulu	id=g:176574
Kaulema	id=g:176575
Kaule	id=g:176576
Kaule	id=g:176577
Kaula	id=g:176578
Katwimbi	id=g:176579
Katwilisho	id=g:176580
Katwekatali Hill	id=g:176581
Katwe	id=g:176582
Katwe	id=g:176583
Katutwa	id=g:176584
Katuta Hill	id=g:176585
Katuta	id=g:176586
Katungwa	id=g:176587
Katundula	id=g:176588
Katundu	id=g:176589
Katuna	id=g:176590
Katumwa	id=g:176591
Katumba	id=g:176592
Katulututa	id=g:176593
Katula	id=g:176594
Katula	id=g:176595
Katukawuchu	id=g:176596
Katubula	id=g:176597
Katubu	id=g:176598
Katozi	id=g:176599
Katote	id=g:176600
Katota	id=g:176601
Katonyo	id=g:176602
Katonsya	id=g:176603
Katondola	id=g:176604
Katonda	id=g:176605
Katololo	id=g:176606
Kato Hill	id=g:176607
Katofwe	id=g:176608
Katobo	id=g:176609
Kati Ridge	id=g:176610
Katipa	id=g:176611
Katipa	id=g:176612
Katinti	id=g:176613
Katindi	id=g:176614
Katinda	id=g:176615
Katete Hill	id=g:176616
Katete	id=g:176617
Katete	id=g:176618
Katete	id=g:176619
Katete	id=g:176620
Katete	id=g:176621
Katete	id=g:176622
Katepa	id=g:176623
Katenga	id=g:176624
Katenda	id=g:176625
Katema Island	id=g:176626
Katema	id=g:176627
Katele	id=g:176628
Katebula	id=g:176629
Katazi	id=g:176630
Katayi	id=g:176631
Katausya	id=g:176632
Katata	id=g:176633
Katata	id=g:176634
Katanya	id=g:176635
Katanka	id=g:176636
Katama	id=g:176637
Kasyema	id=g:176638
Kaswa	id=g:176639
Kasuwaka	id=g:176640
Kasusu	id=g:176641
Kasusi	id=g:176642
Kasusa	id=g:176643
Kasununu	id=g:176644
Kasungwishi	id=g:176645
Kasungwa	id=g:176646
Kasunga	id=g:176647
Kasundika	id=g:176648
Kasunda	id=g:176649
Kasumu	id=g:176650
Kasumpa School	id=g:176651
Kasuma	id=g:176652
Kasukusume	id=g:176653
Kasozya	id=g:176654
Kasowa Stream	id=g:176655
Kasowa	id=g:176656
Kasopa	id=g:176657
Kasopa	id=g:176658
Kasopa	id=g:176659
Kasonzya	id=g:176660
Kasonya	id=g:176661
Kasonso	id=g:176662
Kasonkomona	id=g:176663
Kasonkole	id=g:176664
Kasonka Ridge	id=g:176665
Kasongwe	id=g:176666
Kasongwa	id=g:176667
Kasongwa	id=g:176668
Kasongwa	id=g:176669
Kasongwa	id=g:176670
Kasongole	id=g:176671
Kasonga	id=g:176672
Kasona	id=g:176673
Kasompe	id=g:176674
Kasoma	id=g:176675
Kasololo Bay	id=g:176676
Kasolokota	id=g:176677
Kasolo	id=g:176678
Kasolo	id=g:176679
Kasola	id=g:176680
Kasoko	id=g:176681
Kasoa	id=g:176682
Kasitu	id=g:176683
Kasita	id=g:176684
Kasinsi	id=g:176685
Kasinga	id=g:176686
Kasinda Kalumba	id=g:176687
Kasinda	id=g:176688
Kasimolira Hill	id=g:176689
Kasimbili	id=g:176690
Kasimbi	id=g:176691
Kasikinsha	id=g:176692
Kasichila	id=g:176693
Kasi	id=g:176694
Kashiwa	id=g:176695
Kashingashi	id=g:176696
Kashinda Mission	id=g:176697
Kashinda	id=g:176698
Kashinda	id=g:176699
Kashile	id=g:176700
Kashikishi	id=g:176701
Kashema	id=g:176702
Kasepa	id=g:176703
Kasepa	id=g:176704
Kasense	id=g:176705
Kasengese	id=g:176706
Kasengele	id=g:176707
Kasenga Hill	id=g:176708
Cape Kasenga	id=g:176709
Kasenga	id=g:176710
Kasenga	id=g:176711
Kasenga	id=g:176712
Kasenga	id=g:176713
Kasenga	id=g:176714
Kasenga	id=g:176715
Kasenda	id=g:176716
Kasembi	id=g:176717
Kasembe	id=g:176718
Kaseluka	id=g:176719
Kaselenge	id=g:176720
Kaseleka	id=g:176721
Kaseke School	id=g:176722
Kaseke	id=g:176723
Kasebwe	id=g:176724
Kase	id=g:176725
Kasawa	id=g:176726
Kasanza	id=g:176727
Kasanshi	id=g:176728
Kasanshi	id=g:176729
Kasankwa	id=g:176730
Kasanga	id=g:176731
Kasanga	id=g:176732
Kasamvu Hill	id=g:176733
Kasamvu	id=g:176734
Kasamfu	id=g:176735
Kasamba	id=g:176736
Kasamba	id=g:176737
Kasama	id=g:176738
Kasama	id=g:176739
Kasakula	id=g:176740
Kasakolwe	id=g:176741
Kasakazi	id=g:176742
Kasakalwa	id=g:176743
Kasakalawe Point	id=g:176744
Kasakalawe	id=g:176745
Kasakalabwe	id=g:176746
Kasaka	id=g:176747
Kasabwe	id=g:176748
Kasaba Bay	id=g:176749
Kasa	id=g:176750
Karandu	id=g:176751
Kapyata	id=g:176752
Kapwishi	id=g:176753
Kapwila	id=g:176754
Kaputu	id=g:176755
Kaputa District	id=g:176756
Kaputa	id=g:176757
Kaputa	id=g:176758
Kapupwe	id=g:176759
Kapungwa	id=g:176760
Kapundu	id=g:176761
Kapumfi	id=g:176762
Kapulumuka	id=g:176763
Kapulo School	id=g:176764
Kapufi	id=g:176765
Kapufi	id=g:176766
Kapoya	id=g:176767
Kaposi	id=g:176768
Kaponzia	id=g:176769
Kaponjela	id=g:176770
Kaponga	id=g:176771
Kapondwa	id=g:176772
Kapoli	id=g:176773
Kapoli	id=g:176774
Kapokola	id=g:176775
Kapoko	id=g:176776
Kapoke	id=g:176777
Kapobo	id=g:176778
Kapisha Hot Springs	id=g:176779
Kapindo	id=g:176780
Kapinda	id=g:176781
Kapinda	id=g:176782
Kapili Wenga Hill	id=g:176783
Kapili Nondo	id=g:176784
Kapili Mukusu	id=g:176785
Kapili Mpande	id=g:176786
Kapili Longa Hill	id=g:176787
Kapili	id=g:176788
Kapili	id=g:176789
Kapili	id=g:176790
Kapili	id=g:176791
Kapikanji	id=g:176792
Kapeto	id=g:176793
Kapeta	id=g:176794
Kapeshi	id=g:176795
Kapepa	id=g:176796
Kapenza	id=g:176797
Cape Kapembwa	id=g:176798
Kapembwa	id=g:176799
Kapembwa	id=g:176800
Kapembe	id=g:176801
Kapemba	id=g:176802
Kapemba	id=g:176803
Kapemba	id=g:176804
Kapema Mission	id=g:176805
Kapema	id=g:176806
Kapelu	id=g:176807
Kapelizi	id=g:176808
Kapelele	id=g:176809
Kapelamela	id=g:176810
Kapefu	id=g:176811
Kapatu Mission	id=g:176812
Kapata	id=g:176813
Kapata	id=g:176814
Kapata	id=g:176815
Kapashye Village	id=g:176816
Kapasa	id=g:176817
Kapangula	id=g:176818
Kapanga	id=g:176819
Kapandula	id=g:176820
Kapandula	id=g:176821
Kapandila	id=g:176822
Cape Kapalwe	id=g:176823
Kapala	id=g:176824
Kapako	id=g:176825
Kaonya	id=g:176826
Kaonya	id=g:176827
Kaongela	id=g:176828
Kaombwe	id=g:176829
Kanzombo Hill	id=g:176830
Kanyonga	id=g:176831
Kanyika	id=g:176832
Kanyika	id=g:176833
Kanyembo	id=g:176834
Kanyembe	id=g:176835
Kanyelele	id=g:176836
Kanyelele	id=g:176837
Kanyangala	id=g:176838
Kanyama	id=g:176839
Kanyalupe	id=g:176840
Kanyala	id=g:176841
Kanwantondwe Hill	id=g:176842
Cape Kanwankoko	id=g:176843
Kanwankoko	id=g:176844
Kanwa ka Makanga	id=g:176845
Kantungulu	id=g:176846
Kantunangulu Hills	id=g:176847
Kantumba	id=g:176848
Kantu	id=g:176849
Kantopwezi	id=g:176850
Kantonga	id=g:176851
Kantawe	id=g:176852
Kantalawe	id=g:176853
Kantala Stream	id=g:176854
Kanswila	id=g:176855
Kansuli	id=g:176856
Kansubi	id=g:176857
Kansombe	id=g:176858
Kansola	id=g:176859
Kansilye	id=g:176860
Kanshiko	id=g:176861
Kansemba	id=g:176862
Kansele	id=g:176863
Kansamba	id=g:176864
Tiungu	id=g:176865
Kanonje	id=g:176866
Kanonje	id=g:176867
Kanonge	id=g:176868
Kanonde	id=g:176869
Kanona	id=g:176870
Kankusya	id=g:176871
Kankoloto School	id=g:176872
Kankasha	id=g:176873
Kankangwe	id=g:176874
Kanjiri	id=g:176875
Kanjelemwa	id=g:176876
Kanjela	id=g:176877
Kanjela	id=g:176878
Kaniki	id=g:176879
Kaniki	id=g:176880
Kanikalonge	id=g:176881
Kangwa	id=g:176882
Kangombe Chisha	id=g:176883
Kangolwa	id=g:176884
Kangili	id=g:176885
Kange	id=g:176886
Kangala	id=g:176887
Kanga	id=g:176888
Kaneya Ridge	id=g:176889
Kanengwa	id=g:176890
Kanembe	id=g:176891
Kanduwa	id=g:176892
Kandupo	id=g:176893
Kandayona	id=g:176894
Kandaba	id=g:176895
Kanangu	id=g:176896
Kanamwala	id=g:176897
Kanamusanga	id=g:176898
Kanamalama	id=g:176899
Kanalobwe	id=g:176900
Kanaka	id=g:176901
Kanachonde	id=g:176902
Kamyanga	id=g:176903
Kamwinda	id=g:176904
Kamwika	id=g:176905
Kamwendo	id=g:176906
Kamwebe	id=g:176907
Kamwala	id=g:176908
Kamwafi	id=g:176909
Kamwafi	id=g:176910
Kamwafe	id=g:176911
Kamwa	id=g:176912
Kamuswazi	id=g:176913
Kamuno	id=g:176914
Kamulenda	id=g:176915
Kamukwamba	id=g:176916
Kamuchinka	id=g:176917
Kamuchelo	id=g:176918
Kampungu	id=g:176919
Kampulupulu	id=g:176920
Kampukwe	id=g:176921
Kamponda	id=g:176922
Kampinda	id=g:176923
Kampilikwa Hill	id=g:176924
Kampembe	id=g:176925
Kampemba	id=g:176926
Kampemba	id=g:176927
Kampemba	id=g:176928
Kampemba	id=g:176929
Kampele Hill	id=g:176930
Kampela	id=g:176931
Kampata	id=g:176932
Kampangola	id=g:176933
Kampande	id=g:176934
Kampanda	id=g:176935
Kampampi School	id=g:176936
Kampambwe	id=g:176937
Kampambwa	id=g:176938
Kamovu	id=g:176939
Kamoto	id=g:176940
Kamizasa	id=g:176941
Kamitamba	id=g:176942
Kaminu	id=g:176943
Kamilombe	id=g:176944
Kambwi	id=g:176945
Kambwe	id=g:176946
Kambwali	id=g:176947
Kambuzazi Hill	id=g:176948
Kambole Mission	id=g:176949
Kambole	id=g:176950
Kambole	id=g:176951
Kambole	id=g:176952
Kambobe	id=g:176953
Kambili	id=g:176954
Kambili	id=g:176955
Kambili	id=g:176956
Kambe	id=g:176957
Kambe	id=g:176958
Kambansenga	id=g:176959
Kambalwanda	id=g:176960
Kambakuku	id=g:176961
Kambakasuma	id=g:176962
Kambaka Mutozo	id=g:176963
Kamaswaswa Ridge	id=g:176964
Kamasu	id=g:176965
Kamankala	id=g:176966
Kamango	id=g:176967
Kamanga	id=g:176968
Kamana	id=g:176969
Kamana	id=g:176970
Kamamba	id=g:176971
Kamalunga	id=g:176972
Kamalongu	id=g:176973
Kamalonge	id=g:176974
Kamafwasa	id=g:176975
Kamacholola	id=g:176976
Kamaba	id=g:176977
Kalyati	id=g:176978
Kalyata	id=g:176979
Kalyando	id=g:176980
Kalwangwa	id=g:176981
Kalwamba	id=g:176982
Kalwala	id=g:176983
Kaluweya	id=g:176984
Kalunze	id=g:176985
Kalunji	id=g:176986
Kalungwisi	id=g:176987
Kalungwisi	id=g:176988
Kalungwishi Meadows	id=g:176989
Kalungwishi	id=g:176990
Kalungwana	id=g:176991
Kalungu	id=g:176992
Kalungu	id=g:176993
Kalundu	id=g:176994
Kalundi	id=g:176995
Kalumo	id=g:176996
Kalumbwa	id=g:176997
Kalumba	id=g:176998
Kaluluzi	id=g:176999
Kalulu	id=g:177000
Kalulu	id=g:177001
Kalukuta	id=g:177002
Kalukanya	id=g:177003
Kalongola	id=g:177004
Kalonge	id=g:177005
Kalonga	id=g:177006
Kalonda	id=g:177007
Cape Kalomo	id=g:177008
Kalombola	id=g:177009
Kalombo	id=g:177010
Kalombe	id=g:177011
Kalomba	id=g:177012
Kalolwa	id=g:177013
Kalolo	id=g:177014
Kalola	id=g:177015
Kalobwa	id=g:177016
Kalobwa	id=g:177017
Kalobwa	id=g:177018
Kalo	id=g:177019
Kalini Ridge	id=g:177020
Kalinambo	id=g:177021
Kaliminwa	id=g:177022
Kalimba	id=g:177023
Kalima	id=g:177024
Kalilo	id=g:177025
Kalili	id=g:177026
Kalilamutongwe	id=g:177027
Kalilaka	id=g:177028
Kalila	id=g:177029
Kalifiti	id=g:177030
Kalezi	id=g:177031
Kaleulu	id=g:177032
Kalesu	id=g:177033
Kaleshi	id=g:177034
Kalepola Hill	id=g:177035
Kalense	id=g:177036
Kalenje	id=g:177037
Kalenga	id=g:177038
Kalendula	id=g:177039
Kalembwe	id=g:177040
Kalembe	id=g:177041
Kalejlu	id=g:177042
Kale	id=g:177043
Kale	id=g:177044
Kale	id=g:177045
Kale	id=g:177046
Kalaye Escarpment	id=g:177047
Kalasa School	id=g:177048
Kalanga	id=g:177049
Kalandu	id=g:177050
Kalandanya	id=g:177051
Kalandanya	id=g:177052
Kalanda	id=g:177053
Kalamfwa	id=g:177054
Kalambo Falls	id=g:177055
Kalambo	id=g:177056
Kalambo River	id=g:177057
Kalambasamba	id=g:177058
Kalambansama	id=g:177059
Kalambanjili	id=g:177060
Kalamba	id=g:177061
Kalala	id=g:177062
Kalala	id=g:177063
Kalabwe Mission	id=g:177064
Kalabwe	id=g:177065
Kala Bay	id=g:177066
Kalaba	id=g:177067
Kala	id=g:177068
Kakuso	id=g:177069
Kakungu	id=g:177070
Kakundi	id=g:177071
Kakula	id=g:177072
Kakula	id=g:177073
Kakula	id=g:177074
Kakubo	id=g:177075
Cape Kaku	id=g:177076
Kakozya	id=g:177077
Kakowa	id=g:177078
Kakote	id=g:177079
Kakosa	id=g:177080
Kakopo	id=g:177081
Kakonko	id=g:177082
Kakonde	id=g:177083
Kakonde	id=g:177084
Kakonde	id=g:177085
Kakonde	id=g:177086
Kakombola	id=g:177087
Kakombe	id=g:177088
Kakomba	id=g:177089
Kakoma Pools	id=g:177090
Kakoma Game Camp	id=g:177091
Kakoma	id=g:177092
Kakoma	id=g:177093
Kakoma	id=g:177094
Kakoma	id=g:177095
Kakoma	id=g:177096
Kakoma	id=g:177097
Kakoma	id=g:177098
Kakoma	id=g:177099
Kakolwe	id=g:177100
Kakolo	id=g:177101
Kakola	id=g:177102
Lake Kako	id=g:177103
Kakangwe	id=g:177104
Kaka	id=g:177105
Kafyende	id=g:177106
Kafwanka	id=g:177107
Kafwanka	id=g:177108
Kafushya	id=g:177109
Kafungila	id=g:177110
Kafunda	id=g:177111
Kafulwe Mission	id=g:177112
Kafulwe	id=g:177113
Kafulwe	id=g:177114
Kafukula	id=g:177115
Kafuki	id=g:177116
Kafubu	id=g:177117
Kafolo	id=g:177118
Kafita	id=g:177119
Kafita	id=g:177120
Kafinga	id=g:177121
Kafinga	id=g:177122
Kafilu	id=g:177123
Kafeu	id=g:177124
Kaenya	id=g:177125
Kaenjle Hill	id=g:177126
Kaduta	id=g:177127
Kachozi	id=g:177128
Kachinga	id=g:177129
Kachinga	id=g:177130
Kachimo	id=g:177131
Kachilingwe Hill	id=g:177132
Cape Kachese	id=g:177133
Kachela	id=g:177134
Kacheche	id=g:177135
Kabwili	id=g:177136
Kabwe Rock	id=g:177137
Kabwe Plain	id=g:177138
Cape Kabwe Nsolo	id=g:177139
Cape Kabwe Ngosye	id=g:177140
Kabweluma Falls	id=g:177141
Kabwe	id=g:177142
Kabwe	id=g:177143
Kabwe	id=g:177144
Kabwe	id=g:177145
Kabwe	id=g:177146
Kabwe	id=g:177147
Kabwe	id=g:177148
Kabuta	id=g:177149
Kabushi	id=g:177150
Kabusenga	id=g:177151
Kabungo	id=g:177152
Kabumbani	id=g:177153
Kabulwe	id=g:177154
Kabulukulu	id=g:177155
Kabulemba	id=g:177156
Kabulangombe	id=g:177157
Kabukwa	id=g:177158
Kabonde	id=g:177159
Kabola	id=g:177160
Kabemba	id=g:177161
Kabekesha	id=g:177162
Kabeke	id=g:177163
Kabatwe	id=g:177164
Kabansa Hill	id=g:177165
Kabanga	id=g:177166
Kabanda School	id=g:177167
Kabambe	id=g:177168
Kabalenge Leprosy Settlement	id=g:177169
Kabale	id=g:177170
Kabale	id=g:177171
Kabale	id=g:177172
Kabale	id=g:177173
Kabale	id=g:177174
Kabale	id=g:177175
Kabakaba	id=g:177176
Kababemba	id=g:177177
Kababemba	id=g:177178
Juni Sichipeta	id=g:177179
Joseph Simumba	id=g:177180
John Zombe	id=g:177181
John Sinkala	id=g:177182
John Simukoko	id=g:177183
John Kapembwa	id=g:177184
John Chivuta	id=g:177185
John Chitundu	id=g:177186
John Chewe Village	id=g:177187
John	id=g:177188
Jim Yombwe	id=g:177189
Jim Mulambya	id=g:177190
Jim Malesu	id=g:177191
Jim Kambole	id=g:177192
Jim Chindo	id=g:177193
Jim Chinakila	id=g:177194
Jeremia	id=g:177195
James	id=g:177196
Jakalasi	id=g:177197
Jacob Sopu	id=g:177198
Jacob Mutamba	id=g:177199
Jacob Chiyombo	id=g:177200
Jacob	id=g:177201
Izi Falls	id=g:177202
Izi	id=g:177203
Izela Ridge	id=g:177204
Iyambala Hill	id=g:177205
Itwi	id=g:177206
Itimbwe Gorge	id=g:177207
Itimbwe	id=g:177208
Itimbwe	id=g:177209
Itete	id=g:177210
Itende	id=g:177211
Itemba	id=g:177212
Itama	id=g:177213
Itakanana	id=g:177214
Itabu Mission	id=g:177215
Itabu	id=g:177216
Isusu	id=g:177217
Isongolo	id=g:177218
Isokwe Island	id=g:177219
Isoko	id=g:177220
Isoka	id=g:177221
Isofu	id=g:177222
Isofu	id=g:177223
Isele	id=g:177224
Isanzye	id=g:177225
Isanya	id=g:177226
Isanga Bay	id=g:177227
Isalala	id=g:177228
Isalala	id=g:177229
Isaka	id=g:177230
Isaac	id=g:177231
Iponya	id=g:177232
Ipata	id=g:177233
Inowa	id=g:177234
Inona	id=g:177235
Indu	id=g:177236
Inangu Peninsula	id=g:177237
Inangu	id=g:177238
Inamwanga Reserve	id=g:177239
Imfi	id=g:177240
Imbila	id=g:177241
Imabwe	id=g:177242
Ilondo	id=g:177243
Ilonda Hill	id=g:177244
Ilesya	id=g:177245
Ilendela	id=g:177246
Ilembo	id=g:177247
Ilala Hill	id=g:177248
Ikuwa	id=g:177249
Ikumbi	id=g:177250
Ikola Hills	id=g:177251
Ikawa	id=g:177252
Ifuna	id=g:177253
Ifisa	id=g:177254
Ichuwi	id=g:177255
Ibombo	id=g:177256
Hore Bay	id=g:177257
