Rugar	id=g:6998460
Kandaramo	id=g:7019111
Dan Bauchi	id=g:7019112
Maigari	id=g:7019113
Dawankiria	id=g:7019114
Metele	id=g:7019115
Kudi	id=g:7019116
Shatanbaya	id=g:7019117
Tudun Shatanbaya Hill	id=g:7019118
Kurma	id=g:7019119
Chindo	id=g:7019120
Abu Barka	id=g:7019121
Mai Farin Kai	id=g:7019122
Shamaki	id=g:7019128
Karfi Forest Reserve	id=g:7019129
Mararraba Kankaro	id=g:7019130
Chinya Hill	id=g:7019131
Kauyan Dawo	id=g:7019132
Ungwan Barau	id=g:7019133
Gangare	id=g:7019134
Tsaunin	id=g:7019135
Kurmi Forest Reserve	id=g:7019136
Jangen Mani	id=g:7019137
Darenfada Forest Reserve	id=g:7019138
Daran Fada	id=g:7019139
Agashe Forest Reserve	id=g:7019140
Takawa	id=g:7019141
Marmara	id=g:7019142
Ungwan Bawa	id=g:7019143
Sabon Layi Nasarawa	id=g:7019144
Kwari	id=g:7019145
Safale	id=g:7019146
Ungwan Bawa	id=g:7019148
Kafi Awo	id=g:7019149
Yalwa	id=g:7019150
Dan Gayaki	id=g:7019151
Dundun Bature Forest Reserve	id=g:7019152
Ungwan Alhazi	id=g:7019153
Bauni	id=g:7019154
Rimin	id=g:7019155
Zanginawa	id=g:7019156
Ganji	id=g:7019157
Yola	id=g:7019158
Figi	id=g:7019159
Tubnrawa	id=g:7019160
Zauna Gari	id=g:7019161
Dan Zuwa	id=g:7019162
Dan Leni	id=g:7019163
Bari	id=g:7019164
Layawa	id=g:7019165
Garun Gatari Forest Reserve	id=g:7019167
Ungwan Kyanbo	id=g:7019169
Sabon Layi	id=g:7019173
Mattakai	id=g:7019174
Bugawa	id=g:7019175
Ungwan Dawa	id=g:7019176
Kyawa	id=g:7019177
Dutsen Yanki	id=g:7019178
Ungwan Maijakai	id=g:7019179
Jargaba	id=g:7019180
Kunnuwa	id=g:7019181
Dan Garba Forest Reserve	id=g:7019182
Tsambe Forest Reserve	id=g:7019183
Ungwan Makera	id=g:7019184
Balagaza	id=g:7019185
Shuwaki	id=g:7019186
Ungwan Noma	id=g:7019187
Magajin Aska	id=g:7019188
Mai Dambu	id=g:7019189
Hankali	id=g:7019190
Zugu	id=g:7019191
Jatau	id=g:7019192
Soro	id=g:7019193
Bawa	id=g:7019194
Guga Forest Reserve	id=g:7019195
Galadima	id=g:7019196
Magie Ada	id=g:7019197
Yaroro	id=g:7019198
Baka	id=g:7019199
Dan Maiki	id=g:7019200
Dan Mallam	id=g:7019201
Ruwan Godiyo	id=g:7019202
Dan Bido	id=g:7019203
Kwakwari	id=g:7019204
Kabena Hill	id=g:7019205
Katsina Native Area Forest Reserve	id=g:7019206
Kumpani	id=g:7019207
Mai Gora	id=g:7019208
Bagabiri	id=g:7019209
Unguwan Karata	id=g:7019210
Bangori	id=g:7019211
Dhayaki	id=g:7019212
Ungwan Sarkin Aiki Ibiran	id=g:7019213
Ungwan Makera	id=g:7019214
Liman	id=g:7019215
Mallam Aminu	id=g:7019216
Zadferawa	id=g:7019217
Tsalibi	id=g:7019218
Warara	id=g:7019219
Maciyan Bagabiri	id=g:7019220
Nassarawa	id=g:7019221
Kanaki	id=g:7019222
Tauri	id=g:7019223
Makoji	id=g:7019224
Bakori Forest Reserve	id=g:7019225
Ruwau Gugi	id=g:7019226
Mai Gari	id=g:7019227
Tanko	id=g:7019228
Dan Della	id=g:7019229
Gangaren	id=g:7019230
Danlami	id=g:7019231
Kuka	id=g:7019232
Ungwan Koli	id=g:7019233
Ungwan Dan Gada	id=g:7019234
Koto Forest Reserve	id=g:7019235
Dan Kwara	id=g:7019320
Gangarbin Kwari	id=g:7019321
Siran Forest Reserve	id=g:7019322
Ungwan Daudu	id=g:7019323
Ungwan Wabi	id=g:7019324
Dabinuwa Forest Reserve	id=g:7019325
Zoza	id=g:7019326
Zoza	id=g:7019327
Dadin Kowa	id=g:7019328
Citama	id=g:7019329
Adama	id=g:7019330
Ungwan Randi	id=g:7019331
Daminawa	id=g:7019332
Ungwan Dodo	id=g:7019333
Ungwan Gara	id=g:7019334
Ungwan Sha 1	id=g:7019335
Mayanu	id=g:7019336
Ba’awa	id=g:7019337
Madatai	id=g:7019338
Kaleko	id=g:7019339
Ungwan Madaki	id=g:7019340
Ungwan Tsofo	id=g:7019341
Bazo	id=g:7019342
Ungwan Maiganga	id=g:7019343
Ungwan Maye	id=g:7019347
Ungwan Tudu	id=g:7019348
Limawa	id=g:7019351
Ayaga Kwari	id=g:7019352
Ayaga	id=g:7019353
Kadafa	id=g:7019354
Ungwan Idi	id=g:7019355
Ungwan Madugu	id=g:7019356
Kogo	id=g:7019357
Kabomo	id=g:7019358
Gora	id=g:7019359
Wardanga	id=g:7019360
Chindo	id=g:7019361
Domo	id=g:7019362
Dogo	id=g:7019363
Gauja	id=g:7019364
Mallam Musa	id=g:7019365
Haiarama	id=g:7019366
Zobe	id=g:7019367
Makera	id=g:7019368
Yankwani	id=g:7019369
Dutsin Hakuru	id=g:7019370
Miko Sarkin Fulani	id=g:7019371
Ungwan Barmo	id=g:7019372
Kadirawa	id=g:7019373
Dungu	id=g:7019374
Hayin Maji	id=g:7019375
Baban Kufai	id=g:7019376
Babban Kwai	id=g:7019377
Dukke	id=g:7019378
Bagu	id=g:7019379
Biri	id=g:7019380
Dan Zaria	id=g:7019381
Ungwan Mallam	id=g:7019382
Dan Baba	id=g:7019383
Huku Hill	id=g:7019384
Fankama	id=g:7019385
Sabon Laye	id=g:7019386
Dan Yama	id=g:7019387
Dan Kauye	id=g:7019392
Dan-Kanya	id=g:7019393
Barebari	id=g:7019394
Dichie Hill	id=g:7019395
Barau	id=g:7019396
Gadau	id=g:7019397
Ungwan Barshi	id=g:7019398
Bohari	id=g:7019399
Dogon Zagi	id=g:7019400
Bawa	id=g:7019401
Dahiru	id=g:7019402
Galadima	id=g:7019403
Dan Mallam	id=g:7019404
Bele	id=g:7019405
Nabuka	id=g:7019406
Dutsin Reme	id=g:7019407
Ladan	id=g:7019408
Umaru	id=g:7019409
Dutsin Reme	id=g:7019410
Barau	id=g:7019411
Kauran Yankwani	id=g:7019412
Ungwan Rimi	id=g:7019413
Jarumai	id=g:7019414
Alkali	id=g:7019415
Nabaruma	id=g:7019416
Kokabo	id=g:7019417
Ungwan Dinya	id=g:7019418
Dantalle	id=g:7019419
Ibrahim	id=g:7019420
Tanko	id=g:7019421
Bakin Kogi	id=g:7019422
Maizaure Forest Reserve	id=g:7019423
Sheka Forest Reserve	id=g:7019425
Ungwan Mainasara	id=g:7019426
Ungwan Dan Tagwai	id=g:7019427
Ungwan Hore	id=g:7019428
Ungwan Ringi	id=g:7019430
Tukurwa	id=g:7019431
Ungwan Paki	id=g:7019432
Ungwan Liman	id=g:7019433
Daneji	id=g:7019434
Walawa	id=g:7019435
Dan Marka	id=g:7019436
Ungwan Sarki	id=g:7019437
Karshi	id=g:7019438
Gowarza	id=g:7019439
Ungwan Chiroma	id=g:7019440
Gankai Hill	id=g:7019441
Karshi	id=g:7019442
Rubi	id=g:7019443
Darido	id=g:7019444
Yalwa	id=g:7019445
Ungwan Audu	id=g:7019446
Tukurwa	id=g:7019447
Walawa	id=g:7019448
Ungwan Isa	id=g:7019449
Taini Hill	id=g:7019450
Gidan Daduwa	id=g:7019451
Chowawa Hill	id=g:7019452
Bori	id=g:7019453
Hayin Mai Alewa	id=g:7019454
Kanawa	id=g:7019455
Tahida	id=g:7019456
Ungwan Liman Koshe	id=g:7019457
Sarkin Noma	id=g:7019458
Mallam Habibu	id=g:7019459
Ungwan Larabi	id=g:7019460
Salihu	id=g:7019461
Jiba	id=g:7019462
Nagago	id=g:7019463
Ungwan Dado	id=g:7019464
Nainu	id=g:7019465
Rafin Kanya	id=g:7019466
Girga	id=g:7019467
Ungwan Adamu	id=g:7019468
Ungwan Liman	id=g:7019469
Dabo	id=g:7019470
Makama	id=g:7019471
Sa Adu	id=g:7019472
Ungwan Mani	id=g:7019473
Ungwan Salau	id=g:7019474
Barka	id=g:7019475
Magaji Bobo	id=g:7019476
Tadi	id=g:7019477
Isiaku	id=g:7019478
Tsaunin Makwarwa	id=g:7019479
Garba Wanzami	id=g:7019480
Ungwan Mai Shanu	id=g:7019481
Kazagu Makeri	id=g:7019482
Ungwan Dan Zaria	id=g:7019483
Ungwan Mallam Salla	id=g:7019484
Mai Kandamba	id=g:7019485
Ungwan Rimi	id=g:7019486
Yankinda	id=g:7019487
Chirama	id=g:7019488
Magajin Kondo	id=g:7019489
Jaki	id=g:7019490
Koshe	id=g:7019491
Ungwan Dan Birnin	id=g:7019492
Jarumai	id=g:7019493
Doka Ashafa	id=g:7019494
Ungwan Duka Baki	id=g:7019495
Illalla	id=g:7019497
Ungwan Mai Komo	id=g:7019498
Ungwan Mallam Tsofo	id=g:7019499
Ungwan Mai Tsamiya	id=g:7019500
Ungwan Daudu Kira	id=g:7019501
Gyazama	id=g:7019502
Ungwan Marinai	id=g:7019503
Ungwan Bagudu	id=g:7019504
Angale	id=g:7019505
Chiroma	id=g:7019506
Ungwan Maliki	id=g:7019507
Ungwan Idi Mai Jakkai	id=g:7019508
Dangara	id=g:7019509
Ungwan Dutsi	id=g:7019510
Kwatangiri	id=g:7019511
Ungwan Dan Galadima	id=g:7019512
Ungwan Babantua	id=g:7019514
Goya	id=g:7019515
Ungwan Gambo	id=g:7019516
Ungwan Dan Zaki	id=g:7019517
Ungwan Amodu	id=g:7019518
Ungwan Rogo	id=g:7019519
Ungwan Ganai	id=g:7019520
Rafin Gora	id=g:7019521
Zango Marke	id=g:7019522
Tandama Forest Reserve	id=g:7019523
Kuraco Hill	id=g:7019524
Dutsin Haruna Hill	id=g:7019525
Gidan Giwa	id=g:7019526
Dan Gwarzo	id=g:7019527
Ungwan Makashi	id=g:7019528
Gidan Bingyele	id=g:7019529
Ungwan Maguzawa	id=g:7019530
Dutsin Baki Hill	id=g:7019531
Ungwan Mallamawa	id=g:7019532
Ungwan Shadauro	id=g:7019533
Ungwan Kwabe	id=g:7019534
Ungwan Kayale	id=g:7019535
Ungwan Zabo	id=g:7019536
Ungwan Kadabo	id=g:7019537
Ungwan Kauran Dawa	id=g:7019538
Ungwan Lallau	id=g:7019539
Chediya	id=g:7019540
Gidan Wula	id=g:7019541
Dan Kauye	id=g:7019542
Gidan Mallam Sani	id=g:7019543
Sarkin Noma	id=g:7019544
Mashekarai	id=g:7019545
Ungwan Abokin Baba	id=g:7019546
Tudun Wada	id=g:7019547
Daudu	id=g:7019548
Ungwan Madaki	id=g:7019549
Dogon Dawa	id=g:7019550
Tudun Majedo	id=g:7019551
Doraji	id=g:7019552
Ungwan Agagi	id=g:7019553
Tatari	id=g:7019554
Ungwan Mallam Moma	id=g:7019555
Ungwan Dan Kauye	id=g:7019556
Ungwan Mallam Moma	id=g:7019557
Ungwan Rabo Baduku	id=g:7019558
Ungwan Dan Fangi	id=g:7019559
Ungwan Maude	id=g:7019560
Tudun Iyo Forest Reserve	id=g:7019561
Soko	id=g:7019562
Ungwan Kibo	id=g:7019563
Ungwan Ruan Ango	id=g:7019564
Ungwan Kauran Pawa	id=g:7019565
Ungwan Ali	id=g:7019566
Gidan Dabo	id=g:7019567
Baraji	id=g:7019568
Ungwan Liman	id=g:7019569
Ungwan Dan Tagwaye	id=g:7019570
Mallam Alhaji	id=g:7019571
Ungwan Mazadu	id=g:7019572
Gidan Dandi	id=g:7019573
Ungwan Bature	id=g:7019574
Ungwan Barau	id=g:7019575
Ungwan Ala	id=g:7019576
Tinau	id=g:7019577
Ungwan Dan Auta	id=g:7019578
Ungwan Kimba	id=g:7019579
Mahazu	id=g:7019580
Ungwan Pa	id=g:7019581
Ungwan Dangaragi	id=g:7019582
Sayau	id=g:7019583
Ungwan Chitumu	id=g:7019584
Idiki	id=g:7019585
Gidan Sarkin Noma	id=g:7019586
Ungwan Liman	id=g:7019587
Ungwan Kachilo	id=g:7019588
Gidan Liman	id=g:7019589
Ungwan Nassarawa	id=g:7019590
Ungwan Haruna	id=g:7019591
Ungwan Liman	id=g:7019592
Magajin Wando	id=g:7019593
Ungwan Amadu	id=g:7019594
Ungwan Mai Takalmi	id=g:7019595
Balkam	id=g:7019596
Nasarawa	id=g:7019597
Ungwan Lasanawa	id=g:7019598
Gidan Sarkin Noma	id=g:7019599
Ungwan Ango Makeri	id=g:7019600
Ungwan Adamu	id=g:7019601
Ungwan Mai Dawa	id=g:7019602
Ungwan Kori	id=g:7019603
Ungwan Amadu	id=g:7019604
Ungwan Sarkin Fulani	id=g:7019605
Ungwan Sogiji	id=g:7019606
Baban Rafi	id=g:7019607
Dundibus	id=g:7019609
Ungwan Wada	id=g:7019610
Ungwan Kauran Fawa	id=g:7019612
Mahuta	id=g:7019613
Ungwan Mande	id=g:7019614
Tsaunin Kisini Hill	id=g:7019616
Ungwan Madaki	id=g:7019617
Ungwan Dogarra	id=g:7019618
Ungwan Deri	id=g:7019620
Dan Ladi	id=g:7019621
Bormo	id=g:7019623
Ungwan Ango	id=g:7019624
Doka	id=g:7019625
Ungwan Daudu	id=g:7019627
Ungwan Dan Magani	id=g:7019629
Dan Guzuri	id=g:7019630
Ungwan Tamowa	id=g:7019631
Ungwan Rimi	id=g:7019632
Dutsin Gazara Hill	id=g:7019633
Ungwan Mummuni	id=g:7019635
Ba’awa	id=g:7019637
Ungwan Mummini	id=g:7019638
Ungwan Cerwa	id=g:7019639
Ungwan Dan Gashi	id=g:7019640
Ungwan Dan Haruna	id=g:7019641
Ungwan Yalwa	id=g:7019642
Ungwan Boka	id=g:7019643
Ungwan Marku	id=g:7019644
Dan Juma	id=g:7019645
Kirare	id=g:7019646
Gidan Madobi	id=g:7019647
Ungwan Audu	id=g:7019648
Ungwan Galadima	id=g:7019649
Gidan Gwamkai	id=g:7019650
Ungwan Naino	id=g:7019651
Ungwan Gani	id=g:7019652
Ungwan Maguzawa	id=g:7019653
Maje	id=g:7019654
Ganuwa	id=g:7019655
Ungwan Madara	id=g:7019656
Ungwan Sintiti	id=g:7019657
Ungwan Maidawa	id=g:7019658
Ungwan Mallam Idi	id=g:7019659
Yakawada	id=g:7019660
Barebari	id=g:7019661
Ungwan Mudu	id=g:7019662
Ungwan Tukur	id=g:7019663
Ungwan Dan Bako	id=g:7019664
Ungwan Mai Laya	id=g:7019665
Ungwan Madaki	id=g:7019666
Ungwan Ajia	id=g:7019667
Ungwan Tado	id=g:7019668
Ungwan Dahiru	id=g:7019669
Kaura Dan Alasan	id=g:7019670
Ungwan Shatambaya	id=g:7019671
Ungwan Halilu	id=g:7019672
Ungwan Kwana Duke	id=g:7019673
Ungwan Gagarau	id=g:7019674
Ungwan Wanzam	id=g:7019675
Sabon Gida	id=g:7019676
Ungwan Isa	id=g:7019677
Tumburkai	id=g:7019678
Gidan Liman	id=g:7019679
Ungwan Mallam Bako	id=g:7019680
Gidan Dan Auta	id=g:7019681
Maidabo	id=g:7019682
Tsaunin Jino Hill	id=g:7019750
Ungwan Maude	id=g:7019751
Ungwan Daudu	id=g:7019752
Ungwan Hamidu	id=g:7019753
Ungwan Dandi	id=g:7019754
Ungwan Abarma	id=g:7019755
Ungwan Usman	id=g:7019756
Ungwan Zegezagi	id=g:7019757
Ungwan Wakili	id=g:7019758
Ungwan Sani	id=g:7019759
Ungwan Musa	id=g:7019760
Ungwan Alananan	id=g:7019761
Ungwan Yusufu	id=g:7019762
Ungwan Bakutu	id=g:7019763
Ungwan Jibo	id=g:7019764
Ungwan Mallam Tanko	id=g:7019765
Dan Kano	id=g:7019766
Ungwan Pa	id=g:7019767
Burma	id=g:7019768
Ungwan Dogon Kawo	id=g:7019769
Ungwan Masadu	id=g:7019770
Ungwan Sarkin Noma	id=g:7019771
Ungwan Bature	id=g:7019772
Ungwan Garba	id=g:7019773
Ungwan Wurwa	id=g:7019774
Guga	id=g:7019775
Ungwan Kurku	id=g:7019776
Funkwei Hill	id=g:7019777
Ungwan Shika	id=g:7019778
Ungwan Makera	id=g:7019779
Ungwan Salihu	id=g:7019780
Ungwan Bakayadda	id=g:7019781
Ungwan Sarabuye	id=g:7019782
Ungwan Mallam Bala	id=g:7019783
Ungwan Bakuntu	id=g:7019784
Ungwan Mallam Buba	id=g:7019785
Ungwan Gwarzo	id=g:7019786
Ungwan Mijin Iya	id=g:7019787
Macinya Dan Barno	id=g:7019788
Ungwan Rimi	id=g:7019789
Ungwan Mai Gyadan	id=g:7019790
Ungwan Marau	id=g:7019791
Ungwan Mijinyawa	id=g:7019794
Ungwan Doka	id=g:7019795
Ungwan Umaru	id=g:7019796
Ungwan Gungurfu	id=g:7019797
Ungwan Jamo	id=g:7019798
Ungwan Ali Maikano	id=g:7019799
Ungwan Ganga	id=g:7019800
Doka	id=g:7019801
Tudun Kudu Hill	id=g:7019802
Ungwan Lambu	id=g:7019803
Ungwan Bayaro	id=g:7019804
Ungwan Kanwa	id=g:7019805
Tsaunin Mai Yau Hill	id=g:7019806
Tsauni Mayo	id=g:7019807
Tudun	id=g:7019808
Marke	id=g:7019809
Ungwan Mallam Alassan	id=g:7019810
Ungwan Jatau	id=g:7019811
Gidan Mai Ungwan	id=g:7019812
Mai Ungwan	id=g:7019813
Daudu Kashabushi	id=g:7019814
Gwandawa	id=g:7019815
Fadaman Kanwa	id=g:7019816
Ungwan Mallam	id=g:7019818
Ungwan Sandu	id=g:7019819
Jigo	id=g:7019820
Ungwan Sabo	id=g:7019821
Gidan Liman	id=g:7019822
Kakumi	id=g:7019823
Tsaunin Bataro Hill	id=g:7019824
Ungwan Boyi	id=g:7019827
Ungwan Makeri	id=g:7019828
Ungwan Barebari	id=g:7019829
Ungwan Bako	id=g:7019830
Ungwan Na Ikko	id=g:7019831
Ungwan Turawa	id=g:7019832
Ungwan Yaro	id=g:7019833
Yandala	id=g:7019834
Ungwan Mai Shanu	id=g:7019835
Ungwan Barau	id=g:7019836
Ungwan Naibi	id=g:7019837
Ungwan Kubanni	id=g:7019838
Ungwan Abarshi	id=g:7019839
Ungwan Labaran	id=g:7019840
Shika	id=g:7019841
Hanwa	id=g:7019842
Tukur Tukur	id=g:7019843
Ungwan Lumbayi	id=g:7019844
Mar-Kiranaga	id=g:7019845
Ungwan Zarumai	id=g:7019846
Ungwan Makera	id=g:7019847
Tsaunin Mahanga Hill	id=g:7019848
Ungwan Bakoshi	id=g:7019850
Ungwan Mallam	id=g:7019851
Tudun Kakumi	id=g:7019852
Gidan Makera	id=g:7019853
Tunburku	id=g:7019854
Ungwan Kalu	id=g:7019855
Ungwan Babale	id=g:7019856
Ungwan Namiji	id=g:7019858
Mallam Ango	id=g:7019860
Mai Alvanssa	id=g:7019861
Gwogi	id=g:7019862
Ungwan Kurbawa	id=g:7019863
Ungwan Na Ruka	id=g:7019864
Ungwan Danko	id=g:7019865
Gidan Adam	id=g:7019866
Ungwan Mijinyawa	id=g:7019867
Takama	id=g:7019868
Galadima Dan Taru	id=g:7019869
Ungwan Sule Dangambo	id=g:7019870
Basurfe	id=g:7019871
Tudu	id=g:7019872
Mallam Haza	id=g:7019874
Dagara	id=g:7019875
Ungwan Kanawa	id=g:7019876
Banag	id=g:7019877
Tsofon Rafi	id=g:7019878
Ungwan Aruwa	id=g:7019879
Ungwan Sadiku	id=g:7019880
Ungwan Baburun	id=g:7019881
Ungwan Wakaso	id=g:7019882
Kushewan-Bawan-Allah Hill	id=g:7019883
Ungwan Tanko	id=g:7019884
Ungwan Alu	id=g:7019885
Ungwan Audi	id=g:7019886
Ungwan Pan Filani	id=g:7019887
Ungwan Bature	id=g:7019888
Majeru	id=g:7019889
Ungwan Sarkin Kogi	id=g:7019890
Ungwan Sharubutu	id=g:7019891
Ungwan Gora	id=g:7019892
Ungwan Labaran	id=g:7019893
Ungwan Dabosa	id=g:7019894
Ungwan Ribabiyu	id=g:7019895
Ungwan Sarkin Rafi	id=g:7019896
Ungwan Makera	id=g:7019897
Ungwan Sani	id=g:7019898
Gidan Mallam Ali	id=g:7019899
Wazata	id=g:7019900
Ungwan Bakoshi	id=g:7019901
Pankau	id=g:7019902
River Gulbinka	id=g:7020288
Takalafia Hill	id=g:7020289
Chesgu	id=g:7020290
Lengi	id=g:7020291
Maikoli Hill	id=g:7020292
River Majidi	id=g:7020293
Dufua Hill	id=g:7020294
Rann Gora Hill	id=g:7020295
Tulundudu Hill	id=g:7020296
Angusi Hill	id=g:7020297
Gandu Hill	id=g:7020298
Gwandi Hill	id=g:7020299
Gidan Kabawa	id=g:7020300
Yaro Bango	id=g:7020301
Takakume	id=g:7020302
Maitankari	id=g:7020303
River Danmoriki	id=g:7020304
Manigaba Hill	id=g:7020305
River Doka	id=g:7020306
Karumotaku Hill	id=g:7020307
Jonga	id=g:7020308
Mai-Agumi	id=g:7020309
Korufakomo Hill	id=g:7020310
RIver Daramboa	id=g:7020311
Maiferkasa Hill	id=g:7020312
Butulu Hills	id=g:7020313
Giwa Hill	id=g:7020314
Mekofa Hill	id=g:7020315
RIver Gupba	id=g:7020316
Katu	id=g:7020317
Gwandu Native Administration Forest Reserve	id=g:7020318
Tungan-Rani	id=g:7020319
Tungan-Eni	id=g:7020320
Kankura	id=g:7020321
Mashaia	id=g:7020322
Weri	id=g:7020323
Mashaia	id=g:7020324
Jelawa	id=g:7020325
Tungan Zamia	id=g:7020326
Goran Dutse Hill	id=g:7020327
Tungan Yari	id=g:7020328
Kunboro	id=g:7020329
Rafin Gi Wa Hill	id=g:7020330
Kataro	id=g:7020331
Umbako	id=g:7020332
Babarijo	id=g:7020333
Dole Bandam	id=g:7020334
Zamanagi	id=g:7020335
Alsure	id=g:7020336
Tungan Wata	id=g:7020337
Tungan Mundi	id=g:7020338
Gore Hill	id=g:7020339
Giro Forest Reserve	id=g:7020340
Kafa	id=g:7020341
Garinkofa	id=g:7020342
Roora	id=g:7020343
Rugan Fulani	id=g:7020344
Yarjega	id=g:7020345
Kwanta	id=g:7020346
Tungan Maji	id=g:7020347
Tungan Maigizo	id=g:7020348
Sabon-Gari	id=g:7020349
Adora Hill	id=g:7020350
Karumo Hill	id=g:7020351
Sidowaki Hill	id=g:7020352
Sidowaki Hill	id=g:7020353
Iska Hill	id=g:7020354
Maigaraja Lumu	id=g:7020355
Lumu	id=g:7020356
Bakachi	id=g:7020357
Ijarua	id=g:7020358
Yarumo	id=g:7020359
Kwado Hill	id=g:7020360
Gidan Madugu	id=g:7020361
Gidan Dabawa	id=g:7020362
River Maijijemailu	id=g:7020363
Duku Hill	id=g:7020364
River Sabley	id=g:7020365
Tungin-Shakushe	id=g:7020366
Gidan Naki	id=g:7020367
Runtu Magaji Maidama	id=g:7020368
Runtu Magaji	id=g:7020369
Bulu-Mairimi	id=g:7020370
Tungan-Salugbawa	id=g:7020371
River Samba	id=g:7020372
Zolo Hill	id=g:7020373
Asarara	id=g:7020374
Ambere	id=g:7020375
Tungan-Udu	id=g:7020376
Rakunmi	id=g:7020377
Imulu	id=g:7020378
Ilabre	id=g:7020379
Ilabre	id=g:7020380
Tungan Dumbo	id=g:7020381
Tungan Dutsi	id=g:7020382
Rorukos Hill	id=g:7020383
Tungan-Gamji	id=g:7020384
Bulu-Achiku	id=g:7020385
Ahonda	id=g:7020386
Gidan-Masu	id=g:7020387
Tungan-Majidadi	id=g:7020388
Rijian Kassa	id=g:7020389
Sanda	id=g:7020390
Majema	id=g:7020391
Runtuo	id=g:7020392
Wucheri	id=g:7020393
Gidan Turawa	id=g:7020394
Nwaia	id=g:7020395
Turawa	id=g:7020396
Tungan-Kura	id=g:7020397
Zugusko	id=g:7020398
Tungan-Doro	id=g:7020399
Gidan Kuru	id=g:7020400
Runtuan-Diro	id=g:7020401
Geii	id=g:7020402
Nagendi	id=g:7020403
Garin Gaou	id=g:7020404
Ramuda Buga Hill	id=g:7020405
Gilini Hill	id=g:7020406
Runtu Fulani	id=g:7020407
Runtu-Fulani	id=g:7020408
Demo	id=g:7020409
Garin Madugu	id=g:7020410
Kago Hill	id=g:7020411
Ilo Hill	id=g:7020412
Gonabi	id=g:7020413
Giwa Hill	id=g:7020414
Kulu	id=g:7020415
Duhua	id=g:7020416
Garin-Bana	id=g:7020417
Bulu Hill	id=g:7020418
Maijanfuta	id=g:7020419
Rugaboyi	id=g:7020420
Jaraore Hill	id=g:7020421
Kankara Hill	id=g:7020422
Shifawa	id=g:7020423
Wadei	id=g:7020424
Tungan-Mallam Mara	id=g:7020425
Dogan Sarki	id=g:7020426
Rumfa	id=g:7020427
Gidan Jero	id=g:7020428
Gidan Taoca	id=g:7020429
Jagala	id=g:7020430
Tungan Babugudu	id=g:7020431
Gidan Diko	id=g:7020432
Noman Kawo	id=g:7020433
Runtu Fulani	id=g:7020434
Tugan Suya	id=g:7020435
Maseri	id=g:7020436
Bakin Duts	id=g:7020437
Girkaw Gidan Salihu	id=g:7020438
Gura Hill	id=g:7020439
Mura Hill	id=g:7020440
Dantanka	id=g:7020441
Dogo Daji	id=g:7020442
Riga	id=g:7020443
Guwani Hill	id=g:7020444
Illela	id=g:7020445
Garin Maidabo	id=g:7020446
Sha Aluashi	id=g:7020447
Bindanu	id=g:7020448
Bindanu Karami	id=g:7020449
Fokku	id=g:7020450
Tulua	id=g:7020451
Bashi	id=g:7020452
Gidan Sariki	id=g:7020453
Heddi	id=g:7020454
Eyaka	id=g:7020455
Tungan Kibia	id=g:7020456
Tunga-Damalu	id=g:7020457
Zondo	id=g:7020458
Tungan Jato	id=g:7020459
Garigungi	id=g:7020460
Maitambari	id=g:7020461
Tungan Maisamari	id=g:7020462
Tungan Nomo	id=g:7020463
Tungan Senga	id=g:7020464
Tungan Dania	id=g:7020465
Tungan Manu	id=g:7020466
Tungan Kwokene	id=g:7020467
Nasarawa	id=g:7020468
Sirimodubo	id=g:7020469
Amdullahi	id=g:7020470
Tukuruwa	id=g:7020471
Modo	id=g:7020472
Tungan-Marafa	id=g:7020473
Tunga Titubara	id=g:7020474
Tunga Chindo	id=g:7020475
Tunga Hassan	id=g:7020476
Tunga Sani	id=g:7020477
Tunga Sarkawa	id=g:7020478
Rahavel	id=g:7020479
Tunga Buda	id=g:7020480
Tungan Illo	id=g:7020481
Tungan Kade	id=g:7020482
Bio-Kikwana	id=g:7020483
Runtuwa	id=g:7020484
Runtuwa	id=g:7020485
Bargawa Tunga	id=g:7020486
Runtuwa Usman	id=g:7020487
Tunga Runtuwa	id=g:7020488
Tunga Alhaji	id=g:7020489
Tunga Kawo	id=g:7020490
Sisinkwabo	id=g:7020491
Badariya	id=g:7020492
Zugun Bagudu	id=g:7020493
Tunga Bargawa-Bisa	id=g:7020494
Tunga-Ango	id=g:7020495
Tunga Megunya	id=g:7020496
Tunga Burahi	id=g:7020497
Tunga Bari	id=g:7020498
Tunga Yakana	id=g:7020499
Tunga-Bawundiri	id=g:7020500
Mangal	id=g:7020501
Matsinkai	id=g:7020502
Kundage	id=g:7020503
Karamadanba	id=g:7020504
Tungan Hassan	id=g:7020505
Tunga Geza	id=g:7020506
Zugun Gagudu Hill	id=g:7020507
Matsinkai Hills	id=g:7020508
Gwamrom Hill	id=g:7020509
Adawa Hills	id=g:7020510
Tunga Zabarmawa	id=g:7020511
Tunga Dodo	id=g:7020512
Tunga Mairiga	id=g:7020513
Tunga Atto	id=g:7020514
Tunga Barahe	id=g:7020515
Tunga Mude	id=g:7020516
Rafin Kiriya	id=g:7020517
Rugan Jidde	id=g:7020518
Dandashe	id=g:7020519
Dandashe	id=g:7020520
Luka	id=g:7020521
Tabkin Tara	id=g:7020522
River Tabkin Tara	id=g:7020523
Gidan Jilde	id=g:7020524
Tulllawa	id=g:7020525
Dudu Hill	id=g:7020526
Dongomi	id=g:7020527
Gora	id=g:7020528
Hassan	id=g:7020529
Gajeri	id=g:7020530
Gamba	id=g:7020531
