Eparchía Kydonías	id=g:445436
Ktenás	id=g:735515
Krovíli	id=g:735516
Krousovítis Potamós	id=g:735517
Kroúsa	id=g:735518
Kromnikón	id=g:735519
Krómni	id=g:735520
Krókos	id=g:735521
Kritiká	id=g:735522
Krithiá	id=g:735523
Erípia Kritharítsa	id=g:735524
Erípia Kritharás	id=g:735525
Kristóni	id=g:735526
Krystallopigí	id=g:735527
Kristálli	id=g:735528
Chrysópetra	id=g:735529
Krióvrisi	id=g:735530
Kriós	id=g:735531
Kriós	id=g:735532
Kriopiyí	id=g:735533
Kriopiyí	id=g:735534
Krionéri Réma	id=g:735535
Krionérion	id=g:735536
Krionérion	id=g:735537
Krionérion	id=g:735538
Krínos	id=g:735539
Krinídhes	id=g:735540
Kríni	id=g:735541
Kríni	id=g:735542
Kríni	id=g:735543
Krímni	id=g:735544
Krimínion	id=g:735545
Krýa Vrýsi	id=g:735546
Krésna	id=g:735547
Kremastí	id=g:735548
Kremastí	id=g:735549
Kraterón	id=g:735550
Potamós Krasopoúlis	id=g:735551
Krasokhórion	id=g:735552
Kranokhórion	id=g:735553
Kranochórion	id=g:735554
Kránitsa	id=g:735555
Kraniónas	id=g:735556
Kranídhia	id=g:735557
Ereípia Kráneiai	id=g:735558
Kráni	id=g:735559
Kranéa	id=g:735560
Kráke	id=g:735561
Nomós Kozánis	id=g:735562
Kozáni	id=g:735563
Kózakas	id=g:735564
Kóvalon	id=g:735565
Kouvoúklia	id=g:735566
Kouvoúklia	id=g:735567
Koútsouro	id=g:735568
Koutsón	id=g:735569
Potamós Koutsomília	id=g:735570
Koutsochórion	id=g:735571
Moní Koutloumousíou	id=g:735572
Kousloú Réma	id=g:735573
Koúsi	id=g:735574
Kouríla	id=g:735575
Koúpa	id=g:735576
Koúndouros Réma	id=g:735577
Koumariá	id=g:735578
Koumariá	id=g:735579
Ákra Koultsoú	id=g:735580
Kouloúra	id=g:735581
Koúla	id=g:735583
Koukoumaníri Potamós	id=g:735584
Koúkkos	id=g:735585
Koúka	id=g:735586
Koufóvounon	id=g:735587
Koufália	id=g:735588
Koudhoúnia	id=g:735589
Kottáni	id=g:735590
Kotroniá	id=g:735591
Kotíli	id=g:735592
Kotýli	id=g:735593
Kotýli	id=g:735594
Kótas	id=g:735595
Kotariá	id=g:735596
Kóta	id=g:735597
Kostarázion	id=g:735598
Kossós	id=g:735599
Kosmití	id=g:735600
Kósmion	id=g:735601
Koskiniá	id=g:735602
Ákra Kosári	id=g:735603
Stená Korpiloú	id=g:735604
Koronoúda	id=g:735605
Límni Koróneia	id=g:735606
Korónia	id=g:735607
Koróna	id=g:735608
Koromiléa	id=g:735609
Koromiléa	id=g:735610
Kornofoleá	id=g:735611
Kormísta	id=g:735612
Korisós	id=g:735613
Sidirodromikós Stathmós Korinoú	id=g:735614
Korinós	id=g:735615
Kórimvos	id=g:735616
Korifí	id=g:735617
Koryfí	id=g:735618
Korifí	id=g:735619
Koryfí	id=g:735620
Korifí	id=g:735621
Korifaí	id=g:735622
Kória	id=g:735623
Ereípia Korfoúla	id=g:735624
Korfaloú	id=g:735625
Koré Réma	id=g:735626
Kopterón	id=g:735627
Kópsi	id=g:735628
Kopatsíno Réma	id=g:735629
Kopanós	id=g:735630
Kopách Deré	id=g:735631
Konstandiniá	id=g:735632
Konstandináton	id=g:735633
Konstantía	id=g:735634
Moní Konstamonítou	id=g:735635
Kónitsa	id=g:735636
Kondovoúnion	id=g:735637
Kontariótissa	id=g:735638
Konák Réma	id=g:735639
Komotiní	id=g:735640
Komninádes	id=g:735641
Komniná	id=g:735642
Komniná	id=g:735643
Charádra Komitatzí	id=g:735644
Kómaros	id=g:735645
Kómara	id=g:735646
Kómanos	id=g:735647
Kolokithákion	id=g:735648
Kolokinthoú	id=g:735649
Kolchís	id=g:735650
Kolkhikón	id=g:735651
Kolkhikí	id=g:735652
Sidirodromikós Stathmós Aigínion	id=g:735653
Kolindrós	id=g:735654
Kolfánovo	id=g:735655
Kolaouzloú	id=g:735656
Kokkinógeion	id=g:735657
Kokkinóyia	id=g:735658
Kokkinopilós	id=g:735659
Kokkinokhórion	id=g:735660
Kokkinókhoma	id=g:735661
Kokkiniá	id=g:735662
Kokkiniá	id=g:735663
Kokkiniá	id=g:735664
Kokkinarás	id=g:735665
Kokkaloú	id=g:735666
Kókkala	id=g:735667
Kojá Réma	id=g:735668
Kojá Réma	id=g:735669
Kojá Réma	id=g:735670
Kojá Potamós	id=g:735671
Nisís Koínira	id=g:735672
Koínira	id=g:735673
Koímisis	id=g:735674
Koilás	id=g:735675
Koiládion	id=g:735676
Koiládhion	id=g:735677
Koíla	id=g:735678
Koíla	id=g:735679
Kóblitsas Réma	id=g:735680
Knídhi	id=g:735681
Klítos	id=g:735682
Erípia Klistoú	id=g:735683
Klistá	id=g:735684
Ákra Klisoúri	id=g:735685
Klisoúra	id=g:735686
Klisoúra	id=g:735687
Klisória	id=g:735688
Klisídhi	id=g:735689
Ereípia Klimatariás	id=g:735690
Klimatákion	id=g:735691
Klíma	id=g:735692
Erípia Klidhíou	id=g:735693
Klidhíon	id=g:735694
Kleidíon	id=g:735695
Klépe	id=g:735696
Kléftis	id=g:735697
Kladhorrákhi	id=g:735698
Kladherón	id=g:735699
Kizárion	id=g:735700
Kivotós	id=g:735701
Kítros	id=g:735702
Erípia Kitrinópetras	id=g:735703
Kitrinonéri Réma	id=g:735704
Kissós Óros	id=g:735705
Kissós	id=g:735706
Kissárion	id=g:735707
Kýrros	id=g:735708
Kírra	id=g:735709
Kírnos	id=g:735710
Stená Kirlí Dervén	id=g:735711
Kírki	id=g:735712
Kiriakí	id=g:735713
Kíria	id=g:735714
Kirakalí	id=g:735715
Ereípia Kyrádon	id=g:735716
Ákra Kípsia	id=g:735717
Kipséli	id=g:735718
Kypséli	id=g:735719
Kiprínos	id=g:735720
Ákra Kípos	id=g:735721
Kípos	id=g:735722
Kípoi	id=g:735723
Kipisóri	id=g:735724
Kipía	id=g:735725
Kiparíssion	id=g:735726
Kipárion	id=g:735727
Kiourtoná Réma	id=g:735728
Kióstra Mahalé	id=g:735729
Kinigós	id=g:735730
Kimméria	id=g:735731
Kýmina	id=g:735732
Kími	id=g:735733
Sidirodromikós Stathmós Kilkís	id=g:735734
Nomós Kilkís	id=g:735735
Kilkís	id=g:735736
Kíknos	id=g:735737
Kikídhion	id=g:735738
Kydhonochórion	id=g:735739
Kidhoníai	id=g:735740
Kidhonéa	id=g:735741
Kydhonéa	id=g:735742
Kídharis	id=g:735743
Kianí	id=g:735744
Kiáfa	id=g:735745
Khrómion	id=g:735746
Chrysoúpolis	id=g:735747
Pedhiás Khrisoupóleos	id=g:735748
Khrisón	id=g:735749
Khrisokhórion	id=g:735750
Khrisokhórafa	id=g:735751
Khrisokéfalos	id=g:735752
Khrisókastron	id=g:735753
Chrysókampos	id=g:735754
Chrysí	id=g:735755
Chrysí	id=g:735756
Khrisavyí	id=g:735757
Khrisavyí	id=g:735758
Khrísa	id=g:735759
Chrýsa	id=g:735760
Chráni	id=g:735761
Khoumnikón	id=g:735762
Khortokópion	id=g:735763
Khortiátis	id=g:735764
Khorterón	id=g:735765
Khoroúdha	id=g:735766
Khorós	id=g:735767
Chorýgion	id=g:735768
Khoristí	id=g:735769
Khorigós	id=g:735770
Khóresa	id=g:735771
Khondrovóuni	id=g:735772
Kholomón Potamós	id=g:735773
Kholiván Réma	id=g:735774
Khlóï	id=g:735775
Khionótripa	id=g:735776
Khionokhórion	id=g:735777
Chionáton	id=g:735778
Khionádhes	id=g:735779
Chionádes	id=g:735780
Khimerinón	id=g:735781
Khímarros	id=g:735782
Límni Khimadhítis	id=g:735783
Cheimadión	id=g:735784
Khiliódhendron	id=g:735785
Moní Khiliandharíou	id=g:735786
Chersotópion	id=g:735787
Chérson	id=g:735788
Khelidhón	id=g:735789
Khavrías Potamós	id=g:735790
Khávos Réma	id=g:735791
Khatísion	id=g:735792
Khasáni Réma	id=g:735793
Kharopón	id=g:735794
Kharitoméni	id=g:735795
Charíessa	id=g:735796
Kharádhra	id=g:735797
Charádra	id=g:735798
Khandrás	id=g:735799
Khamokérasa	id=g:735800
Chamilón	id=g:735801
Khamilón	id=g:735802
Chalkidón	id=g:735803
Nomós Chalkidikís	id=g:735804
Chersónisos Chalkidikí	id=g:735805
Khalkerón	id=g:735806
Khalépion	id=g:735807
Khálara	id=g:735808
Chaïdeftón	id=g:735809
Kétko Kalé	id=g:735810
Límni Kerkínis	id=g:735811
Kerkíni	id=g:735813
Erípia Kerdhilíou	id=g:735814
Kerdhílion Óros	id=g:735815
Kerásovou Réma	id=g:735816
Keraséai	id=g:735817
Keraséa	id=g:735818
Keraséa	id=g:735819
Órmos Keramotís	id=g:735820
Keramotí	id=g:735821
Kéramos	id=g:735822
Keramídas Réma	id=g:735823
Kéndron	id=g:735824
Mavroplagiá	id=g:735825
Kentrikón	id=g:735826
Kendití	id=g:735828
Kéndavros	id=g:735829
Kellíon	id=g:735830
Kellí	id=g:735831
Kélla	id=g:735832
Nisís Kélifos	id=g:735833
Kelebék	id=g:735834
Kelarína Réma	id=g:735835
Kékhros	id=g:735836
Kekhrókambos	id=g:735837
Kefalóvriso Réma	id=g:735838
Kefalóvryson	id=g:735839
Kefalokhórion	id=g:735840
Kefalochórion	id=g:735841
Ákra Kefálas	id=g:735842
Kefalárion	id=g:735843
Kefalárion	id=g:735844
Kedhróna	id=g:735845
Kazanlí	id=g:735846
Kazanjí Deré	id=g:735847
Kazáni	id=g:735848
Kavkasianá	id=g:735849
Nisís Kavkanás	id=g:735850
Kavisós	id=g:735851
Kavíli	id=g:735852
Kavásila	id=g:735853
Kavásila	id=g:735854
Kavalláris	id=g:735855
Kavallárion	id=g:735856
Nomós Kaválas	id=g:735857
Liménas Kaválas	id=g:735858
Kólpos Kaválas	id=g:735859
Kavalláris	id=g:735860
Kavála	id=g:735861
Katsíka	id=g:735862
Katsíka	id=g:735863
Katrís	id=g:735864
Káto Vrondoú	id=g:735865
Káto Virsíni	id=g:735866
Káto Vérmion	id=g:735867
Katounítsa	id=g:735868
Káto Thérmai	id=g:735869
Káto Theodorákion	id=g:735870
Ereípia Káto Soúrmena	id=g:735871
Káto Skholárion	id=g:735872
Káto Rodoniá	id=g:735873
Káto Pteriá	id=g:735874
Káto Psikhikón	id=g:735875
Káto Potamiá	id=g:735876
Káto Poróïa	id=g:735877
Káto Pixárion	id=g:735878
Káto Nevrokópion	id=g:735879
Káto Mitroúsion	id=g:735880
Káto Miléa	id=g:735881
Káto Metókhion	id=g:735882
Káto Merópi	id=g:735883
Katómeron	id=g:735884
Káto Megáli Áda	id=g:735885
Káto Loutrákion	id=g:735886
Káto Liverá	id=g:735887
Lipochórion	id=g:735888
Káto Lévki	id=g:735889
Káto Levkádhion	id=g:735890
Káto Koufália	id=g:735891
Káto Korifí	id=g:735892
Káto Konstandiniá	id=g:735893
Káto Kómi	id=g:735894
Káto Klinaí	id=g:735895
Káto Khristós	id=g:735896
Katokhórion	id=g:735897
Káto Kefalárion	id=g:735898
Káto Kariófiton	id=g:735899
Káto Kárdhamos	id=g:735900
Káto Karampournoú	id=g:735901
Káto Kamíla	id=g:735902
Káto Kambí	id=g:735903
Káto Kalliníki	id=g:735904
Káto Ionikón	id=g:735905
Káto Grammatikón	id=g:735906
Káto Garéfeion	id=g:735907
Káto Dhrosiní	id=g:735908
Káto Dháton	id=g:735909
Káto Aréna	id=g:735910
Káto Apóstoloi	id=g:735911
Káto Ambélia	id=g:735912
Katí Réma	id=g:735913
Kateríni	id=g:735914
Katákhloron	id=g:735915
Katachás	id=g:735916
Katafýgion	id=g:735917
Katáfiton	id=g:735918
Lákkos Kástrou	id=g:735919
Kástron	id=g:735920
Lazarítsa	id=g:735921
Ákra Kástro	id=g:735922
Kastríon	id=g:735923
Kastriá	id=g:735924
Nomós Kastoriás	id=g:735925
Límni Kastorías	id=g:735926
Kastoriá	id=g:735927
Sidirodromikós Stathmós Kastanoússis	id=g:735928
Ereípia Kastanoússis	id=g:735929
Kastanoússa	id=g:735930
Kastanotón	id=g:735931
Kastanokhórion	id=g:735932
Kastanókhoma	id=g:735933
Kastanófiton	id=g:735934
Kastanítis	id=g:735935
Kastanerí	id=g:735936
Kastanéai	id=g:735937
Kastanéai	id=g:735938
Kastanéai	id=g:735939
Kastanéa	id=g:735940
Kastanéa	id=g:735941
Kastanéa	id=g:735942
Kastaniá	id=g:735943
Kastanás	id=g:735944
Kassiteraí	id=g:735945
Kassandrinón	id=g:735946
Kólpos Kassándras	id=g:735947
Kassándra	id=g:735948
Karteraí	id=g:735949
Kartál Dag	id=g:735950
Karsí	id=g:735951
Karpofóron	id=g:735952
Kárpi	id=g:735953
Karperí	id=g:735954
Karotí	id=g:735955
Karóta	id=g:735956
Karlík Réma	id=g:735957
Karkatzáni Réma	id=g:735958
Karkára	id=g:735959
Karítsa	id=g:735960
Karyótissa	id=g:735961
Erípia Karión	id=g:735962
Kariokhórion	id=g:735963
Kariófiton	id=g:735964
Karidhokhórion	id=g:735965
Karidhítsa	id=g:735966
Karidhiés	id=g:735967
Karidhiá	id=g:735968
Karidhiá	id=g:735969
Karianí	id=g:735970
Kariaí	id=g:735971
Karyes	id=g:735972
Karyaí	id=g:735973
Límni Karí	id=g:735974
Kardiá	id=g:735975
Kardhía	id=g:735976
Kárdhamos	id=g:735977
Karavía	id=g:735978
Karávi	id=g:735979
Karavéli	id=g:735980
Karavangélis	id=g:735981
Lákkos Karaúli	id=g:735982
Ákra Karaúli	id=g:735983
Kará Sú Réma	id=g:735984
Ákra Karasú	id=g:735985
Kará Réma	id=g:735986
Kará Réma	id=g:735987
Kará Potamós	id=g:735988
Kará Ormán	id=g:735989
Kará Oglán	id=g:735990
Karamelík Réma	id=g:735991
Kará Koziá	id=g:735992
Moní Karakállou	id=g:735993
Ereípia Karátzali	id=g:735994
Karajákoï Réma	id=g:735995
Karagóz Réma	id=g:735996
Karádhra Agalí	id=g:735997
Kará Burú	id=g:735998
Kará Burnú	id=g:735999
Kapsochórion	id=g:736001
Kapsália Potamós	id=g:736002
Erípia Kapnotópou	id=g:736003
Kapnokhórion	id=g:736004
Kapnófiton	id=g:736005
Kapnófiton	id=g:736006
Kapí	id=g:736007
Kapetanoúdhion	id=g:736008
Kapán Chalí Réma	id=g:736009
Kokkinópetra	id=g:736010
Kanadhás	id=g:736011
Kampochórion	id=g:736012
Kampochórion	id=g:736013
Kampánis	id=g:736014
Kamarotón	id=g:736015
Órmos Kamariótissa	id=g:736016
Kamariótissa	id=g:736017
Kaloyírou Lákkos	id=g:736018
Ákra Kalóyiros	id=g:736019
Kaloyerítsa	id=g:736020
Kaloyerítsa	id=g:736021
Kalóvrysi	id=g:736022
Kalótikhon	id=g:736023
Kalós Agrós	id=g:736024
Kaló Neró	id=g:736025
Kalonérion	id=g:736026
Kalonérion	id=g:736027
Kalochórion	id=g:736028
Kalochórion	id=g:736029
Kalokhórion	id=g:736030
Kalókhion	id=g:736031
Kalókastron	id=g:736032
Kalloní	id=g:736033
Kallithéa	id=g:736034
Kallithéa	id=g:736035
Kallithéa	id=g:736036
Kallithéa	id=g:736037
Kallithéa	id=g:736038
Kallithéa	id=g:736039
Kallithéa	id=g:736040
Kallithéa	id=g:736041
Kallistrátion	id=g:736042
Kallísti	id=g:736043
Kallirákhi	id=g:736044
Kallípolis	id=g:736045
Kallindírion	id=g:736046
Kallíkrounon	id=g:736047
Kallíkarpon	id=g:736048
Kallífitos	id=g:736049
Kálkhas	id=g:736050
Kalí Vrísi	id=g:736051
Ereípia Kalís Vrýsis	id=g:736052
Bakaíïka	id=g:736053
Kalívia Varváras	id=g:736054
Kalývia Varikoú	id=g:736055
Kalívia Poliyírou	id=g:736056
Kalívia Míngou	id=g:736057
Ágios Spyrídon	id=g:736058
Exochí	id=g:736059
Kalívia Kariótou	id=g:736060
Kalívia Karayiánni	id=g:736061
Kalívia Farmáki	id=g:736062
Kalívia Dambítsi	id=g:736063
Kalívia Chilingíri	id=g:736064
Kalývia	id=g:736065
Kalívia	id=g:736066
Kalívai	id=g:736067
Kalíva	id=g:736068
Kalirákhi	id=g:736069
Kalíndria	id=g:736070
Kalí	id=g:736071
Kalé Sirtí	id=g:736072
Kálavros Óros	id=g:736073
Kalathás	id=g:736074
Dhiávasis Kalapóti	id=g:736075
Kalamotón	id=g:736076
Kalamón	id=g:736077
Kalamókastron	id=g:736078
Ákra Kalamítsa	id=g:736079
Vrachonisída Kalamítsa	id=g:736080
Kalamiá	id=g:736081
Kalambákion	id=g:736082
Kalamariá	id=g:736083
Kalá Dhéndra	id=g:736084
Kakólakkos	id=g:736085
Kákavos	id=g:736086
Kaisarianá	id=g:736087
Kaisária	id=g:736088
Smíxi Réma	id=g:736089
Jafér	id=g:736090
Ívira	id=g:736091
Moní Ivíon	id=g:736092
Itéa	id=g:736093
Itéa	id=g:736094
Itéa	id=g:736095
Pigí	id=g:736096
Ísoma	id=g:736097
Óros Ísmaros	id=g:736098
Ísalon	id=g:736099
Isaákion	id=g:736100
Irpék	id=g:736101
Iroïkón	id=g:736102
Eirinikón	id=g:736103
Irén Réma	id=g:736104
Iraklítsa	id=g:736105
Iráklion	id=g:736106
Iráklion	id=g:736107
Iráklia	id=g:736108
Ipsízonos Óros	id=g:736109
Ipsilón	id=g:736110
Ipsilón	id=g:736111
Ipsilókastron	id=g:736112
Ipsilí Rákhi	id=g:736113
Ipsárion	id=g:736114
Ípion	id=g:736115
Inikón	id=g:736116
Ímeros	id=g:736117
Ímera	id=g:736118
Ímera	id=g:736119
Nomós Imathías	id=g:736120
Iliórrachi	id=g:736121
Iliópetra	id=g:736122
Iliólouston	id=g:736123
Iliokómi	id=g:736124
Iliófoton	id=g:736125
Moní Ikosifoiníssis	id=g:736126
Ifandaí	id=g:736127
Ieropigí	id=g:736128
Kólpos Ierisoú	id=g:736129
Ierissós	id=g:736130
Idhroússa	id=g:736131
Idhrómiloi	id=g:736132
Ydraía	id=g:736133
Sidirodromikós Stathmós Eidoménis	id=g:736134
Eidoméni	id=g:736135
Ída	id=g:736136
Íasmos	id=g:736137
Iásion	id=g:736138
Iána	id=g:736139
Iámbolis	id=g:736140
Ialiá	id=g:736141
Ionikón	id=g:736142
Huseḯn Mahalé	id=g:736143
Lákkos Hají	id=g:736144
Gusátsia Réma	id=g:736145
Pýrgos Gríva	id=g:736146
Gríva	id=g:736147
Grígoron	id=g:736148
Nomós Grevenón	id=g:736149
Greveniótikos Potamós	id=g:736150
Grevená	id=g:736151
Gravoúna	id=g:736152
Grátsina Potamós	id=g:736153
Réma Gratsaínis	id=g:736154
Gratíste	id=g:736155
Gratiní	id=g:736156
Stená Granítou	id=g:736157
Granítis	id=g:736158
Nisís Gramvoússa	id=g:736159
Ereípia Grámou	id=g:736160
Grámos Potamós	id=g:736161
Gramméni	id=g:736162
Gradhísta	id=g:736163
Goúva Réma	id=g:736164
Goungoúla Réma	id=g:736165
Gouménissa	id=g:736166
Goúlai	id=g:736167
Góritsa	id=g:736168
Gorgopótamos	id=g:736169
Gorgópis Potamós	id=g:736170
Gorgópi	id=g:736171
Gorgóna	id=g:736172
Gónitsa	id=g:736173
Gónimon	id=g:736174
Erípia Gonikoú	id=g:736175
Erípia Gomatíou	id=g:736176
Gomátion	id=g:736177
Gomára	id=g:736178
Golo	id=g:736179
Golgothás	id=g:736180
Sosítsa Réma	id=g:736181
Potámi	id=g:736182
Gkóla Bélo	id=g:736183
Glikopiyí	id=g:736184
Glikonérion	id=g:736185
Glykonérion	id=g:736186
Glikokeraséa	id=g:736187
Glifádha	id=g:736188
Glávki	id=g:736189
Gióna	id=g:736190
Géro Mahalé	id=g:736191
Gázoros	id=g:736192
Gávros	id=g:736193
Gávra	id=g:736194
Gavólakkos	id=g:736195
Ganóchora	id=g:736196
Ganadión	id=g:736197
Gallikós Potamós	id=g:736198
Gallikós	id=g:736199
Galipsós	id=g:736200
Galíni	id=g:736201
Galíni	id=g:736202
Galíni	id=g:736203
Galiána	id=g:736204
Galézova Réma	id=g:736205
Galésovo Réma	id=g:736206
Galátista	id=g:736207
Galatiní	id=g:736208
Galátia	id=g:736209
Galatádes	id=g:736210
Galarinós	id=g:736211
Galánion	id=g:736212
Galáni	id=g:736213
Traganós Réma	id=g:736214
Gábrovon	id=g:736215
Fundiják Réma	id=g:736216
Ereípia Ftéris	id=g:736217
Foústani	id=g:736218
Ereípia Foúsias	id=g:736219
Foúrka	id=g:736220
Foúfas	id=g:736221
Fotolívos	id=g:736222
Fotiní	id=g:736223
Foleá	id=g:736224
Foleá	id=g:736225
Floyitá	id=g:736226
Potamós Florínis	id=g:736227
Nomós Florínis	id=g:736228
Flórina	id=g:736229
Flíama	id=g:736230
Flatsáta	id=g:736231
Flamoúri Óros	id=g:736232
Flamoúrion	id=g:736233
Flamouriá	id=g:736234
Flámbouron	id=g:736235
Flámbouron	id=g:736236
Flámbouro	id=g:736237
Fitókion	id=g:736238
Fyteía	id=g:736239
Fýska	id=g:736240
Filóteia	id=g:736241
Moní Filothéou	id=g:736242
Filótas	id=g:736243
Fillíra	id=g:736244
Fíliron	id=g:736245
Filyriá	id=g:736246
Filíra	id=g:736247
Tenayí Filíppon	id=g:736248
Táfros Filíppon	id=g:736249
Fílippoi	id=g:736250
Filippaíoi	id=g:736251
Filiourí Potamós	id=g:736252
Filalós Réma	id=g:736253
Filaktón	id=g:736254
Filákion	id=g:736255
Fílakas	id=g:736256
Filakaí Kassándras	id=g:736257
Filadhélfion	id=g:736258
Néa Filadélfeia	id=g:736259
Feidópetra	id=g:736260
Férai	id=g:736261
Korifí Fengári	id=g:736262
Felóni	id=g:736263
Fellíon	id=g:736264
Farmáki	id=g:736265
Farmáki	id=g:736266
Farasinón	id=g:736267
Farángion	id=g:736268
Fanós	id=g:736269
Fanós	id=g:736270
Fanárion	id=g:736271
Fanárion	id=g:736272
Ákra Fanári	id=g:736273
Falakrón Óros	id=g:736274
Faiá Pétra	id=g:736275
Réma Exóvis	id=g:736276
Exochí	id=g:736277
Exokhí	id=g:736278
Exokhí	id=g:736279
Exokhí	id=g:736280
Exochí	id=g:736281
Éxarkhos	id=g:736282
Exaplátanos	id=g:736283
Examílion	id=g:736284
Évzonoi	id=g:736285
Evyenikón	id=g:736286
Nomós Évrou	id=g:736287
Evropós	id=g:736288
Evrípedhon	id=g:736289
Evrinós	id=g:736290
Évosmon	id=g:736291
Évmoiron	id=g:736292
Évlalon	id=g:736293
Efkarpía	id=g:736294
Evkarpía	id=g:736295
Efkarpía	id=g:736296
Evangelístria	id=g:736297
Evangelismós	id=g:736298
Ethnikón	id=g:736299
Esóvalta	id=g:736300
Esokhí	id=g:736301
Eskí Tarlás	id=g:736302
Réma Eskí Kavállas	id=g:736303
Eskejé Réma	id=g:736304
Moní Esfigménou	id=g:736305
Ermakiá	id=g:736306
Luda Reka	id=g:736307
Ergáni	id=g:736308
Erátira	id=g:736309
Eratinón	id=g:736310
Erásmion	id=g:736311
Éranos	id=g:736312
Eptámiloi	id=g:736313
Eptálofos	id=g:736314
Eptachórion	id=g:736315
Episkopí	id=g:736316
Episkopí	id=g:736317
Ákra Epanomí	id=g:736318
Epanomí	id=g:736319
Epáno Aréna	id=g:736320
Gulf of Enez	id=g:736321
Néa Kerasiá	id=g:736322
Emmanouíl Pappás	id=g:736323
Embórion	id=g:736324
Elmá Réma	id=g:736325
Ellinokhórion	id=g:736326
Ellinikón	id=g:736327
Éllinas	id=g:736328
Eliá	id=g:736329
Eleftheroúpolis	id=g:736330
Elevtherónisos	id=g:736331
Órmos Eleftherón	id=g:736332
Elévtheron	id=g:736333
Eléftheron	id=g:736334
Eleftherochórion	id=g:736335
Elefthérion	id=g:736336
Elevtheraí	id=g:736337
Ákra Elévthera	id=g:736338
Eléska Réma	id=g:736339
Eleoúsa	id=g:736340
Élatos	id=g:736341
Elatochórion	id=g:736342
Elatiés	id=g:736343
Elatía	id=g:736344
Elaión	id=g:736345
Elaiokhórion	id=g:736346
Elaiokhória	id=g:736347
Elaía	id=g:736348
Elafokhórion	id=g:736349
Elafokhórion	id=g:736350
Elafína	id=g:736351
Eklektón	id=g:736352
Ekklisiochórion	id=g:736353
Ekhínos	id=g:736354
Ekáli	id=g:736355
Stená Edhéssis	id=g:736356
Édessa	id=g:736357
Dúrvitsa Réma	id=g:736358
Dubaltí Réma	id=g:736359
Droumbánda	id=g:736360
Drístis Réma	id=g:736361
Pedhiás Drámas	id=g:736362
Nomós Drámas	id=g:736363
Dráma	id=g:736364
Drachísta Réma	id=g:736365
Diávasis Kastanoússis	id=g:736366
Dová Tepé	id=g:736367
Doúska	id=g:736368
Dósnits Réma	id=g:736369
Dópra Réma	id=g:736370
Domúz Réma	id=g:736371
Domúz Réma	id=g:736372
Domúz Réma	id=g:736373
Sidirodromikós Stathmós Doïránis	id=g:736374
Dhrosopiyí	id=g:736375
Drosopigí	id=g:736376
Dhrosiá	id=g:736377
Dhrosiá	id=g:736378
Droserón	id=g:736379
Dhroserón	id=g:736380
Drosáton	id=g:736381
Dhrióvounon	id=g:736382
Erípia Dhrimoúsis	id=g:736383
Dhrimótopos	id=g:736384
Dhrimós	id=g:736385
Drymós	id=g:736386
Dhrimiá	id=g:736387
Dhrimiá	id=g:736388
Dhrími	id=g:736389
Drymádes	id=g:736390
Dhriás	id=g:736391
Dhrépanon	id=g:736392
Dhrepánion	id=g:736393
Dhrenítseto	id=g:736394
Nísoi Dhrénia	id=g:736395
Dhravískos	id=g:736396
Dhránovon	id=g:736397
Dhraniá	id=g:736398
Dhragasiá	id=g:736399
Táfros Dhoxátou	id=g:736400
Dhoxáton	id=g:736401
Dhoxarás	id=g:736402
Dhóxa	id=g:736403
Dhoúskon Óros	id=g:736404
Dhotsikón	id=g:736405
Dorothéa	id=g:736406
Dhorkás	id=g:736407
Dhorískos	id=g:736408
Dhorikón	id=g:736409
Dhómiros	id=g:736410
Dhomátia	id=g:736411
Dolíchi	id=g:736412
Dhokós	id=g:736413
Moní Dhokhiaríou	id=g:736414
Dogánis	id=g:736415
Dytikón	id=g:736416
Dhísvaton	id=g:736417
Dístraton	id=g:736418
Dhispílion	id=g:736419
Dýsoron Óros	id=g:736420
Dhipótamos	id=g:736421
Dhipótamos	id=g:736422
Dipótamos	id=g:736423
Dipotamiá	id=g:736424
Dhipótama	id=g:736425
Dhiplokhóri	id=g:736426
Díou Sidirodromikós Stathmós	id=g:736427
Dhionísios	id=g:736428
Dhióni	id=g:736429
Dhiomídhia	id=g:736430
Dhimitrítsion	id=g:736431
Dhímitra	id=g:736432
Dhími	id=g:736433
Dhimárion	id=g:736434
Dhimarás	id=g:736435
Dílofos	id=g:736436
Dhílofos	id=g:736437
Dhílofon	id=g:736438
Dhiliná	id=g:736439
Dhíkorfon	id=g:736440
Dhikhímarron	id=g:736441
Dhíkella	id=g:736442
Dhikelí Tas	id=g:736443
Dhikála	id=g:736444
Dhíkaia	id=g:736445
Díkaia	id=g:736446
Didymóteichon	id=g:736447
Dhiavolórema	id=g:736448
Diavatós	id=g:736449
Néa Ioniá	id=g:736450
Erípia Dhiasélou	id=g:736451
Ákra Dhiapórti	id=g:736452
Nisís Dhiáporos	id=g:736453
Dhialektón	id=g:736454
Dhialambí	id=g:736455
Dhexamení	id=g:736456
Dhespótis	id=g:736457
Toúmpa Dervísi	id=g:736458
Ereípia Derveníou	id=g:736459
Erípia Dhendrotoú	id=g:736460
Dhendrokhórion	id=g:736461
Dhendrákia	id=g:736462
Dhelvetzelí	id=g:736463
Dhélta	id=g:736464
Dhékarkhon	id=g:736465
Dháton	id=g:736466
Dhasotópi	id=g:736467
Dhasotón	id=g:736468
Dhasokhórion	id=g:736469
Dáskion	id=g:736470
